职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
React前端开发工程师（AI产品）,北京,外企德科,大专,5-10年,"JavaScript,React,Vue,Node.js,WebGL",4-8万,学历要求：大专及以上学历，计算机、软件工程相关专业优先；经验要求：5 年及以上前端开发经验，有完整的 0-1 项目经验；技术能力：精通 HTML5/CSS3，能够按照设计稿精确还原 UI，熟悉响应式布局（Flex、Grid 等）；精通 JavaScript（ES6+），具备扎实的原生 JS 基础；熟练掌握 React、Vue 框架及其周边生态，如 Redux、Vuex、Pinia、React Qu...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40828033305.htm,1000-9999人,2026-01-11 00:16:21
h5前端工程师,北京,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"CSS,Vue,React,Node.js,HTML,ES",3.5-5万,岗位描述1.负责信息业务-商家运营系统等，支持供给端的行业接入到用户端跟商家互动的业务闭坏；2.负责前端基础能力的建设，包括但不限于组件库、跨平台能力、AI工程等。岗位要求1.三年以上前端工作经验，至少参加过一个完整中型前端项目开发；2. 熟悉W3C规范，熟悉HTML4/HTML5、CSS2/CSS3、 ES5/ES6等前端开发技术；3. 能够独立进行前端页面代码开发及调试，能够充分理解设计需求并...,互联网,http://jobs.zhaopin.com/CC427775130J40886063415.htm,20-99人,2026-01-10 01:44:59
react前端开发工程师,北京,南方新华,本科,5-10年,"直播视频项目,大屏/可视化项目,React,Three.js,Node.js",2-3.5万·16薪,1、基于 React 前端框架及 Node.js 技术栈，负责 Web 应用前端页面、交互逻辑及服务端 BFF 层的开发与维护，保障系统高性能与代码质量；2、设计并实现可复用的前端组件库、通用业务模块及 BFF 接口，支撑多业务场景快速迭代；3、主导前后端协作：与后端团队对接数据逻辑，完成接口联调、集成测试及问题排查，确保数据流转顺畅；4、推动前端 & Node.js 工程化落地：搭建脚手架、制定...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40812939311.htm,100-299人,2026-01-05 18:16:16
web前端架构师（自研，午休2小时）,北京,京北方,硕士,10年以上,"金融项目,ERP项目,银行项目,支付项目,CSS,HTML5,Vue,Node.js,银行",2-3.5万,vue架构，本部编制岗。8年以上前端开发经验。计算机相关专业。早九晚五点半，加班少。,IT服务,http://jobs.zhaopin.com/CC315847110J40820945507.htm,10000人以上,2026-01-05 16:14:49
前端开发工程师-交易业务（大厂正编）,北京,智联猎头,本科,3-5年,"电商项目,CSS,JavaScript,Vue,React,Angular,Node.js,Echarts,WebGL",2.5-3.5万·16薪,1. 负责淘宝交易链路（购物车、下单、订单、物流等）的业务研发和基础能力建设 2. 深入理解业务目标与流程，持续优化产品体验，推动技术创新以驱动业务增长 3. 深入跨平台技术架构、渲染引擎等技术，构建高效率、高性能的终端技术体系 4. 探索并实践AI技术在前端领域的应用，打造极致研发效率团队任职要求﻿1. 精通 Web 前端技术（ HTML/CSS/JavaScript 等），熟练跨浏览器、跨终端...,互联网,http://jobs.zhaopin.com/CCL1318355140J40866579803.htm,10000人以上,2025-12-29 14:18:33
高级资深前端工程师,北京,智联招聘,本科,5-10年,"Vue,Node.js,PLAYWRIGHT,PUPPETEER",2.8-3.5万·14薪,【工作内容】参与AI招聘产品的技术研发和创新探索。(逆向前端、浏览器自动化)【岗位职责】负责核心产品的前端架构设计、开发与优化，包括但不限于Web端、APP、桌面（Electron）应用，掌握跨平台开发技术。主导核心业务模块（如AI功能集成、RPA、Browser Use）的技术方案设计、评审与实现，确保代码质量和系统可维护性。 参与或主导工具类产品的开发与重构工作，并有情绪的技术架构理解和实施能...,互联网,http://jobs.zhaopin.com/CC120019970J40866233603.htm,1000-9999人,2025-12-29 09:37:10
h5前端开发工程师,北京,外企德科数字技术有限公司,本科,1-3年,"ERP项目,大屏/可视化项目,TypeScript,JavaScript,React,Unity3D,Node.js,Egret",1.5-3万·15薪,职位描述：1. 负责面向PICO虚拟现实设备下AI助手应用的前端开发工作；2. 针对虚拟现实环境3D场景下特色的H5特性或者标准做调研和实现；3. 深入发掘和分析业务需求，撰写技术方案和系统实现。职位要求：1. 熟悉React和TypeScript，熟悉常见的设计模式，具备良好的分析能力和书面表达能力；2. 良好的思维能力和计算机基础知识，有一定前端基础架构设计能力或者经验；3. 富有好奇心，有强...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40829741505.htm,10000人以上,2026-01-10 01:14:39
前端开发工程师,北京,北京高途云集教育科技有限公司,本科,3-5年,"HTML5,Vue,React,CSS,JavaScript,Node.js",2-3万·14薪,职位描述：1、负责微信小程序、管理后台、PC进校工具、题库等项目的前端设计，开发和维护工作；2、与产品经理配合，参与产品需求的讨论和设计，能独立完成模块的设计、开发工作；3、关注行业前沿技术动态，研究并引入适用于项目的新技术、新工具，推动前端技术创新与产品升级。 任职要求：1、一本及以上学历，计算机相关专业优先，扎实的计算机基础和前端基础；2、2-5年前端工作经验；3、精通前端基本技术，包括HTM...,培训/辅导服务,http://jobs.zhaopin.com/CC475394730J40896192402.htm,10000人以上,2026-01-06 17:19:40
Electron前端开发,北京,北京和润恺安科技发展股份有限公司,本科,3-5年,"TypeScript,Node.js,Vue,Electron",1.5-3万,岗位职责：1. 负责基于Electron的工业软件桌面端应用相关的功能研发工作。2. 解决PC客户端开发过程中遇到的技术问题及性能优化。3. 根据产品需求实现功能并优化交互细节，提升用户体验。4. 完善客户端的代码版本控制及发布流程、确保交付质量。任职要求：1. 工作经验：3年及以上前端开发经验，能独立负责“需求分析-开发-测试-交付”全流程。2. 大学本科学历及以上学历。计算机、软件工厂或相关专...,环保,http://jobs.zhaopin.com/CC202175320J40910300315.htm,20-99人,2026-01-06 00:00:02
DeepSeek大模型应用专家（自动化仪表行业AI智能体全栈开发）,北京,卓然天工自动化仪表(北京)有限公司,本科,5-10年,"大模型,AI智能体,全栈开发,LLM,RAG,CSS,JavaScript,TypeScript,Vue,React,Angular,Node.js,Echarts,WebGL",1.5-2.7万,您将成为我们核心AI团队的中坚力量，负责从0到1设计、构建和部署面向自动化仪表行业的垂直领域大模型应用与AI智能体。您的工作将贯穿整个技术栈，是连接尖端AI技术与传统工业场景的关键桥梁。核心职责：架构与设计： 负责设计和搭建基于DeepSeek等大模型的行业专家AI智能体系统架构，确保其高性能、高可用性和可扩展性。数据处理与治理： 构建和维护高质量的行业专项数据集。包括清洗、标注、增强来自自动化仪...,仪器仪表制造,http://jobs.zhaopin.com/CC543529630J40786308709.htm,20-99人,2025-09-18 10:07:28
