职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
产品研发总监（坚果/休闲食品方向）,北京,加州原野(北京)食品有限责任公司,本科,5-10年,"休闲食品,饮品,食品添加剂,固体饮料,乳品饮料,膨化食品,技术研发,配方研发",22-25万,岗位职责1. 研发体系搭建○ 负责组建和管理研发团队 ，制定研发流程 、标准及管理制度。○ 建立从市场调研→配方开发→工艺优化→生产落地的完整研发体系。2. 产品创新与开发○ 主导坚果 、果干 、烘焙类新产品的研发， 包括风味创新（如复合调味） 、健康升级 （低糖 、高蛋白等） 。○ 熟悉原料特性（如夏威夷果 、巴旦木 、腰果等） ，优化配方成本与口感平衡。3. 生产技术支持○ 精通休闲食品生产线...,快速消费品,http://jobs.zhaopin.com/CC504783420J40873271515.htm,500-999人,2026-01-01 00:31:41
甲醇类产品营销总监,北京,北京盈捷投资基金有限公司,大专,3-5年,"渠道销售,区域销售,网络销售,KA大客户,企业客户,政府客户",20-25万,岗位内容： 1. 制定销售策略并推动实施，达成公司销售目标。2. 管理销售团队，包括制定目标、管理绩效、培训和发展员工等。3. 负责市场竞争情报的收集和分析，为公司提供市场动态和趋势分析报告。任职要求： 1. 必须具备3-5年以上销售领导经验。2. 具备较强的组织协调能力，能有效带领和管理团队。3. 具有深刻的市场敏感度，善于挖掘市场机会，制定相应销售策略。,投资/融资,http://jobs.zhaopin.com/CC668253020J40849189013.htm,300-499人,2025-12-12 13:48:04
北京销售专员/软件产品/销售,北京,鸣意信息科技(上海)有限公司,大专,1-3年,"KA大客户,企业客户,面销/陌拜,电话销售,会议/会展销售",15-25万·13薪,岗位职责：1、负责公司的软件产品销售工作，完成既定的销售任务；2、负责通过各种方式进行新客户的开发，重点用户跟踪工作；3、向客户提供产品演示及匹配相关的解决方案；4、维护与客户的良好关系，开发新的客户需求；5、完成上级指派的与销售相关的工作任务。岗位要求：1.大专以上学历；2.善于团队合作，具有良好的组织能力，良好的沟通能力和分析解决问题的能力；3.有一定的市场营销经验，擅长to B销售形式，有软...,计算机软件,http://jobs.zhaopin.com/CCL1423009090J40688368101.htm,20-99人,2025-05-08 10:17:23
推荐策略产品Leader-Lemon8,北京,字节跳动,本科,3-5年,,13.3-20万,岗位职责：1、深入挖掘用户需求，洞察用户痛点，了解行业运营诉求，设计对用户长期价值和业务生态有收益的推荐策略；2、与行业、技术等团队紧密合作，完成需求分析、方案设计，并推进推荐策略迭代、落地；3、海外本地化策略迭代，能够针对不同国家用户需求制定相应优化策略；4、需要通过数据驱动以及对用户的洞察，持续优化基础体验，保证产品体验的持续领先。任职要求：1、本科及以上学历，3年以上策略工作经验，具备良好的...,互联网,http://jobs.zhaopin.com/CC469217510J40808587801.htm,10000人以上,2025-11-21 13:33:25
全闪文件存储产品经理（高级）,北京,北京爱迪神州科技有限公司,本科,10年以上,"文件存储,NAS,并行文件",6-12万,岗位职责1. 版本与范围管理：结合技术架构与团队节奏，拆解路线图为迭代版本，明确版本范围、 里程碑与验收标准。2. 需求收集与优先级：对接销售/解决方案/交付/客服，开展 VoC/客户访谈，沉淀 MRD/PRD， 持续维护需求池与优先级。3. 场景化设计与验收： 围绕 AI/HPC 等典型负载，定义可验证 KPI（延迟/吞吐/OPS/元数 据性能/恢复指标），设计评测与验收方案（fio/ior/m...,仪器仪表制造,http://jobs.zhaopin.com/CC366209210J40788095301.htm,20-99人,2025-09-16 12:40:55
无人机-高级软件产品经理,北京,北京三快在线科技有限公司,本科,5-10年,,面议,为了更好地提升城市即时配送的效率与体验，2017年，美团启动了无人机配送服务的探索，通过科技创新推动履约工具变革，加快建设空地协同的本地即时配送网络。在过去的六年里，美团无人机完成了飞行器、自动化机场及智能调度系统的研发工作，实现了研发设计、生产制造、运营运维全链条布局，达成了城市复杂场景物流无人机高频次、高密度、多天时、多天侯运行。2023年7月，美团无人机在上海发布了自主研发的第四代无人机，跟...,互联网,http://jobs.zhaopin.com/CC383625320J40797068409.htm,10000人以上,2026-01-11 08:30:12
内容策略运营Leader-Lemon8,北京,字节跳动,本科,3-5年,,8.6-14万,岗位职责：1、搭建Lemon 8的推荐问题发现体系，基于监控数据与画风快速识别分发结构和内容质量问题（如画风异常、相似内容密集、流量分配不均等），并结合用户洞察和数据分析进行论证与量化；2、与推荐产品及算法团队协作，完成从问题发现、定义、策略制定到效果验证与迭代优化的全流程；3、制定方向与目标，规划并优先化项目，推动跨部门合作与资源获取，确保优化策略落地并兼顾用户体验、业务增长和平台生态；4、深入...,互联网,http://jobs.zhaopin.com/CC469217510J40808586001.htm,10000人以上,2025-11-21 13:31:24
产品总监,北京,北京云杉世界信息技术集团有限公司,本科,3-5年,"策略产品,商业化产品",6-10万,岗位职责： 1.负责复杂交易平台（如阿里巴巴、美团、京东、滴滴、字节跳动等）生态治理、资源分配（流量/补贴）、商业化产品或策略产品的规划与设计。 2.基于数据驱动和系统思维，将业务目标（如GMV、利润）转化为可执行的产品策略和机制，推动业务增长。 3.主导从0到1搭建策略体系或复杂项目，协调跨部门资源，确保项目高效落地并达成预期目标。 4.关注供应链、配送、买手竞争等方向，持续优化产品体验和商业效...,互联网,http://jobs.zhaopin.com/CC241756930J40861358312.htm,10000人以上,2025-12-19 10:37:09
营销副总经理（环保产品）,北京,清大国华环境集团股份有限公司,本科,3-5年,"水处理设备,膜产品",5-10万,岗位职责：1．负责公司产品市场策略的制定、重点行业和区域市场的拓展、产品销售工作； 2．负责环保设备和MBR膜产品市场渠道的建立和维护； 3．膜销售团队管理，完成个人及团队销售目标。任职资格：1．本科及以上学历； 2．从事市场营销或销售工作10年以上，环保设备市场营销或销售工作5年以上，3年以上销售团队管理经验，近两年有作为主要负责人完成千万级以上环保设备销售经验；3．高度的责任心，较好的抗压力和...,环保,http://jobs.zhaopin.com/CC147186290J40735635002.htm,100-299人,2025-11-13 11:43:36
高级软件项目经理-AI硬件,北京,字节跳动,本科,经验不限,,5-10万,岗位职责：1、承接软件项目与跨软件项目，组织团队准时交付，并达成质量标准；2、负责软件需求收集及分析、需求变更管理；3、组建项目团队，制定项目计划、协调各方面资源达成项目目标；4、负责软件项目全流程管理，包括项目规划、启动、执行、总结与维护；5、建立有效的沟通机制，保持与项目干系人的良好沟通，确保项目交付达成；6、根据项目推进情况负责业务各相关团队的协调，包括资源需求及人员调配；组织攻关项目中遇到...,互联网,http://jobs.zhaopin.com/CC469217510J40751245901.htm,10000人以上,2025-07-02 14:59:39
React前端开发工程师（AI产品）,北京,外企德科,大专,5-10年,"JavaScript,React,Vue,Node.js,WebGL",4-8万,学历要求：大专及以上学历，计算机、软件工程相关专业优先；经验要求：5 年及以上前端开发经验，有完整的 0-1 项目经验；技术能力：精通 HTML5/CSS3，能够按照设计稿精确还原 UI，熟悉响应式布局（Flex、Grid 等）；精通 JavaScript（ES6+），具备扎实的原生 JS 基础；熟练掌握 React、Vue 框架及其周边生态，如 Redux、Vuex、Pinia、React Qu...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40828033305.htm,1000-9999人,2026-01-11 00:16:21
