职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
推荐策略产品Leader-Lemon8,北京,字节跳动,本科,3-5年,,13.3-20万,岗位职责：1、深入挖掘用户需求，洞察用户痛点，了解行业运营诉求，设计对用户长期价值和业务生态有收益的推荐策略；2、与行业、技术等团队紧密合作，完成需求分析、方案设计，并推进推荐策略迭代、落地；3、海外本地化策略迭代，能够针对不同国家用户需求制定相应优化策略；4、需要通过数据驱动以及对用户的洞察，持续优化基础体验，保证产品体验的持续领先。任职要求：1、本科及以上学历，3年以上策略工作经验，具备良好的...,互联网,http://jobs.zhaopin.com/CC469217510J40808587801.htm,10000人以上,2025-11-21 13:33:25
全闪文件存储产品经理（高级）,北京,北京爱迪神州科技有限公司,本科,10年以上,"文件存储,NAS,并行文件",6-12万,岗位职责1. 版本与范围管理：结合技术架构与团队节奏，拆解路线图为迭代版本，明确版本范围、 里程碑与验收标准。2. 需求收集与优先级：对接销售/解决方案/交付/客服，开展 VoC/客户访谈，沉淀 MRD/PRD， 持续维护需求池与优先级。3. 场景化设计与验收： 围绕 AI/HPC 等典型负载，定义可验证 KPI（延迟/吞吐/OPS/元数 据性能/恢复指标），设计评测与验收方案（fio/ior/m...,仪器仪表制造,http://jobs.zhaopin.com/CC366209210J40788095301.htm,20-99人,2025-09-16 12:40:55
无人机-高级软件产品经理,北京,北京三快在线科技有限公司,本科,5-10年,,面议,为了更好地提升城市即时配送的效率与体验，2017年，美团启动了无人机配送服务的探索，通过科技创新推动履约工具变革，加快建设空地协同的本地即时配送网络。在过去的六年里，美团无人机完成了飞行器、自动化机场及智能调度系统的研发工作，实现了研发设计、生产制造、运营运维全链条布局，达成了城市复杂场景物流无人机高频次、高密度、多天时、多天侯运行。2023年7月，美团无人机在上海发布了自主研发的第四代无人机，跟...,互联网,http://jobs.zhaopin.com/CC383625320J40797068409.htm,10000人以上,2026-01-11 08:30:12
产品总监,北京,北京云杉世界信息技术集团有限公司,本科,3-5年,"策略产品,商业化产品",6-10万,岗位职责： 1.负责复杂交易平台（如阿里巴巴、美团、京东、滴滴、字节跳动等）生态治理、资源分配（流量/补贴）、商业化产品或策略产品的规划与设计。 2.基于数据驱动和系统思维，将业务目标（如GMV、利润）转化为可执行的产品策略和机制，推动业务增长。 3.主导从0到1搭建策略体系或复杂项目，协调跨部门资源，确保项目高效落地并达成预期目标。 4.关注供应链、配送、买手竞争等方向，持续优化产品体验和商业效...,互联网,http://jobs.zhaopin.com/CC241756930J40861358312.htm,10000人以上,2025-12-19 10:37:09
ai产品经理,北京,大连良机予人管理咨询有限公司,本科,3-5年,大模型,4-8万,职责描述 1. 负责AI教育产品的需求分析、规划与设计； 2. 与技术团队合作完成产品开发并上线； 3. 持续优化产品，提升用户体验； 4. 分析市场趋势，调整产品策略。 岗位要求： 1. 计算机科学、人工智能、软件工程、信息管理、商业分析等相关专业本科及以上学历。 2. 对AI技术原理（如机器学习、自然语言处理、计算机视觉等）有基础认知，兼具技术理解与商业思维者优先。对AI行业趋势（如生成式AI...,咨询服务,http://jobs.zhaopin.com/CC490242920J40694561002.htm,100-299人,2026-01-07 16:31:04
产品总监,北京,北京晟源能科技有限公司,本科,5-10年,"软件产品,硬件产品",5-8万,岗位职责：1.商业模式与产品战略：负责“电速宝”整体商业模式的顶层设计、验证与持续迭代，定义平台的核心价值、目标用户、服务矩阵及盈利模式。 2.产品体系规划：规划“电速宝”的整体产品（服务）形态。包括：移动储能服务的标准化产品包（如：应急保电套餐、峰谷套利服务、临时供电方案等）、定价策略、服务等级协议（SLA）等。 3.平台化运营设计：设计用户从“知晓-下单-服务-支付-售后”的全链路运营流程。思...,新能源,http://jobs.zhaopin.com/CCL1454895100J40900449615.htm,100-299人,2025-12-23 00:10:42
产品营销负责人,北京,思安新能源股份有限公司,本科,10年以上,"国内市场,工业领域,能源智控",6-8万,岗位职责：1.战略与营销规划：洞察工业能源（综合能源 / 能源数字化）行业痛点、政策，结合公司战略，制定产品线中长期营销战略、年度目标与落地路径，明确场景化产品定位。联动战略部门，反向推动公司战略在产品端的适配优化。2. 产品部门管理：统筹产品团队（策划 / 运营），制定工作标准与流程，主导工业能源场景需求挖掘、产品规划及迭代优化，保障全流程效率。3. 营销全链路操盘：制定品牌 / 推广方案，统筹...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC251846930J40743090606.htm,300-499人,2025-12-22 18:07:15
数据产品总监,北京,北京爱迪神州科技有限公司,本科,10年以上,"数据产品,商业化产品",7-8万,"数据产品总监 岗位职责：1. 根据行业最佳实践，结合业务需求、规划设计公司的产品策略。2. 洞察行业,细分客群需求,提炼客户痛点,评估市场空间,孵化应用场景产品(解决方案产品化、3. 主导孵化行业应用，开发数据分析产品并商业化4. .深入理解业务需求，挖掘数据价值，设计可复用的数据产品解决方案；协调数据开发、算法、运营和业务团队，推动数据产品的研发、迭代、效果验证与推广策略；5. 行业研究，并输出...",仪器仪表制造,http://jobs.zhaopin.com/CC366209210J40765365101.htm,20-99人,2025-08-11 16:07:18
搜索安全策略产品经理（AI方向）-TikTok,北京,字节跳动,本科,3-5年,,4-7.9万,岗位职责：1、利用大模型能力进行内容理解与风险评估，提升系统对复杂语义、多语种、多模态风险的识别能力，构建适用于搜索场景的风险评估能力；2、深入理解搜索业务语境，包括推荐词与搜索结果的内容特性，结合行业大模型前沿技术，进行模型训练与安全策略设计；3、设计适配搜索系统的审核链路，完善策略触发、审核分发、误伤回流等机制，支持持续演进与精细化干预；4、以搜索作为外部认知与舆情变化的窗口，构建舆情主动发现...,互联网,http://jobs.zhaopin.com/CC469217510J40760184001.htm,10000人以上,2026-01-08 16:24:07
产品营销负责人,北京,思安新能源股份有限公司,硕士,5-10年,"产品营销,工业场景",4-8万,岗位职责：1.战略与营销规划：洞察工业能源（综合能源 / 能源数字化）行业痛点、政策，结合公司战略，制定产品线中长期营销战略、年度目标与落地路径，明确场景化产品定位。联动战略部门，反向推动公司战略在产品端的适配优化。2. 产品部门管理：统筹产品团队（策划 / 运营），制定工作标准与流程，主导工业能源场景需求挖掘、产品规划及迭代优化，保障全流程效率。3. 营销全链路操盘制定品牌 / 推广方案，统筹资...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC251846930J40741060506.htm,300-499人,2025-12-12 17:25:32
