职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
短视频文案策划,北京,北京叩之问诚品精购商贸有限公司,本科,经验不限,"直播类,电商类",5-10万,研究分析目标客户需求和使用场景，研究产品品质和功能，策划、编辑短视频文案,电子商务,http://jobs.zhaopin.com/CCL1510210640J40857539902.htm,20人以下,2025-12-29 11:58:08
AI 互联网运营总裁,北京,艾莎(辽宁)企业管理咨询有限公司,硕士,10年以上,"联合创始人,合伙人,海外运营,直播运营,新媒体运营,TO G,TO B,TO C,副总裁/副总经理/VP",5-10万,岗位内容：1. 制定和执行公司运营策略，实现业务增长和盈利目标2. 分析市场和用户需求，优化产品和服务的特性和差异性3. 挖掘和引入新的运营模式和流程，提高效率和降低成本4. 合理规划并管理预算，确保预算使用的高效5. 协调各部门和团队间的合作，保证工作流程的顺畅和高效任职要求：1. 具备10年以上互联网或相关行业运营管理经验2. 熟练掌握市场和流程管理的基本原则和理论3. 具有丰富的团队管理和协...,专业技术服务,http://jobs.zhaopin.com/CCL1462676020J40974577504.htm,20人以下,2025-12-17 23:16:25
运营副总,北京,康知声管理咨询(北京)有限公司,本科,5-10年,新媒体运营,5-10万,岗位内容：1. 制定和执行公司运营策略，实现业务增长和盈利目标2. 分析市场和用户需求，优化产品和服务的特性和差异性3. 挖掘和引入新的运营模式和流程，提高效率和降低成本4. 合理规划并管理预算，确保预算使用的高效5. 协调各部门和团队间的合作，保证工作流程的顺畅和高效任职要求：1. 具备7年以上互联网或相关行业运营管理经验2. 熟练掌握市场和流程管理的基本原则和理论3. 具有丰富的团队管理和协调...,咨询服务,http://jobs.zhaopin.com/CCL1485259560J40686887711.htm,20-99人,2025-10-16 12:01:31
直播策划运营,北京,北京叩之问诚品精购商贸有限公司,本科,5-10年,"抖音,视频号,快消品,玩具",5-10万,研究目标客群需求，研究产品买点，策划营销活动，策划直播营销,电子商务,http://jobs.zhaopin.com/CCL1510210640J40857551702.htm,20人以下,2025-12-29 11:58:06
NMN保健品总经理,北京,多弗国际控股集团有限公司,大专,5-10年,"电商运营,新媒体运营,产品运营,搜推产品,商业化产品,增长产品,toB,toC,NAD+,赛派诺,NMN,吉瑞维",6-8万,岗位职责：1. 制定NMN保健品的电商发展战略，聚焦主流电商平台（天猫、京东、抖音、小红书等），搭建精细化运营体系，包括店铺运营、流量获取（付费推广、内容营销、直播带货等）、转化优化及用户复购。2.拓展新兴电商渠道（如跨境电商、私域社群等），整合平台资源，争取流量倾斜与活动资源，提升品类线上渗透率。3.基于电商用户需求（如抗衰、健康保养等），优化NMN产品配方、包装及定价策略，打造符合线上消费场景...,投资/融资,http://jobs.zhaopin.com/CC497171630J40864150903.htm,10000人以上,2025-12-17 18:47:08
顾问行销渠道储备营业处经理,北京,中美联泰大都会人寿保险有限公司北京分公司,本科,3-5年,"新媒体运营,社区运营,客户开发,客户资源,团队组建,行政管理方向,市场营销方向,运营方向",3-6万,大都会人寿为您提供—— 1、轻资产创业平台 2、时间自由、收入上不封顶 3、 48个月高端管理专业训练 4、一定条件下30万起步的训练奖助金+绩效奖金支持 5、丰富的保险保障及福利计划6、国际高端财务安全分析系统7、资深专家顾问的培训系统8、清晰的保险企业家培养路径工作职责： 1、在公司授权范围内招募新人及选择，进行事业说明会及甄选面试； 2、新人培训； 3、营业处内部业务经理候选人的发掘和培养；...,保险,http://jobs.zhaopin.com/CC224780920J40754124212.htm,10000人以上,2026-01-07 10:08:41
新媒体营销负责人—（智能图书、管幅30+）,北京,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585614.htm,10000人以上,2025-09-10 00:17:04
新媒体达人矩阵运营,北京,北京三快在线科技有限公司,本科,1-3年,,面议,核心本地商业（Core Local Commerce）是美团“零售+科技”战略的重要载体，涵盖了到店餐饮、服务零售、酒店旅行、外卖、履约配送、闪购、医药健康等多个业务，覆盖了超过200个消费场景，致力于通过“随时随地”的商品和服务，满足消费者的多样性需求，帮大家吃得更好，生活更好。核心本地商业扎根本地消费，围绕消费者的“吃、住、行、游、购、娱”进行深度创新，引领发展了即时零售、团购等多种消费业态，...,互联网,http://jobs.zhaopin.com/CC383625320J40781602609.htm,10000人以上,2026-01-11 08:36:15
抖音直播运营操盘手（奶片/牛肉干）,北京,内蒙古叮叮电子商务有限公司,大专,5-10年,"抖音,快手,小红书,电商类",3-5万,此岗位工作地点在呼和浩特市，此岗位工作地点在呼和浩特市，此岗位工作地点在呼和浩特市， 关于我们： 内蒙古集众合健康产业科技公司成立于 2009 年，经过十多年的发展，已经发展成集产品研发、包装设计、产品生产、营销策划、物流配送和企业服务为一体的全渠道运营集团企业，企业旗下拥有 9 个子公司，包括生产基地 5 个、研究院 1 个、检测中心 2 个、品牌运营 1 个，通过传统电商、渠道电商、直播电商等...,电子商务,http://jobs.zhaopin.com/CC852860870J40864722612.htm,100-299人,2026-01-09 10:44:17
新媒体营销负责人—（智能图书、管幅30+）,北京,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585414.htm,10000人以上,2025-09-10 00:05:21
新媒体用户增长负责人,北京,北京嘉护在线科技发展有限公司,本科,3-5年,"视频平台,C端用户,知识/教育平台,用户增长,新媒体用户增长,成人职业教育,UG中台",3-5万,岗位职责:1、负责(母婴服务职业技能培训)和孕产妇，用户数量的获取、增长和活跃度提升，给销售提供意向客户线索。2、作为 UG 中台以全行业的视角为各项目团队持续赋能 ，沉淀可复用工作方法论 ，促进各项目平稳交付。3、以品牌建设和私域流量转化为目标 ，以抖音号为主带领团队根据平台属性通过账号定位、创意策划 ，账号运营动作实现账号增粉，重点关注粉丝增长，互动率，私域转化等指标。任职要求:1、统招本科及...,在线医疗,http://jobs.zhaopin.com/CCL1413111250J40729291407.htm,300-499人,2026-01-07 17:00:45
线上营销运营总监,北京,铸诚集团,本科,5-10年,"新媒体运营,产品运营,工业产品,toB,内容运营,建筑,医疗",3-5万,岗位核心职责1. 主导装配式建筑、智慧医院整装等To B业务的新媒体矩阵搭建与运营，制定年度/季度运营策略，助力品牌提升与招商线索转化。2. 统筹内容创作与渠道投放，产出技术科普、项目案例等优质内容，优化投放效果，对曝光、转化等核心指标负责。3. 管理新媒体团队，协调研发、生产、销售等跨部门资源，管控运营预算，配合企业上市品牌形象建设。4. 跟踪运营数据，分析竞品策略，持续优化内容与投放方向，推动...,金属制品业,http://jobs.zhaopin.com/CC141308800J40863308212.htm,500-999人,2025-12-25 13:11:47
