职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
客服中心质检与培训经理岗,北京,中旅国际会议展览有限公司,本科,5-10年,,15-20万,岗位职责：1. 客服质检与客服培训负责制定并执行客服质检标准，定期对客服质检人员的质检质量进行监听与评估，确保服务品质符合公司及客户要求。同时，根据质检结果，制定针对性的培训计划，带领培训专员组织并实施客服人员的专业技能培训和职业素养提升课程，以提升整体服务水平。2. 知识库搭建与维护负责客服知识库的规划、搭建、内容更新及优化，确保信息准确、结构清晰、易于检索；定期审核知识库内容，协同业务部门更新...,会议/展览,http://jobs.zhaopin.com/CC131053080J40824561413.htm,300-499人,2025-09-11 14:11:46
大模型应用算法工程师（智能客服）,北京,北京三快在线科技有限公司,硕士,1年以下,,面议,基础研发平台是美团的核心技术平台，立足于“零售+科技”的战略定位，通过打造人工智能、大数据、云计算、安全等核心技术能力，以及研发效能平台、企业应用平台等公共服务，为业务提供稳定安全、扩展易用、技术领先的平台技术和产品服务。在这里，我们会参与到最前沿的技术研发和探索；能够接触超规模集群、海量数据，挑战高复杂业务场景，有机会与业界一流的工程师一起并肩前行。在这里，我们有超强的技术氛围，持续向社区贡献业...,互联网,http://jobs.zhaopin.com/CC383625320J40762920309.htm,10000人以上,2026-01-11 08:35:13
客户成功总监,北京,天九共享控股集团,本科,5-10年,,3-6万,岗位职责1、负责客户商旅业务上线工作，梳理客户业务需求，配置完成保证系统顺利上线及业务使用；2、负责收集客户使用公司产品的需求和建议，解决企业日常系统差旅问题，推动内部团队解决客户业务中的所有问题3、负责收集客户满意度评价，确保客户的服务满意度；4、负责商旅客户的数据分析、运营指标汇总，给客户提交每月差旅分析运营报告;5、负责客户的推广和培训工作，针对公司新发布的功能和产品，及时推广客户使用。制作...,证券/期货,http://jobs.zhaopin.com/CC598641180J40819136901.htm,1000-9999人,2026-01-07 15:52:51
旅游服务部客服总监,北京,中旅国际会议展览有限公司,本科,5-10年,,15-20万,1. 负责所辖客服团队（涵盖国内机票、国际机票、酒店预订等多业务领域）的日常管理、工作安排、班次调度及现场督导。实时监控团队核心绩效指标（KPI），包括接起率、处理时长、一次解决率、客户满意度等，及时发现并解决潜在问题，采取有效改进措施。2. 负责对下属主管及客服代表进行绩效管理、业务辅导和技能培训，提升团队整体效能。严格执行客服中心制定的标准化操作流程（SOP），确保服务输出的规范性和一致性。3...,会议/展览,http://jobs.zhaopin.com/CC131053080J40824473313.htm,300-499人,2025-09-11 11:04:26
居家兼职语音聊天不露脸！手机即可！小白也有人带！,北京,南京湖心传媒有限公司,学历不限,经验不限,,150-300元/时,招聘以下兼职，学生党，宝妈，上班族皆可做。1. 🔥语音接待客服急招｜全职/兼职任选！✅ 工作内容：居家打字聊天+语音接待，无硬性要求，轻松上手✅ 薪资福利：底薪+高额提成，工资周结不押款，日均100-500+，多劳多得✅ 报名条件：会用手机/电脑，沟通流畅，时间自由安排👉 私信即可报名，当天可上岗！2. 🎮陪打游戏和树洞兼职热招中！✅ 工作内容：陪打游戏、日常唠嗑、情感倾听，主打轻松互动✅ ...,文化艺术/娱乐,http://jobs.zhaopin.com/CCL1501358600J40823900614.htm,100-299人,2025-11-21 16:56:12
客户成功总监,北京,锐仕方达人才科技集团有限公司,本科,5-10年,"客户成功,商旅,TMC行业",3-5万,岗位职责1、负责客户商旅业务上线工作，梳理客户业务需求，配置完成保证系统顺利上线及业务使用；2、负责收集客户使用公司产品的需求和建议，解决企业日常系统差旅问题，推动内部团队解决客户业务中的所有问题3、负责收集客户满意度评价，确保客户的服务满意度；4、负责商旅客户的数据分析、运营指标汇总，给客户提交每月差旅分析运营报告;5、负责客户的推广和培训工作，针对公司新发布的功能和产品，及时推广客户使用。制作...,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40829034014.htm,1000-9999人,2025-12-09 16:54:24
售后客服经理,北京,泰康人寿保险有限责任公司北京朝阳永安里支公司(磐石队),大专,1-3年,"VIP客服,售后客服,电话客服,销售经验,电话销售,网络销售",2.6-5万,一、岗位描述： 1、及时完成领导交给的学习任务及按时参加完公司的技能培训 2、邀约客户参观考察我司项目或邀约会场了解项目 3、公司提供高端的维护客户经营服务平台和一帮一的技术支持 4、客户资源均是公司提供 5、晋升机制完善，晋升速度快二、任职条件： 1、学历背景：大专以上学历，专业不限，上班时间：早九晚六周末双休 2、工作经历：一年及以上销售经验 3、年龄：24-45周岁 4、能力要求：坚韧不拔，...,保险,http://jobs.zhaopin.com/CCL1505647320J40862369815.htm,1000-9999人,2025-11-27 11:25:44
vip客服部经理（维护公司老客户）,北京,中国人寿保险股份有限公司北京市分公司东城部,大专,经验不限,保险业,3-5万,（一）职位要求：1、大专及以上学历。 2、乐观自信，诚实敬业，待人热情真诚，有爱心和责任感，做事细心，心态好。 3、勤奋踏实，善于学习，具备良好的理解、表达、沟通及执行力。 （二）福利待遇： 1、无责底薪+有责底薪+佣金提成+奖金+管理津贴+长期服务奖等多达18项收入+旅游+实物奖励等。业绩优秀者，收入上不封顶。 2、一旦录用，将享受完善的福利待遇（意外、医疗、养老保险等）。 3、广阔的发展空间，...,保险,http://jobs.zhaopin.com/CC874037700J40246199405.htm,10000人以上,2025-11-23 00:30:42
消费者权益保护经理,北京,和谐健康保险股份有限公司,本科,5-10年,,2.5-5万·16薪,1、根据监管要求及公司发展现状建立完善的消费者权益保护、投诉管理、柜面服务制度体系；2、督导落实投诉处理工作的管理、指导和考核，协调、督促相关部门和分支机构妥善处理各类消费者投诉。督导投诉部门针对投诉数据运行监测、统计分析，定期向监管部门报送投诉数据和相关情况；3、负责本部门牵头的、与本岗位相关的七大评级相关工作；4、组织开展消费者权益保护审查；5、督导落实投诉处理工作的管理、指导和考核，组织开展...,保险,http://jobs.zhaopin.com/CC332371210J40786160203.htm,1000-9999人,2025-08-19 09:28:33
早九晚六双休法定节假日休息薪资9000,北京,北京方华恒星科技服务有限公司,大专,1-3年,全白班,2.5-5万,公司总部面试，朝阳最最最繁华地段。毕业时间：不限！接受跨行业小白！朝阳五A级写字楼提供老带新方案！收入福利～1.收入构成：底薪+提成+奖励方案+季度奖+年终奖+团队管理津贴。2.我们建议长期从事，从业时间越久收入越高也越稳定，抽成比例也更高。3.超五A级写字楼，一流的办公环境，同事友爱，环境舒适。,企业服务,http://jobs.zhaopin.com/CCL1484089840J40745747409.htm,100-299人,2025-06-14 15:34:52
服务运营负责人（教育）,北京,河北源达信息技术股份有限公司,本科,5-10年,"投诉客服,VIP客服,售后客服,智能客服体系,线上模式,在线教育/金融/财商",2.5-4.5万,岗位职责: 1.根据公司的战略发展目标搭建和提升客户服务体系，制定客服部门的战略、制度和流程； 2.分析和洞察业务面临的内外部环境的影响，及时评估策略合理性并进行有效的调整； 3.牵头重要项目，跨部门协调，推进项目落地；打造具有一定投顾能力的客户服务体系及团队。 4.负责策划提升客服服务业务能力的培训以及落实客服部门相应的绩效考核； 5.负责安排处理客服部门日常运营中的一切突发事件，提高满意度，降...,证券/期货,http://jobs.zhaopin.com/CC237822710J40817826714.htm,1000-9999人,2025-11-04 16:11:40
大模型客服产品经理,北京,北京三快在线科技有限公司,本科,1-3年,,面议,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40818373309.htm,10000人以上,2026-01-11 08:40:15
电话客服经理,北京,北京方圆众诚咨询有限公司,学历不限,经验不限,销售经验,2-4万,公司提供：精准，优质客户资源（有贷款需求的人，精准度高，成单率超高）新人有标准化培训+师傅一对一带！（可接受小白）不收取任何费用岗位职责：1、受理客户主动通过网络平台主动申请（不用打骚扰电话）；2、了解和分析客户情况，制定相应方案解决客户资金问题；3、进行客户的邀约、谈判、签约，跟进后期手续办用客户脸色）。职位要求：1、口齿清晰，能说普通话2、沟通能力强、有亲和力，能够顺畅地与陌生人交谈3、具备较...,咨询服务,http://jobs.zhaopin.com/CCL1501617490J40728240701.htm,20-99人,2025-10-10 11:22:04
售后专员/双休,北京,泰康人寿保险有限责任公司北京西城支公司,大专,经验不限,,2-4万,在线了解客户情况，解答客户咨询问题；登记客户情况 了解客户对销售服务的满意度和建议；维护现有客户关系，确保客户满意度；为客户提供专业的咨询和服务。任职要求25-45，大专打底；具备良好的沟通技巧和人际交往能力；有责任心，工作积极主动，能够承受一定的工作压力；不限工作经验，公司将提供全面的培训支持。福利待遇8.30-5+周末双休+国家规定节假日+带薪年假；,保险,http://jobs.zhaopin.com/CC133110360J40715285206.htm,10000人以上,2025-09-12 09:51:05
售后服务总监（金融）,北京,河北源达信息技术股份有限公司,本科,5-10年,"投诉客服,VIP客服,售后客服",2-4万,岗位职责:1.根据公司的战略发展目标搭建和提升客户服务体系，制定客服部门的战略、制度和流程；2.分析和洞察业务面临的内外部环境的影响，及时评估策略合理性并进行有效的调整；3.牵头重要项目，跨部门协调，推进项目落地；打造具有一定投顾能力的客户服务体系及团队。4.负责策划提升客服服务业务能力的培训以及落实客服部门相应的绩效考核；5.负责安排处理客服部门日常运营中的一切突发事件，提高满意度，降低客户投诉...,证券/期货,http://jobs.zhaopin.com/CC237822710J40791302914.htm,1000-9999人,2025-08-14 13:17:15
续期售后服务经理,北京,泰康人寿保险有限责任公司北京朝阳永安里支公司,大专,1-3年,"售前客服,电话客服",2-4万·25薪,一、岗位要求1、善于沟通个性开朗，具有较强的事业心与团队合作精神2、爱好销售工作，有电话销售经验的优先3、无经验者可享受带薪培训4、年龄24～50岁，大专学历及以上（学信网能查到）二、工作内容 1-公司提供客户数据资源，线上邀约线下经营的模式，带客户参观医养社区，通过体验式营销促成签单。 2-贯彻执行总公司高客战略，根据总部战略并结合回访情况，开展落实工作。 3-负责公司现有客户的梳理与信息维护，...,保险,http://jobs.zhaopin.com/CCL1484165690J40764259005.htm,10000人以上,2025-04-10 11:12:04
售后助理/双休,北京,泰康人寿保险有限责任公司北京西城支公司,大专,经验不限,,2-4万,在线了解客户情况，解答客户咨询问题；登记客户情况 了解客户对销售服务的满意度和建议；维护现有客户关系，确保客户满意度；为客户提供专业的咨询和服务。任职要求25-45，大专打底；具备良好的沟通技巧和人际交往能力；有责任心，工作积极主动，能够承受一定的工作压力；不限工作经验，公司将提供全面的培训支持。福利待遇8.30-5+周末双休+国家规定节假日+带薪年假；,保险,http://jobs.zhaopin.com/CC133110360J40708775806.htm,10000人以上,2025-08-25 16:12:49
客服总监（金融/证券行业）,北京,河北源达信息技术股份有限公司,本科,5-10年,"投诉客服,VIP客服,售后客服",2-4万,岗位职责:1.根据公司的战略发展目标搭建和提升客户服务体系，制定客服部门的战略、制度和流程；2.分析和洞察业务面临的内外部环境的影响，及时评估策略合理性并进行有效的调整；3.牵头重要项目，跨部门协调，推进项目落地；打造具有一定投顾能力的客户服务体系及团队。4.负责策划提升客服服务业务能力的培训以及落实客服部门相应的绩效考核；5.负责安排处理客服部门日常运营中的一切突发事件，提高满意度，降低客户投诉...,证券/期货,http://jobs.zhaopin.com/CC237822710J40788972414.htm,1000-9999人,2025-08-08 19:16:58
客户服务经理,北京,中国平安人寿保险股份有限公司北京分公司(区域服务部),大专,1-3年,,3-4万,部门绩效2023年上半年中国北区第一，成员平均月收入4万+ 请您珍视彼此时间，把握机会岗位要求：1、年龄：35-49周岁 2、学历：大专（含）以上 3、有强烈的进取心、责任心，及较强的自律性 4、金融行业、退役军人、教师、医生、销售精英、公司白领等优先 福利待遇：1、包括训练津贴、岗位津贴、达成津贴、超额奖金、服务津贴、年终奖等收入。2、包括四项基本福利、养老公积金、基本养老补贴在内的多重福利。 ...,保险,http://jobs.zhaopin.com/CCL1469435970J40576637311.htm,1000-9999人,2024-07-23 17:29:43
