职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
运营副总,北京,康知声管理咨询(北京)有限公司,本科,5-10年,新媒体运营,5-10万,岗位内容：1. 制定和执行公司运营策略，实现业务增长和盈利目标2. 分析市场和用户需求，优化产品和服务的特性和差异性3. 挖掘和引入新的运营模式和流程，提高效率和降低成本4. 合理规划并管理预算，确保预算使用的高效5. 协调各部门和团队间的合作，保证工作流程的顺畅和高效任职要求：1. 具备7年以上互联网或相关行业运营管理经验2. 熟练掌握市场和流程管理的基本原则和理论3. 具有丰富的团队管理和协调...,咨询服务,http://jobs.zhaopin.com/CCL1485259560J40686887711.htm,20-99人,2025-10-16 12:01:31
招互联网医疗运营总监（中医院）,北京,杭州英才人力资源有限公司,本科,5-10年,"用户运营,门店运营,内容运营,医疗运营,电商",6-9万,互联网医疗运营总监5年以上经验，有从0-1的经验岗位职责：1.战略与体系搭建（0-1核心）2.用户增长与平台运营3.医疗健康服务运营4.数据驱动与商业化5.团队建设与管理任职要求：1.5年以上互联网医疗、数字健康、在线问诊平台或医药电商的运营管理经验2.拥有完整的从0-1搭建互联网医疗或健康服务运营体系的成功经验3.对中医养生、滋补健康或慢性病管理领域有深刻理解和浓厚兴趣者优先。核心能力：战略与商...,人力资源服务,http://jobs.zhaopin.com/CCL1467389770J40853324313.htm,20-99人,2026-01-04 16:10:59
业务中台负责人,北京,中科创达软件股份有限公司,学历不限,经验不限,toC,4.5-8万,"新事业群的中台负责人，主导产品,解决方案、组织、流程和激励标准化 负责套餐产品的成本测算、标准化细则制定 迭代与标准化管理规则。 优化业务管理流程、制定各环节的流程标准化。 激励标准化根据业务数据制定对应激励方案。 任职要求： 加分项： O2O家装行业经验丰富 产品,解决方案、组织、流程和激励任意方向经验丰富即可",计算机软件,http://jobs.zhaopin.com/CC285451210J40817661211.htm,1000-9999人,2025-12-29 09:57:23
NMN保健品总经理,北京,多弗国际控股集团有限公司,大专,5-10年,"电商运营,新媒体运营,产品运营,搜推产品,商业化产品,增长产品,toB,toC,NAD+,赛派诺,NMN,吉瑞维",6-8万,岗位职责：1. 制定NMN保健品的电商发展战略，聚焦主流电商平台（天猫、京东、抖音、小红书等），搭建精细化运营体系，包括店铺运营、流量获取（付费推广、内容营销、直播带货等）、转化优化及用户复购。2.拓展新兴电商渠道（如跨境电商、私域社群等），整合平台资源，争取流量倾斜与活动资源，提升品类线上渗透率。3.基于电商用户需求（如抗衰、健康保养等），优化NMN产品配方、包装及定价策略，打造符合线上消费场景...,投资/融资,http://jobs.zhaopin.com/CC497171630J40864150903.htm,10000人以上,2025-12-17 18:47:08
运营中心总经理,北京,上海汇智优才数字科技有限公司,本科,5-10年,门店运营,5-8万,职位描述1. 战略规划与决策：负责制定公司运营战略与年度运营计划，结合公司战略目标与市场动态，规划运营方向，明确各阶段运营重点，为公司运营发展提供方向指引和实际可落地的路径。根据公司战略调整运营策略，确保运营工作与公司整体战略保持一致。2. 团队管理与建设：组建、管理和领导运营团队，明确团队成员职责分工，建立有效的绩效考核机制，激励团队成员达成工作目标。定期组织团队培训与发展活动，提升团队整体业务...,计算机软件,http://jobs.zhaopin.com/CCL1499401390J40818872909.htm,20-99人,2025-12-12 11:01:46
运营总监,北京,杏林天赋(北京)人力资源服务有限公司,本科,5-10年,,6-8万,岗位内容：1. 制定和执行医疗机构运营策略，实现业务增长和盈利目标2. 分析市场和用户需求，优化产品和服务的特性和差异性3. 挖掘和引入新的运营模式和流程，提高效率和降低成本4. 合理规划并管理预算，确保预算使用的高效5. 协调各部门和团队间的合作，保证工作流程的顺畅和高效任职要求：1. 具备7年以上医疗行业运营管理经验2. 熟练掌握市场和流程管理的基本原则和理论3. 具有丰富的团队管理和协调能力...,人力资源服务,http://jobs.zhaopin.com/CCL1348729710J40812456109.htm,300-499人,2025-11-21 17:23:38
运营管理部总监（新能源）,北京,北京九州恒盛电力科技有限公司,本科,10年以上,,5-8万,1、负责公司运营管理体系的规划建设、制度编制和落地执行工作；2、统筹经营指标的制定、分解、下达并监督执行，统筹年度目标分解，责任书签署；3、对接战略规划部统筹经营指标的全流程管理，负责公司经营分析和经营风险管控；4、指导各业务单元的运营管理工作，负责集团经营难点会议的组织工作，协调集团高层资源解决公司级难点问题；5、负责集团技术经济会议的组织工作，统筹集团、子公司两级技经筹划机制，联动商务部门明确...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC321204030J40961453304.htm,500-999人,2025-10-24 17:51:58
旅游度假-品类运营负责人,北京,北京三快在线科技有限公司,本科,3-5年,,面议,美团酒店旅行业务涵盖酒店、民宿、机票、火车票、旅游度假、景点门票等各类住行游品类，通过与产业上下游的深度合作，为用户提供美好的旅游旅行体验。我们积极打造AI友好型组织，使用AI等新技术提升旅游服务的供需匹配效率，更好满足用户个性化、多样化的出游需求。我们持续深耕产业链，用数字化服务助力实体商家高质量经营，探索自有品牌等供给新模式，打造健康的商家生态，保障用户服务体验。为满足用户日益增长的跨境旅行需...,互联网,http://jobs.zhaopin.com/CC383625320J40747120709.htm,10000人以上,2026-01-11 08:43:50
平台运营SBU项目长,北京,中国旅游集团旅行服务有限公司,本科,5-10年,,5-7.5万,工作职责：直接管理公司平台运营部门，负责制定公司市场战略，落实用户增长、会员运营、渠道建设及运营、客户服务及海外版运营工作，实现平台日活跃用户（DAU）、会员数量增长及提升公司市场份额。1.市场与用户增长战略：制定平台整体市场战略、品牌定位及用户增长路径，确保与公司长期目标一致。监控行业动态及竞对策略，优化市场应对方案。2.会员运营：搭建会员运营体系，设计会员生命周期管理模型，提升会员留存及复购率...,旅游服务,http://jobs.zhaopin.com/CC120719410J40911463115.htm,500-999人,2025-12-20 09:47:21
副总经理/运营总监,北京,北京特倍福电子技术有限公司,硕士,10年以上,"toB,toG",5-7.5万·14薪,（一）经营管理统筹1.协助总经理制定公司中长期战略规划，聚焦公司核心业务，牵头拆解年度经营目标，制定营收、利润、市场份额等关键指标的落地路径，对整体经营业绩负责。2.统筹市场、销售、研发、生产等跨部门资源协同，优化经营流程，识别业务增长瓶颈，推动成本控制、效率提升及盈利能力改善，确保战略目标层层落地。3.跟踪行业政策、市场趋势及竞争对手动态，结合公司核心优势，提出产品布局、市场拓展、商业模式创新等...,仪器仪表制造,http://jobs.zhaopin.com/CC644918730J40741512706.htm,100-299人,2025-12-15 11:42:24
国内K12培训业务总监,北京,启德教育集团,本科,5-10年,"toC,销售运营,产品运营,K12,初中,高中",4-7万,岗位描述1. 根据公司战略，制定K12事业部年度/季度业务目标、销售策略与落地路径，对收入、利润、续费率、退费率等核心指标负责。2. 统筹全国/大区市场、咨询、教学、教务、校区五大模块，搭建标准化运营体系（SOP、质检、绩效、预算），实现复制扩张。3. 带领区域校长、销售总监、教学总监完成新开校区0→1爬坡及老校区1→N增长，确保校区月度、季度、年度业绩达成。4. 监控招生漏斗与转化数据，快速迭代...,咨询服务,http://jobs.zhaopin.com/CC184747420J40813044711.htm,1000-9999人,2025-12-12 00:10:03
医院渠道运营总监（50-80年薪）,北京,德百康复医疗中心,大专,3-5年,"toB,销售运营",4-7万,渠道运营总监（50-80年薪）诚招“50-80万年薪”级别的渠道运营高手，不限行业，不限专业，因为我们认为能力不受此限制，优秀的人在哪里都一样优秀，期待您的加入！【康复医疗产业前景】国务院于2016年印发并实施《“健康中国2030”规划纲要》，旨在推进健康中国建设，提高人民健康水平。随着社会经济的发展，使得医疗环境也持续得到改善，我国康复医院数量逐年递增，2021年我国康复医院数量增至810家，其...,医院,http://jobs.zhaopin.com/CCL1201227830J40538596811.htm,100-299人,2025-12-03 08:36:34
