职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
休闲有机农场运营主管/经理（昌平南庄营农场）,北京,北京天安农业发展有限公司,大专,1-3年,"活动运营,社群运营,销售运营",8-15万,岗位职责：1、主要负责休闲有机农场的整体规划与运营。2、负责农业体验项目的活动策划与组织。3、负责完成农场客户开发维护，销售任务分解及任务达成。4、公司宣传平台(微信等)创建与运营。5、与内外客户进行沟通、交流，全面了解客户的需求。6、参与市场调研及营销推广执行。7、负责维护公司品牌形象。8、完成上级领导交办的各项工作。要求：有休闲农场3年以上运营经验，有出色的运营成功案例。,快速消费品,http://jobs.zhaopin.com/CC152249620J40718051509.htm,300-499人,2026-01-08 09:00:00
内容策略运营Leader-Lemon8,北京,字节跳动,本科,3-5年,,8.6-14万,岗位职责：1、搭建Lemon 8的推荐问题发现体系，基于监控数据与画风快速识别分发结构和内容质量问题（如画风异常、相似内容密集、流量分配不均等），并结合用户洞察和数据分析进行论证与量化；2、与推荐产品及算法团队协作，完成从问题发现、定义、策略制定到效果验证与迭代优化的全流程；3、制定方向与目标，规划并优先化项目，推动跨部门合作与资源获取，确保优化策略落地并兼顾用户体验、业务增长和平台生态；4、深入...,互联网,http://jobs.zhaopin.com/CC469217510J40808586001.htm,10000人以上,2025-11-21 13:31:24
服务风险运营负责人,北京,北京三快在线科技有限公司,本科,5-10年,用户运营,面议,岗位职责:1.基于业务策略及未来趋势预判，制定服务策略，提供服务建议，不断提升用户体验、控制服务风险。2.制定清晰的服务规划及目标，控制体验、效率、风险、成本各项指标之间的平衡，保证投入产出的合理性并达成整体业务目标。3.洞察客户需求、行业趋势，诊断核心问题诊断，通过产品、流程、机制等确定解决方案，提升问题处理效率及人效。4.优化迭代服务运营及交付团队管理体系，保障团队战斗力。5.协调内外部资源以...,互联网,http://jobs.zhaopin.com/CC383625320J40812980209.htm,10000人以上,2025-11-24 11:45:12
游戏AI算法工程师（棋牌类策略方向）,北京,广州娱加数字文化传媒有限公司,本科,3-5年,"机器学习,强化学习 ,大模型算法,知识图谱,机器视觉,Python,SOLVER算法,游戏AI",4-6万,岗位职责：1. 负责棋牌类游戏（如扑克、麻将等）AI策略算法的研发与优化。2. 设计和实现基于强化学习的AI模型，完成策略训练、对抗评估与性能提升。3. 开发并优化Solver模型（如CFR、MCCFR等），支持实时决策与离线分析。4. 构建高质量的棋牌游戏模拟环境，支持算法训练与测试。5. 配合团队完成AI算法的落地部署，确保线上稳定运行与效果验证。 任职要求：1. 计算机、数学、人工智能等相关...,文化艺术/娱乐,http://jobs.zhaopin.com/CCL1406658260J40883101702.htm,100-299人,2026-01-05 00:20:20
高级软件项目经理-AI硬件,北京,字节跳动,本科,经验不限,,5-10万,岗位职责：1、承接软件项目与跨软件项目，组织团队准时交付，并达成质量标准；2、负责软件需求收集及分析、需求变更管理；3、组建项目团队，制定项目计划、协调各方面资源达成项目目标；4、负责软件项目全流程管理，包括项目规划、启动、执行、总结与维护；5、建立有效的沟通机制，保持与项目干系人的良好沟通，确保项目交付达成；6、根据项目推进情况负责业务各相关团队的协调，包括资源需求及人员调配；组织攻关项目中遇到...,互联网,http://jobs.zhaopin.com/CC469217510J40751245901.htm,10000人以上,2025-07-02 14:59:39
新媒体营销负责人—（智能图书、管幅30+）,北京,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585614.htm,10000人以上,2025-09-10 00:17:04
游戏研发vp,北京,游艺春秋网络科技（北京）有限公司,本科,10年以上,,4-6万,岗位职责：1、负责游戏研发团队的项目管理工作，对项目的组织结构，权责分工进行持续的诊断和改进，提升工作室群项目管理水平；2、梳理、沉淀游戏研发业务流程，对游戏项目进度、质量、流程进行整体管控，提升项目组研发效率和流程意识；3、理解、分析游戏研发过程中遇到的问题，进行原因分析，最终沉淀为解决方案，协同相关方推进解决:4、领导团队，协调跨部门合作，有效沟通，提升团队整体执行力；5、根据项目实际问题，持...,游戏,http://jobs.zhaopin.com/CC154950910J40701211106.htm,100-299人,2025-08-04 13:44:15
生态治理策略运营经理-Lemon8,北京,字节跳动,本科,3-5年,,4-8万,岗位职责：1、负责Lemon8内容生态治理策略体系建设，协同相关团队落地问题发现、定义、识别、处置、沟通的治理流程机制，如：营销号等风险问题；2、负责内容治理相关的处置策略、沟通方案的设计，以内容理解为基础，深入消费数据分析，设计内容处置策略并持续迭代更新；3、负责维持内容健康，以内容理解为基础，深入消费数据分析，设计内容处置策略并持续迭代更新；4、规划业务方向和目标，产出具有长期价值的优化思路，...,互联网,http://jobs.zhaopin.com/CC469217510J40815984101.htm,10000人以上,2025-12-22 14:58:50
新媒体营销负责人—（智能图书、管幅30+）,北京,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585414.htm,10000人以上,2025-09-10 00:05:21
流程专家（流程与数字化体系-流程管理部）,北京,湖北智通人才服务有限公司,本科,5-10年,,4-6万·15薪,工作职责1、负责对公司业务部门及职能部门的流程进行管理和指导；2、建立并持续完善流程建设及优化体系；3、指导流程Owner统筹建设对应领域流程管理体系；4、主导流程管理制度、方法、工具等建设，并负责流程赋能；5、完善现有业务流程管理制度，建立流程监控、报告机制。定期开展流程检视工作，监控流程体系运行，监督流程优化，提高流程效率；6、负责跨多个部门的流程体系建设和优化，做好过程监控和跟踪，确保有序推...,人力资源服务,http://jobs.zhaopin.com/CCL1281352430J40827087608.htm,1000-9999人,2025-07-28 15:53:02
数据运营Leader（代码方向）-大模型数据服务中心,北京,字节跳动,本科,5-10年,,4-8万,岗位职责：1、基于公司战略需要，承接产品研发AI专项，进行LLM模型训练数据构建、模型迭代效果评估、行业应用调研，以及安全合规保障等任务，与上游产品技术通力合作，共同推进业务目标达成；2、持续关注大模型行业前沿，包括但不限于ChatGPT、大语言模型、AIGC等，及时了解行业最新技术，对数据标注、模型训练、模型评估等工作方式持续更新赋能；3、对队列数据生产交付的重要环节负责，包括但不限于需求分析、...,互联网,http://jobs.zhaopin.com/CC469217510J40786082801.htm,10000人以上,2025-10-28 14:03:57
运营工程师,北京,科益虹源,本科,1-3年,"项目信息管理,项目计划监控,项目运作协助",2.5-5万,1、运营支撑：① 结合半导体行业技术迭代趋势与市场竞争格局，支撑组织制定公司中长期运营战略，牵头优化业务流程与组织架构，推动运营效率与市场竞争力双提升。② 深度参与经营决策，负责运营成本管控、利润目标拆解，推动营收与利润率双向增长。③ 建立规范、高效的运营管理体系，支撑组织战略分解到重点工作导出，以及战略执行落地。④ 定期输出运营管理报告，并通过持续改进，不断提高公司整体运营效率；对工作质量及目标...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC424343330J40761643007.htm,300-499人,2025-12-09 11:05:49
运营经理/轻松办公/一单1万,北京,北京优仙化妆品有限公司,大专,1-3年,"toB,学习能力强,销售运营",2.5-5万,薪资范围:30000-50000/月职位底薪:8000/月提成方式:按回款提成、当天发放奖金补贴:餐补、房补、交通补助、话补、加班费、年终奖工作内容:1:通过电销+网销 抖音推广 、快手等线上沟通全国各地美容院、 养生馆等等，我们公司有一项技术和仪器。刚研发出来， 目前没有竞争力， 可以不动刀不打针解决眼部衰老，我们以这个为卖点给美容院商家拓客， 促成合作。2.公司工作氛围轻松，不会要求你的通话时...,人力资源服务,http://jobs.zhaopin.com/CCL1242392210J40862402908.htm,1000-9999人,2025-10-20 00:22:42
AI专项模型运营Leader-大模型数据服务中心,北京,字节跳动,本科,5-10年,,4-8万,岗位职责：1、基于公司战略需要，承接产品研发AI专项，进行LLM模型训练数据样本集标注、模型迭代效果评估、行业应用调研，以及安全合规保障等任务，与上游产品技术通力合作，共同推进业务目标达成；2、持续关注AI行业，包括但不限于Chat-GPT、大语言模型、AIGC等，及时了解行业最新技术，对数据标注、模型训练、模型评估等工作方式持续更新赋能；3、对队列交付中的重要环节负责，包括但不限于需求分析、承接...,互联网,http://jobs.zhaopin.com/CC469217510J40724987601.htm,10000人以上,2025-10-28 13:46:17
医美科室运营/产品运营,北京,北京艺星医疗美容医院有限公司,大专,3-5年,"市场营销,运营管理,产品运营,推广运营,商家运营",2.5-5万,1、根据公司产品战略、对市场需求、竞争现状，制定产品发展规划；2、收集并分析市场与竞争对手，研究消费群体潜在动机，研究产品差异化定位；3、对产品推广、产品市场定价提出建设性方案；4、主导新产品开发项目，根据产品计划，及时有效的进行新产品开发项目管理，并跟进执行产品包装打造、线上线下推广、物料制作、对内培训等；5、制作产品上市计划，品牌宣传资料，整理卖点，追踪销售状态，并及时改进产品包装策略；6、定...,卫生服务,http://jobs.zhaopin.com/CC573654020J40236546506.htm,100-299人,2025-09-30 18:58:21
