职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级硬件工程师(J10406),北京,中国大恒(集团)有限公司北京图像视觉技术分公司,硕士,5-10年,,20-25万,工作职责1.负责工业相机和图像板卡中硬件总体方案的设计；主导关键器件选型、模块分解，各模块指标的控制。2.协同结构工程师，进行整机热、EMC的设计。3.进行连接器、线缆、PCB等元件的建模、仿真，确定设计参数。4.对SerDes器件的参数调优，确定理论的最佳范围，并在多码型、高低温环境条件下，满足电气一致性、误码率指标。5.指导PCB工程师完成单板设计，审核PCB设计。6.返修故障器件失效分析；客...,计算机硬件,http://jobs.zhaopin.com/CC120188730J40795193012.htm,500-999人,2025-07-15 10:18:55
电气工程师（高压）,北京,北京科锐集团股份有限公司,本科,5-10年,"电气设计,电力电气,Eplan,SolidWorks",10-20万·13薪,岗位职责：1、负责成套产品电气一次（一次方案、结构、主要元器件采购规范、检验文件、工艺文件的编写等）设计；2、参与工程方案设计、工程设计图审核、工程的技术交底工作；3、提供技术支持（解决现场技术问题及处理相关的电气故障）；4、编制产品（项目）电气元件物料BOM、编制采购清单；5、负责解决生产过程中的技术问题。任职要求：1、 电气工程类、自动化、机电一体化等相关专业，本科及以上学历；同行业5年以上工...,电气机械/电力设备,http://jobs.zhaopin.com/CC130044360J40411730312.htm,1000-9999人,2025-08-07 08:45:29
高级硬件工程师,北京,北京中科腾越科技发展有限公司,硕士,5-10年,"硬件开发,原理图设计,电路设计,PCB设计,器件选型",7-10万,工作内容： 基于x86/powerpc/arm的核心板卡的开发； A/D、D/A采集板卡的开发； 各种计算机外围接口板卡（如串口卡、以太网卡、CAN卡等）的开发； 专业要求： 硕士学历。电子、计算机、通信、自动化或者相关专业 岗位技能要求： 全面的模拟、数字（高速）电路设计知识，深厚的电路分析和调试经验，丰富的元器件知识； 6年以上硬件研发经历； 有多款基于x86架构主板的研发经验（作为主要设计人...,通信/网络设备,http://jobs.zhaopin.com/CC207292611J00159746709.htm,20-99人,2025-12-03 00:02:01
电子信息产业投资基金投资总监,北京,北京中关村资本基金管理有限公司,硕士,5-10年,"并购投资,风险投资,战略投资,CFA特许金融分析师,CPA中国注册会计师",5-10万,一、岗位名称及人数电子信息产业投资基金投资总监1-2名二、岗位职责1、负责制定投资策略、设计投资方案；负责对集成电路、机器人及人工智能等领域开展行业研究、项目开拓、项目投资，挖掘及储备相关领域优质项目；2、负责尽职调查、财务估值及回报分析、合同谈判、交易实施、投后管理、投资退出等工作;3、管理部门业务团队；4、推动部门业务发展;完成公司领导交办的其他工作任务。三、任职资格条件1、10年以上工作经验...,投资/融资,http://jobs.zhaopin.com/CCL1290234170J40748688610.htm,100-299人,2025-05-19 17:05:19
硬件系统工程师,北京,大连良机予人管理咨询有限公司,本科,3-5年,,5-8万,工作职责1、电机驱动算法开发与调试：负责电机控制算法的设计、仿真与落地验证，完成基于FOC算法驱动系统的嵌入式软件开发、优化与测试，解决调试过程中遇到的问题，提升控制精度；2、参与机器人关节电机硬件系统设计：参与驱动电路的方案评审、元器件选型及验证；参与关节电机的方案评审与设计；参与搭建硬件系统框架并完善落地。任职要求1、本科及以上学历，电子工程、电力电子、自动化、机械电子等相关专业，对电机驱动控...,咨询服务,http://jobs.zhaopin.com/CC490242920J40896138902.htm,100-299人,2026-01-09 14:10:02
营销副总（消费电子）,北京,博奥生物,学历不限,10年以上,"销售管理,市场管理,上市企业,大客户资源,渠道资源",5-8万,一、岗位职责1、制定公司健康类消费电子产品的整体营销战略与年度计划，明确目标市场、核心卖点及推广方向，推动达成营收与市场份额目标。2、领导产品上市全流程，为每一款新产品制定具有影响力的上市策略，确保成功发布并达成销售目标。3、深度理解产品技术与健康价值，并将其转化为对用户有吸引力的核心信息和沟通策略。策划品牌传播提升产品知名度与消费者信任度。统筹线上线下营销渠道（电商平台、线下门店、合作机构等）的...,医药制造,http://jobs.zhaopin.com/CC152131120J40863717903.htm,1000-9999人,2025-12-15 13:22:28
电气经理,北京,美巢集团股份公司,本科,5-10年,"西门子,ABB,发那科,控制柜,控制器,安装/调试,维修/保养,设计",4-7万,岗位职责:1、负责组织电气技术人员确保公司车间自动化生产线设备正常稳定运行，及时解决生产过程中出现的各种电气故障，确保生产系统稳定运行。2、完善电气设备及其控制系统的日常维保计划，做好生产系统中现场电气设备的日常维护、保养和管理。3、指导现场操作员进行合理操作，完善操作规程，排查生产系统的电气安全隐患，负责组织做好车间内电气事故的预防工作，制定重大事故抢修应急预案。4、根据公司计量管理规定，维护公...,建材,http://jobs.zhaopin.com/CC120230250J40653776106.htm,500-999人,2025-09-15 13:11:59
硬件工程师,北京,大连良机予人管理咨询有限公司,本科,5-10年,,4-8万,岗位职责：1、负责拉通各领域XR产品摄像头需求分析评估，将产品需求及不同领域技术需求转化为供应商的设计输入；2、负责看护摄像头总体设计方案，关键器件选型及评估，对整体设计重点、难点技术以及成本进行把关；3、负责XR产品项目各阶段出现的摄像头器件相关技术、品质异常处理，主导硬件方面疑难技术问题的解决；4、负责拉通算法、供应商、产线，制定摄像头（供应商/整机产线）管控标准；5、负责收集行业前沿技术信息...,咨询服务,http://jobs.zhaopin.com/CC490242920J40896137102.htm,100-299人,2026-01-09 14:09:49
电力电子制造业管理处经理,北京,特变电工,硕士,5-10年,,4-7万,岗位职责:1.组织新能源电力电子制造业（以下简称“新能源制造业”）单位，搜集分析产业在国家、行业、市场、竞争对手等层面的情报信息，组织公司相关经营单位制定光伏逆变器产品规划、技术规划并推进落实。2.推进“集成产品研发”（IPD）体系在新能源制造业的落地和持续提升；协助建立和完善质量管理体系、精益管理体系和数字化工艺体系。3.指导和帮助新能源制造业高效解决产品的技术问题、质量问题；对各类相关的研发、...,电气机械/电力设备,http://jobs.zhaopin.com/CC120393540J40715375509.htm,10000人以上,2025-03-27 11:09:25
高级电源研发工程师（中大功率电源研发，五年以上经验）,北京,北京宏光星宇科技发展有限公司,本科,5-10年,"电路设计,硬件开发,PCB设计,电源系统开发,嵌入式软件开发,单片机,电源,逆变器,控制器",3.5-7万,职位描述 岗位职责 1. 负责中、大功率电源系统的开发，对电源系统方案进行可行性分析，做方案设计、原理图设计、PCB设计、电路设计、硬件参数计算等，主导样机的调试，设计的更新优化，参与研发测试报告的编制； 2. 参与大功率电源系统方案技术路线的规划与评审，并整理系统方案中硬件电路详细设计； 3. 指导测试工程师进行产品的调试； 4. 解决产品研发过程中出现的问题； 5. 对所负责研发项目的计划、成...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC205081420J40488179909.htm,100-299人,2025-03-01 11:13:32
