职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
电气工程师（高压）,北京,北京科锐集团股份有限公司,本科,5-10年,"电气设计,电力电气,Eplan,SolidWorks",10-20万·13薪,岗位职责：1、负责成套产品电气一次（一次方案、结构、主要元器件采购规范、检验文件、工艺文件的编写等）设计；2、参与工程方案设计、工程设计图审核、工程的技术交底工作；3、提供技术支持（解决现场技术问题及处理相关的电气故障）；4、编制产品（项目）电气元件物料BOM、编制采购清单；5、负责解决生产过程中的技术问题。任职要求：1、 电气工程类、自动化、机电一体化等相关专业，本科及以上学历；同行业5年以上工...,电气机械/电力设备,http://jobs.zhaopin.com/CC130044360J40411730312.htm,1000-9999人,2025-08-07 08:45:29
机电安装技术负责人,北京,北京智恒通联信息科技有限公司,学历不限,10年以上,,5-8万,2项业绩在四库显示B级以上业绩需求市区以上薪资需求面谈 自有公司非中介，中介勿扰,IT服务,http://jobs.zhaopin.com/CC257668380J40969436104.htm,100-299人,2025-11-26 15:02:25
精密运动控制专家(J14835),北京,北方华创,硕士,10年以上,机械设备,5-8万·16薪,岗位职责:1、负责复杂环境下实时控制系统的架构设计、控制策略和控制算法开发，负责系统实时性、稳定性和鲁棒性等关键指标的达成及产品中的软硬件功能落地；2、设计、开发和维护运动控制器软件及相关应用程序；3、负责高精密自动化控制系统的设计和开发，负责机台控制策略、流程和算法开发，实现机台状态的管理和自动转换；4、负责控制系统的调试，分析解决调试中遇到的问题；5、负责控制系统的优化，进行系统辨识、性能分析...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC135196350J40837889212.htm,1000-9999人,2025-10-11 13:51:14
资深控制工程师,北京,北京宏韬管理咨询有限公司,硕士,10年以上,"设计,研发,算法,控制策略设计,硬件研发,软件研发,DSP,ARM,FPGA",4-7万,工作职责：1、负责产品控制系统方案设计、硬件原理图设计、PCB设计； 2、负责底层驱动软件设计，包含DSP、ARM、FPGA底层软件、部分应用软件等； 3、负责产品控制系统硬件平台设计； 4、负责产品控制系统硬件全生命周期的关键技术性工作； 5、负责对客户需求进行技术把关，疑难问题解决；任职资格：1、硕士及以上学历，控制理论、控制工程等相关专业；2、5年以上电气、电子类工作经验，其中包含3年以上嵌...,咨询服务,http://jobs.zhaopin.com/CC325506180J40769221902.htm,500-999人,2025-10-17 11:20:15
电气经理,北京,美巢集团股份公司,本科,5-10年,"西门子,ABB,发那科,控制柜,控制器,安装/调试,维修/保养,设计",4-7万,岗位职责:1、负责组织电气技术人员确保公司车间自动化生产线设备正常稳定运行，及时解决生产过程中出现的各种电气故障，确保生产系统稳定运行。2、完善电气设备及其控制系统的日常维保计划，做好生产系统中现场电气设备的日常维护、保养和管理。3、指导现场操作员进行合理操作，完善操作规程，排查生产系统的电气安全隐患，负责组织做好车间内电气事故的预防工作，制定重大事故抢修应急预案。4、根据公司计量管理规定，维护公...,建材,http://jobs.zhaopin.com/CC120230250J40653776106.htm,500-999人,2025-09-15 13:11:59
电子工程师（高级）(A111336),北京,光科芯图(北京)科技有限公司,本科,5-10年,"设计,电子硬件,综合设备,PCB设计",4-6万,职位描述： 1、负责整机（光机电综合系统）电子学系统的方案设计、具体实施，测试平台的设计，参与整机的装调测试； 2、负责子系统功能模块的实现，设计硬件电路的原理图和PCB，调试电路，后期测试工作，配合系统联调，性能优化及改进； 3、设计硬件的功能、性能、稳定性、可靠性等测试方案并实施； 4、编制相关技术文档及知识产权输出等； 5、参与研发方案讨论，解决研发过程中遇到的各种难题； 6、公司其他电子相...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1419461850J40741637905.htm,20-99人,2026-01-11 00:34:20
卫星电总体设计师,北京,哈尔滨工大卫星技术有限公司,硕士,3-5年,,3-6万·14薪,岗位职责：1.负责卫星电气总体论证与设计；2.负责卫星各系统电气接口设计及匹配性把控；3.负责卫星电缆网接点关系设计及研制抓总；4.负责卫星供电大图、接地大图设计与绘制抓总；5.负责卫星测试大纲编制及测试现场指挥；6.负责卫星空间环境、可靠性、元器件设计及质量保证抓总；7.负责卫星电气相关先进技术研究抓总。任职要求：1.办公软件/工具：掌握测试系统使用、运用电路设计工具；2.专业技能：（1）掌握电...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1302997450J40832196105.htm,100-299人,2025-12-11 11:01:25
卫星综合电子负责人,北京,南方新华,本科,5-10年,"卫星综合电子系统总体、卫星、星载,星务、卫星电子系统、航天宇航,飞行器、遥感卫星、星载计算机",4-6万·14薪,岗位职责：1、负责卫星综合电子系统总体方案论证与技术协调，确保系统设计满足任务需求。2、主导星载计算机模块软硬件总体方案设计和研发。任职要求：1、电子信息、控制工程等相关专业本科及以上学历。2、具备丰富的嵌入式系统软硬件设计开发经验。3、具备研发副总监及以上任职经历。4、熟悉卫星电子系统产品，具有航天行业相关工作经验者优先。5、具备良好的跨部门沟通和团队协调能力，能够有效推动项目进展。,人力资源服务,http://jobs.zhaopin.com/CC346219280J40807419111.htm,100-299人,2025-11-21 11:02:51
电气设计总工 数据中心,北京,北京长空建设有限公司,本科,10年以上,"变压器,配电柜",3-6万,一、岗位职责1、技术规划与设计：基于数据中心 Tier 等级标准及 Uptime Institute 认证要求，主导电气系统全流程设计，包括高压配电、UPS、柴油发电机组等核心系统，确保设计符合 GB 50174 等国家标准。2、节能与创新：研究 PUE、WUE 等能效指标，推动模块化电源、智能配电等节能技术应用，探索新能源、储能及液冷配电方案，降低运营成本，提升数据中心竞争力。3、项目管理与协调...,云计算/大数据,http://jobs.zhaopin.com/CC424780280J40776149612.htm,100-299人,2025-11-18 13:01:41
卫星电总体设计师,北京,哈尔滨工大卫星技术有限公司,硕士,5-10年,,3-6万·15薪,1.负责卫星电气总体论证与设计；2.负责卫星各系统电气接口设计及匹配性把控；3.负责卫星电缆网接点关系设计及研制抓总；4.负责卫星供电大图、接地大图设计与绘制抓总；5.负责卫星测试大纲编制及测试现场指挥；6.负责卫星空间环境、可靠性、元器件设计及质量保证抓总；7.负责卫星电气相关先进技术研究抓总。,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1302997450J40832055405.htm,100-299人,2025-12-10 16:16:08
