职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级硬件工程师(J10406),北京,中国大恒(集团)有限公司北京图像视觉技术分公司,硕士,5-10年,,20-25万,工作职责1.负责工业相机和图像板卡中硬件总体方案的设计；主导关键器件选型、模块分解，各模块指标的控制。2.协同结构工程师，进行整机热、EMC的设计。3.进行连接器、线缆、PCB等元件的建模、仿真，确定设计参数。4.对SerDes器件的参数调优，确定理论的最佳范围，并在多码型、高低温环境条件下，满足电气一致性、误码率指标。5.指导PCB工程师完成单板设计，审核PCB设计。6.返修故障器件失效分析；客...,计算机硬件,http://jobs.zhaopin.com/CC120188730J40795193012.htm,500-999人,2025-07-15 10:18:55
高级硬件工程师,北京,北京中科腾越科技发展有限公司,硕士,5-10年,"硬件开发,原理图设计,电路设计,PCB设计,器件选型",7-10万,工作内容： 基于x86/powerpc/arm的核心板卡的开发； A/D、D/A采集板卡的开发； 各种计算机外围接口板卡（如串口卡、以太网卡、CAN卡等）的开发； 专业要求： 硕士学历。电子、计算机、通信、自动化或者相关专业 岗位技能要求： 全面的模拟、数字（高速）电路设计知识，深厚的电路分析和调试经验，丰富的元器件知识； 6年以上硬件研发经历； 有多款基于x86架构主板的研发经验（作为主要设计人...,通信/网络设备,http://jobs.zhaopin.com/CC207292611J00159746709.htm,20-99人,2025-12-03 00:02:01
高级软件项目经理-AI硬件,北京,字节跳动,本科,经验不限,,5-10万,岗位职责：1、承接软件项目与跨软件项目，组织团队准时交付，并达成质量标准；2、负责软件需求收集及分析、需求变更管理；3、组建项目团队，制定项目计划、协调各方面资源达成项目目标；4、负责软件项目全流程管理，包括项目规划、启动、执行、总结与维护；5、建立有效的沟通机制，保持与项目干系人的良好沟通，确保项目交付达成；6、根据项目推进情况负责业务各相关团队的协调，包括资源需求及人员调配；组织攻关项目中遇到...,互联网,http://jobs.zhaopin.com/CC469217510J40751245901.htm,10000人以上,2025-07-02 14:59:39
硬件系统工程师,北京,大连良机予人管理咨询有限公司,本科,3-5年,,5-8万,工作职责1、电机驱动算法开发与调试：负责电机控制算法的设计、仿真与落地验证，完成基于FOC算法驱动系统的嵌入式软件开发、优化与测试，解决调试过程中遇到的问题，提升控制精度；2、参与机器人关节电机硬件系统设计：参与驱动电路的方案评审、元器件选型及验证；参与关节电机的方案评审与设计；参与搭建硬件系统框架并完善落地。任职要求1、本科及以上学历，电子工程、电力电子、自动化、机械电子等相关专业，对电机驱动控...,咨询服务,http://jobs.zhaopin.com/CC490242920J40896138902.htm,100-299人,2026-01-09 14:10:02
交付副总经理（IDC 硬件维保）,北京,北京仁科信息技术有限公司,本科,10年以上,"IDC/机房运维,服务器运维,桌面运维,IDC 维保,机房硬件维保,交付维保服务",4-8万,岗位职责：1、负责交付中心全业务的战略规划及把控，包括轻量化业务（桌面与周边业务）、IDC数据中心、ITO驻场、云与软件等全业务交付场景的规划、实施、监控和改善。2、交付团队体系化建设和管理，交付能力、规范专业化建设，赋能和指导交付团队提升项目交付质量，提高用户满意度，用完善的交付体系支撑项目高效能的交付。3、项目上线全过程管理，负责项目交付进度、成本、范围、资源的总体把控，监督项目交付过程，确保...,IT服务,http://jobs.zhaopin.com/CC548097530J40638456901.htm,100-299人,2025-09-08 20:30:58
高速模拟硬件工程师,北京,北京康森普特科技有限公司,硕士,5-10年,"滤波器,放大器",4-8万·14薪,"1. 参与高速光芯片Spec定义等工作，参与芯片测试,成品测试,客户支持等工作；2. 负责光芯片测试板，光芯片驱动板(激光器驱动器、Tia、LA、CDR、ADDA、Serdes、TOSA、ROSA等)设计；3、负责硬件详细方案、器件选型、单板原理图设计，指导 PCB 设计，单板及系统调试，完成规定的技术文档；4. 指导版图工程师进行高速版图设计；",电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1504708400J40927358704.htm,20-99人,2025-07-01 18:14:44
硬件工程师,北京,大连良机予人管理咨询有限公司,本科,5-10年,,4-8万,岗位职责：1、负责拉通各领域XR产品摄像头需求分析评估，将产品需求及不同领域技术需求转化为供应商的设计输入；2、负责看护摄像头总体设计方案，关键器件选型及评估，对整体设计重点、难点技术以及成本进行把关；3、负责XR产品项目各阶段出现的摄像头器件相关技术、品质异常处理，主导硬件方面疑难技术问题的解决；4、负责拉通算法、供应商、产线，制定摄像头（供应商/整机产线）管控标准；5、负责收集行业前沿技术信息...,咨询服务,http://jobs.zhaopin.com/CC490242920J40896137102.htm,100-299人,2026-01-09 14:09:49
Keeta-测试Leader(履约方向)-北京,北京,北京三快在线科技有限公司,本科,5-10年,,面议,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40780812609.htm,10000人以上,2026-01-11 08:39:13
电子工程师（高级）(A111336),北京,光科芯图(北京)科技有限公司,本科,5-10年,"设计,电子硬件,综合设备,PCB设计",4-6万,职位描述： 1、负责整机（光机电综合系统）电子学系统的方案设计、具体实施，测试平台的设计，参与整机的装调测试； 2、负责子系统功能模块的实现，设计硬件电路的原理图和PCB，调试电路，后期测试工作，配合系统联调，性能优化及改进； 3、设计硬件的功能、性能、稳定性、可靠性等测试方案并实施； 4、编制相关技术文档及知识产权输出等； 5、参与研发方案讨论，解决研发过程中遇到的各种难题； 6、公司其他电子相...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1419461850J40741637905.htm,20-99人,2026-01-11 00:34:20
嵌入式硬件工程师,北京,北京品驰医疗设备股份有限公司,博士,3-5年,"单片机,DSP",3-6万·16薪,岗位职责：1、硬件的系统和模块级方案设计和调试，包括元件选型和原理图绘制；2、关键技术和新技术的攻坚突破，包括技术调研、可行性分析及落地，编写技术报告；3、竞品分析，包括专利、文献等信息搜集和分析，用于产品和技术路线制定；3、与其他不同职能同事协作，完成新产品定义、设计、调试和量产跟踪；4、参与项目管理或作为项目负责人，进行不同职能任务的总体协调和跟踪；5、已有产品的技术支持、协调，相关技术文档编...,医疗设备/器械,http://jobs.zhaopin.com/CC185072820J40784698616.htm,300-499人,2025-12-31 14:25:15
卫星测试指挥,北京,哈尔滨工大卫星技术有限公司,硕士,5-10年,"硬件测试,通信测试,软件测试",3-6万·15薪,1.规划卫星系统测试，组织完成卫星不同阶段测试任务，主要包括整星AIT阶段测试、大型环境试验、地面站对接、发射场测试、飞控任务等；2.负责自动化测试软件用户需求、技术要求等文件编写；3.将测试工作前移，对总体设计、需求问题进行评审；4.与项目组沟通，审核项目提取的测试点、测试范围、测试程度的准确性；5.有效预估产品风险并协助开发尽量规避；6.参与需求、设计评审，提出有效产品意见；,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1302997450J40832167405.htm,100-299人,2025-12-11 10:11:28
综合测试总体工程师-主任设计师级,北京,北京蓝箭鸿擎科技有限公司,硕士,5-10年,"硬件测试,系统测试",3-6万·17薪,职位描述1、负责设计和组织航天器各阶段电测试、验证航天器电气性能交付；2、参与航天器总体论证，组建地面自动化测试系统；3、负责大系统联试、与发射场、运载火箭的总体协调。职位要求1、硕士及以上学历，飞行器设计、电气、通信、电子信息工程、自动化、计算机技术专业；2、具有5年以上航天器电测试经验，可独立开展航天器电测试设计；3、熟悉航天器电测试的要求和方法，熟悉航天器研制流程。,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1491166830J40827010614.htm,100-299人,2025-12-02 17:13:37
智能驾驶实车测试（行车、大里程泛化、主动安全）,北京,科锐尔人力资源服务(苏州)有限公司,本科,3-5年,"功能测试,自动化测试,车载测试,Python,C++,JIRA,CANoe",3-6万·15薪,"实车测试工程师-行车""工作职责1.负责智能驾驶产品实车路测，根据需求对系统进行调试及软件版本刷写；2.负责根据系统或产品的功能需求制定实车测试计划，完成实车测试任务；保证团队遵循项目进度，质量要求，项目计划，缺陷管理规范等；3.负责根据系统或产品的功能需求完成测试计划的制定，测试方案的编写，测试用例的设计；4.负责对系统或产品进行相关车辆测试，执行测试用例，输出测试指标，撰写测试报告；5.负责定期...",咨询服务,http://jobs.zhaopin.com/CC453635220J40858587103.htm,1000-9999人,2025-11-24 17:52:17
硬件系统总监/专家（电力自动化方向）,北京,北京四方继保自动化股份有限公司,硕士,10年以上,"固态变压器,变电站,储能变流器",4-6万·15薪,工作职责：1. 战略与规划：承接公司战略，主导电力自动化核心产品（如继电保护装置、固态变压器SST、储能变流器PCS、站级通信装置等）的硬件系统规划，制定短中长期技术路线图，结合电网升级、数据中心供电等行业趋势推动产品迭代与创新。2. 系统架构设计：负责整机硬件系统架构的顶层设计与方案评审，涵盖模块化多CPU硬件架构、功率拓扑（如相关高压拓扑）、通信接口等核心模块，可主导从0到1搭建全新硬件系统，...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC000599020J40804560107.htm,1000-9999人,2025-11-24 16:02:20
卫星综合电子负责人,北京,南方新华,本科,5-10年,"卫星综合电子系统总体、卫星、星载,星务、卫星电子系统、航天宇航,飞行器、遥感卫星、星载计算机",4-6万·14薪,岗位职责：1、负责卫星综合电子系统总体方案论证与技术协调，确保系统设计满足任务需求。2、主导星载计算机模块软硬件总体方案设计和研发。任职要求：1、电子信息、控制工程等相关专业本科及以上学历。2、具备丰富的嵌入式系统软硬件设计开发经验。3、具备研发副总监及以上任职经历。4、熟悉卫星电子系统产品，具有航天行业相关工作经验者优先。5、具备良好的跨部门沟通和团队协调能力，能够有效推动项目进展。,人力资源服务,http://jobs.zhaopin.com/CC346219280J40807419111.htm,100-299人,2025-11-21 11:02:51
硬件研发经理/总监,北京,北京特倍福电子技术有限公司,硕士,10年以上,"单片机,ARM处理器,DSP",4-6万,"1.参与产品需求分析，负责公司相关产品总体设计，领导研发完成电子系统的设计与开发；2.负责电路原理图设计、熟悉PCB布局布线，以及电子元器件的选型与评估；3.提供HLD设计纲要，指导编写ARM,STM32等嵌入式软件代码，并跟进研发问题的主导和解决。4.主导研发完成样品的试制，评估和验证，与机械、测试等其他工程师紧密合作，进行EMC、安规、可靠性验证等，确保产品整体性能达到预期目标；5.跟踪行业动...",仪器仪表制造,http://jobs.zhaopin.com/CC644918730J40733817906.htm,100-299人,2025-11-15 14:58:37
高级硬件工程师,北京,北京盛衡星科技发展有限公司,本科,经验不限,,3-6万,画像：1、电路设计及调测 高级；2、嵌软设计及调测 中级；3、设备整机联调能力 高级； 3、产品定义能力 高级；4、项目管理能力 中级关键词：1、硬件架构， 电路设计， 模拟电路， 数字电路， PCB设计， 硬件调试， 系统联调2、嵌入式系统， ARM/MCU， 传感器接口， 信号完整性3、产品定义， 需求分析， 技术可行性评估精密仪器， 分析仪器， 光谱探测， 水质监测， 工业设备， 传感器4、...,互联网,http://jobs.zhaopin.com/CC877847790J40808645807.htm,20人以下,2025-11-12 14:41:49
