职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
java架构师（有银行项目经验）,成都,讯升(上海)人力资源有限公司成都分公司,本科,经验不限,"Java,Spring,Docker,Oracle,微服务架构,英语满足工作所需",2.5-5万·16薪,"工作职责：-Design highly scaleable, extensible, secured and high performance banking system. -Lead team to implement microservices-based applications using technologies such as Spring Boot, Spring Cloud, a...",人力资源服务,http://jobs.zhaopin.com/CC458609180J40817022701.htm,100-299人,2025-12-26 15:17:32
软件设计岗,成都,中国航空工业集团公司雷华电子技术研究所,硕士,3-5年,,面议,岗位要求： 3年以上电子战/导引头行业经验，熟悉电子战/导引头系统知识和原理。 具有电子战/导引头行业软件开发经验，熟练掌握C/C++语言，具备独立开展相关项目软件开发的能力。 熟悉科研和质量控制流程。熟悉科研和质量控制流程。具备一定外语水平，看懂专业外文文献。 岗位职责： 1、根据软件需求分析、软件设计规范，负责完成软件设计。根据编码规范，负责完成软件代码编写与调试。根据软件测试要求，指导软件单...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC516740720J40956286704.htm,1000-9999人,2025-09-30 09:44:41
中高级java工程师,成都,大瀚人力资源集团,本科,5-10年,,2.5-5万,"（base深圳宝安区）岗位职表：1,负表仓储机器人业务端研发工作，能够快速响应产品业务需求，对于系统设计方案有自己的思考，能够提出适合的解决方案:2.能够主导完成复杂需求分析及系统设计工作，协同相关团队高质量交付业务功能，确保产品具有优秀的用户体验;3.参与平台架构设计，并承担核心业务开发工作，不断优化业务架构，制定清晰的演进路线，提升系统扩展性，建立易于维护职表清晰的分层架构体系;4.保障系统可...",咨询服务,http://jobs.zhaopin.com/CC579375820J40870998715.htm,1000-9999人,2025-09-02 17:50:36
APP技术-大前端（iOS/Android/FE）资深工程师,成都,北京三快在线科技有限公司,本科,3-5年,,面议,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40819768709.htm,10000人以上,2026-01-11 19:02:15
[JAVA/ Python/C/C++/GO/数据开发]线上面试,成都,外企德科数字技术有限公司,本科,1-3年,"C语言,C#,Java",2.5-4.5万·16薪,"1、参与数据治理产品的建设，理解客户需求和痛点，负责产品特性设计开发、测试任务；2、参与产品特性的设计和架构优化任务；3、支持应用服务的运营、用户支持及运维。４、负责SaaS产品的前端功能实现，独立完成产品设计好的交互功能和产品需求。５、配合需求负责人提升产品界面体验和优化""岗位要求：1、通信设备软件开发测试，熟悉软件开发流程；2、熟练掌握汇编/C/C＋＋、Java、python等编程语言，对CP...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40832084605.htm,10000人以上,2026-01-11 00:26:43
伺服软件工程师,成都,成都大陆希望集团有限公司,硕士,5-10年,"DSP,ARM处理器,C++,电机控制,伺服控制",2.5-4.5万·13薪,岗位职责：1、主导伺服驱动器软件全流程开发，负责软件架构设计、核心算法（FOC、三环控制、SVPWM）实现与底层驱动开发（PWM/ADC/编码器等）；2、负责工业实时总线（EtherCAT/CANopen等）协议栈集成与优化，确保高可靠、低延迟通信；3、运用MATLAB/Simulink进行控制系统建模、仿真与参数整定，并转化为嵌入式代码；4、针对高精度场景（如机床、机器人）优化系统性能，解决抖动...,电气机械/电力设备,http://jobs.zhaopin.com/CC120855270J40819220407.htm,1000-9999人,2026-01-05 10:42:58
后端工程师(A14093A),成都,字节跳动,本科,3-5年,,2.5-4.5万·15薪,职位描述： 1、负责产品架构设计和开发，为亿级用户提供优质顺畅的信息服务和极致体验； 2、参与设计系统技术方案，核心代码开发和系统调优； 3、参与制定代码规范、测试规范，建立起开发质量控制方法； 4、协助团队攻克各种高并发、数据隔离、系统解耦等方面的技术难关； 5、参与各专项技术调研、新技术引入等前瞻项目； 6、参与机器学习与异构计算系统研发。 职位要求： 1、2025届本科及以上学历在读，计算机...,互联网,http://jobs.zhaopin.com/CC469217510J40708075101.htm,10000人以上,2025-03-05 19:32:08
APP技术-JAVA高级开发工程师,成都,北京三快在线科技有限公司,本科,1-3年,,面议,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40819968609.htm,10000人以上,2026-01-11 19:02:22
java/Python/C/C++/JS/AI算法/软件测试,成都,外企德科数字技术有限公司,本科,经验不限,"深度学习,机器学习,图像算法,VGGNet",2-4万·14薪,1、本科及以上学历；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，六险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求岗位要求 1、计算机、软件、通信等相关专业，统招本科及以上学历； 2、基础扎实，熟悉掌握但不限于Python/JAVA/C++...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837669705.htm,10000人以上,2026-01-11 00:27:06
嵌入式软件开发工程师（芯片原厂）,成都,宏晶微电子科技股份有限公司,本科,3-5年,"驱动开发,嵌入式软件开发,C语言,音视频方向,视频处理,HDMI",2-4万,岗位职责：1.负责完成产品的软件需求分析及架构设计；2.负责软件开发、底层驱动编写、应用程序开发、软件测试等工作；3.完成系统联调；4.负责编写软件设计及测试规范和设计文档。任职要求：1.集成电路、微电子、电子信息、通信、计算机等相关专业，本科及以上学历；2.精通C/C++语言；3.具备丰富的嵌入式设备的信号处理或者信号完整性分析的经验，熟悉嵌入式操作系统（如Wince、Linux等）内核调度管理...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC204285420J40842911313.htm,100-299人,2026-01-11 00:11:01
