职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
图像算法负责人,成都,成都主导科技有限责任公司,硕士,5-10年,"图像识别产品,Python,C++",5-8万·14薪,岗位职责：1、负责轨道交通检测场景（如轨道缺陷识别、接触网状态分析、车辆部件损伤检测等）的计算机视觉算法设计与优化，包括目标检测、图像分割、三维重建、时序分析等方向；2、攻克复杂环境（低光照、高噪声、动态模糊等）下的图像处理难题，提升算法在真实场景中的鲁棒性与实时性；3、探索深度学习模型轻量化、多传感器融合、小样本学习等技术在工业检测中的落地应用；4、参与制定轨道交通检测行业标准，推动技术成果专利...,仪器仪表制造,http://jobs.zhaopin.com/CC130508850J40756523212.htm,500-999人,2025-03-31 15:03:49
量化交易开发工程师,成都,成都蓉易采信息科技有限责任公司,硕士,5-10年,"股票研究,期货研究,量化策略研究,Python,C/C++,量化,开发工程师",4-7万,岗位职责1、负责量化交易策略的研究与开发，包括但不限于市场数据分析、模型构建与优化:2、设计并实现量化交易系统的核心算法，确保交易策略的高效执行与风险控制;3、持续监控市场动态，对量化交易模型进行测试与迭代，提升交易绩效;4、与数据分析团队合作，整合多源数据，为交易策略提供数据支持5、撰写技术文档，包括策略说明、回测报告及交易日志，确保信息透明和可追溯。任职要求:1、精通至少一种编程语言，如Pyt...,贸易/进出口,http://jobs.zhaopin.com/CCL1267065630J40812886509.htm,100-299人,2026-01-08 01:23:58
高级算法工程师,成都,四川国软科技集团有限公司,硕士,5-10年,"大模型算法,深度学习,Python,机器视觉,PyTorch,TensorFlow,图像算法,ViT,CV/NLP",4-6万,岗位职责1.针对客户AI图像处理业务需求（不限于目标检测、目标跟踪、异物检测等），快速响应并设计高效的算法解决方案，完成相关技术的研发和应用落地；2.独立承担项目，从算法设计、模型训练到产品集成的全流程工作，确保项目按时按质完成。3.优化现有算法，提升算法性能，包括但不限于提高现有算法性能；4.参与过大模型应用架构设计，有利用大模型优化图像算法的经历；5.跟踪最新的 AI 技术动态，将前沿技术应用...,IT服务,http://jobs.zhaopin.com/CC219030910J40698466906.htm,100-299人,2025-10-30 18:27:37
高级图像算法带头人,成都,成都主导科技有限责任公司,硕士,5-10年,"图像处理,模式识别,缺陷检测,OpenCV,C++,Python,Transformer,图像识别产品",4-7万·13薪,岗位职责：1. 承担项目开发及技术管理工作，组建并带领团队推进项目进程，包括项目需求分析、可行性论证、系统方案、算法实施及部署；2. 负责2D测量及视觉系统开发，承担光学成像方案、图像处理、模式识别及缺陷检测等算法开发工作；3. 负责团队图像算法开发工作质量控制；4. 负责对既有产品的相关算法优化及难点攻关；5. 跟踪技术行业发展。任职条件：1.硕士及以上2.具备5 年以上类似项目独立开发经验，或...,仪器仪表制造,http://jobs.zhaopin.com/CC130508850J40733395212.htm,500-999人,2025-12-23 09:50:34
AI应用技术经理,成都,成都三环科技有限公司,本科,3-5年,"深度学习,大模型算法,Python,C++,C#",3.5-6万·13薪,岗位要求： 1、两年以上主导AI项目经验，拥有技术管理能力，组织带领过AI项目组。 2、熟练掌握Python、Java、SQL等常用开发语言。 3、熟悉使用学习框架，如TensorFlow、PyTorch等。 4、有AI相关工具使用、调试经验，如Dify、Ollama、Xinference等。 5、熟练使用RAG、微调、参数调优等AI技术。 6、掌握大模型性能评估方法。 7、熟悉制造业业务优先。 ...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1411331550J40764914403.htm,10000人以上,2025-06-23 16:11:26
芯片BES 工程师,成都,成都华微电子科技股份有限公司,硕士,5-10年,"Synopsys,Cadence,Python,架构设计,数字前端设计,数字后端设计",2.6-5万,学历要求：微电子、集成电路、通信、电子信息、计算机等相关专业，硕士及以上学历职责：1、负责芯片中端全流程设计，包括逻辑综合、形式验证、静态时序分析（STA）及低功耗设计（UPF）；2、熟悉时序约束原理，能够制定SDC和优化时序;3、与前端/后端团队协作，支持PPA优化、时序收敛及DFT实现（Scan/MBIST等）;要求：1、精通Synopsys或Cadence中端工具链（D C/Genus/PT...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120962660J40886187702.htm,1000-9999人,2025-12-21 21:51:06
高级图像算法工程师,成都,成都主导科技有限责任公司,硕士,5-10年,"OpenCV,TensorFlow,Python,C++",3-5万·14薪,岗位职责： 1、负责轨道交通检测场景（如轨道缺陷识别、接触网状态分析、车辆部件损伤检测等）的计算机视觉算法设计与优化，包括目标检测、图像分割、三维重建、时序分析等方向； 2、攻克复杂环境（低光照、高噪声、动态模糊等）下的图像处理难题，提升算法在真实场景中的鲁棒性与实时性； 3、探索深度学习模型轻量化、多传感器融合、小样本学习等技术在工业检测中的落地应用。 任职要求： 1、硕士及以上学历，计算机视觉...,仪器仪表制造,http://jobs.zhaopin.com/CC130508850J40755518212.htm,500-999人,2025-06-26 16:47:35
[JAVA/ Python/C/C++/GO/数据开发]线上面试,成都,外企德科数字技术有限公司,本科,1-3年,"C语言,C#,Java",2.5-4.5万·16薪,"1、参与数据治理产品的建设，理解客户需求和痛点，负责产品特性设计开发、测试任务；2、参与产品特性的设计和架构优化任务；3、支持应用服务的运营、用户支持及运维。４、负责SaaS产品的前端功能实现，独立完成产品设计好的交互功能和产品需求。５、配合需求负责人提升产品界面体验和优化""岗位要求：1、通信设备软件开发测试，熟悉软件开发流程；2、熟练掌握汇编/C/C＋＋、Java、python等编程语言，对CP...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40832084605.htm,10000人以上,2026-01-11 00:26:43
软件测试工程师,成都,电科航电,硕士,3-5年,"功能测试,系统测试,自动化测试,C,C++,Python,LDRA TESTBED",2-4万,"1.精通C/C++和pyshon开发语言；2.具备白盒测试能力，能够进行代码级的问题定位和分析；3.具备独立搭建测试环境、编写测试用例、测试规程和测试报告的能力；4.熟悉CI/CD经验，熟悉容器技术；5.熟悉主流自动化测试框架（RF,PYTEST);6.熟悉软件工程基本思想；7.硕士及以上学历；8.有软件开发经验者优先；9.软硬件测试经验兼具者优先；10.有民机航电（DO-178C)实践经验者优先...",通信/网络设备,http://jobs.zhaopin.com/CC287247110J40913684115.htm,1000-9999人,2026-01-06 10:18:02
AI Development Engineer（外资三大药企）,成都,科锐尔人力资源服务(苏州)有限公司,硕士,5-10年,"Python,MULTI-AGENT,SCIKIT-LEARN,AI/ML",2-4万,"AI Solution Development• Design, develop, and deploy AIapplications to solve complex business challenges across Sanofi's value chain• Build scalable, production-ready AIsystems that integrate with exi...",咨询服务,http://jobs.zhaopin.com/CC453635220J40863134803.htm,1000-9999人,2026-01-05 10:44:09
