职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
品牌视觉与UI设计师,成都,四川观察合创新媒体发展有限公司,本科,3-5年,"界面设计,交互设计,动画动效设计,XD",1.6-2.5万,岗位职责：1、品牌视觉设计：负责公司品牌相关的视觉创意与执行，包括但不限于：品牌活动运营设计（线上/线下）、营销推广物料、印刷品、PPT美化、基础VI延展等，确保设计风格统一、视觉冲击力强，有效传达品牌理念。2、产品UI设计：负责公司产品（Web端、移动端App/H5等）的用户界面设计，包括但不限于：功能界面、图标、交互原型视觉呈现等。深入理解产品需求与用户场景，确保设计方案兼具易用性与美观度。3...,新媒体,http://jobs.zhaopin.com/CCL1389471920J40910623815.htm,100-299人,2025-12-16 15:19:32
游戏ui设计师,成都,成都夏尔天逸科技有限公司,学历不限,经验不限,多风格擅长,1.2-2万,【岗位职责】1、负责游戏核心玩法，系统界面的体验流程和交互设计。 2、构架信息构架，设计操作和引导方案，能够持续评估并优化产品体验 3、输出线框图、流程图、交互说明文档，推动方案落地 4、与策划、程序、美术等团队紧密配合，推动UI设计落地，并辅助程序进行资源拼接、预制体制作 5、资源管理：管理游戏UI相关的贴图、图集等资源，确保资源合理优化与使用。 【任职要求】1、熟悉用户体验设计方法，具备清晰的...,游戏,http://jobs.zhaopin.com/CC710909920J40848539613.htm,1000-9999人,2026-01-08 01:36:08
UI设计师,成都,北京宏诚伟信人力资源管理服务有限公司,大专,3-5年,"界面设计,交互设计,网页端,移动端,客户端",1.2-2万·13薪,做出海工具网站，base成都。拒绝可视化大屏、明显套模板，要求有设计感。岗位职责：1.负责 Web 项目的 UI/UX 设计与交互规范落地；2.与研发团队对接，确保交付质量；3.推动 App、多平台(App+Web)的设计一致性；4.参与用户研究、体验优化与数据驱动的持续迭代；5.参与建立设计流程、组件库和设计系统；6.联动北京设计团队，确保品牌战略统一。任职要求：1.3年以上相关工作经验，专业美...,企业服务,http://jobs.zhaopin.com/CC687092280J40976409504.htm,1000-9999人,2025-12-25 17:00:54
UI设计师,成都,超星集团有限公司,本科,1-3年,"界面设计,交互设计,动画动效设计,移动端,网页端,客户端",1.3-2万,岗位职责：1.主要负责负责各大高校/图书馆等门户官网的整体视觉设计美化，及动效设计，并使用公司建站平台搭建双端页面上线；2.负责不同业务类型的可视化大数据屏的设计、美化、搭建；3.熟练使用公司的微服务平台为业务提供支持，持续优化公司的产品和服务。岗位要求：1.设计类专业，本科以上学历，有互联网产品设计经验，熟悉各终端设计规范，能独立完成设计需求，并保证客户的满意度；2.有优秀的主视觉创造能力，能很...,在线教育,http://jobs.zhaopin.com/CCL1219635220J40799898303.htm,1000-9999人,2025-10-31 00:05:22
游戏ui设计师,成都,成都夏尔天逸科技有限公司,学历不限,1-3年,"游戏原画经验,仙侠风,写实,欧美风,多风格擅长,国风,UI,界面,ICON,Unity3D",1-2万·13薪,擅长动效，3d，引擎，ai方面的技能可以加分！！岗位职责：1、负责游戏界面及相关UI的美术设计、创意提案和制作工作2、负责游戏界面的绘制、设计、更新工作，进行多种风格的UI设计，有创造性地主导全套UI界面的设计，包括整体的风格、布局、色彩、字体等3、参与游戏产品界面UI研究、设计流行趋势分析和游戏产品的用户体验研究，设定产品的整体视觉风格（游戏界面和图标）和交互的制定和规范4、负责优化视觉信息的呈...,游戏,http://jobs.zhaopin.com/CC710909920J40766315913.htm,1000-9999人,2026-01-05 16:29:56
外企自研自招-UI设计工程师-国际化落地项目-SaaS,成都,蓬托森思(成都)科技有限公司,本科,3-5年,"界面设计,交互设计,移动端,网页端,客户端,AI,Sketch,墨刀",1.2-2万·13薪,有欧美产品上线记录、能用 Figma 交付像素级设计系统并能接受每日 Design Review 的 UI/UX Designer岗位职责全球产品设计负责面向国际市场的多语言产品UI/UX设计，考虑文化差异和本地化需求设计数据展示界面、操作流程及系统设置界面，确保符合全球用户的使用习惯动效与交互设计制作微交互、界面动画和高保真原型，提升产品体验的流畅度使用动效工具（如After Effects/P...,IT服务,http://jobs.zhaopin.com/CCL1464116030J40954665204.htm,20-99人,2025-09-23 15:24:20
ui视觉设计师,成都,超星集团有限公司,本科,1-3年,"界面设计,交互设计,动画动效设计,移动端,网页端,客户端",1.3-2万,岗位职责：1.主要负责负责各大高校/图书馆等门户官网的整体视觉设计美化，及动效设计，并使用公司建站平台搭建双端页面上线；2.负责不同业务类型的可视化大数据屏的设计、美化、搭建；3.熟练使用公司的微服务平台为业务提供支持，持续优化公司的产品和服务。 岗位要求： 1.设计类专业，本科以上学历，有互联网产品设计经验，熟悉各终端设计规范，能独立完成设计需求，并保证客户的满意度； 2.有优秀的主视觉创造能力...,在线教育,http://jobs.zhaopin.com/CCL1219635220J40840183103.htm,1000-9999人,2025-09-22 16:10:14
VX设计师,成都,成都夏尔天逸科技有限公司,大专,3-5年,动画动效设计,1.7-2万,【岗位职责】 1、负责游戏界面的动效设计和制作，包括转场、反馈、微交互、界面特效等，提升玩家交互体验和操作手感，增强整体视觉效果； 2、负责技能特效、场景/UI界面氛围特效等，增强画面表现力，提升氛围感和沉浸感； 3、与团队配合，保证设计效果能高还原度进入游戏。 4、建立和维护动效设计规范，保证整个游戏的动效节奏与风格统一，确保体验感一致。 5、参与动效资源的工作流程的制定与资源管理，并进行性能优...,游戏,http://jobs.zhaopin.com/CC710909920J40848544213.htm,1000-9999人,2025-12-16 01:37:59
高级产品设计师,成都,成都来喽科技有限公司,本科,3-5年,"Figma,网页端,移动端,客户端,交互设计,界面设计",1.2-1.8万,岗位职责1.负责核心产品（移动端 App、管理后台及运营系统）的全流程设计，包括用户体验（UX）、界面设计（UI）及交互设计（IxD）。2.与产品经理、工程团队紧密协作，将业务需求转化为可落地的产品方案。主导设计系统的建设与维护，确保跨产品的一致性和高质量视觉体验。3.利用 AI 工具优化设计流程、提升工作效率，并在日常设计工作中实现智能化辅助。4.通过用户研究、数据分析和原型测试持续优化产品体验...,在线生活服务（O2O）,http://jobs.zhaopin.com/CCL1483742200J40809283514.htm,100-299人,2026-01-06 01:38:42
高级用户体验设计师,成都,深圳市汇合发展有限公司,本科,5-10年,"交互设计,AI",1.5-1.8万·13薪,【职位描述】我们正在寻找一位经验丰富、富有创造力的高级用户体验设计师，加入我们的体验设计团队，负责打造以用户为中心的金融中后台产品。您将主导从用户研究到界面落地的全流程设计，推动用户体验的持续优化，并对设计质量负责。【岗位职责】1、主导复杂产品的用户体验设计，输出用户旅程图、信息架构、交互原型及高保真视觉稿，确保设计逻辑清晰且可落地。2、深度参与需求分析，与产品经理、开发团队协作，平衡用户体验、技...,咨询服务,http://jobs.zhaopin.com/CC160407910J40820612707.htm,10000人以上,2026-01-04 15:00:41
