职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
APP技术-大前端（iOS/Android/FE）资深工程师,成都,北京三快在线科技有限公司,本科,3-5年,,面议,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40819768709.htm,10000人以上,2026-01-11 19:02:15
Java/C/C++/Python/js前端等,成都,外企德科数字技术有限公司,学历不限,经验不限,"Python,JavaScript,C++",1.8-3.5万·14薪,岗位名称:多岗位根据自己简历情况选择面试岗位包括;Java/C/C++/Python/js前端等地点:全国都有，西安，杭州、上海，南京，武汉，北京，苏州，东莞，深圳，成都岗位要求：1. 本科及以上学历；2. 有一定算法和代码基础；具体面试要求依自己对口职位为准,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40831610005.htm,10000人以上,2026-01-11 00:26:41
算法工程师--语音前端信号处理方向,成都,成都启英泰伦科技有限公司,硕士,1-3年,"语音增强,语音信号处理,3A,多麦阵",1.8-3.5万·14薪,岗位职责：1.跟踪语音信号处理前沿技术，调研并复现最新算法。包括语音增强算法（单麦及麦克风阵列语音增强算法）、3A算法（AEC/ANC/AGC）、多麦阵算法、盲源分离、动态范围压缩算法、EQ均衡器、声音检测算法、声源定位算法等其中的一种或多种，并协同嵌入式开发团队完成算法到芯片的落地实现；2.针对低功耗芯片，设计低算力、低延迟场景的语音信号处理算法；3.参与现有算法调优，提升语音识别性能；4.支持...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC422340680J40969111304.htm,20-99人,2025-11-25 14:29:44
高级前端开发工程师（跨端架构方向）,成都,四川沐升隆科技有限公司,本科,5-10年,"uni-app,React Native,TARO",1.8-3.5万,核心定位：技术担当与项目Owner我们寻找的不仅是一位资深开发者，更是能在多端技术领域独当一面的专家。如果你对跨端架构有深刻理解，并渴望主导技术方案从设计到落地的全过程，这个职位将为你提供充分的舞台。岗位核心职责：1、负责跨端技术架构设计与实现：基于Uni-app / Taro / React Native等框架，主导实现“一套代码，多端发布”（iOS、Android、H5、PC、未来可能涉及小程...,互联网,http://jobs.zhaopin.com/CCL1505799880J40806129407.htm,20-99人,2025-11-04 09:38:04
Java/python/web/c/c++/js/go/测试/安卓,成都,外企德科数字技术有限公司,本科,经验不限,,1.5-3万·14薪,1、熟悉Java/Python/C/C++/Go等一种或多种编程语言；2、熟悉数据结构和算法，热爱代码； 3、熟练软件开发流程，热爱编程，有良好的代码风格； 4、善于沟通，有独立解决问题的能力。试用期全薪，入职即缴纳五险一金（全额）,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837050105.htm,10000人以上,2026-01-11 00:27:04
前端逾期提醒/入职五险一金/无经验也可/月入1.5w+,成都,四川莫名信息科技有限公司,学历不限,经验不限,"电话催收,网络催收,M0催收,M1催收,M2催收",1.5-3万,入职购买五险一金，月薪平均15000、福利待遇：1、底薪4000＋业绩指标200-400元＋提成1000-30000+（提成以团队综合完成率、个人回款率或回退率等作为业绩考核，最高可达到30000+）；2、朝九晚六。舒适的上班环境，提供冰箱及微波炉，可自带午餐；提倡午休（11:50_13:30）。3、带薪完善的岗前7天培训制度（主要进行合规、催收红线等培训以及职场规范、扣罚规则、薪资结构说明）；4...,运营商/增值服务,http://jobs.zhaopin.com/CC297101310J40787995913.htm,1000-9999人,2026-01-07 10:47:49
前端工程师,成都,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"CSS,JavaScript,HTML5",1.6-3万,岗位职责：1. 负责公司产品的网页前端开发工作2. 利用前端技术实现界面设计稿的精确还原3. 优化页面性能，确保良好的用户体验4. 与后端开发人员协作完成数据交互和功能开发5. 维护和更新现有的前端代码岗位要求：1. 熟悉HTML5、CSS3、JavaScript等前端技术2. 熟悉Vue.js、React.js等主流前端框架3. 了解前后端分离的开发模式，能与后端工程师有效沟通4. 对浏览器兼容...,互联网,http://jobs.zhaopin.com/CC427775130J40909509015.htm,20-99人,2025-12-10 17:04:18
前端开发/后端开发/全栈工程师,成都,外企德科数字技术有限公司,本科,经验不限,"C语言,Python",1.5-3万·15薪,"1.负责公司产品线及开发部的前端，后端，算法，大数据，硬件，软件等开发维护工作。 2.产品线涉及通信，终端产品，汽车，技术预研，云计算等。 3.后端要求掌握如下1种或多种开发语言： c/c++/python/java/golang/ 前端要求掌握： vue,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求： 1.统招本科毕业，年龄不限、 2.可接受工作地上海，武汉，西安，南京，东莞...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40822061305.htm,10000人以上,2026-01-11 00:26:04
数字前端工程师,成都,北京思凌科半导体技术有限公司,本科,5-10年,"数字前端设计,SoC设计,DC,VCS,Synopsys,ModelSim,TCL,Verilog HDL,C语言,AXI",1.8-3万·14薪,"职责描述：1，配合算法工程师，优化可实现性高效能算法；2，定义项目系统框架，分配模块划分和软硬件分割。指导子模块设计工程师完成设计工作。3，完成子模块集成编码和验证，负责交付系统定义的芯片数字功能；4，对接测试工程师以及产品部门，分析问题并收敛发现问题；5，参与完成项目FPGA上板验证工作；6，配合后端工程师，参与项目设计的综合，DFT,时序分析等设计相关工作；7，参与模块设计文档，交付文档，用户...",电子/半导体/集成电路,http://jobs.zhaopin.com/CC640763130J40708006811.htm,300-499人,2025-04-08 17:57:15
高级前端工程师,成都,爱齐(上海)商贸有限公司,本科,经验不限,"JavaScript,WebGL,Node.js",2-2.8万,"Join a team that is changing millions of lives.Transforming smiles. Transforming lives. Transforming an industry. At Align Technology, we believe a great smile can transform a person’s life, so we cre...",医疗设备/器械,http://jobs.zhaopin.com/CC397586710J40877882702.htm,1000-9999人,2025-12-09 18:55:18
后/前端开发、测试【24/25/无经验也可投】接受java、c＋＋、js不限语言,成都,外企德科数字技术有限公司,本科,经验不限,"前端开发,后端开发,JavaScript,C,C++,Java",1.5-3万·14薪,[岗位要求]1、本科及以上学历;2、掌握C++/Java/Go/Web(Vue、React、js前端开发、前端框架...)/python/H5一种或多种编程语言，有良好的编程习惯、热爱编程;3、对基本数据结构和算法有一定了解，熟悉Linux、 Android、iOS、Windows其中一种或多种系统知识;4、具备良好的解决问题能力、善于沟通、乐于合作;5、熟练使用ldea/Maven/SVN(gi...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40820933005.htm,10000人以上,2026-01-11 00:26:00
前端开发工程师,成都,四川九通智路科技有限公司,本科,1-3年,"大屏/可视化项目,GIS/地图项目",1.5-2.8万,岗位职责:1 、公司自研系统的 web前端开发和维护; 2 、接受产品需求，独立完成合理化的模块设计；3 、与后端协同完成系统开发和测试，提交高质量代码； 4 、能独立完成系统功能的设计、开发等工作； 5 、能独立解决软件开发过程中的问题； 6 、编写相关技术文档。7、领导交办的其他工作任职要求:1 、985统招本科及以上学历，计算机、软件工程等相关专业； 2 年以上前端项目开发经验，熟练掌握浏览...,计算机软件,http://jobs.zhaopin.com/CC875824200J40772988216.htm,20-99人,2025-11-11 15:29:28
前端开发（electron桌面应用开发）,成都,四川沧笙踏歌科技有限公司,本科,3-5年,"大屏/可视化项目,直播视频项目,电商项目,CSS,JavaScript,HTML5,Vue,ElementUI,uni-app,Electron",1.3-2.6万,投简历前必看（重点）：1、我们是做AI项目，要有前端架构能力，同时前端会封装很多组件，不是简单的增删查改业务，页面会处理大量的JSON数据，要求程序有极高的性能，如果你不具备此能力，请勿投递2、我们公司在新都大丰，对上班距离在意的，请勿投历3、公司管理非常人性化，自研产品，老板非常好岗位职责1、至少 3 年的 Vue 开发经验，能够熟练使用 TypeScript 开发，有使用 Nuxt的经验；2、...,互联网,http://jobs.zhaopin.com/CC646665230J40764438209.htm,100-299人,2025-08-11 00:06:41
Java/c++/前端/测试开发工程师（接受应届，导师带教）,成都,外企德科数字技术有限公司,本科,经验不限,"主流开发语言任意一种即可,MySQL,Redis,周末双休 全额五险一金,通勤班车 带薪年假,双证齐全（即毕业证、学位证）",1.5-3万·14薪,岗位职责：1、负责AI训练推理加速/搜索推荐/计算机视觉/大库检索、大数据机器学习、分布式系统等其中一个方向的代码开发及测试工作；2；负责软件模块需求分析、系核心模块代码编写，完成概要设计文档、详细设计文档。3、积极主动的与项目相关人员沟通交流，持续改善产品体验。业务技能要求：1、熟练掌握常用数据结构。2、熟悉计算机组成原理、操作系统、网络等。岗位要求：1、本科及以上学历，理工科相关专业者优先；2...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40788514905.htm,10000人以上,2026-01-11 00:24:32
高级前端开发工程师,成都,软通动力信息技术(集团)股份有限公司,大专,3-5年,"直播视频项目,CSS,HTML5,React,Vue",1.5-2.5万,能力要求：本科及以上学历，4年以上 web 前端开发经验；1. 掌握常用 WEB 前端开发技术，具备扎实的 HTML(5)、CSS(3)、JS（包括 ES6）、TypeScript 基础，熟悉webpack + npm 开发模式；2. 熟悉 MVVM 模式，掌握常用的框架如 Vue、 React 的使用，并有大型项目的经验；3. 掌握常用 WEB 开发调试工具，熟悉移动端网页调试方案，具有较好的分...,互联网,http://jobs.zhaopin.com/CC000544460J40785890016.htm,10000人以上,2026-01-07 11:19:55
华为云-前端开发工程师,成都,华为技术有限公司,本科,无经验,"TypeScript,Angular",面议,工作职责：1.负责华为云前端架构、UI组件库的设计和开发，以提升华为云用户体验、研发效率为目标，结合业界前端领域的技术发展持续构建前端技术竞争力；2.负责Web基础能力建设和端到端的DevOps交付流，提供Web开发工具集，包括脚手架、项目构建脚本、框架配置能力等；3.负责Nodejs框架的服务端开发与运维，提升前端研发效能。职位要求：1.熟练掌握HTML5 / CSS / JavaScript ...,运营商/增值服务,http://jobs.zhaopin.com/CC000542940J40767666714.htm,10000人以上,2026-01-07 01:38:06
JAVA/C/C++/Python/go/web开发工程师 全国岗14薪，全额社保公积金 应届生/考研/考公失败可投,成都,外企德科数字技术有限公司,本科,经验不限,"JavaScript,Python,C++,Spring,MySQL",1.5-3万·14薪,"【岗位职责】线上面试，有题库刷题，试用期全薪不打折 1、参与项目需求分析，搭建系统框架和核心模块的设计； 2、根据项目进度完成代码开发任务； 3、对代码进行维护、改进与完善，以满足新需求； 4、参与数据仓库需求分析、程序优化； 5、在项目开发过程中，与团队共享、研讨相关工作和培训经验； 【岗位要求】 熟练掌握任意一门语言即可,前端后端等均有坑哦 入职即安排高资历师傅一带一带教，再也不用担心会不会啦...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40689620605.htm,10000人以上,2026-01-11 00:24:25
AI 前端开发工程师(NodeJS全栈),成都,安世亚太科技股份有限公司,硕士,5-10年,"LLM,智能体应用",1.5-2.5万,——技术栈· React / Next.js / TypeScript；Node.js / Docker / CI/CD / 云部署——我们在做什么· 我们在构建企业级 AI 智能体应用平台，以“新型知识工程”为底座，将企业数据/知识/语料统一治理与服务化，支撑各类智能体在真实业务中稳定运行，做到 可控、可追溯、可评测、可规模化——你会负责什么· 设计并实现智能体平台核心能力· 负责智能体应用的端...,计算机软件,http://jobs.zhaopin.com/CC130022840J40742880606.htm,500-999人,2025-12-22 09:23:59
