职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
产品经理-半导体/物理科研方向(J10086),成都,鑫图光电,硕士,5-10年,"半导体检测设备,产品的市场调研,应用场景支持,产品定义",5-8万·14薪,岗位职责: 1、 全链路产品支撑：作为产品战略落地的核心推动者，为产品定义、研发、销售、技术支持团队及客户提供专业且动态的应用场景支持，打通跨部门协作壁垒，确保产品从概念到市场全生命周期高效运转。 2、 需求转化与方案：主导产品的市场调研，深入用户实验室，精准洞察应用和成像需求，将用户痛点转化为产品功能，输出可落地的产品性能提升的优化方案。 3、 产品迭代与竞争：主导产品功能测试和迭代规划，制定优...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC499064120J40831968308.htm,100-299人,2025-12-18 15:28:38
大数据产品技术专家,成都,成都某信息通信科技公司（央企）,硕士,5-10年,,4-8万,岗位要求：1.硕士研究生及以上学历，通信工程、计算机、电子信息工程等相关专业，全球及国内头部科技企业或科研院所工作三年以上；2.熟悉通信行业业务支撑系统架构；3.熟悉通信网络及业务相关运营技术和流程；4.熟悉商用软件的开发管理流程与主流编程语言；5.熟悉oracle、DB2等主流数据库及Clickhouse/Doris、MPP的使用和维护；6.熟悉大数据技术栈，如Spark/Flink/Hive等...,互联网,http://jobs.zhaopin.com/CCL1318355140J40787224003.htm,500-999人,2025-11-04 10:39:59
5G NTN产品经理（总监）,成都,马鞍山隆西科技有限公司,本科,5-10年,,4-7万·15薪,工作职责1、产品/解决方案规划：负责5G/NTN产品的方案规划、立项，以及产品的投资组合管理；2、市场洞察：负责行业洞察，友商竞争分析，客户分析，应用场景分析；3、需求管理：负责网络产品需求分析，支撑销售市场拓展。任职资格1、工作经验要求：在通信行业，5G、NTN等相关工作岗位上不低于5年工作经验，从事过产品经理、战略规划岗位者优先；2、熟悉网络通信产品的行业需求，掌握业界友商的产品优劣势。,计算机硬件,http://jobs.zhaopin.com/CCL1503675550J40808413011.htm,500-999人,2025-12-30 01:33:08
终端产品专家,成都,成都鼎桥通信技术有限公司,本科,10年以上,"国内市场,中东区域",4-5.5万,岗位职责: 1、负责行业终端产业和磐石平台市场洞察、市场规划、商业模式设计，对终端产品的市场成功负责； 2、牵头构建行业终端产品&磐石平台的竞争力，规划产业和平台需求，构筑行业重点产品控制点，打造业界领先的终端产品方案 3、承担行业终端产业的上市管理，市场拓展策略和产品营销策略制定，实现商业成功 任职要求: 1、负责行业终端产业市场洞察和规划，具备3年以上终端产品规划经验，具备成功终端产品商业模式...,通信/网络设备,http://jobs.zhaopin.com/CC451015510J40762885907.htm,1000-9999人,2025-06-18 00:21:23
资深产品专家（公卫应急）,成都,成都某信息通信科技公司（央企）,硕士,5-10年,资深产品专家（公卫应急）,4-8万,岗位职责：1、牵头负责急救中心、医院、疾控等公卫应急行业政策分析研判，深入市场需求调研，形成产品行业洞察报告；2、负责公卫应急产品的平台和应用产品的定义、功能和架构设计，负责产品生命周期管理。推动研发团队开展自主产品研发；3、负责落实集团和公司产品总体发展战略，开展产品的中长期规划设计，开展竞品对标分析，形成分析报告，指导产品和解决方案打造；4、负责产品商业模式规划设计，市场推广策略的制定和执行，...,互联网,http://jobs.zhaopin.com/CCL1318355140J40788798403.htm,500-999人,2025-11-04 09:46:12
2026-宽带卫星民商行业产品总监,成都,鼎桥技术有限公司,本科,10年以上,"网络产品,卫星通信",2.5-5万·16薪,岗位职责:1、产业经营：E2E管理好宽带卫星民商行业从客户需求到客户闭环的各环节；牵头打造业界一流竞争力的产品/平台/解决方案，支撑产品/行业场景在单一细分市场竞争力领先和经营目标达成；2、参与产业/行业标准、生态建设（包括但不限于：政策/标准/联盟/渠道/生态等）运作，规划并推动产业目标达成；3、联合产业与行业生态伙伴设计商业控制点，打造可持续发展的产业链与产业环境；4、通过围绕商业成功的营销策...,通信/网络设备,http://jobs.zhaopin.com/CCL1511150630J40834627314.htm,1000-9999人,2026-01-08 01:38:54
产品总监（工业物联网/商城）,成都,四川中讯数智科技有限公司,本科,10年以上,"软件产品,MES系统,FMCS",3.5-5万,岗位职责：1.结合公司整体战略目标，制定公司中长期产品战略规划和路线图，确定产品发展方向和优先级，为公司决策提供专业的产品建议，提高产品竞争优势、客户满意度、行业影响力，促进营收增长。2.定期组织召开产品研讨会，与公司领导及相关部门协同，根据公司发展需求、客户需求，及时调整产品战略、规划、设计，确保产品与客户要求或公司整体战略一致。3.统筹全部产品的全生命周期，跟进与推动产品开发进度，把控开发方向...,物联网,http://jobs.zhaopin.com/CCL1492503650J40792010907.htm,100-299人,2026-01-08 01:18:42
CAE产品总监（国企平台、业务好、福利待遇好）,成都,南方新华,硕士,5-10年,"CAE软件应用、CAE软件、仿真,航空、航天、航发、船舶、兵器,CAE工程应用、CAE、仿真应用",3-5万,岗位职责：1.洞察行业痛点，规划产品发展路线，制定和落地产品差异化竞争策略；2.为客户提供专家级解决方案，赋能售前；3.结合产品优势和行业案例开展高层沟通，争取资源；4.持续培训和提升售前团队专业能力。任职资格：1.硕士及以上学历，7年以上CAE软件应用或开发经验，博士学历优先；2.深入了解至少一款主流结构CAE软件和一款主流流体CAE软件；3.在至少1-2个重点行业（如航空、航天、航发、船舶、兵...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40819158911.htm,100-299人,2026-01-06 13:57:05
液冷产品线研发总监,成都,依米康,本科,5-10年,液冷,4-5万,岗位职责：1、负责液冷产品线规划和研发工作，编制产品规划与开发任务书，包括市场分析、功能需求描述、项目时间表、成本预算等工作；2、重要研发项目的立项、进度监控和风险管理，确保项目按时、按质完成；3、负责液冷产品线各产品的方案设计、开发和调试工作；4、负责液冷产品的部件选型、供应链建设支持和优化降本等工作。任职要求：1、熟悉集成产品研发IPD流程；能灵活运用的产品和项目中，熟悉水冷/空调系统原理、结...,电气机械/电力设备,http://jobs.zhaopin.com/CC191789020J40830931713.htm,500-999人,2025-12-31 09:56:15
智能硬件业务VP,成都,成都卓影科技股份有限公司,本科,10年以上,"硬件产品,智慧服务,智慧家庭",3-5万·13薪,岗位职责：1、整合公司现有内外部资源，承接公司创新智能硬件（运营商泛智能终端）业务的规划设计和落地目标；2、全流程负责公司创新产品的产品规划设计，整合公司产业链资源持续优化产品，确保既有创新产品的准时高质量上线；3、持续新产品创新：关注运营商客户和产业链的新机会和新需求，为公司持续打造有竞争力的新产品；4、现网产品持续优化和迭代：持续关注公司现网产品功能和客户新需求，提升产品各项指标，助力客户满意...,计算机软件,http://jobs.zhaopin.com/CC541840820J40774268016.htm,300-499人,2025-12-27 01:43:51
