职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
财经直播讲师,成都,成都栗子桃信息科技有限公司,大专,经验不限,"股票市场,投资分析,宏观经济分析,行业分析,证券从业资格证,证券投资咨询资格证",5-10万,股票讲师，高收益，高提成！ 【任职要求】1、性格活泼开朗，善于沟通，责任心强，有团队合作精神； 2、热爱金融行业，有打算长期在这个行业发展的意愿，接受专业知识培训； 3、有股票财经直播经验者，取得投资顾问，证券从业资格证者优先录用； 【工作职责】 1、直播合规合法，不涉及灰色地带，正规上岗； 2、每日在（抖音、视频号等）出境直播股票行情讲解分析，提供脚本； 3、根据最新热点讲解战法或大盘块，解答粉...,证券/期货,http://jobs.zhaopin.com/CCL1502112100J40721476416.htm,20-99人,2025-11-26 13:06:23
财经证券讲师 5W-10W,成都,四川摩视文化传媒有限公司,本科,经验不限,"证券投资咨询资格证,证券从业资格证,基本面分析,投资分析",3-6万,任职要求：1.具备讲课经验，能够独立分析股票行情走势，个股分析，盘面分析，实时解盘，有一定讲课经验。2.具备丰富的直播带货经验（微信视频号、小红书、快手、抖音不限），喜欢表达，喜欢直播；调动粉丝情绪，增加粉丝活跃度，确保直播间热度，积极与粉丝互动，增加粉丝粘度及粉丝数量；3.言谈大方、具备亲和力，敢于表现，善于沟通。性格外向，具有强烈的自我表达意；4.想要赚钱，增加收入，年入百万，晋升空间大，手把...,证券/期货,http://jobs.zhaopin.com/CCL1482296570J40806589108.htm,20-99人,2025-05-16 15:12:40
证券投资顾问,成都,华西证券股份有限公司成都天府新区正东中街证券营业部,本科,经验不限,"股票市场,投资分析,证券从业资格证,基金从业资格证,证券投资咨询资格证",2.5-5万,薪资构成：绩效工资、五险二金（公积金、企业年金）、业务专项奖励，上不封顶。包括餐补、带薪年假、定期体检、周末双休、全勤奖励、学历补贴、工会福利（节日、生日、慰问）等多项福利补贴。还有证券行业特有的别人调班我调休！任职要求: 1、本科及以上；有投资顾问经验者可优先录取；2、持有证券从业资格证；有基金从业资格证、投顾资格（优先）；若无证，优秀者可辅导考证3、品行端正，具有良好的职业道德；4、具有较强的...,证券/期货,http://jobs.zhaopin.com/CC807553020J40773180001.htm,1000-9999人,2025-12-30 16:06:05
保底15K/财经直播讲师,成都,四川大决策证券投资顾问有限公司,本科,3-5年,"股票市场,投资分析,基本面分析,技术面分析,量化分析,证券投资咨询资格证",3-5万,薪资福利： 无责底薪+高额提成+全勤奖+五险一金+带薪年假，综合收入3W-5W+，新人入职首月可享保底收入1.5W！！！ 岗位职责1、抖音、视频号、快手等直播平台开展直播；2、具备讲课经验，能够独立分析股票行情走势，个股分析，盘面分析，实时解盘；3、具备一定的直播带货经验（微信视频号、抖音不限）；4、熟悉财经新闻，并有一定程度的深入理解；有自己成熟投资体系和投资理念，具备一定网感，擅长捕捉市场热门...,证券/期货,http://jobs.zhaopin.com/CC403797110J40741772205.htm,300-499人,2025-11-28 00:00:04
财经讲师/财经IP 30K-50K,成都,四川摩视文化传媒有限公司,本科,无经验,"投资分析,证券投资咨询资格证,证券从业资格证",3-6万,岗位职责：1、负责抖音、视频号等平台进行证券财经类直播。负责出镜、调动直播间氛围，引导用户导流私域，进行业务转化。2、具有自己特色，通过内容打造IP。3、熟悉财经新闻，讲解大盘、题材、逻辑、技术指标和投资理念。4、合规直播，持证上岗、任职要求：本科学历以上，有证券从业资格证、投顾证。对直播有浓厚兴趣、有镜头感、有抗压能力。薪资待遇：具体面议，一般主播能拿5W左右，优秀主播能拿10W+。,证券/期货,http://jobs.zhaopin.com/CCL1482296570J40806587708.htm,20-99人,2025-05-16 15:10:12
评级业务总监,成都,大普信用评级股份有限公司,硕士,5-10年,"投资分析,风险分析,量化分析",3-5万·15薪,评级业务总监工作地点：成都岗位职责1、参与制定下属评级部门工作流程及项目运作流程；2、参与公司评级业务市场调研和分析；3、落实评级服务和产品质量控制相关规定；4、掌握行业现状和评级理论知识，协助指导业务培训和学习；5、公司安排的其他相关工作。招聘要求1、研究生及以上学历，金融、经济、信用评级、征信管理、财务管理相关专业；2、8年以上工作经验，具有CPA、CFA资质者优先；3、具有知名评级机构、金融...,咨询服务,http://jobs.zhaopin.com/CC891477770J40103832605.htm,20-99人,2025-06-30 00:37:42
媒体分析师,成都,四川大决策证券投资顾问有限公司,本科,经验不限,"金融业,投资分析,股票市场",3-5万,通过面试综合评定优秀者，可享入职前2个月15000/月保底收入！ 岗位描述：1、通过视频、媒体直播等方式进行讲课；2、能从宏观、产业、市场、公司研究、技术方法等多角度，结合自有投资逻辑或体系，制作课件/撰写报告；3、具备一定的营销能力，能独立策划完成自媒体内容、短视频录制、视频直播，并能做好日常平台直播的互动和维护；3、有自己的擅长点，对金融、财经、内容创作具有浓厚兴趣。任职要求：1. 本科及以上...,证券/期货,http://jobs.zhaopin.com/CC403797110J40313007305.htm,300-499人,2025-11-25 16:47:26
编程经理（SAS)-成都(A119824),成都,百利药业,本科,5-10年,"临床数据分析,SAS",3-4.5万·14薪,职位描述：1.作为项目的编程负责人，按公司SOP和法规要求完成编程工作，与其他职能部门经理紧密合作，确保适当、充足的人员分配，以满足项目交付需求2.开发单个项目中高复杂度的SAS（宏）程序，领导编写 SAS 程序产生数据集以及总结表、数据列表和图形等，为数据管理员提供编程支持，协助核查数据，提供技术规划，推动编程活动，确保交付成果的质量和及时性3.通过生成数据列表支持数据管理。与生物统计和法规部门...,零售/批发,http://jobs.zhaopin.com/CC120900620J40973854604.htm,1000-9999人,2025-12-15 14:01:37
投顾专家,成都,长江证券股份有限公司四川分公司,本科,5-10年,"投资分析,金融业,行业分析",2-4万,职责描述： （一）负责分公司端投研体系的建设，签约推广； （二）负责向营业部输出投研分析，会议讲座； （三）负责服务维护签约客户，创造增厚价值； （四）负责营业部定期培训，业务交流； （五）参加公司和营业部组织的各项营销活动。 任职要求： 1.本科及以上学历，金融、经济、财务、管理类专业优先； 2.优先考虑通过证券从业、基金从业、投资分析考试； 3.具有较强的市场分析能力，有自己独立的投研体系，市...,证券/期货,http://jobs.zhaopin.com/CC627779420J40347552803.htm,1000-9999人,2026-01-06 00:27:01
财经直播讲师(武汉）,成都,四川大决策证券投资顾问有限公司,本科,1-3年,"股票市场,投资分析,基本面分析,宏观经济分析,行业分析,技术面分析,证券投资咨询资格证",3-5万,能力优秀的新人入职首月可享保底收入1.5W！！！ 岗位职责：1、抖音、视频号、快手等直播平台开展直播；2、具备讲课经验，能够独立分析股票行情走势，个股分析，盘面分析，实时解盘；3、具备一定的直播带货经验（微信视频号、抖音不限）；4、熟悉财经新闻，并有一定程度的深入理解；有自己成熟投资体系和投资理念，具备一定网感，擅长捕捉市场热门信息，紧跟财经时事热点。任职要求1、本科及以上学历，金融、证券等相关专...,证券/期货,http://jobs.zhaopin.com/CC403797110J40754073405.htm,300-499人,2025-11-24 10:34:38
