职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
资深大数据架构师（遥感）,成都,成都某信息通信科技公司（央企）,硕士,5-10年,资深大数据架构师（遥感）,4-8万,岗位要求：1、硕士研究生及以上学历、计算机、软件信息、遥感等相关专业；2、5年以上地理空间分析和建模、遥感应用开发、数据平台与管理体系建设等相关工作经验；3、精通行业标准和开源地理空间软件、前端和后端框架及应用程序、地理空间服务器和数据库，如：Geo Server、Carto、ArcGIS、Goole Earth Engine等；4、了解传统遥感解译算法、深度学习算法且具有实际项目开发经验者优先；...,互联网,http://jobs.zhaopin.com/CCL1318355140J40788795003.htm,500-999人,2026-01-07 01:05:14
首席架构师,成都,山东恒远智能科技有限公司,本科,5-10年,"Java,大数据架构,平台架构,微服务架构,DOCKER/K8S,工业物联网,MDA",4.5-5.5万,职位描述：我们正在为公司的核心产品——面向制造业的下一代平台型工业软件产品，招募总技术架构师。在此职位上，您将作为技术总负责人，从0到1主导技术规划、设计并构建一个以“元数据驱动”为核心的统一技术平台。该平台旨在融合低代码应用构建、工业数据智能与物联网（IoT）连接能力，为制造业客户提供灵活、强大、可扩展的数字化基础。我们期待一位兼具前瞻性技术视野、深厚平台架构功底与一定产品思维的技术领导者加入。...,IT服务,http://jobs.zhaopin.com/CC466107580J40818268811.htm,300-499人,2025-12-31 14:58:15
系统架构岗,成都,中国航空工业集团公司雷华电子技术研究所,硕士,3-5年,,面议,岗位职责： 负责电子对抗系统专业技术规划、平台建设和能力建设工作；负责电 子对抗系统需求分析、架构论证与方案设计；负责电子对抗产品全寿命周期管理，组织电子对抗系统详细设计、集成验 证、试飞等工作，统筹全寿命周期过程中出现的技术质量问题及技术服务工作，保证科研任务按计划执行。 岗位要求： 精通系统知识和理论 熟悉分系统及算法知识 熟悉科研管理流程 熟悉项目管理知识 具有较强的领导能力、决策能力、计划...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC516740720J40956288904.htm,1000-9999人,2025-09-30 09:49:18
资深数据应用专家,成都,成都某信息通信科技公司（央企）,硕士,5-10年,"数据架构,大数据开发",4-8万,岗位要求：1.硕士研究生及以上学，计算机、通信、互联网、IT、数学相关专业；2.5年以上大数据和数据分析领域研发及交付经验；3.至少独立完成1个及以上大中型项目的大数据设计，有至少TB以上级大数据处理经验；4.熟悉主流大数据框架及核心组件，包括但不限于Hadoop、Spark、Flink等，熟悉大数据平台的常见问题和优化方法5.精通分布式计算、高可用性和容灾等相关技能；6.具备海量数据的建模、处理...,互联网,http://jobs.zhaopin.com/CCL1318355140J40787300403.htm,500-999人,2026-01-05 01:05:02
资深AI架构师,成都,北京晶澳太阳能光伏科技有限公司,硕士,5-10年,,2.5-5万·13薪,主要工作职责1、深入理解公司内部业务需求与发展战略，主导进行技术可行性分析，并将复杂的业务问题转化为前瞻性、可落地的技术架构方案与实施路线图。2、负责制定AI项目全生命周期的技术规范、架构标准与最佳实践；主导或核心参与AI基础平台（如MLOps平台）的规划与建设，提升团队研发效率与系统可靠性。3、主导重大项目从技术规划、评审到上线落地的全过程，协调各方资源，确保项目高质量交付；建立模型监控与持续迭...,新能源,http://jobs.zhaopin.com/CC677096020J40880896808.htm,10000人以上,2025-09-25 09:55:12
侦察架构岗,成都,中国航空工业集团公司雷华电子技术研究所,硕士,3-5年,,面议,岗位职责： 负责电子侦察专业技术规划、平台建设和能力建设工作；负责电子侦 察专业需求分析、架构论证与方案设计。负责电子侦察相关产品全寿命周期管理，组织电子侦察系统详细设计、集成验 证、试飞等工作，统筹全寿命周期过程中出现的技术质量问题及技术服务工作，保证科研任务按计划执行。 岗位要求： 精通电子侦察专业知识； 具备较强的项目研制经验； 具有一定的领导能力、决策能力、计划能力、沟通能力。,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC516740720J40956288804.htm,1000-9999人,2025-09-30 09:48:55
资深软件架构专家,成都,成都某信息通信科技公司（央企）,硕士,10年以上,资深软件架构专家,4-8万,岗位要求：1.硕士研究生及以上学历，计算机、通信、互联网、IT、数学相关专业；2.有一线大厂产品管理经验，10年以上2B与2C产品工作经验，有国际化视野、海外教育背景工作经验者及有申报或参与国家重大专项经历者优先；3.主导业务平台的基础架构规划，能结合平台运行状况合理化提供优化建议，提升系统的稳定性和高效性；4.5年以上管理>20人研发团队经验，对目标管理，绩效管理有成功经验；5.业务能力，对企业...,互联网,http://jobs.zhaopin.com/CCL1318355140J40788794003.htm,500-999人,2025-11-04 10:03:30
SOA架构专家,成都,犀重新能源汽车有限公司,本科,10年以上,,2.5-5万,岗位职责：1、负责中央计算平台架构层面的SOA服务抽象、设计，确保抽象服务的高复用度和灵活度，输出相关接口文档，梳理并输出座舱SOA设计流程等2、负责中央计算平台中间件的架构设计。任职要求：1、统招本科及以上学历，计算机、软件工程、通信电子、自动化、汽车电子、车辆工程等相关专业 2、10年以上相关岗位工作经验，其中至少有1 - 2个整车SOA架构开发经历 3、熟悉相关编程语言，有android原生...,汽车研发/制造,http://jobs.zhaopin.com/CCL1486804690J40914346804.htm,1000-9999人,2025-06-20 11:33:53
软件架构岗,成都,中国航空工业集团公司雷华电子技术研究所,硕士,3-5年,,面议,岗位要求： 3年以上电子战/导引头行业经验，熟悉电子战/导引头系统知识和原理。 具有电子战/导引头行业软件架构设计经验，熟练掌握C/C++语言，具备独立开展软件架构设计的能力。 熟悉科研和质量控制流程。具备一定外语水平，看懂专业外文文献。 岗位职责： 1、软件系统架构类技术研究，识别关键技术，规划技术路线，策划实施途径，形成研制方案。主要包括：雷达开放式体系架构、分布式信号处理与系统控制架构、并行...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC516740720J40956286904.htm,1000-9999人,2025-09-30 09:45:01
高级软件系统架构师,成都,成都某信息通信科技公司（央企）,硕士,5-10年,高级软件系统架构师,4-8万,岗位要求：1、硕士研究生及以上学历，通信、电子、计算机等相关专业；2、5年以上相关工作经验，精通Java后端开发，有大型系统架构设计经验；3、有大型分布式、高并发、高负载、高可用性系统设计开发经验优先；4、扎实的技术功底，优秀的沟通和协调能力，有较强的学习能力和逻辑思维能力，具备一定的文档撰写能力；5、具备相关行业产品研发或项目管理经验者优先；岗位职责：1、负责软件系统的架构设计、研发工作；2、将...,互联网,http://jobs.zhaopin.com/CCL1318355140J40788796003.htm,500-999人,2025-11-04 09:59:08
