职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
UE5游戏开发程序工程师,成都,成都夏尔天逸科技有限公司,本科,10年以上,"C++,UE5",3-6万·13薪,一、岗位职责：1.基于UE5引擎，完成游戏客户端程序开发任务，包含gameplay和系统开发。 2.参与项目核心架构设计，主导关键技术方案的制定与落地，负责游戏客户端核心功能模块架构及核心功能开发，并撰写相关技术文档。 3.负责项目的系统性性能优化与崩溃问题解决，提升项目稳定性和用户体验 4.工作中和策划、TA、美术人员紧密协作完成任务。协助制定游戏内容的整体解决方案。 二、任职要求： 1.计算机...,游戏,http://jobs.zhaopin.com/CC710909920J40824628813.htm,1000-9999人,2025-09-11 15:37:39
k12大班课运营经理,成都,成都市锦江区朴新树才晨辉教育培训学校有限公司,大专,3-5年,toC,3-5万,主要负责大班课运营管理【公司优势】（不限专业、不限教资）1、集团公司，安全感强，中高层均有10年以上行业经验，体系完善，口碑良好，生源稳定；2、人性化管理：拒绝加班3、员工子女可享受优惠或免费课程;4、工作氛围好、管理人性化，无官僚主义。工作职责：1：负责成都各校区的日常运营与销售工作，根据公司经营目标制定运营计划完成年度业绩指标2：迭代班课运营体系的sop流程，并指挥贯彻执行3：搭建运营团队结构...,培训/辅导服务,http://jobs.zhaopin.com/CC890754450J40848961002.htm,100-299人,2025-10-30 15:15:16
新媒体运营经理,成都,成都嘉合二手车销售有限公司,学历不限,3-5年,"短视频平台,抖音,微信视频号,汽车类,短视频运营,内容运营,直播运营",2-4万,您好，我们是成都嘉合 专营品质精品二手车抖音名字：嘉合二手车（鄢老板）我们有精准粉丝群体和超高转化率！工作职责：1、制定符合公司的新媒体整体战略，统筹全平台内容规划与执行节奏。2、负责抖音（主要）、小红书、微信视频号等核心流量平台的账号运营与内容优化，提升品牌曝光与线索获取效率。3、负责管理新媒体部门（主播、拍摄、剪辑、客服、邀约等人员）。4、建立数据监测体系，通过用户行为分析迭代运营策略，提升内...,零售/批发,http://jobs.zhaopin.com/CC406820530J40979397904.htm,20-99人,2026-01-10 14:13:17
游戏美术主美/资深/专家岗,成都,成都夏尔天逸科技有限公司,大专,5-10年,"动作设计,角色设计,场景设计,3D设计,主美,原画,次世代,地编",2.5-5万,除了原画角色以外，次世代角色、场景；动画；特效；皆有主美需求岗位职责：1、根据项目策划案需求，快速通过2d草图或者3D辅助概念有效地传达视觉创意。绘制游戏角色原画高标准风格，擅风写实硬表面风格；2、与3D建模师和动画师紧密合作，提供角色设计的细节参考，确保最终效果符合设计预期；与主美及制作人紧密合作，高质、高效的完成角色概念设计；3、短时间内提出多个设计方案，独立完成高品质的人设和立绘，跟进后续流...,游戏,http://jobs.zhaopin.com/CC710909920J40802345613.htm,1000-9999人,2025-07-21 17:23:08
运营经理（医美及私密）,成都,成都锦江仁济康和盆底康复门诊部有限公司,大专,5-10年,"门店运营,toC,数据运营,用户运营,产品运营",2-4万,岗位职责：1、医美及私密科室运营流程体系构建与优化，全流程梳理与诊断，标准化体系建设，跨科室协同机制建立；2、医美及私密运营效能提升与业绩推进，包括绩效管理体系搭建，数据分析与洞察，服务质量监控与提升；3、成本管控与预算管理：各科室成本核算与分析，预算编制与执行监控；4、团队协作与制度建设：作为运营核心枢纽，高效协调市场、销售、医疗、护理等职能部门，确保运营策略有效落地。5、培训与宣导：组织针对新...,卫生服务,http://jobs.zhaopin.com/CC868596950J40979279904.htm,20-99人,2026-01-09 16:19:42
康养运营经理,成都,中国平安人寿保险股份有限公司四川分公司4,本科,5-10年,"销售运营,产品运营,用户运营",2-4万,【康养中心运营经理】1、有医院、养老院、康复中心、体检机构等立项至筹备开业运营经验。2、有卫生系统（卫生局、卫健委）、高端养老等沟通对接经验，熟悉海内外康养运营模式优先。,保险,http://jobs.zhaopin.com/CCL1478998570J40746430606.htm,10000人以上,2026-01-09 09:03:38
游戏场景主美/场景美术Leader,成都,成都夏尔天逸科技有限公司,本科,3-5年,"场景设计,3D设计,UE4,Maya,3D MAX,PS,Zbrush,场景概念设计,关卡地编,游戏美术",3-5万·13薪,职位描述负责游戏场景美术团队（原画/3D地编/关卡环境）的创作管理与技术指导，主导场景风格制定及品质把控。根据项目需求，统筹场景原画概念设计、次世代场景资源制作、关卡环境搭建全流程，确保美术与玩法高度融合。制定场景美术规范与技术标准（如PBR流程、地形编辑、灯光氛围、Shader效果等），优化生产管线。协同策划、程序、TA等部门，解决场景相关的技术难题（如性能优化、LOD策略、开放世界流式加载等）...,游戏,http://jobs.zhaopin.com/CC710909920J40799607113.htm,1000-9999人,2025-07-15 10:32:56
内容安全产品运营-商业生态与安全,成都,字节跳动,本科,3-5年,,2-4万,岗位职责：1、负责产品运营工作，理解产品和业务场景，面向电商内容安全业务提供相关产品能力支持，助力业务目标达成与发展；2、与内部各业务建立良好的协作关系，及时跟进和收集相关业务需求，搭建相关需求运营机制；3、基于数据驱动制定产品运营指标，结合AI及行业前沿推动产品改进及运营策略优化，提升运营效率和平台产品的使用体验；4、负责跟进不同业务的产品需求，搭建一站式解决方案，打造标杆案例及产品推广和培训体...,互联网,http://jobs.zhaopin.com/CC469217510J40819464001.htm,10000人以上,2026-01-08 14:57:36
新媒体运营主管,成都,成都高新大韩原辰医疗美容门诊部有限公司,大专,3-5年,"短视频平台,图文平台,微信公众号,小红书,快手,短视频运营",2.5-4万,岗位职责：1、负责企业小红书自媒体的内容创意、策划、审核，打造新媒体矩阵，吸引粉丝进行转化，提升帐号形象和业绩，并跟踪推广效果;2、挖掘素材，结合产品运营内容，创作噱头，做好宣传3、制定并执行每月的新媒体传播规划，包括平台的视频图文等创意内容，确保内容持续输出与优化;4、负责新媒体相关内容、选题、执行、出稿等整体规划和运营管理，把握整体风格和方向;5、关注竞品及医美行业营销动态，结合品牌项目营销节...,美发/美容/保健,http://jobs.zhaopin.com/CCL1373419080J40387124911.htm,20-99人,2025-11-13 12:07:50
运营经理,成都,港铁商业管理(成都)有限公司,本科,10年以上,门店运营,2-4万,岗位职责： 1. 负责搭建轨道商业运营管理体系，建立标准化运营管理流程。 2. 负责指导下属合资公司的运营管理工作。 3. 全面负责中国内地车站商业项目日常运营管理，密切跟踪项目进度，及时发现并解决项目推进过程中的问题与风险，确保项目按计划有序进行。 4. 建立有效的项目监控机制，定期收集、分析项目相关数据，通过与项目计划对比，精准评估项目绩效，及时调整项目策略和资源分配，保障项目目标的达成。 5...,咨询服务,http://jobs.zhaopin.com/CCL1503585750J40804781701.htm,20-99人,2025-11-10 17:02:12
大模型训练（今日头条）-CQC,成都,字节跳动,本科,经验不限,,2-4万,岗位职责：1、支持今日头条业务安全策略模型结构设计、模型数据建设、模型训练迭代、模型效果评估等全链路工作，保证业务需求稳定交付；2、深入了解业务需求及流程链路，与组内同学、业务团队密切协作，根据业务指标、用户反馈等信息持续挖掘模型能力及策略优化空间，设计模型方案并保证高效高质落地；3、熟练掌握模型训练方式和应用场景，从解决业务痛点出发灵活运用大模型方法，不断提升模型训练及业务应用效果；4、制定、更...,互联网,http://jobs.zhaopin.com/CC469217510J40793598501.htm,10000人以上,2025-12-30 17:32:52
游戏特效专家,成都,成都夏尔天逸科技有限公司,本科,5-10年,"3D特效,UE4特效,角色特效,场景特效,光影特效,粒子特效,二次元风格,写实风格,Q版风格,游戏特效",2.5-4万·13薪,一、岗位职责：1、主导游戏特效技术方案，有高水平的技术理解力，对游戏机制有深入全面的了解，以便最有效地制作出高质量的视觉特效，并且能够评估和优化效果。2、精通各种相关软件和制作流程，并且将流程发挥到最好的效果。3、搭建公司内部特效知识库，组织技术培训与行业技术分享，收集用于指导的相关参考资料。能够在练习上和制作方法上给予初中级特效师指导；主导跨部门协作，推动特效技术标准化。二、岗位要求：1、8年以...,游戏,http://jobs.zhaopin.com/CC710909920J40754755413.htm,1000-9999人,2025-07-11 14:26:16
新媒体推广专员,成都,四川大鱼印象文化传媒有限公司,学历不限,经验不限,"直播运营,短视频运营",100-200元/时,主要协助我们老师做一些新媒体的日常推广工作，工作简单轻松，工资日结或周结，月均收入4000-8000,新媒体,http://jobs.zhaopin.com/CCL1515683790J40865057203.htm,20-99人,2025-12-27 10:40:33
运营兼职,成都,深圳市远近模特经纪有限公司,学历不限,经验不限,,100-200元/时,小红书/抖音/快手等平台内容发布【岗位内容】根据公司提供的素材，在平台发布帖子并后台回复私信，文案图文会提供。在家办公，工作期间不需要到公司来。【岗位要求】时间灵活，性格踏实，在校读书的大学生优先，不需要到公司面试。【薪资】日结兼职，每发布一条笔记，或者后台私信有目标客户咨询推微信过来，都有薪资结算。,广播/影视,http://jobs.zhaopin.com/CC468449720J40797053101.htm,100-299人,2025-12-25 10:59:30
电竞三角洲游戏代肝居家日结,成都,林州市郝李来网络科技中心(个体工商户),学历不限,经验不限,"端游,手游",100-200元/时,1、岗位介绍：游戏代练员（外部版）2、收益说明：每小时8-20米，根据游戏熟练度有差异3、结算周期：单价、日结或周结4、游戏类型：三角洲、原神、鸣潮、绝区零、崩坏星穹铁道、无限暖暖、燕云十六声、等热门游戏5、扶持力度：客服培训游戏攻略6、设备需求：千元手机或者1060显卡以上的电脑都可以7、时间要求：接单自由，完单时间比较宽松，通常为攻略的2-3倍时间，不同的长短订单1小时至30天的都有，自由选择...,互联网,http://jobs.zhaopin.com/CCL1515807120J40912070715.htm,20人以下,2025-12-23 15:18:59
电商运营经理,成都,千禾味业,本科,1-3年,"电商运营,淘宝,京东",3-3.5万·13薪,"岗位职责： 1、负责天猫系（包括天猫旗舰店、天猫超市），或京东系（包括京东超市、京东旗舰店）运维。 2、目标制定：负责板块业务的目标制定； 根据公司战略目标、年度规划，完成线上全渠道销售目标的制定、拆解。（包括销售目标、其他经营指标等） 3、业务管理：带领团队完成电商业务目标； 负责制定合理的、有效的店铺运营策略及运营方案,完成公司下达的销售任务和利润指标； 4、团队管理：根据目标进行团队配置及管...",快速消费品,http://jobs.zhaopin.com/CC339677710J40853201313.htm,1000-9999人,2026-01-04 10:48:26
新媒体运营日结兼职,成都,深圳市远近模特经纪有限公司,学历不限,经验不限,,100-200元/时,1、职位信息工作平台:快手/抖音/小红书工作具体内容:编辑图片/视频工作要求:每天1-3条，时间自由，按单提成制，多劳多得2、薪资详情薪资范围:2000-10000薪资结构:提成结算方式:月结3、收费情况是否收费:否收费项目(如有):否收费标准(如有):否,广播/影视,http://jobs.zhaopin.com/CC468449720J40797063301.htm,100-299人,2025-12-25 10:59:06
大模型运营专家（今日头条方向）-CQC,成都,字节跳动,本科,3-5年,,2-3.2万,岗位职责：1、基于今日头条内容治理业务，挖掘可借助大模型替代或提效的业务场景；2、通过分析业务流程，制定大模型应用策略，探索大模型接入业务后的收益并持续优化，实现模型与业务需求的高度契合；3、依据业务对大模型的需求，借助工具和算法，尝试通过自动化Workflow、Agent搭建等方式解决业务问题；或进一步对模型做微调训练，通过常规SFT等手段满足业务需求；4、与算法、产品、策略运营等多团队构建高效...,互联网,http://jobs.zhaopin.com/CC469217510J40793610101.htm,10000人以上,2025-12-30 17:32:41
省区渠道运营,成都,元气森林(北京)食品科技集团有限公司,本科,5-10年,"渠道运营,通路企划,RTM",1.5-3万·14薪,岗位要求：1、制定渠道发展策略与执行计划，为销售提供各销售渠道发展建议，通过渠道政策促进销售目标达成2、深入了解市场并分析销售数据，识别生意空白点和增长点，并制定相关执行策略3、根据渠道终端、销售产品及销售场景等因素，制定传统渠道终端成功图像，提升终端的精细化运作水平及产出4、推动渠道专项活动的落地执行，进行销售区域执行规划、执行、检核及结案管理工作，保障渠道目标达成5、各类渠道经营报表的管理及临...,快速消费品,http://jobs.zhaopin.com/CC812921020J40809343409.htm,1000-9999人,2026-01-11 00:32:02
连锁门店营运经理（火锅品牌）,成都,麻辣空间,本科,3-5年,"新媒体运营,用户运营,门店运营,抖音,小红书,微信公众号,toC",2-3万,岗位职责：1、负责制定和执行直营门店的营运策略，确保达成公司设定的经营指标，预算达成、成本管控、顾客满意度和人才梯队建设；2、定期巡视各门店，监督和指导门店的日常运营，包括服务流程、菜品质量、环境卫生等方面；3、分析销售数据和顾客反馈，制定改进措施以提升门店的经营业绩和顾客满意度。4、协助品牌营销部策划和组织执行营销活动，达成设定目标；5、协调各部门之间的工作，解决门店运营中的问题和突发情况；6、...,餐饮服务,http://jobs.zhaopin.com/CC147799050J40799211407.htm,1000-9999人,2026-01-09 00:07:41
营运经理,成都,成都美其格服饰有限公司,大专,5-10年,"销售运营,门店运营,活动运营",2-3万,1、战略规划制定、经营计划制定、年度目标制定并规划可行性营运策略确保完成任务；2、门店全面运营、营销规划及客户管理；3、管理、监督、指导下属人员工作、制定人员培养计划及绩效考核和奖惩管理，进行有效的人员管理4、主持营运部管理工作，各项工作事项计划总结，日常会议组织召开，品牌工作进度跟进、检查、协调，店铺巡视；5、与商品部同频推动执行，推动商品高效售罄；6、销售业绩的监管，库存的管控，营销活动沟通执...,服装/纺织/皮革,http://jobs.zhaopin.com/CC841449430J40826018409.htm,500-999人,2026-01-09 00:00:01
客户运营主管,成都,卓正医疗,本科,5-10年,"用户运营,客服,医疗机构,英语四六级",1.5-3万,岗位职责● 客户需求挖掘与服务交付：带领团队聚焦医疗及高端服务业客户，精准挖掘高端医疗险客户个性化健康需求，结合医疗专业知识定制服务方案；协助医生提供针对性治疗建议，保障方案贴合需求，提升客户满意度。● 团队服务全流程管理：带领团队统筹全流程服务资源；参照高端服务标准优化环节细节，及时协调解决客户问题，打造优质体验，保障服务质量达标。● 团队目标与数据管理：统筹团队季/年度KPI拆分与达成计划；定...,卫生服务,http://jobs.zhaopin.com/CC495423720J40915060615.htm,1000-9999人,2026-01-08 09:20:57
