职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
全案设计总监,成都,四川迎春花科技有限公司,大专,5-10年,"SKetch,3D MAX,Sketchup",3-6万,主要职责：带领团队专业高效完成别墅客户设计交付落地全流程工作岗位要求：1、专业设计水平过硬：有8年以上专业设计公司的工作经验、500平方米及以上大宅的多套设计落地案例、具有含金量的国际国内奖项或者有传统中式美学案例经验优先——划重点2、热爱中国传统文化，喜爱中国传统建筑园林及中式审美水平较高；3、懂建筑结构、材料、软装，和具备较强的沟通协调能力和踏实的落地服务态度4、具有持续学习能力与设计创新能力...,建筑设计,http://jobs.zhaopin.com/CCL1294028550J40756666612.htm,20-99人,2025-06-18 16:42:31
矿山设计院院长,成都,首森勘察设计有限公司,本科,10年以上,,3-5万,岗位职责： 1. 负责矿山设计院的全面管理工作，确保设计院运营高效、顺畅。 2. 制定和实施设计院的发展规划、年度工作计划和目标。 3. 负责设计项目的质量控制和进度管理，确保项目按时按质完成。 4. 统筹院内技术资源，提升设计院的技术创新能力和核心竞争力。 5. 维护和开拓客户关系，提高客户满意度。 岗位要求:1. 矿山设计、工程管理等相关专业本科及以上学历，高级职称。 2. 10年以上矿山设计...,工程技术与设计服务,http://jobs.zhaopin.com/CCL1477269490J40751168605.htm,20-99人,2025-09-05 15:29:46
游戏美术主美/资深/专家岗,成都,成都夏尔天逸科技有限公司,大专,5-10年,"动作设计,角色设计,场景设计,3D设计,主美,原画,次世代,地编",2.5-5万,除了原画角色以外，次世代角色、场景；动画；特效；皆有主美需求岗位职责：1、根据项目策划案需求，快速通过2d草图或者3D辅助概念有效地传达视觉创意。绘制游戏角色原画高标准风格，擅风写实硬表面风格；2、与3D建模师和动画师紧密合作，提供角色设计的细节参考，确保最终效果符合设计预期；与主美及制作人紧密合作，高质、高效的完成角色概念设计；3、短时间内提出多个设计方案，独立完成高品质的人设和立绘，跟进后续流...,游戏,http://jobs.zhaopin.com/CC710909920J40802345613.htm,1000-9999人,2025-07-21 17:23:08
（海外）设计经理(J12868),成都,四川杰瑞恒日天然气工程有限公司,本科,经验不限,"油气化工,EPC项目设计,海外项目经验",2-3.5万,岗位职责: 1.设计经理是设计控制的第一责任人，在项目经理的领导下负责组织、指导和协调项目的设计工作，对项目实施中的设计进度、设计费用（设计人工时）和设计质量负责； 2.负责代表公司直接与用户（业主）、专利商、供货商洽谈和处理设计问题或技术问题； 3.负责与业主、设计分包单位以及项目各部门/专业之间的联络和协调； 4.负责组织实施各阶段设计策划、评审、验证、会签等工作，贯彻公司体系文件要求，并进行...,石油/石化,http://jobs.zhaopin.com/CC468825680J40800869209.htm,100-299人,2025-12-30 16:54:53
集团企划空间形象与美陈规划总监-W人集团总部,成都,成都建国汽车贸易有限公司,本科,5-10年,"地产,酒店,企划",2.5-3.5万,加入行业巨擎，执掌百店美学与未来园区蓝图！东创建国汽车集团，中国西南地区领先的汽车经销商集团，坐拥 30+个国际知名汽车品牌代理权，运营 300+ 家高标准4S店及服务网点，业务持续扩张中！现因集团战略升级与大型汽车产业园区规划建设需要，特聘一位深谙品牌空间美学与商业动线规划的领军人物。您将主导的核心战场1. 全集团门店形象标准化与卓越呈现：权威专家： 深度解读并精准把控各合作汽车品牌厂家（如：奔...,汽车4S店/经销商,http://jobs.zhaopin.com/CC120958960J40827814114.htm,10000人以上,2025-12-30 10:07:55
游戏场景主美/场景美术Leader,成都,成都夏尔天逸科技有限公司,本科,3-5年,"场景设计,3D设计,UE4,Maya,3D MAX,PS,Zbrush,场景概念设计,关卡地编,游戏美术",3-5万·13薪,职位描述负责游戏场景美术团队（原画/3D地编/关卡环境）的创作管理与技术指导，主导场景风格制定及品质把控。根据项目需求，统筹场景原画概念设计、次世代场景资源制作、关卡环境搭建全流程，确保美术与玩法高度融合。制定场景美术规范与技术标准（如PBR流程、地形编辑、灯光氛围、Shader效果等），优化生产管线。协同策划、程序、TA等部门，解决场景相关的技术难题（如性能优化、LOD策略、开放世界流式加载等）...,游戏,http://jobs.zhaopin.com/CC710909920J40799607113.htm,1000-9999人,2025-07-15 10:32:56
设计管理部副部长,成都,中国化学工程第七建设有限公司,本科,5-10年,,3-3.5万,职责描述：1.协助部长完成部门工作计划，进行制度及流程建设、运行及管理，协助部长进行本部门内部管理，协助部长对部门员工工作进行监督、检查、指导和考核。2.负责部门设计业务对接、市场开拓和资源维护具体工作的组织与实施。3.负责项目合规评价、设计项目的预审及立项、初步经济评价、项目投标的公司内部协同等专项工作的组织与实施。4.协助部长完成专业技术资源及设计人力资源的配置。5.协助部长开展项目前期咨询、...,工程施工,http://jobs.zhaopin.com/CC224012120J40834089412.htm,1000-9999人,2025-12-04 18:00:30
空间设计总监（企业文化设计与呈现）,成都,成都建国汽车贸易有限公司,本科,5-10年,"视觉设计,CorelDRAW,3D MAX,空间打造,美陈设计,企业文化落地,商业空间设计",2-3万,一、岗位职责：1. 全集团门店形象标准化与卓越呈现：权威专家： 深度解读并精准把控各合作汽车品牌厂家（如：奔驰、宝马、奥迪、大众、通用等）的 CI/VI/SI 标准规范，确保其在所有门店的100%高标准落地。软装&IVI总控： 全面负责全国所有4S店、城市展厅、售后中心的软装设计、氛围营造、形象与识别（IVI）系统的规划、执行与验收，打造极致品牌体验空间。标准制定者： 建立并持续优化集团层面的《门...,汽车4S店/经销商,http://jobs.zhaopin.com/CC120958960J40835166214.htm,10000人以上,2026-01-06 10:39:47
SD材质美术师-leader岗,成都,成都夏尔天逸科技有限公司,大专,5-10年,"SD材质师,SD材质",2.5-3.5万·13薪,岗位职责：1、负责建立、并持续优化公司的Substance Designer材质制作流程、规范与质量标准。2、构建和维护公司的核心材质库、智能材质模板与函数库，提升材质资产的复用性和生产效率。3、定期组织内部技术分享与系统化培训，提升团队整体材质表现力和技术解决能力，培养后备人才。4、参与项目前期关于SD材质的技术评估，能精准理解项目材质的复杂需求（如风格化、写实风、程序化生成等）。针对高难度的材...,游戏,http://jobs.zhaopin.com/CC710909920J40838644313.htm,1000-9999人,2025-11-03 15:07:33
建筑设计总监/经理,成都,四川省清凤现代房地产开发有限责任公司,本科,10年以上,CAD,2-3万,1、负责与设计单位的联络、沟通，完善和优化设计方案，推出符合市场需求的产品并负责建立公司系列化产品的技术标准；2、负责管理、优化、审核各阶段、各类别设计方案，把握设计方案，控制设计各过程（规划、建筑、园林、装修）的设计、实施效果；3、跟踪新型建筑材料、建筑设备发展动态，参与设计材料的选定及产品标准化工作，审核并控制项目成本；4、负责建立并完善公司项目工程管理的各类工作指引及工程技术标准，与各部门协...,房地产开发,http://jobs.zhaopin.com/CC605302520J40647292606.htm,500-999人,2025-03-01 23:28:51
