职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
销售专员（机械）,成都,北京航天希尔测试技术有限公司,本科,1-3年,"企业客户,区域销售",20-25万,岗位描述1.根据公司及部门销售任务开展销售工作，完成各项销售指标;2.具备一定的机械理论知识，拥有较强的动手与学习能力；3.对现有市场和客户进行分析，发现客户的潜在需求，引导相关客户的现有需求，达成销售目标;4.根据客户需求的特点，为客户提供最优产品解决方案:5.负责与客户之间的商务谈判，建立客户关系，提高合同额和利润率;6.负责协调各种内部、外部资源，解决在项目实施过程中出现的问题，提高客户满意...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC340100210J40962894004.htm,100-299人,2025-10-31 10:21:19
总经理（分公司总经理，业务总监、运营总监）,成都,成都长兴人力资源管理有限公司,本科,3-5年,"组织发展,人力资源规划,员工关系,企业文化,招聘",15-25万,岗位职责： 1、全面组织实施公司的有关决议和规定，全面完成领导下达的各项指标，并将实施情况向领导汇报。 2、根据领导的要求确定公司的经营方针，建立公司的经营管理体系并组织实施和改进，为经营管理体系运行提供足够的资源。 3、主持公司的日常各项经营管理工作，组织实施公司年度经营计划和运营方案。 4、负责召集和主持公司办公会议，协调、检查和督促各部的工作。 5、根据市场变化，不断调整公司的经营方向，使公...,人力资源服务,http://jobs.zhaopin.com/CC573202620J40222686702.htm,20人以下,2025-10-27 09:54:43
销售专员,成都,成都地满科技有限公司,大专,1-3年,,12-24万,1、根据公司整体业务战略发展的需要，开发新客户； 2. 负责销售订单交付情况的对接与跟进； 3. 负责销售款的跟进催收； 任职要求： 1、能吃苦耐劳，沟通和学习能力强； 2.PCB和元器件销售经验者优先，拥有相关定向客户资源者优先；薪资： 6万/年以上不封顶,通用设备制造,http://jobs.zhaopin.com/CC480821480J40699085205.htm,20-99人,2024-11-05 13:55:40
高级营销运营总监（Global）,成都,成都云雅信息技术有限公司,本科,5-10年,"电商运营,新媒体运营,销售运营,亚马逊,跨境电商,SAAS平台",5.5-11万,工作地点： 中国成都（支持灵活办公） 我们是卖家精灵团队，我们的产品已服务于全球超过50个国家和地区的电商卖家，是全球领先的亚马逊卖家智能运营平台； 我们目前正在寻找一位具备全球视野和战略思维的高级营销领导者，负责公司的全球营销大盘。产品官网可搜“卖家精灵”查看。 岗位职责 1.全球营销战略制定 制定并执行公司全球营销战略，确保各区域市场策略与公司整体目标对齐。 建立全球营销运营体系，制定标准化流...,互联网,http://jobs.zhaopin.com/CC661448420J40904528208.htm,100-299人,2025-12-04 17:17:17
网络合伙运营团队,成都,四川都睿感控科技有限公司,大专,5-10年,"网络销售,渠道销售,代理商销售",5-9.9万,职位描述公司主要经营：1、传感器（电量、开关量）；2、无人值守系统平台软硬件；3、检测装置等，网站：https://www.scdrgkprj.com/cn/cn.html岗位职责描述：1、通过网络运营，助力公司网络运营销售，实行利润或销售额分成，团队具备深厚的销售推广经验及相应能力；2、具有较强客户维护能力，可以进行行业高层客户关系开发与维护工作；3、拥有销售团队建设管理能力，具备较高市场开拓及...,工业自动化,http://jobs.zhaopin.com/CC478318480J40834293414.htm,20-99人,2026-01-01 12:33:28
商业运营总监,成都,重庆仁安控股有限公司,本科,10年以上,商业地产,5-8万,一、岗位职责1. 项目全周期管理 - 统筹商业地产项目的开发、设计、招商、运营及资产退出全流程，确保项目收益目标达成。 - 制定项目整体开发计划、预算及收益模型，监督关键节点执行（如规划、建设、开业、运营）。 2. 战略规划与资源整合 - 根据集团战略，制定项目定位、业态规划及招商策略，协调设计、工程、招商、运营等多部门协同落地。 - 整合内外部资源，推动项目价值最大化。 3. 招商与品牌落位 -...,房地产开发,http://jobs.zhaopin.com/CC555859620J40775141403.htm,1000-9999人,2026-01-06 01:04:37
售后服务专员（双休）,成都,中国人寿保险股份有限公司简阳市支公司,高中,经验不限,全白班,4-8万,保险售后/客户服务岗热招中岗位亮点客户服务核心岗 | 全流程保单维护 | 双休+法定假全休 | 薪资随能力稳步增长你将负责1.客户专属服务：承接公司分配的客户名单，围绕保单全生命周期提供优质、专属服务，成为客户信赖的保险服务伙伴。2.保单全流程管理：负责客户资料整理与精准存档；主导保费续收，通过专业沟通提醒保障保单持续有效；高效处理理赔服务，从资料收集到进度跟进全程护航，让客户安心；根据客户需求调...,保险,http://jobs.zhaopin.com/CC445047130J40789268707.htm,100-299人,2025-10-21 10:47:33
运营总监,成都,昌都市卡若区明珠物业服务有限公司,本科,3-5年,"销售运营,产品运营",4-8万,岗位内容：1. 制定和执行公司运营策略，实现业务增长和盈利目标2. 分析市场和用户需求，优化产品和服务的特性和差异性3. 挖掘和引入新的运营模式和流程，提高效率和降低成本4. 合理规划并管理预算，确保预算使用的高效5. 协调各部门和团队间的合作，保证工作流程的顺畅和高效任职要求：1. 熟练掌握市场和流程管理的基本原则和理论2.具有丰富的团队管理和协调能力，擅长解决复杂问题3.拥有扎实的数据分析和业...,景区/商业/市场等综合管理,http://jobs.zhaopin.com/CCL1491575820J40733548807.htm,20-99人,2025-08-09 09:07:43
抖音运营总监,成都,成都华神科技集团股份有限公司,本科,3-5年,"电商运营,直播运营,新媒体运营",3.5-6.5万,一、岗位职责1. 战略规划与目标管理：制定抖音/快手/视频号等平台的年度营销策略、GMV目标及预算分配，对销售业绩和渠道利润负责。搭建账号矩阵（品牌自播号、达人号、种草号），完成从0-1的起号、稳号及规模化复制。2. 内容与IP运营：主导账号定位、人设打造、爆款内容策划（短视频/直播），结合热点及用户需求提升粉丝量、互动率及转化率。管理内容全流程：选题→脚本→拍摄→剪辑→投放，确保内容质量与平台算...,医药制造,http://jobs.zhaopin.com/CC130992090J40724806916.htm,500-999人,2025-06-20 10:23:31
运营副总,成都,成都中嘉微视科技有限公司,本科,5-10年,"战略管理,运营管理,生产管理,企业运营,技术资源",3-5万,岗位职责:1、基于公司目标、KPI，根据业务需求，制定运营管理部门目标、计划，完成任务闭环；2、负责梳理现有项目流程与关键节点，协调内外资源，确保在制项目按时交付并顺利通过FAT；3、负责统筹各个项目的售后管理与验收工作，保障本部门产值和营收目标达成；4、负责制定部门年度效率提升计划、年度质量改进计划，并建立跟踪反馈机制；5、负责运营管理部门人员招聘、任用考核、培训、晋升、激励、人才盘点等事项；6...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC889274400J40832540510.htm,100-299人,2026-01-09 09:02:52
