职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
空气环境产品开发经理,重庆,理工清科(重庆)先进材料研究院有限公司,本科,3-5年,"空气净化材料,产品开发",2.5-4.5万,职位定位：负责将公司已有的空气净化，以及除湿材料优势转化为设备或系统产品，统筹研发、工艺设计、设备开发与产业化落地，推动材料到产品的完整链条。 主要职责： 1.产品开发：基于公司净化与除湿材料，设计和开发空气净化设备、除湿模块及复合型系统产品。 2.工艺设计与优化：负责设备工艺流程设计，提升产品性能、稳定性与能效。 3.技术集成：整合滤芯、风机、管路、控制系统等模块，形成完整的空气环境解决方案。 ...,学术/科研,http://jobs.zhaopin.com/CCL1405507520J40864598303.htm,20-99人,2026-01-05 01:07:17
工厂技术部经理,重庆,重庆黄越科技有限公司,本科,5-10年,"Java,MVC开发,U3D开发",2.5-4万,岗位职责：1、负责制定和执行技术中心的战略规划，确定技术中心的发展方向、目标和策略，确保与企业发展整体战略的一致性;2、负责部门组建和团队管理，培养和提升团队成员的专业技术能力何创新能力，确保与企业发展整体战略一致性；3、负责领导团队、分配资源，根据项目需求，完成新项目的报价、设计、评审评审和图纸输出，确保项目开发目标达成；4、负责新项目设计预算控制，包括不限于开发人工费用、试验费用、设变费用、产...,汽车零部件,http://jobs.zhaopin.com/CCL1513630640J40822266814.htm,500-999人,2025-12-26 09:30:36
研发部部长,重庆,重庆两江新区人才发展集团有限公司,硕士,5-10年,,2.5-3.5万,岗位内容：1.负责组织公司新产品的开发；2.负责组织科研项目申请及实施；3.负责组织科研成果申报；4.负责研发部的日常管理。任职要求：1.金属材料相关专业背景；2.硕士及以上学历；3.5年以上科研管理经验。,人力资源服务,http://jobs.zhaopin.com/CCL1470456400J40889030308.htm,10000人以上,2025-10-11 10:29:10
硬件开发部经理,重庆,重庆天如生物科技有限公司,本科,5-10年,,2-3万,岗位职责1. 负责团队完成公司硬件开发部项目的整体规划、管理与监督；设定团队目标和绩效标准，激励团队成员，提升团队士气和凝聚力；提供技术指导和支持，解决团队在开发过程中遇到的技术难题；2. 产品需求的收集，制定项目开发计划，牵头对产品的系统、架构进行设计；3. 负责系统方案、子系统详细设计的评审和把关； 4. 负责参与产品的功能、稳定性和可靠性测试、EMC测试、安规测试；5. 负责产品开发及过程文...,医疗设备/器械,http://jobs.zhaopin.com/CC501908020J40923772004.htm,20-99人,2026-01-12 01:07:54
科技攻关岗,重庆,川仪股份,博士,无经验,,面议,1.跟踪行业最新技术动态，研究新的产品技术设计方案和技术；2.掌握新产品开发基本流程和技术设计规范，能根据项目要求参与产品总体方案的设计，开展详细方案设计及计算，落实产品设计和实现等工作；3.对设计的新产品进行调试和功能测试；4.根据项目的总体计划进度提出、落实开发进度计划；5.参与产品相关的质量评审和问题分析，确保产品设计符合质量标准和规范；6.编写和维护产品相关的技术文档，包括设计文档、测试报...,仪器仪表制造,http://jobs.zhaopin.com/CC296144710J40779904316.htm,1000-9999人,2025-12-22 11:36:02
应用开发经理 - 前端,重庆,中美联泰大都会人寿保险有限公司,本科,5-10年,"JavaScript,HTML5,ANDROID, IOS",1.5-3万·15薪,岗位职责:1、与业务人员、产品经理、业务分析员等项目干系人交流沟通，完成需求分析，工作评估，计划安排等工作；2、参与系统架构设计，提供解决方案，完成需求评审、设计、编码工作；3、对所负责系统模块的代码质量、代码缺陷修复、新功能开发、开发进度管理工作负责；4、制定合理的工作计划，并在执行过程中不断监控和管理风险，消除风险，避免对项目造成不良影响；5、对供应商提供的服务进行日常管理和监控，及时提出改善...,保险,http://jobs.zhaopin.com/CC139431370J40703490307.htm,1000-9999人,2025-03-11 17:55:54
研发项目经理,重庆,重庆山外山血液净化技术股份有限公司,本科,3-5年,,2-2.5万·13薪,岗位职责：1、负责研发项目全周期管理相关工作；2、负责制定项目计划（包括目标、进度、预算和资源分配），组织明确技术路线及里程碑目标；3、负责组建和管理项目团队，明确团队成员的角色和职责分工，合理分配及协调项目各项资源；4、负责与项目有关的跨部门协调，跟踪项目进度并组织解决关键问题；5、负责识别项目风险并组织制定应对策略，监控风险的实施情况；6、负责组织评估研发变更需求，并实施和监控研发项目的变更管...,医疗设备/器械,http://jobs.zhaopin.com/CC343078780J40702204506.htm,1000-9999人,2026-01-05 01:14:23
研发部经理,重庆,重庆奇派电子有限公司,本科,5-10年,,1.8-2.5万,工作职责：1. 根据公司制度和发展规划，全面负责部门管理工作；2. 组织制定科研管理程序文件和管理制度；3. 根据部门职责分工，策划、监督、检查、考核部门各项工作；4. 编制部门中长期建设规划、年度科研计划；5. 贯彻落实国军标、各类工程标准和技术标准等规范，解决新品研发设计、试制及生产过程中的技术、质量等问题，组织开展技术预研、生产维护等工作，推进产品标准化进程，组织各阶段评审工作；6. 负责产...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC323963210J40709906611.htm,10000人以上,2025-12-29 09:37:40
研发经理,重庆,五五海淘(上海)科技股份有限公司,本科,经验不限,"Java,PHP",1.2-2.4万,岗位职责：1、负责公司SaaS产品的研发工作，深入理解业务需求，进行技术方案设计、实现与优化；2、团队技术路线规划、架构设计及技术攻坚；3、负责技术团队人才培养、团队管理等工作，优化提升研发质量和效率；4、熟悉PHP高级特性，深入理解各种设计模式和应用场景；熟悉主流PHP框架及类库，并掌握其原理；5、熟悉互联网常用技术、中间件、微服务框架和架构；6、有较强的发现、分析、解决问题能力；具备良好的服务...,互联网,http://jobs.zhaopin.com/CC402903430J40775018507.htm,100-299人,2025-07-18 14:48:21
高级web前端工程师,重庆,北京仁屿科技有限公司,本科,5-10年,"React,Vue",1.6-2.3万·14薪,岗位职责：1、独立负责简单应用或复杂应用(PC/H5/小程序)的模块，代码的规范性强、可读性好；2、承接开发需求，独立完成系统方案设计、开发联调和自测等工作，保障项目顺利上线；3、能够按规范进行组件拆分，沉淀组件可公共方法库、产出业务技术文档。任职资格：1、本科以上学历，熟练掌握计算机基础知识(计算机基础理论、数据结构、网络)和前端(JS/CSS/HTML)基础知识；2、熟练熟练掌握VUE/ Re...,电子商务,http://jobs.zhaopin.com/CCL1511492330J40974456604.htm,100-299人,2025-12-17 14:34:31
研发经理,重庆,重庆凯成科技,大专,3-5年,,1.2-2.2万,岗位职责1、负责研发部门的日常工作；2、对产品结构设计、平面制作或者平面设计、工艺制作规划、技术标准制定、模治具制作、产品排线、产能预估等各项工程相关工作的实施； 3、跟进新品样板开发进度及质量，根据材料、工艺、模具完成 DFM 报告，BOM表；4、推进研发工作计划；5、根据客户的产品设计整体包装方案及样品测试改进；6、技术专利申报；7、对公司技术研发项目的实施策略提出方案，并组织实施和监督等工作...,印刷/包装/造纸,http://jobs.zhaopin.com/CC312293580J40776179405.htm,1000-9999人,2025-09-16 16:32:01
