职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
电气工程师,重庆,摩西智能工业股份有限公司,大专,3-5年,"非标自动化,西门子,汇川,设计,PLC设计,三菱",2-4万,岗位职责：1、电气系统设计与开发：负责标准设备及产品的电气系统设计与开发。2、编程与调试：承担电气系统标准化框架搭建编程与系统调试工作。3、技术文档与标准化：负责技术文档编制与电气标准化体系建设。4、项目管理与协作：参与样机打样测试，提供技术支持与协作。5、技术文档与标准化：编写和归档技术文档、设计规范等，输出完整、规范的BOM清单及工程资料。 岗位要求： 1.、大专及以上学历，3年以上非标自动化...,仪器仪表制造,http://jobs.zhaopin.com/CC671288420J40904256608.htm,100-299人,2025-12-03 15:22:57
电控软件应用层工程师,重庆,东方鑫源集团有限公司,本科,3-5年,MCU,1.8-3.5万·13薪,1、负责MCU控制、仿真模型搭建与仿真； 2、负责电机控制器底层软件开发，包括电机控制算法实现、状态机、故障诊断及保护、CAN通讯等，完成台架及整车上的功能、性能标定及测试，并解决相关技术问题；3、完成应用层软件的需求分析、功能定义等，完成应用层软件与底层软件接口的设计；4、根据功能定义完成底层软件各模块的详细设计及代码实现以及MCU的生产、调试、及台架、整车测试工作；MCU现场问题的排查分析和解...,汽车研发/制造,http://jobs.zhaopin.com/CC880859730J40815130611.htm,10000人以上,2025-12-17 14:36:48
电控算法负责人（FOC方向）,重庆,神驰机电,本科,5-10年,"FOC,永磁同步电机矢量控制",3-3.5万,岗位职责: 1.设计电机控制策略，并完成FOC算法在嵌入式平台的部署与验证。 2.主导机电控制系统架构设计，涵盖嵌入式软件、传感器集成、执行器驱动开发及机械结构协同优化。 3.搭建电机可靠性测试平台，设计自动化测试治具及 HIL（硬件在环）测试方案，覆盖耐久性、温升、EMC 等测试场景。 4.推动跨部门（硬件 / 算法 / 生产）技术落地，主导设计评审、故障根因分析及解决方案输出。 任职要求: 1...,通用设备制造,http://jobs.zhaopin.com/CC631382620J40737575106.htm,1000-9999人,2025-12-03 13:42:57
电气自动化主任工程师,重庆,大瀚人力资源集团,本科,5-10年,"安装/调试,维修/保养,ABB,发那科",2-3万,岗位职责1.主持设备电气板块全面工作带领电气工程师 、 维修工对产线设备电气展开维护、维修工作2.对电气工程师 、 维修工提供技术指导和支持 ， 研究 电气新技术应用和推广3.指导电气工程师制定和实施电气设备标准化管理4.主导制订和推行电气设备维修保养计划和标准主导优化和提升电气自动化等相关 设备性能 ， 降低故障率提高设备效率 ， 降低使用和维护成本任职要求1.知识要求：电工学、电子电路、自动控...,咨询服务,http://jobs.zhaopin.com/CC579375820J40913539915.htm,500-999人,2025-12-30 17:26:08
电控软件底层工程师,重庆,东方鑫源集团有限公司,本科,3-5年,,1.8-3.5万·13薪,1、电机控制器、国产芯片底层软件开发，包括UDS、Bootloader、CAN驱动、ADC、DsAdc、DMA、中断、GTM、时钟等；2、在资深工程师指导下吸收和应用电驱电机控制器底层软件代码；3、参与控产品测试及相关问题的解决；4、完成应用层软件的需求分析、功能定义等，主导完成应用层软件与底层软件接口的设计；5、根据公司流程体系，按项目要求完成各阶段技术文档的编写及软件发布等；,汽车研发/制造,http://jobs.zhaopin.com/CC880859730J40815130011.htm,10000人以上,2025-12-17 14:34:55
自动控制工程师,重庆,苏州智氪纪元机器人有限公司,本科,3-5年,"自动化设计,电气设计,设计",1.5-3万·13薪,岗位职责：1、根据特种机器人开发需求提出自动控制方案；2、进行电气元件选型、电气原理图、电气接线图的设计与输出；3、机器人PLC、多轴运动控制器、组态软件等编程与调测；4、机器人移动底盘运动控制、机械臂控制及控制算法开发；5、自动控制技术支持工作，解决项目中的控制技术问题；6、负责软件说明、功能特征等技术文档输出。任职要求：1、 本科及以上学历，自动化相关专业，3年及以上自动控制设计相关工作经验优...,机器人,http://jobs.zhaopin.com/CCL1506249770J40790890309.htm,100-299人,2025-10-25 21:43:00
机器人集成工程师\电气自动化主任工程师,重庆,悦汇(天津)咨询有限公司,本科,5-10年,"机器人编程,机器人集成,机器人工艺,机器人结构设计,库卡,ABB,发那科,西门子,PLC",2-3万,岗位职责：1、负责机器人系统的集成与调试工作；2、参与机器人项目的方案设计和技术选型；3、与客户沟通需求，制定项目实施计划并按计划推进实施；4、进行机器人系统的安装、配置和维护工作；5、解决项目实施过程中遇到的技术问题。岗位要求： 1、本科及以上学历，专业不限，机械工程、自动化等相关专业优先； 2、具有6年+机器人集成相关工作经验； 3、熟悉机器人FANUC\ABB\KUKA机器人维修维护、故障排...,咨询服务,http://jobs.zhaopin.com/CC882110990J40813903814.htm,10000人以上,2025-10-23 09:53:48
检测自动化研发-社招,重庆,招商局重庆公路工程检测中心有限公司,硕士,经验不限,,2-3万,岗位职责：1.探索新技术在公路交通检测、养护业务的创新应用；2.利用无人机等技术进行桥梁检测机器人研发；3.负责公司科技研发项目的推进工作；4.负责政府资金项目（国家/省市级科技计划、自然基金、重点研发等）项目申报及实施；任职要求：1. 自动化、计算机科学、人工智能等相关专业，硕士及以上学历；2. 熟悉GNSS导航、惯性导航定位原理、视觉SLAM、雷达导航等前沿技术及原理基础；3. 熟悉C/C++...,检测/认证,http://jobs.zhaopin.com/CC819901190J40813266013.htm,500-999人,2025-09-09 08:38:20
电气自动化工程师,重庆,重庆匠丰自动化设备有限公司,大专,3-5年,"PLC设计,西门子,三菱",1.5-2.7万·13薪,电气PLC工程师要求：1、电气相关专业本科及以上学历(经验丰富者可适当放宽);2、8年以上年电气设计行业，参与过焊接生产线调试工作至少3个项目以上；3、熟悉西门子PLC及触摸屏编程；要求有线体调试经验优先，有长安汽车或吉利汽车线体调试经验优先；4、熟悉各类传感器及低压元件性能；岗位职责1、负责电气控制方案制定、设计、相关电气元件选型、指导安装等工作。2、负责电气控制程序编写、调试等工作。3、负责项...,工业自动化,http://jobs.zhaopin.com/CCL1452454500J40482450206.htm,20-99人,2025-12-16 09:08:35
制动电控工程师,重庆,赛力斯集团股份有限公司,本科,经验不限,,1.5-2.5万·13薪,1、负责新项目制动电控产品的开发，完成零部件3D数据、2D图纸、检查技术条件、特殊特性清单等技术资料的整理及输出；2、负责制动电控零部件试验大纲的输出、试验及试装的跟踪确认，完成各类问题的梳理及整改；3、负责制动电控产品的对标分析及优化设计，完善零部件设计规范；4、负责响应测试、路试、售后反馈的制动电控零部件质量问题，及时分析并制定优化方案，有效解决；5、配合完成制动系统性能的匹配调校、NVH性能...,汽车研发/制造,http://jobs.zhaopin.com/CC465219810J40837747803.htm,10000人以上,2026-01-09 01:05:41
