职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
科技攻关岗,重庆,川仪股份,博士,无经验,,面议,1.跟踪行业最新技术动态，研究新的产品技术设计方案和技术；2.掌握新产品开发基本流程和技术设计规范，能根据项目要求参与产品总体方案的设计，开展详细方案设计及计算，落实产品设计和实现等工作；3.对设计的新产品进行调试和功能测试；4.根据项目的总体计划进度提出、落实开发进度计划；5.参与产品相关的质量评审和问题分析，确保产品设计符合质量标准和规范；6.编写和维护产品相关的技术文档，包括设计文档、测试报...,仪器仪表制造,http://jobs.zhaopin.com/CC296144710J40779904316.htm,1000-9999人,2025-12-22 11:36:02
前端校长（江北校区）+五险+月休六天,重庆,重庆小题创博网络咨询有限公司,大专,1-3年,"小学,初中,高中,团队管理经验,前端招生,校区运营经验",1.5-3万,一、岗位职责1.制定销售计划，咨询团队的培训和数据的完成2.带领团队完成销售工作（电话邀约及面谈签单）3.配合校区完成其它工作4.组织团队成员的培训，确保团队成员具备专业知识，提高销售能力二、任职要求1.大专及以上学历，不限专业，教育相关专业优先。2.1-2年以上K12教育行业相关经验。3.强烈的目标意识和工作责任感，对工作，对家长，学生负责三、薪资待遇1.底薪+提成+社保；团队提成，综合薪资2-...,培训/辅导服务,http://jobs.zhaopin.com/CCL1481759560J40820612015.htm,100-299人,2025-03-13 11:40:36
应用开发经理 - 前端,重庆,中美联泰大都会人寿保险有限公司,本科,5-10年,"JavaScript,HTML5,ANDROID, IOS",1.5-3万·15薪,岗位职责:1、与业务人员、产品经理、业务分析员等项目干系人交流沟通，完成需求分析，工作评估，计划安排等工作；2、参与系统架构设计，提供解决方案，完成需求评审、设计、编码工作；3、对所负责系统模块的代码质量、代码缺陷修复、新功能开发、开发进度管理工作负责；4、制定合理的工作计划，并在执行过程中不断监控和管理风险，消除风险，避免对项目造成不良影响；5、对供应商提供的服务进行日常管理和监控，及时提出改善...,保险,http://jobs.zhaopin.com/CC139431370J40703490307.htm,1000-9999人,2025-03-11 17:55:54
数字IC前端设计工程师,重庆,重庆博金斯科技有限公司,本科,1-3年,数字前端设计,1.4-2.5万,•开展CMOS图像传感器芯片设计，负责阵列芯片数字部分的架构分析和集成，参与制定芯片规格，编写相关设计文档；•能配合算法工程师，根据内部架构与外部接口进行RTL coding，仿真验证，综合与时序分析 ；•与模拟设计工程师进行紧密配合，协助提供模拟接口的相关时序控制，通过寄存器进行各种时序调整和模式控制；•调整内部数字电路的各个模块，通过稳定可靠的电源管理，获得芯片功耗最优化；•配合应用工程师，调...,人工智能,http://jobs.zhaopin.com/CCL1500659430J40854143403.htm,20-99人,2026-01-06 01:06:06
全国均有岗位(开发/测试/前端/算法/运维),重庆,外企德科数字技术有限公司,本科,经验不限,"试用期工资全额发,周六上班双倍工资,五险一金全额缴纳",1.2-2.4万·14薪,华为OD招聘【招聘岗位】开发（不限编程语言）、测试、前端、算法-、数开、运维等工程师岗位，全国均可安排；【岗位要求】1. 统全本科及以上学历均可，可接受应届、考研断档、 0 经验；2. 掌握任意一种 或多种 编程语言，能通过机考和技术面试即可；【福利待遇】1、5天8小时，双休制，偶尔加班（根据项目进度来定）；2、全额五险一金++周末加班2倍工资（周末加班不强制，看个人意愿）+年终奖(由部门/个人绩...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40819727505.htm,10000人以上,2026-01-12 00:25:54
高级web前端工程师,重庆,北京仁屿科技有限公司,本科,5-10年,"React,Vue",1.6-2.3万·14薪,岗位职责：1、独立负责简单应用或复杂应用(PC/H5/小程序)的模块，代码的规范性强、可读性好；2、承接开发需求，独立完成系统方案设计、开发联调和自测等工作，保障项目顺利上线；3、能够按规范进行组件拆分，沉淀组件可公共方法库、产出业务技术文档。任职资格：1、本科以上学历，熟练掌握计算机基础知识(计算机基础理论、数据结构、网络)和前端(JS/CSS/HTML)基础知识；2、熟练熟练掌握VUE/ Re...,电子商务,http://jobs.zhaopin.com/CCL1511492330J40974456604.htm,100-299人,2025-12-17 14:34:31
html5前端工程师+双休,重庆,重庆扬纪宏科技有限公司,中专/中技,经验不限,直播视频项目,1.8-2.1万·13薪,岗位内容：1. 参与HTML5网页应用程序的开发、测试、部署等工作。2. 协调各方面资源，确保项目按计划完成。3. 研究和分析相关技术，尝试优化产品性能和用户体验。任职要求：1. 具有一定的前端开发基础，熟悉HTML、CSS和JavaScript等相关技术。2. 具备团队合作精神，拥有良好的沟通和协调能力。3. 具有较强的问题分析和解决能力，能够快速适应新技术和新环境。,人工智能,http://jobs.zhaopin.com/CCL1503875640J40866865203.htm,20人以下,2026-01-11 01:06:48
高级前端工程师,重庆,浙江杰博人力资源股份有限公司,本科,5-10年,"大屏/可视化项目,GIS/地图项目",1.6-2万,旅游云需求高级前端工程师 1人 ，需求带过团队。@全体成员 薪资 1.6-2万/月，岗位职责：1. 负责公司系统中前端功能模块的开发、优化、重构等，配合产品完成Web、小程序等项目的研发迭代，不断优化和提升用户体验；2. 参与优化业务线中前端基础架构、组件抽象、基础组件库的研发；3. 负责前端技术选型，评估并引入新技术、新工具，提升团队开发效率和项目质量；4. 带领团队攻克技术难题，推动项目顺利进...,人力资源服务,http://jobs.zhaopin.com/CC810318680J40710356014.htm,1000-9999人,2026-01-10 01:41:17
前端应用开发工程师,重庆,重庆中电自能科技有限公司,本科,5-10年,"JavaScript,React",1-2万·16薪,任职要求 1.教育背景及工作经验：第一学历为本科及以上学历，985高校、211高校本科及以上学历优先，专业领域包括但不限于大数据、计算机、统计学、管理科学、电子信息工程或相关与数字化/算法类相关的专业。工作年限5年（含）以上，具备数字化企业、能源行业或国有企业等相关企业3年以上工作经历。对于特别优秀或公司紧缺的特殊人才，上述基本条件可适当放宽2.技术能力①具备扎实的JavaScript.html....,IT服务,http://jobs.zhaopin.com/CC383364020J40978474704.htm,20-99人,2026-01-09 17:28:06
岗webhtml5H5前端,重庆,沈阳莱弗人力资源管理有限公司,中专/中技,经验不限,"直播视频项目,鸿蒙项目",1.8-2万,岗位内容：1. 开发基于HTML5技术的Web应用程序。2. 解决跨浏览器兼容性问题，确保产品能够在各种不同的设备上运行顺畅。3. 实现动态页面效果和交互功能，提高用户体验。任职要求：1. 熟悉HTML5标准，具有相关开发经验。2. 熟练掌握JavaScript、CSS等前端开发技术，并具备良好的编码习惯。3. 熟悉Web开发中的常用设计模式和架构，如MVVM、MVC等。,人力资源服务,http://jobs.zhaopin.com/CCL1512052070J40977223404.htm,20-99人,2025-12-30 14:08:24
