职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级软件工程师,重庆,理工特智科技(重庆)有限公司,本科,5-10年,Spark,2-4万,岗位职责：1、核心平台架构与开发：参与设计并实现制造业操作系统的核心后端架构。基于 GraphQL + PostgreSQL + MinIO 技术栈，构建高可用、可扩展的数据服务与API接口。集成 Casbin 与数据库行级安全（RLS），实现精细化的多租户权限管理体系。2、数据与业务流程引擎：使用 Airflow 构建数据ETL、指标计算与AI模型训练的任务调度平台。使用 Camunda 设计与...,工业自动化,http://jobs.zhaopin.com/CCL1459508070J40967240004.htm,20-99人,2025-11-17 18:01:48
全国有岗位（开发、测试、算法、数据分析等,重庆,外企德科数字技术有限公司,本科,经验不限,"C语言,Python,Java",1.9-3.5万·16薪,"岗位： C/C++，java，JS，python、Go等通用软件开发工程师，软件测试工程师（ 社招模式），各产品线各类语言开发岗位开放，只要你懂一门语言，就有合适的岗位! 工作稳定，工作内容相同（pl无差异分配任务）（机考：提供复习资料，每个环节 TIPS 辅导，通过率高！！-直达面试！！！全程流程随时跟进可查, 一个部门不满意可转推不同部门）：工作：接触并开发核心业务代码，技术栈全面，技术牛人多...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40632910605.htm,100-299人,2026-01-12 00:24:20
机器人云数据分析研发经理,重庆,七腾机器人有限公司,本科,5-10年,"数据库开发,大数据开发,云端数据分析,拆解核心数据需求,分布式计算优化,高并发巡检数据处理",2-3.5万,岗位职责：1.负责云端数据分析团队的人员招聘、能力梯队建设（如数据开发骨干、建模专项人才培养）及绩效激励，制定团队技术成长计划2.深度联动防爆巡检车和机器人业务端（研发、运维、产品），拆解核心数据需求：如 SLAM 导航精度优化、设备故障预测、防爆环境风险监控、巡检效率提升等；3.负责巡检车和机器人云端数据体系架构规划，主导技术选型与难点突破：如大数据框架（Hadoop/Spark/Flink）的...,专用设备制造,http://jobs.zhaopin.com/CC387441310J40818268301.htm,500-999人,2026-01-08 01:02:19
大数据平台开发工程师,重庆,重庆软江图灵人工智能科技有限公司,本科,3-5年,"SPARK 源码,HADOOP 优化,平台开发",2-3.5万,本职位专注于大数据底层平台与核心组件的研发和优化，与业务数据开发（ETL）和数据仓库建模岗位有明确区别岗位职责：1、配合团队进行自研数据库以及周边工具的的开发工作；2、对自研数据库架构和性能进行设计和优化；3、处理自研数据库部署实施后的运维工作；4、开展自研数据库场景的二次开发；任职要求：1、本科及以上学历，计算机相关专业背景2、深入理解分布式系统原理、有大数据组件（Hadoop/Spark/Fl...,人工智能,http://jobs.zhaopin.com/CCL1264708430J40975590804.htm,20-99人,2026-01-01 01:09:50
C/C++/Java/Python/JS软件开发/算法/数据,重庆,外企德科数字技术有限公司,本科,经验不限,"Java,Python,C语言",1.5-3万·15薪,岗位选择： 软件开发、软件测试、嵌入式开发、算法、运维、数据分析等（工作地点可选北京、上海、深圳、东莞、杭州、南京、武汉、成都、西安、长沙、苏州、济南、广州等） 岗位要求： 1、统招本科及以上学历（学信网可查），985/211/双一流大学优先；计算机、通信相关专业优先，非相关专业有相关工作经验也可以。 2、热爱编程，基础扎实，熟悉JAVA/C++/C/Python/JS/HTML/GO等编程语言中...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40616279705.htm,10000人以上,2026-01-12 00:24:19
数据治理工程师,重庆,某企业,硕士,3-5年,"数据治理,大数据开发",1.6-3万,1.定标准：负责参与全集团风光水火煤铝等产业数据、人财物等管理数据的标准制定和完善企业内部的数据标准规范，确保数据的一致性和准确性。2.建机制：参与建立全集团数据治理的组织、认责、制度、流程、考核机制。3.纳数据：负责协同各源系统开展数据入湖，形成全集团全域数据资源盘点，数据资产目录。4.提质量：建立全产业数据质量管理体系，定期监控数据质量指标，提出改进方案，确保数据可靠性。 5.建工具：协同研发...,互联网,http://jobs.zhaopin.com/CCL1318355140J40789314303.htm,500-999人,2026-01-11 01:04:33
数据库开发工程师,重庆,重庆通用人工智能研究院,硕士,3-5年,MySQL,1.5-3万,"工作内容：1、负责打造数据库。完成不同类型与不同来源数据的整合。2、封装数据调用接口，供前端与后端直接读写数据。3、维护数据文档，记录数据资产情况与接口调用指南。要求：1、硕士学历及以上，5年以上工作经验。2、精通关系型数据库（如MySQL, PostgreSQL）和/或NoSQL数据库（如MongoDB, Elasticsearch）的设计、优化与运维。3、具备高超的SQL编写和优化能力。熟悉数...",学术/科研,http://jobs.zhaopin.com/CCL1514232650J40908064308.htm,20-99人,2026-01-07 01:20:50
智能产品规划专员（智驾规划）,重庆,重庆东灵融合企业管理咨询有限公司,本科,5-10年,"数据挖掘,数据开发",1.5-3万,工作职责1.负责统筹公司级智驾和AI板块系统产品技术货架的信息更新维护2.负责制定智驾和AI板块系统产品在各品牌各车型的应用策略并跟进落地3.负责跟进对新技术项目中策划交付物。4.负责持续优化系统产品规划的业务流程体系。任职资格1.学历要求：本科或以上学历，计算机科学、汽车工程、经济学、管理学或相关专业2.工作经历：5年以上产品规划或战略相关经验，了解汽车智能化领域的最新发展和趋势，熟悉汽车理论知...,咨询服务,http://jobs.zhaopin.com/CCL1472766480J40835187814.htm,20-99人,2026-01-06 11:16:14
数据分析师（粉体/流体混合配料设备及产线）,重庆,重庆中承利璟环保机械设备有限公司,本科,经验不限,"数据建模,数据挖掘,Python,Sql,Matlab",1.5-2.5万,岗位职责1.负责粉体 / 流体混合配料设备及产线的全生命周期数据体系搭建，包括生产工艺数据（混合均匀度、配料精度、流量压力）、设备运行数据（电机转速、振动、温度、能耗）、物料特性数据（颗粒度、含水率、粘度）、环境数据（温湿度、气压）的采集、整理与标准化；2.与 AI 算法工程师深度协同，提供算法研发所需数据支撑，完成数据清洗、特征工程（如时序特征提取、多变量关联分析）、数据集构建与标注，保障算法训...,专用设备制造,http://jobs.zhaopin.com/CCL1487088090J40786840516.htm,20-99人,2026-01-12 08:59:00
国企/数据平台JAVA开发工程师（高级）,重庆,中智四川经济技术合作有限公司,本科,1-3年,,1.8-2.5万,社招岗位描述：1、负责公司主数据系统及基础服务的设计、开发和迭代优化，确保系统的稳定性、可扩展性和可维护性；2、负责技术方案设计与文档编写，主导功能联调与全面自测，统筹版本发布管理；3、负责持续对系统进行性能分析、瓶颈诊断和调优，提升系统处理能力和资源利用率；4、负责线上复杂问题的排查和解决，具备快速定位和修复生产环境故障的能力；任职要求：1、计算机科学或相关专业本科及以上学历，5年及以上 Jav...,人力资源服务,http://jobs.zhaopin.com/CC158905110J40806837209.htm,100-299人,2026-01-07 15:03:34
