职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
【上市公司】集团总部-AI基础架构专家,重庆,汇智优才(沈阳)人力资源服务有限公司,本科,10年以上,,5-6.5万,职位描述1、负责AI算力等智算领域相关基础设施技术发展，编写智算领域技术发展战略和规划；2、负责设计并开发高性能、可扩展的AI基础设施架构，包含组网、存储、Kubernetes容器集群等GPU计算集群等；3、负责按业务场景开发针对训练、推理等场景的AI基础架构解决方案；4、负责优化并运营AI基础设施及资源平台，提升AI资源利用率；5、负责与算法团队、技术开发团队合作，优化模型架构与计算资源的匹配效...,人力资源服务,http://jobs.zhaopin.com/CCL1218081850J40816315601.htm,300-499人,2025-12-23 17:01:06
拔尖计划-平台架构专家,重庆,中移物联网,硕士,3-5年,,3-5万·16薪,工作职责1.平台产品架构设计①　对标业界AIoT平台产品设计，结合我司产品体系，明确AIoT平台产品路线及演进方向。②　主导AIoT平台的整体架构设计，包括终端接入、连接管理、应用使能、数据智能分析等业务的技术方案，确保平台支撑亿级终端高并发接入、十亿级连接动态管理。2.核心技术攻关①　构建高可用、高扩展、低延时的分布式系统架构，解决海量设备接入、机卡管理、数据采集、设备联动等技术问题。②　推动A...,物联网,http://jobs.zhaopin.com/CC545530120J40749157010.htm,1000-9999人,2025-08-18 11:07:42
空气环境产品开发经理,重庆,理工清科(重庆)先进材料研究院有限公司,本科,3-5年,"空气净化材料,产品开发",2.5-4.5万,职位定位：负责将公司已有的空气净化，以及除湿材料优势转化为设备或系统产品，统筹研发、工艺设计、设备开发与产业化落地，推动材料到产品的完整链条。 主要职责： 1.产品开发：基于公司净化与除湿材料，设计和开发空气净化设备、除湿模块及复合型系统产品。 2.工艺设计与优化：负责设备工艺流程设计，提升产品性能、稳定性与能效。 3.技术集成：整合滤芯、风机、管路、控制系统等模块，形成完整的空气环境解决方案。 ...,学术/科研,http://jobs.zhaopin.com/CCL1405507520J40864598303.htm,20-99人,2026-01-05 01:07:17
架构师,重庆,重庆通用人工智能研究院,硕士,5-10年,,2-4万·15薪,1、主导多模态数据治理平台、模型生产平台等基础平台架构设计与搭建；2、牵头智能体开发工具包的架构设计，保障工具包的通用性与易用性；3、负责平台性能优化与稳定性保障，解决高并发、大数据量场景下的技术难题；4、制定平台接口规范与技术标准，推动组件化、模块化开发；5、指导团队开展平台开发工作，提升团队工程化能力。要求：1、硕士及以上学历，计算机相关专业；2、5年以上软件平台架构设计经验，有AI平台/数据...,学术/科研,http://jobs.zhaopin.com/CCL1514232650J40908066708.htm,20-99人,2025-12-30 01:22:29
工厂技术部经理,重庆,重庆黄越科技有限公司,本科,5-10年,"Java,MVC开发,U3D开发",2.5-4万,岗位职责：1、负责制定和执行技术中心的战略规划，确定技术中心的发展方向、目标和策略，确保与企业发展整体战略的一致性;2、负责部门组建和团队管理，培养和提升团队成员的专业技术能力何创新能力，确保与企业发展整体战略一致性；3、负责领导团队、分配资源，根据项目需求，完成新项目的报价、设计、评审评审和图纸输出，确保项目开发目标达成；4、负责新项目设计预算控制，包括不限于开发人工费用、试验费用、设变费用、产...,汽车零部件,http://jobs.zhaopin.com/CCL1513630640J40822266814.htm,500-999人,2025-12-26 09:30:36
高级软件工程师,重庆,理工特智科技(重庆)有限公司,本科,5-10年,Spark,2-4万,岗位职责：1、核心平台架构与开发：参与设计并实现制造业操作系统的核心后端架构。基于 GraphQL + PostgreSQL + MinIO 技术栈，构建高可用、可扩展的数据服务与API接口。集成 Casbin 与数据库行级安全（RLS），实现精细化的多租户权限管理体系。2、数据与业务流程引擎：使用 Airflow 构建数据ETL、指标计算与AI模型训练的任务调度平台。使用 Camunda 设计与...,工业自动化,http://jobs.zhaopin.com/CCL1459508070J40967240004.htm,20-99人,2025-11-17 18:01:48
机器人云数据分析研发经理,重庆,七腾机器人有限公司,本科,5-10年,"数据库开发,大数据开发,云端数据分析,拆解核心数据需求,分布式计算优化,高并发巡检数据处理",2-3.5万,岗位职责：1.负责云端数据分析团队的人员招聘、能力梯队建设（如数据开发骨干、建模专项人才培养）及绩效激励，制定团队技术成长计划2.深度联动防爆巡检车和机器人业务端（研发、运维、产品），拆解核心数据需求：如 SLAM 导航精度优化、设备故障预测、防爆环境风险监控、巡检效率提升等；3.负责巡检车和机器人云端数据体系架构规划，主导技术选型与难点突破：如大数据框架（Hadoop/Spark/Flink）的...,专用设备制造,http://jobs.zhaopin.com/CC387441310J40818268301.htm,500-999人,2026-01-08 01:02:19
大数据平台开发工程师,重庆,重庆软江图灵人工智能科技有限公司,本科,3-5年,"SPARK 源码,HADOOP 优化,平台开发",2-3.5万,本职位专注于大数据底层平台与核心组件的研发和优化，与业务数据开发（ETL）和数据仓库建模岗位有明确区别岗位职责：1、配合团队进行自研数据库以及周边工具的的开发工作；2、对自研数据库架构和性能进行设计和优化；3、处理自研数据库部署实施后的运维工作；4、开展自研数据库场景的二次开发；任职要求：1、本科及以上学历，计算机相关专业背景2、深入理解分布式系统原理、有大数据组件（Hadoop/Spark/Fl...,人工智能,http://jobs.zhaopin.com/CCL1264708430J40975590804.htm,20-99人,2026-01-01 01:09:50
研发部部长,重庆,重庆两江新区人才发展集团有限公司,硕士,5-10年,,2.5-3.5万,岗位内容：1.负责组织公司新产品的开发；2.负责组织科研项目申请及实施；3.负责组织科研成果申报；4.负责研发部的日常管理。任职要求：1.金属材料相关专业背景；2.硕士及以上学历；3.5年以上科研管理经验。,人力资源服务,http://jobs.zhaopin.com/CCL1470456400J40889030308.htm,10000人以上,2025-10-11 10:29:10
系统架构师,重庆,同炎数智科技(重庆)有限公司,本科,5-10年,"Java,Python,SQL,微服务架构,搜索引擎技术",2.5-3.5万,岗位职责：1、负责软件平台基础架构设计、研发、调优，解决开发中各种系统架构问题，完成基础核心架构后台建设；2、主导软件平台的设计工作，负责核心模块的设计开发工作；3、参与软件平台的优化与部署，保障系统可用性、稳定性、和可扩展性；4、组织软件技术研究和攻关工作；5、对相关开发人员进行技术培训，指导开发工作。 专业能力要求专业知识：计算机、软件专业知识专业技能：1、熟练掌握JAVA或Python编程语...,咨询服务,http://jobs.zhaopin.com/CC450790080J40717215306.htm,500-999人,2025-10-03 00:03:40
