职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
9:00-18:00 双休不加班六险一金金融销售 北培,重庆,中国平安,学历不限,经验不限,"周末双休,六险一金,不内卷   领导可爱 同事暖心",面议,●岗位急招 招满即停。续期管理●企业文化:我们固定早九晚六周末双休我们绝对不加班，下班就走，我们适合喜欢做服务，而又不想有太多工作压力的人同时对于有晋升欲望、有赚钱欲望的人，我们也给予充足的空间。人性化工作时间+周末双休不加班!●福利待遇：工资构成:1、基础无责底薪+岗位津贴+绩效奖+季度奖+新人津贴(有金融从业经验者薪资面议)，入职半年以上收入8k+，一年以上15k+(上不封顶)2、缴纳社保:养...,银行,http://jobs.zhaopin.com/CC000204810J40864552712.htm,10000人以上,2025-12-29 17:08:40
问界-运营高级经理,重庆,武汉搜马人力资源服务有限公司,本科,1-3年,,1.8-3万,工作职责1.负责服务热线的呼入、呼出及回访工作，确保高效运作和客户满意度，制定并优化热线运营流程，提升响应速度与服务质量；2.负责设计、实施并持续优化智慧服务平台的业务流程，确保符合赛力斯客户服务标准，定期评估流程执行效果，提出改进建议并推动落地；3.负责团队的日常管理与绩效考核，制定明确的工作目标与激励机制，组织员工培训，提升团队专业能力和服务水平，建立完善的员工评价体系；4.负责线上预警管理，...,汽车研发/制造,http://jobs.zhaopin.com/CC668399420J40901543715.htm,1000-9999人,2025-11-07 15:51:58
贷款客服经理8千周末双休,重庆,中国平安人寿保险股份有限公司重庆市沙坪坝支公司,大专,经验不限,"贷后管理,贷款审核",1.5-3万,职位描述贷款顾问 银行工作经验含销售性质 客户经理金融销售顾问汽车金融顾问信贷管理全职 含销售性质贷款顾问岗位职责:1.审核客户资质，负责协助客户办理信用贷款、房屋抵押贷款、汽车抵押贷款等业务，维护老客户，协助银行放款。2.完成公司及部门经理分配的任务指标。每月薪资:25~45岁之间，大专学历以上有1万保底的人才计划，底薪4000+高提成+各种福利津贴，平均月薪2万以上。职位福利:1、带薪假期享受...,保险,http://jobs.zhaopin.com/CC273007910J40817414615.htm,500-999人,2025-04-28 08:15:40
早九晚六（七小时）底薪4500+办公室坐班客服,重庆,重庆驭越企业管理有限公司,学历不限,经验不限,"五险一金,双休周末,带薪年假",1.3-2.6万,4500-10000浮动底薪+(新人前两月1200签单奖)+高提成(12%-50%)+奖金上不封顶，年终奖另算。在职员工均薪资8K以上，优秀的每月可达六位数，在同行里属于上等水平。[福利待遇]朝九晚六周末双休，购买重庆本地五险一金!每月一箱高端水果，咖啡奶茶果汁零食不限量供应!享带薪年假各种节假日生日福利不定期聚餐团建福利多多。公司规模两层楼几百号员工，接受无经验的你，我们可以培养出来大富翁![晋...,投资/融资,http://jobs.zhaopin.com/CCL1319818550J40831963010.htm,100-299人,2026-01-06 15:56:39
客诉专家,重庆,成都致宸电子材料有限公司,本科,3-5年,"投诉客服,电话客服",2-2.5万,1，负责承接和推动解决平台客户投诉，对投诉客户进行安抚，维护公司信誉和形象2，按要求快速响应并准确记录客户的投诉内容，根据规定的流程进行分发处理；3，与其他部门进行业务对接，反馈客诉情况并跟进处理，追踪问题直至解决4，客户投诉的汇报与问题分析和总结，针对性的提出优化建议或解决方案5，发现及时向公司反馈各类服务隐患问题，降低投诉率和重大投诉风险岗位要求1，性格开朗，有良好的沟通能力，责任心强，抗压及...,咨询服务,http://jobs.zhaopin.com/CCL1213020320J40863811212.htm,20-99人,2025-12-26 16:46:36
技术服务经理（火山引擎）-体验与服务,重庆,字节跳动,本科,3-5年,,1.2-2.4万,岗位职责：1、对接火山引擎技术服务团队，带领团队达成业务目标，保证客户的服务体验、提高客户满意度；2、负责某一业务方向技术服务团队的日常管理，建立员工培养与发展通道，做好员工的选、用、育、留；3、建立服务持续改进体系，包括流程优化、产品/工具优化、服务质量优化、客户体验优化等；4、推动服务体系的数字化管理，完善数据指标管理、员工绩效管理指标等，通过数据驱动服务体验和效率改善；5、定期组织技术分享、...,互联网,http://jobs.zhaopin.com/CC469217510J40753874101.htm,10000人以上,2026-01-06 15:02:27
支付宝客服主管+年薪20万+,重庆,深圳南区人瑞人力资源服务有限公司,大专,1-3年,全白班,1.2-2.4万,岗位职责：1，组建并带领催收团队，制定绩效目标，监督日常催收作业（电话、短信、外访等）。定期培训团队成员，提升合规催收技巧、法律知识及沟通能力。2.策略制定与执行根据逾期账龄（如M1、M2、M3+）设计差异化催收方案，优化话术和流程。协调法务、风控部门，对高风险案件采取法律手段（如诉讼、资产保全）。3.数据监控与分析跟踪团队KPI（回收率、通话量、投诉率等），通过数据复盘调整策略。确保催收行为符合...,企业服务,http://jobs.zhaopin.com/CCL1289361510J40753665101.htm,10000人以上,2025-12-17 14:37:30
呼叫中心客服主管,重庆,武汉搜马人力资源服务有限公司,本科,10年以上,"投诉客服,电话客服",1.1-2.1万,工作职责岗位职责：1、负责智慧服务平台员工认证体系搭建，确保体系搭建完整性和有效性；2、制定认证标准，保证标准的科学性与适配性，拉通相关部门协助评审，提升标准的认可度；3、组织员工职认证工作，确保认证组织及时性和参与率达标；4、负责拉通培训团队，提供认证配套培训，保障培训按时完成，收集员工反馈以提升培训满意度；5、负责认证流程的全流程执行，确保流程规范有序进行，避免出现违规操作；6、负责助力人才梯...,汽车研发/制造,http://jobs.zhaopin.com/CC668399420J40907689715.htm,1000-9999人,2025-12-03 10:36:14
市场客服经理,重庆,重庆渝米茜尔医疗美容门诊部有限公司,高中,1-3年,"光电美容,面部美容,美容店,美体店,皮肤管理中心",1-2万,岗位职责： 1、负责所属美容店顾客维护及售后 2、配合所属店顾客咨询沟通服务，协助成交，按计划达成业绩目标 3、按计划达成每月卡项销售目标 任职要求： 1、形象气质佳 ，性格外向，活泼开朗 2、年龄25岁以上，能接受出差 注：工资弹性高，欢迎有学习欲望，挑战高薪的伙伴加入！,美发/美容/保健,http://jobs.zhaopin.com/CCL1440404970J40969283804.htm,20-99人,2025-12-28 01:10:11
【可要小白】贷后M1逾期提醒客服、无销售+五险一金,重庆,深圳南区人瑞人力资源服务有限公司,大专,1年以下,"电话客服,全白班,无销售性质,提醒还款即可,五险一金",1.1-2万,甲方直招！内催！内催！内催！全国5家分公司！1000+规模！重庆三层楼职场400人规模！在职员工均薪９K-10K以上(全重庆同行偏高)无试岗期，试用期薪资不打折发薪日：每月15日社保公积金：入职缴纳五险一金【薪资待遇】M1(逾期30天内的短期账龄)：保底5400/6100（无责底薪3600+保底绩效1800/2500），综合8K-20K+，在职均薪9K-10K+，可接受小白保底5050（无责底薪3...,企业服务,http://jobs.zhaopin.com/CCL1289361510J40818685901.htm,1000-9999人,2026-01-06 09:49:16
