职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
中化集团背景-诚聘文旅/交通/化工/民生/电子/机械板块大项目承揽岗-平台超级好-薪资high就近分灵办公,重庆,四川宇韬人力资源有限公司,本科,5-10年,"大项目承揽能力,大企实控人资源",4-8万,岗位职责:1.根据公司战略发展规划，积极拓展企业家/企业客群资源。2.深度挖掘企业家(T0 C)资产安全、代际传承、资产管理、医疗健康等需求及其下属企业(To B)的融资类需求。3.根据企业家及其下属企业的需求组织集团境内外各平台盗源;为企业及企业家制定综合性解决方案，并推动方案的落地和执行。岗位要求:1.统招本科及以上学历，原则上年龄40周岁以内，优秀者可以适当放宽。2.金融、财务、经济等统招本...,人力资源服务,http://jobs.zhaopin.com/CCL1355073800J40805971301.htm,500-999人,2026-01-03 14:34:20
汽车电子测试经理,重庆,沈阳东信创智科技有限公司,本科,10年以上,"自动化测试,CAN/LIN,以太网,诊断刷写",2.5-5万,岗位职责：1. 技术管理与体系建设：负责整车、台架及部件级网络诊断测试的技术规划、方案设计与落地实施，跟踪行业技术发展，构建并持续优化测试体系，确保技术领先性。2. 测试流程与效率提升：主导测试规范、用例及自动化脚本的开发和优化，基于客户需求与项目实践，推动测试流程改进与效率提升，保障测试质量。3. 技术攻坚与团队指导：解决网络及诊断测试中的复杂技术难题，为团队提供专业指导和技术支持，培养团队成员...,汽车研发/制造,http://jobs.zhaopin.com/CC705506820J40751860202.htm,100-299人,2026-01-08 01:02:39
拔尖计划-生活物联网智能硬件开发技术专家,重庆,中移物联网,硕士,无经验,,3-5万·16薪,工作职责1、负责洞察智能硬件行业趋势，协助揭榜团队制定 3-5 年硬件产品技术路线图与生活物联网硬件技术方向选型与架构标准化。2、 负责部门硬件产品核心架构设计与技术攻坚。主导复杂硬件系统的全流程架构设计，解决技术难点，推动硬件与算法协同优化。3、负责部门硬件产品全生命周期管理。从需求分析到量产交付全流程把控，主导原理图设计评审、PCB Layout 优化、EMC/EMI 测试，确保产品良率达到业...,物联网,http://jobs.zhaopin.com/CC545530120J40831928510.htm,1000-9999人,2026-01-06 14:57:16
国央企背景-诚聘文旅/交通/化工/民生/电子/机械板块大项目承揽岗-平台超级好-薪资high就近分灵办公,重庆,四川宇韬人力资源有限公司,本科,5-10年,"金融衍生品,银行产品,基金产品,大项目承揽经验",3.5-7万,岗位职责:1.根据公司战略发展规划，积极拓展企业家/企业客群资源。2.深度挖掘企业家(T0 C)资产安全、代际传承、资产管理、医疗健康等需求及其下属企业(To B)的融资类需求。3.根据企业家及其下属企业的需求组织集团境内外各平台盗源;为企业及企业家制定综合性解决方案，并推动方案的落地和执行。岗位要求:1.统招本科及以上学历，原则上年龄40周岁以内，优秀者可以适当放宽。2.金融、财务、经济等统招本...,人力资源服务,http://jobs.zhaopin.com/CCL1355073800J40805872201.htm,500-999人,2026-01-03 17:33:05
电源高级研发工程师,重庆,神驰机电,本科,5-10年,储能电源,3-5万,岗位职责: 1.主导便携储能电源系统架构设计，整机设计，方案落地，包含电池包、电源管理系统(BMS)、逆变器、充电管理模块、DC:DC转换、热管理、控制与显示系统、安全认证合格等模块的指导开发; 2.负责携储能电源产品的技术平台搭建，方案设计，软件设计，关键器件选型; 3.熟悉设计原理图，指导设计逆变器的硬件结构，储能逆变器硬件选型，规划，跟踪调试及试产过程中的问题。 任职要求: 1.本科以上学历...,通用设备制造,http://jobs.zhaopin.com/CC631382620J40713693206.htm,1000-9999人,2026-01-05 01:14:50
控制系统硬件工程师,重庆,宗申集团,本科,3-5年,,2-4万,岗位职责：1、根据控制系统需求，参与航空发动机 ECU 系统需求分析与硬件需求分解，同步完善硬件设计文档，确保文档的完整性与规范性。2、设计硬件架构，负责航空发动机 ECU硬件的方案设计与详细设计，包括元器件选型、原理图绘制、PCB 布局布线，确保硬件设计符合航空行业相关标准（及产品性能指标；3、绘制原理图，规划PCB板层、尺寸与布局，主导 ECU 硬件原型机的制作与调试工作，解决原型机研发过程中...,汽车研发/制造,http://jobs.zhaopin.com/CC203112410J40617625508.htm,10000人以上,2026-01-07 15:20:34
国资背景-诚聘文旅/交通/化工/民生/电子/机械板块承揽岗/金融业务专家-灵活办公薪酬佳，业务全国可做！,重庆,四川宇韬人力资源有限公司,本科,5-10年,"金融衍生品,银行产品,供应链融资产品,行长/副行长/对公客户主任,投融资总监,供应链金融总监",3.5-6.5万,岗位职责:1.根据公司战略发展规划，积极拓展企业家/企业客群资源。2.深度挖掘企业家(T0 C)资产安全、代际传承、资产管理、医疗健康等需求及其下属企业(To B)的融资类需求。3.根据企业家及其下属企业的需求组织集团境内外各平台盗源;为企业及企业家制定综合性解决方案，并推动方案的落地和执行。岗位要求:1.统招本科及以上学历，原则上年龄40周岁以内，优秀者可以适当放宽。2.金融、财务、经济等统招本...,人力资源服务,http://jobs.zhaopin.com/CCL1355073800J40805874001.htm,500-999人,2026-01-03 16:03:59
电源研发经理,重庆,重庆斯微奇电子技术有限公司,本科,5-10年,"硬件开发,电源",2.5-4万,岗位职责1、负责DC/DC、AC/DC电源模块的研发；2、负责产品试制过程的技术处理；3、完成各类技术规范文件的编制。职位要求：1、本科以上学历，电力电子、自动化及其相关专业；2、五年以上DC/DC、AC/DC模块研发经验，有EMC设计经验；3、熟悉DC/DC、AC/DC电路拓扑；熟悉电源模块的封装形式和常用工艺，以及热设计；4、动手能力强、有创新精神、爱岗敬业。,电子/半导体/集成电路,http://jobs.zhaopin.com/CC564938030J40828278810.htm,20-99人,2026-01-05 01:28:28
【正编】汽车开发部部长 30-40K 五险一金,重庆,浙江杰博人力资源股份有限公司,本科,10年以上,"嵌入式硬件研发,嵌入式软件研发,测试,车灯,汽车空调,控制器",3-4万,开发部部长 30-40K 重庆 10年以上 本科 职位详情岗位职责:1.负责开发部门的日常管理工作;2.负责汽车空调控制器、座椅控制器、车灯、水阀产品的嵌入式软件开发工作。任职要求:1.本科及以上学历;2.10年以上汽车电子产品软件开发经验，且3年以上开发部门管理工作;3.精通网络通信或电机控制。加分项有以下行业经验:汽车零部件,人力资源服务,http://jobs.zhaopin.com/CC810318680J40822453414.htm,500-999人,2026-01-04 10:13:34
电气工程师,重庆,摩西智能工业股份有限公司,大专,3-5年,"非标自动化,西门子,汇川,设计,PLC设计,三菱",2-4万,岗位职责：1、电气系统设计与开发：负责标准设备及产品的电气系统设计与开发。2、编程与调试：承担电气系统标准化框架搭建编程与系统调试工作。3、技术文档与标准化：负责技术文档编制与电气标准化体系建设。4、项目管理与协作：参与样机打样测试，提供技术支持与协作。5、技术文档与标准化：编写和归档技术文档、设计规范等，输出完整、规范的BOM清单及工程资料。 岗位要求： 1.、大专及以上学历，3年以上非标自动化...,仪器仪表制造,http://jobs.zhaopin.com/CC671288420J40904256608.htm,100-299人,2025-12-03 15:22:57
