职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
设计主管,重庆,上海融康汽车设计股份有限公司,大专,1-3年,"汽车座椅,车身,内外饰",2-4万·13薪,岗位职责：1、带领团队完成项目；2、负责重难点技术攻关；3、负责项目节点评审；4、负责各项目的技术支持。5、参与员工的培训工作。 任职要求：1、汽车车身/内外饰/座椅领域工作5年以上； 2、能够独立负责汽车内外饰系统、车身系统、座椅系统的设计；3、熟悉常见的工艺，材料，模具等；4、较强的沟通交流能力；5、能承受较强的工作压力；6、大专以上学历；7、能够胜任经常性的出差。,汽车研发/制造,http://jobs.zhaopin.com/CC429033610J40802685209.htm,100-299人,2026-01-07 01:24:11
电机设计总监,重庆,重庆理工清研凌创测控科技有限公司,本科,5-10年,领导团队,2-3万,岗位职责:1. 负责电机设计项目的整体规划与执行2. 领导设计团队，确保设计质量和项目进度3. 与客户沟通，理解需求并提供专业设计方案任职要求:1. 具备出色的团队管理能力和沟通技巧2. 能够高效地解决设计过程中的技术问题3. 对电机设计有深刻理解，能够持续推动设计创新,仪器仪表制造,http://jobs.zhaopin.com/CC671288920J40907937808.htm,100-299人,2026-01-07 01:20:50
平面设计,重庆,重庆图灵室内设计工程有限公司,大专,3-5年,"VI设计,包装设计,PS,AI,品牌设计",3000-6000元/周,岗位内容：1. 根据客户需求，进行平面设计、VI设计、海报设计、产品包装设计等相关工作；2. 设计并制作企业形象宣传资料，包括公司画册、产品样本、宣传册、广告海报、DM单页、PPT、视频等；3. 参与网站界面设计、微信公众号运营和活动策划，提高公司品牌知名度。任职要求：1. 大专及以上学历，平面设计或相关专业毕业，有3年以上品牌设计经验；2. 熟练使用Ai、Ps、Id等设计软件，可以独立完成各类设...,电子商务,http://jobs.zhaopin.com/CCL1484860280J40781564612.htm,20人以下,2025-06-07 09:36:37
国企/UX设计师,重庆,中智四川经济技术合作有限公司,大专,5-10年,"交互设计,UX设计师",1.2-1.6万,"简历提交时，需附带作品集（需重点展示交互设计作品） 【岗位职责】： 1.负责全平台界面设计工作，包括业务理解、交互设计、视觉设计等；根据产品需求和对业务流程的理解，有效地产出具有优秀用户体验的视觉交互设计方案 2.参与整个需求的讨论，并从设计角度给出专业意见，跟进从产品到设计、研发到走查的全流程，跟踪产品效果、保障最终设计质量 【任职要求】： 1.设计相关专业,五年以上UI/UX设计经验，熟悉we...",人力资源服务,http://jobs.zhaopin.com/CC158905110J40765774809.htm,100-299人,2026-01-07 15:02:48
视觉设计经理（电商）,重庆,重庆齐岳十一文化用品有限公司,大专,5-10年,"视觉设计,PS,CorelDRAW,SKetch,Dreamweaver,Sketchup",1-1.5万,工作职责1. 负责电商设计团队的人员管理与培养工作；2. 负责电商平台（如天猫、京东、拼多多、抖音等）的视觉策划及方案制作，确保电商视觉符合品牌调性，包括但不限于： - 首页、活动专题页、Banner、推广图、商品主图、图标等； - 移动端及PC端的适配与优化，确保用户体验一致性。 3. 负责公司新品上新时，各电商平台的素材筹备策划与制作；4. 根据促销节点（如618、双11、年货节等）策划并设计...,电子商务,http://jobs.zhaopin.com/CCL1440535050J40786381407.htm,20-99人,2026-01-06 01:17:19
平面设计主管,重庆,重庆常春藤文化传播有限公司,大专,3-5年,"视觉设计,公共艺术设计",8000-14000元,岗位职责： 1、领导并组织平面、VI设计、文化设计项目的定位、定向； 2、指导平面设计师策划具体设计与制作，解答设计师在创意方面遇到的问题； 3、全面负责设计项目的质量，对设计的创意、色彩、版式等进行评审； 4、负责设计业务的成本控制； 5、管理、培训平面设计团队，督促团队为客户提供持续优化的长期形象传播顾问服务； 任职要求： 1、大学专科以上学历； 2、美术、平面设计、广告等相关专业； 3、3年...,工程技术与设计服务,http://jobs.zhaopin.com/CC277822310J40116962614.htm,20-99人,2026-01-11 01:34:33
平面设计师,重庆,中恩国际文化发展有限公司,本科,5-10年,"方案设计,广告设计,包装设计,PS,CDR,CAD",7000-14000元,岗位职责：1.负责公关活动的KV及延展设计，包括但不限于线上线下延展物料、创意海报等；2.基于客户的项目要求，组织实施项目设计策划中的创意工作和理念传达；3.深刻理解项目需求中的创意和设计，输出平面创意作品；4.结合客户提供的信息，配合项目及策划团队，整合、修改，完善提案；5.根据工作中遇到的各种问题总结归纳并提出合理的可行性建议。 任职要求：1.美术、广告、视觉传达等相关专业，熟悉广告公关行业，...,会议/展览,http://jobs.zhaopin.com/CC605326080J40801983814.htm,20-99人,2025-09-11 17:13:20
资深平面设计师【双休--光电园】,重庆,重庆堡食空间餐饮管理有限公司,大专,5-10年,"PS,AI",9000-13000元,【岗位职责】：1.负责品牌视觉体系搭建，包括但不限于品牌VI、宣传物料、包装设计、线上线下活动视觉等:2.独立完成插画创作，结合品牌调性输出原创插画，动态插画、形象设计等:3.参与营销活动视觉策划，提供创意方案并落地执行(如包装物料、主视觉海报、社交媒体配图等):4.配合团队完成产品上新相关印刷品设计、线上视觉优化等综合性设计需求:5.关注设计趋势，持续优化设计质量，推动品牌视觉升级。【任职要求】...,餐饮服务,http://jobs.zhaopin.com/CCL1431023430J40912889015.htm,500-999人,2025-12-26 15:13:59
设计主管/经理,重庆,重庆泰文康迅健康科技有限公司,本科,3-5年,"视觉设计,舞美设计,包装设计,UI设计,网页设计,平面设计,设计主管",7000-12000元,一、岗位职责1. 统筹制定公司品牌视觉体系及市场推广视觉策略，牵头年度、阶段性视觉设计规划，贴合品牌定位与营销目标。2. 主导产品包装、品牌物料、活动视觉、新媒体配图等各类设计项目，负责方案全流程设计、审核与落地跟进。3. 建立优化设计审核标准，把控设计作品质量，确保风格统一、视觉效果优质，符合品牌调性与传播需求。4. 洞察行业设计趋势与竞品视觉策略，结合用户审美需求，输出创新性视觉设计思路。5....,居民服务,http://jobs.zhaopin.com/CCL1501239070J40821200407.htm,20-99人,2026-01-09 01:19:28
ux设计师兼产品经理,重庆,智博融资租赁(深圳)有限公司,本科,3-5年,"交互设计,界面设计,Axure",1-1.2万,岗位职责1、负责 Web、移动 App、后台管理系统等产品的 UI 和 UX 的设计工作，包括视觉风格、界面布局、交互细节等；2、参与产品需求讨论，结合用户体验提出合理的界面结构、信息架构和交互设计方案；3、输出高质量的原型图、流程图、视觉稿、设计规范等设计文档；4、与产品经理、前端开发、研发团队紧密合作，推动设计方案高质量落地；5、根据用户反馈与数据表现，不断优化产品体验与视觉表现。任职要求1、...,投资/融资,http://jobs.zhaopin.com/CCL1450838020J40737244506.htm,500-999人,2026-01-07 01:15:34
