职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
茶叶品质检测设备销售总监,重庆,重庆东渝中能实业有限公司,本科,3-5年,"渠道销售,代理商销售,KA大客户,企业客户,政府客户",5-10万,岗位职责：1、负责公司产品在茶叶品质检测设备渠道销售的市场规划、运营和团队管理，制定销售策略和计划，完成公司下达的销售目标；2、深入了解茶叶市场动态，熟悉茶叶产品销售渠道资源，快速拓展销售渠道和市场；3、管理和培训销售团队，提升团队的销售技能和服务水平；4、定期进行销售数据分析，分析市场动态，调整销售策略，应对市场变化；5、组织和参与各类茶叶行业及茶文化推广活动，提升公司品牌影响力。任职要求：1、...,医疗设备/器械,http://jobs.zhaopin.com/CC559198180J40749269914.htm,100-299人,2026-01-09 17:49:16
设备营销总监,重庆,杭州九鸿企业管理咨询有限公司,大专,10年以上,"渠道销售,医疗机构,KA大客户,内镜,消化科,团队管理",5-6.5万,1、负责电子胃肠镜产品线营销统筹管理工作2、负责电子胃肠镜设备产品线营销管理及任务达成3、负责制定电子胃肠镜设备产品线营销策略、销售政策4、负责搭建电子胃肠镜设备产品线管理体系及优化5、负责经销商拓展、渠道建设及管理赋能6、负责营销团队管理、梯队培养、考核及激励任职资格：1、10年以上内窥镜销售经验，5年以上大区销售经理经验；2、具备消化科统筹营销管理经验，熟悉医疗器电子胃肠镜的销售模式，具备丰富...,互联网,http://jobs.zhaopin.com/CC844573550J40853139413.htm,20-99人,2026-01-03 19:56:34
高级非标机械设计师,重庆,重庆丰海坤翔实业(集团)有限公司,本科,10年以上,"设计,结构设计,制图设计,非标设备,注塑工艺,装配工艺,SolidWorks,AutoCAD",2.5-5万,职位描述：1、独立完成从设备方案设计、3D建模、2D工程图纸绘制到BOM清单编制的全流程工作，包括不限于主导产品从需求分析、概念设计到详细出图；2、独立完成方案评估和方案设计，确保方案可行性和可靠性；3、统筹电气、工艺及生产团队，完成机械与电气系统的集成设计，解决设计、装配及调试中的关键技术问题，推进项目落地；4、独立撰写设备设计说明书、技术协议等文档。 岗位要求：1、30-40岁，一本及以上学历...,橡胶和塑料制品,http://jobs.zhaopin.com/CCL1203913000J40823295009.htm,500-999人,2025-12-29 09:48:04
空调/净化设备产品经理(J10113),重庆,再升科技,本科,5-10年,"硬件产品,技术攻坚,产品迭代,无尘空调",2-4万,工作职责1、战略产品规划建立用户需求洞察体系（数据分析+深度访谈+实地验证），精准定位移动无尘空间、固定无尘空间场景需求。2、主导产品升级迭代确保实现「四维突破」：外观设计｜能效比｜品控标准｜成本优势。3、技术攻坚突破领导跨职能团队（工业设计/空气动力学/控制开发）攻克三大技术融合，极简美学与结构工程的平衡、空气流场仿真与降噪技术、智能控制算法优化。3、构建三级品控体系（零部件/模组/整机），实现...,非金属矿物制品业,http://jobs.zhaopin.com/CC296051510J40844629203.htm,1000-9999人,2026-01-06 15:52:41
总经理（工程机械设备）,重庆,四川智服人力资源有限公司,本科,10年以上,"运营管理,销售管理",2-4万,长安重工、中铁装、中铁建等隧道、工程机械行业经历优先职责描述：1、全面主持公司各项工作，贯彻、执行建设公司各项工作决议，落实建设公司下达的各项经济指标；2、行使总经理职权，根据建设公司的部署，制定建设公司的发展规划与本年度应完成的各项工作指标项，与具体工作方案；3、主持建设公司的全面工作，对公司经营、商务合作、重大项目、财务状况、安全工作等方面负责；4、负责公司团队管理工作，并下达各项经济指标并组...,人力资源服务,http://jobs.zhaopin.com/CC854626770J40887535402.htm,100-299人,2025-12-23 16:59:51
电气工程师,重庆,摩西智能工业股份有限公司,大专,3-5年,"非标自动化,西门子,汇川,设计,PLC设计,三菱",2-4万,岗位职责：1、电气系统设计与开发：负责标准设备及产品的电气系统设计与开发。2、编程与调试：承担电气系统标准化框架搭建编程与系统调试工作。3、技术文档与标准化：负责技术文档编制与电气标准化体系建设。4、项目管理与协作：参与样机打样测试，提供技术支持与协作。5、技术文档与标准化：编写和归档技术文档、设计规范等，输出完整、规范的BOM清单及工程资料。 岗位要求： 1.、大专及以上学历，3年以上非标自动化...,仪器仪表制造,http://jobs.zhaopin.com/CC671288420J40904256608.htm,100-299人,2025-12-03 15:22:57
设备工程师,重庆,重庆博迈氯碱工程技术有限公司,大专,5-10年,"安装/调试,维修/保养,特种设备",2-4万,高薪集结！博迈氯碱全球创研中心重金打造乙烯法PVC专家团队博迈氯碱全球创研中心正持续深化其在乙烯法PVC专业领域的战略布局。现面向行业公开招募10～20名核心骨干，涵盖生产管理、工艺技术、设备与操作等关键岗位，诚邀您加入我们稳定而卓越的平台，共享发展成果，共铸事业高峰。一、 招聘岗位· 管理类：装置主任、生产主管· 技术类：工艺工程师、设备工程师· 操作类：主操、副操等现场操作人员二、 任职资格1...,化工,http://jobs.zhaopin.com/CCL1412143320J40894791515.htm,20人以下,2025-10-13 00:00:02
设备经理,重庆,聚慧食品科技(重庆)有限公司,大专,3-5年,"机械设备研发,设备升级改造,机械设备维保,机械设备采购,机械设备验收",2.5-3.5万,岗位职责1.1负责厂区所有生产设备及附属设施的维修、保养，对所属工作范围类设备及设施故障及时做到处理和检修，保证生产正常运行。1.2负责公司设备设施的日常管理与调配，技改工作的组织和实施。2.1制定相关管理制度及操作规范，并督促下属各岗位人员严格执行各项规章制度。2.2负责审核维修材料和备品备件计划 。2.3负责审核大型设备的维修方案。3.1对公司设备部的人员全权管辖与调配，挑选和配备下属各管理及...,快速消费品,http://jobs.zhaopin.com/CC843819990J40670329611.htm,1000-9999人,2026-01-10 01:31:53
电芯-设备主任工程师/经理,重庆,重庆赣锋锂电科技有限公司,本科,5-10年,设备管理,1.8-3.5万·13薪,岗位职责 1、结合部门指标，完成新产线、新设备的安装调试，生产导入； 2、设备维护保养标准的建立与优化，并督促相关人员按计划实施；3、设备或产线改造方案的策划与实施； 4、根据新设备工艺需求，完成设备技术要求的转化、方案设计、评审、选型； 5、现场复杂问题的攻克及技术支持； 6、推进设备的持续进与改善； 7、工装开发的技术支持与技术把关、图纸审核； 8、组织员工提出有关质量、效益、成本、安全、工艺...,新能源,http://jobs.zhaopin.com/CCL1407140800J40976876804.htm,100-299人,2025-12-29 10:14:40
工艺工程师、设备工程师,重庆,重庆博迈氯碱工程技术有限公司,大专,5-10年,"工艺设计,工艺改良",2-4万,高薪集结！博迈氯碱全球创研中心重金打造乙烯法PVC专家团队博迈氯碱全球创研中心正持续深化其在乙烯法PVC专业领域的战略布局。现面向行业公开招募10～20名核心骨干，涵盖生产管理、工艺技术、设备与操作等关键岗位，诚邀您加入我们稳定而卓越的平台，共享发展成果，共铸事业高峰。一、 招聘岗位· 管理类：装置主任、生产主管· 技术类：工艺工程师、设备工程师· 操作类：主操、副操等现场操作人员二、 任职资格1...,化工,http://jobs.zhaopin.com/CCL1412143320J40894798315.htm,20人以下,2025-10-12 17:13:46
