职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
嵌入式软件开发工程师 - 工业伺服驱动,南京,西门子(中国)有限公司,硕士,3-5年,"ARM处理器,C++,C语言,伺服器,PLC,运动控制",面议,嵌入式软件开发，包含需求分析、软件设计与编码和相关文档工作。 What are my responsibilities? · 从事运动控制产品、伺服驱动器软件开发。 · 负责软件开发的全流程工作，包括需求分析、软件设计、编码集成、以及产品维护等。 · 保证软件的非功能需求和可用性。 · 与项目经理、开发工具、硬件、工厂、文档、系统测试以及其它相关方沟通合作。 · 产品开发过程中或针对产品维护的问题...,工业自动化,http://jobs.zhaopin.com/CC000016380J40733619316.htm,10000人以上,2025-12-09 14:02:48
EMS系统软件C/C++研发专家（工作地：天津）,南京,天津昊宸智能科技有限公司,本科,3-5年,"SCADA,瑞芯微RK3568,继电保护装置或通信管理",2.5-5万·16薪,注：该工作地在天津，考虑来天津的合适人选热烈欢迎！！！岗位描述：1、负责对EMS软件进行基于Linux的C++嵌入式开发2、负责 对EMS系统偏电力模块开发，3、负责 对EMS继电保护装置和通信管理进行系统开发4、负责产品架构方案设计，包括通信拓扑绘制、硬件选型等；负责产品数据结构方案设计，包括数据库选型、表结构设计等；5、负责产品软件架构设计，负责编写软件概要设计、详细设计等文档任职要求：1、本...,电气机械/电力设备,http://jobs.zhaopin.com/CC642368730J40786479516.htm,100-299人,2026-01-09 11:36:03
SECC开发_47296,南京,特来电新能源股份有限公司,学历不限,经验不限,SECC,3-5万,岗位职责：1. 负责公司欧标产品SECC（Supply Equipment Communication Controller）核心模块开发，基于ISO 15118和DIN 70121实现车桩通信功能，包括信号调制解调、数据帧解析与指令交互逻辑。2. 主导SECC与EVCC（电动汽车通信控制器）的通信适配开发，完成充电握手、配置交换、充电控制等全流程功能实现，确保符合欧洲市场合规要求。3. 解决SE...,互联网,http://jobs.zhaopin.com/CC288977830J40793288001.htm,1000-9999人,2025-09-28 10:17:25
java/Python/C/C++/JS/AI算法/软件测试,南京,外企德科数字技术有限公司,本科,经验不限,"C,Python,Java,全程线上面试,五险一金,算法编程基础",2-4万·14薪,1、本科及以上学历毕业生（25届毕业生），学信网可查，毕业证与学位证齐全。；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，五险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求1、计算机、软件、通信等相关专业，统招本科及以上学历；2、基础扎实，熟...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40836816605.htm,10000人以上,2026-01-12 00:27:03
储能系统工程师,南京,思源电气,本科,3-5年,"DSP,C语言,控制器,储能,微网",2-4万·15薪,岗位职责：1、负责场站级储能的高级功能开发，根据客户需求和应用场景，制定系统控制方案并完成代码开发及验证；2、参与内外部技术交流、关键方案制定、评审、实施，确保产品及方案的竞争力；3、组织实施和持续优化产品、技术及平台迭代，组织系统性问题分析处理。任职要求：1、具备2年及以上的嵌入式软件开发经验，具备C语言开发能力；2、储能协调控制器、微网控制器开发经验者优先3、电力电子、电气工程、自动化等相关专...,电气机械/电力设备,http://jobs.zhaopin.com/CC000635070J40812737411.htm,1000-9999人,2026-01-12 00:24:21
高级嵌入式软件工程师,南京,南京钢铁股份有限公司,本科,3-5年,ZYNQ芯片,2-4万,"任职要求1、大学本科及以上学历，3年以上的嵌入式软件编程开发经验。2、精通C语言，熟悉arm架构，能独立完成arm平台Linux系统移植、驱动开发(IIC,SPI,网口,DDR3等)3、熟悉makefile脚本语法，shell脚本和cmake工具，熟悉GDB调试方法，掌握Git和SVN版本管理工作:4、熟悉Linux和Rtthread操作系统。5、熟悉ZYNQ开发流程和平台搭建6、责任心强，具备团...",钢铁/有色金属冶炼及加工,http://jobs.zhaopin.com/CC447570610J40887871102.htm,10000人以上,2025-12-24 09:04:35
java开发工程师（大平台+16薪）,南京,外企德科数字技术有限公司,本科,经验不限,"JavaScript,Python,C++,Spring,MySQL",2-4万·14薪,岗位要求】1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等其中一种编程语言，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；【岗位职责】在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40836063105.htm,10000人以上,2026-01-12 00:27:00
继保自动化装置软件开发,南京,南京蓝园精瑞电气有限公司,本科,3-5年,,2.5-4万·13薪,岗位职责：1、负责配电终端产品及环网柜配套产品的软件开发或者硬件开发；2、编写硬件设计和工艺文档，支持和响应生产产线；3、完成产品的整机功能和性能测试。任职要求：1、本科及以上学历，电力电子、自动化、电子信息工程等相关专业，1年以上配电终端相关工作经验；2、熟悉电力二次设备开发的工具软件3、有大型项目开发经验或电力二次行业研发经验者优先。职位福利：五险一金、绩效奖金、加班补助、餐补、通讯补助、带薪...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC481865030J40568765609.htm,100-299人,2025-11-24 00:20:03
赴日高级软件工程师,南京,株式会社嘉成善,本科,5-10年,"全栈开发,Java,Python,Oracle,MySQL,DB2,WEB开发",2-4万·14薪,"赴日高级软件工程师录用方式：公司给办理正式工作（技术）签证，不收取任何中介费和劳务费。作为日本总公司固定期限正社员/无固定期限正社员工直接录用，非外包公司。任职要求：1.工作地点：日本（爱知县）2.1年以上软件开发经验,有对日软件开发经验者优先，有日本工作经验者优先;3.计算机或相关专业大本以上学历，或10年IT从业经验以上者;4.有较好的日语水平，日语2级以上或相当水平，能够与日本客户较好的交流...",IT服务,http://jobs.zhaopin.com/CCL1445372650J40429037112.htm,20-99人,2025-11-14 15:38:23
SAR系统软件工程师,南京,宁波智晖空间技术有限公司,硕士,3-5年,"C++,DSP",2.5-4万,岗位职责：1、负责星载/机载SAR系统设备软件的整体架构设计，负责星载/机载SAR系统工作模式、流程控制，SAR射频单机、数据形成、波束形成等单机控制等模块的规划与实现；2、负责星载/机载SAR系统设备FPGA或DSP软件研发，包括软件实现及性能优化，仿真测试，部组件测试，软件三方测评相关文件编写，解决软件开发过程中的技术攻关及运行中出现的技术问题；3、参与星载/机载SAR系统单机FPGA或DSP...,通信/网络设备,http://jobs.zhaopin.com/CCL1299919600J40892748015.htm,20-99人,2025-09-28 16:13:01
