职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
android系统驱动工程师,杭州,杭州讯意迪科技有限公司,本科,3-5年,"C++,Java,Shell,汇编语言,Linux,Android",3-5万,"工作内容：1、负责Android/linux 系统定制裁剪、驱动开发;2、协助应用工程师、硬件工程师处理相关的开发问题;3、解决客户反馈的问题;任职要求：1、电子技术相关专业本科或以上学历；2、4年以上Android/Linux驱动相关开发经验，熟悉常见的外设驱动如:电池，LCD，TP，Camera，codec，UART,Flash等;3、精通C/C++语言, 熟悉java语言、熟悉shell、M...",计算机硬件,http://jobs.zhaopin.com/CC627609130J40638380609.htm,20-99人,2024-10-09 10:43:42
开发工程师 （原生开发）,杭州,中国移动通信有限公司在线营销服务中心,本科,3-5年,Android开发,3-4.5万,岗位职责:1、负责中国移动 APP 客户端核心业务研发，承担 Android/iOS 原生及 RN、小程序等动态化业务的研发工作，保障核心业务在高并发场景下的性能、稳定性与可扩展性；持续监控关键性能指标（启动、卡顿、崩溃等），并提出优化方案。2、参与需求分析与方案设计，保障交付质量，深度参与产品与项目需求评审，完成技术方案设计、代码实现、调试与自测工作，能够独立、高质量、按期完成研发任务，确保代码...,运营商/增值服务,http://jobs.zhaopin.com/CCL1317363300J40868802703.htm,10000人以上,2026-01-09 10:47:53
年薪40w+系统框架工程师+上市公司,杭州,上海星图金融服务集团有限公司南京分公司,本科,3-5年,"Java,Android,Openstack",2.5-4.5万,【福利待遇】月薪25k及以上，面试具体定薪，早九晚六，周末双休，节假日正常休息【岗位职责】1、负责 Android Framework 层功能开发与维护，包括系统服务（System Services）、HAL/Java 桥接、Binder 通信及系统 API 扩展等；2、参与系统服务的设计、优化与重构，确保 Framework 功能的稳定性与可扩展性；3、开发与调优系统属性（SystemPrope...,互联网金融/小额贷款,http://jobs.zhaopin.com/CCL1439906560J40892511002.htm,1000-9999人,2025-12-30 14:13:06
app移动开发工程师,杭州,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,,2-4万,岗位职责：- 负责移动应用的设计与开发。- 参与产品的整个生命周期，包括需求分析、设计、开发、测试及维护。- 优化移动应用的性能，确保软件质量。岗位要求：- 熟悉移动应用开发流程和主流开发技术。- 具备扎实的编程基础和良好的编程习惯。- 熟练掌握至少一种移动应用开发语言（如Java、Kotlin、Swift等）。- 有成功上线的移动应用项目经验者优先。,互联网,http://jobs.zhaopin.com/CC427775130J40902181315.htm,20-99人,2026-01-12 01:41:43
Android开发工程师,杭州,道一(天津)企业管理咨询有限公司,本科,1-3年,"电商项目,Kotlin,Java,Objective-C",2-4万·13薪,工作职责﻿可投递以下3条业务线，简历中情备注好求职方向：1）Android开发-用户&内容技术2）Android开发-天猫3）Android/C++-端智能应用方向工作职责（针对Android/C++-智能应用方向 ）：1.负责手淘客户端用户行为研究和技术建设，与算法、数科密切协作，打造高质量的端侧实时特征和意图加工引擎。2.深入参与首页、推荐、搜索等核心场景的AI以及端智能应用建设，构建高效率，...,人力资源服务,http://jobs.zhaopin.com/CCL1447804550J40867264612.htm,100-299人,2026-01-07 17:40:52
对日flutter开发工程师,杭州,杭州优灿科技有限公司,学历不限,3-5年,"Android开发,iOS开发,小程序开发,Java,Flutter,日语,N1,N2,N3",2-4万,"岗位职责：1、参与移动端产品Flutter项目开发和版本迭代2、参与软件设计，编写开发文档3、分析并解决软件开发过程中的问题任职要求：1、精通Flutter开发, 可独立架构和开发APP2、有 1~2个线上Flutter项目开发经验3、熟练使用Dart开发语言4、有3~5年及以上移动开发经验者优先5、日语N2以上",计算机软件,http://jobs.zhaopin.com/CC272317030J40736519313.htm,500-999人,2025-12-31 16:01:49
ArkTS鸿蒙开发-包三餐/全额六险一金/试用期不打折,杭州,外企德科数字技术有限公司,本科,3-5年,"ArkTS,HARMONY OS,KMP,Kotlin",2.1-3.5万,华为项目驻场到飞书，加班强度较大：上午10点上班；推简历需要提供统本学信网核验截图；杭州2个地址：1、杭州仓南广场-T2 工区；2、浙江省杭州市余杭区爱橙街与景兴路交叉口东北角。【岗位职责】飞书鸿蒙适配开发。【岗位要求】1.统招本科及以上学历，3年以上ArkTS多端适配+鸿蒙端侧业务迁移需求开发，有HarmonyOS NEXT的实际项目开发经验；2、熟悉ArkWeb、H5开发、KMP，有中大型移动...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837370705.htm,10000人以上,2026-01-12 00:27:05
安卓开发工程师,杭州,诚迈科技股份有限公司,本科,3-5年,C++,2.2-3.5万,岗位职责：1.安卓应用的核心功能开发，包括但不限于聚类、检索、图片视频编辑等功能；2、负责相册端的算法集成。任职要求：1、能够熟练进行Java/kotlin 进行Android App开发；2、熟悉图像处理的基本原理，有影像相关项目经验优先；3、具有Linux 平台下服务端开发经验优先；4、能够熟练进行C/C++开发优先；5、有camera HAL层算法集成开发岗位职责：,运营商/增值服务,http://jobs.zhaopin.com/CC144543200J40907087515.htm,1000-9999人,2026-01-09 01:43:14
对日软件开发工程师,杭州,杭州优灿科技有限公司,学历不限,3-5年,"Java,C#,C/C++,嵌入式技术,VB,SQL,日语,.NET,Python,Android",1.8-3.5万,1.3年以上Java/.NET/C/C++/开发经验2.了解Spring boot、mybatis、redis、mysql等常用开发框架与工具3.有对日项目经验，可不借助翻译软件独立读写式样书4.日语N3及以上5.了解React、angular、vue等前端技术者优先6. 学习和理解能力强，反应敏捷，具有一定的系统分析能力，及独立解决问题的能力,计算机软件,http://jobs.zhaopin.com/CC272317030J40853034213.htm,500-999人,2026-01-08 01:36:23
鸿蒙开发工程师-ArkTS,杭州,外企德科数字技术有限公司,本科,3-5年,"ArkTS,Kotlin,Java,JavaScript",2-3.5万,职位描述1、负责推进现有Android工程向KMP（Kotlin Multiplatform） 跨端改造，实现代码在Android及鸿蒙平台的复用；2、与合作同学、QA、剪映研发等团队保持良好沟通，积极参与方案讨论，共同保证产品迭代顺利推进；职位要求1、本科及以上学历，计算机、通信等相关专业；2、3年以上Android开发经验，熟练掌握Java，Kotlin编程语言，对Android底层技术有一定...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837358605.htm,10000人以上,2026-01-12 00:27:05
