职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
大数据团队负责人(base福州),杭州,扬腾创新(福建)信息科技股份有限公司,本科,5-10年,"数据建模,大数据开发,数据仓库,跨境电商,团队管理",6-8万·13薪,岗位职责: 1. 结合公司战略业务能力建设优先级，沿公司核心业务价值链对各业务领域数据运营、业务决策诊断、智能领导驾驶舱进行体系化规划与实施路径设计以便保障业务数字化变革推进，达到业务分析数据化、决策数据化、分析体系化与智能化； 2. 结合公司数智化战略与业务数据能力建设优先级，对数据中台与AI平台能力逐层建设节奏与公司内外部数据资产化建设进行路径与落地策略规划，以便保障公司数据资产业务价值化，推...,电子商务,http://jobs.zhaopin.com/CCL1217026990J40735663002.htm,1000-9999人,2025-12-24 01:03:00
数据管理工程师(J14605),杭州,北控水务(中国)投资有限公司,本科,5-10年,"数据架构,数据仓库,数据挖掘,Sql",3-5万,岗位职责:1、深入参与数据产品建设生命周期，为公司内外提供完善的数据解决方案。2、负责公司数据分析平台、指标体系的建设和维护。3、负责组织数据实体的梳理、建模和实现；负责主数据系统、数据目录的建设和维护。4、与业务部门对接，完成数据、报表和报告的价值闭环。任职要求:1、精通SQL开发与调优，熟悉MySQL、Postgres、Oracle等常用数据库产品；熟悉Doris、ClickHouse等MPP...,环保,http://jobs.zhaopin.com/CC306391710J40814527307.htm,1000-9999人,2026-01-06 01:18:35
大数据开发工程师-补贴2w-海外出差-短期,杭州,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Spark,数据库开发,数据中台开发,MaxCompute,PYSAPRK,SparkSQL,SCALA SPARK",2-4万,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786765816.htm,10000人以上,2026-01-12 01:44:58
时空大数据治理技术专家（云原生方向）-杜震洪团队(J10241),杭州,浙江大学杭州国际科创中心,硕士,5-10年,数据仓库,2-4万,岗位职责:一、职位使命：构建面向下一代空间智能的Analysis Ready数据服务体系，打造支撑千亿级时空数据实时分析的云原生治理平台，推动地理信息数据与AI模型的深度协同进化。 二、核心职责：1. 空间数据治理体系构建1）主导PB级多源异构地理时空数据（卫星遥感/GIS/物联网传感等）的标准化治理，建立涵盖数据质量、元数据管理、版本控制的完整数据资产目录2）设计面向机器学习的数据预处理流水线，...,学术/科研,http://jobs.zhaopin.com/CCL1242292110J40937345904.htm,500-999人,2026-01-07 11:20:45
资深大数据平台架构师,杭州,浙江数新网络有限公司,本科,5-10年,"数据治理,数据建模,数据库开发",2.5-4万·14薪,岗位职责：1、负责公司大数据平台整体架构设计，结合公司业务情况进行技术预研和选型，确保技术领先性；2、负责公司大数据平台相关产品的架构规划、评审及优化，负责关键技术模块的设计和开发；3、负责推动项目整体技术方案的落地，做好技术风险把控，协助团队解决研发过程中的技术难题；4、负责数据平台关键技术方向的技术攻坚，主导完成技术原型研发，带领团队成员完成新技术的推广和应用；5、制定和持续优化研发团队的架构...,云计算/大数据,http://jobs.zhaopin.com/CCL1271464290J40870185208.htm,100-299人,2026-01-05 14:57:13
数据空间建设与语料数据运营咨询顾问,杭州,华信设计,本科,5-10年,"咨询顾问,数据治理,数据仓库,大数据开发",2-3.5万·13薪,**职位名称：数据治理与数据运营团队负责人****工作地点：** 杭州**汇报对象：公司数据运营主管总经理**岗位职责：**1. 战略规划与体系建设：从零开始搭建公司级数据治理体系与数据运营咨询服务交付团队，制定团队中长期发展规划，明确公司数据治理与数据运营服务产品的战略目标、实施路径与关键里程碑。2. 团队组建与管理：负责数据治理与数据运营团队的组建、招聘、培养与管理，建立高效协作的团队文化，提...,运营商/增值服务,http://jobs.zhaopin.com/CC121043380J40842936903.htm,1000-9999人,2026-01-05 01:06:07
大数据专家,杭州,浙江深大智能科技有限公司,本科,10年以上,"数据治理,数据仓库,数据建模",2-3.5万,岗位职责：1、参与文旅行业多业态相关的大数据中台开发和建设，按照OneData数据规范，构建数据仓库、元数据、质量体系，有效的管理和组织海量的数据。2、参与大数据的采集、清洗、存储、通过分布式大数据平台加工数据，确保数据的准确性和一致性，支持业务管理及日常运营分析决策。3、参与大数据体系的领域模型(如星型模型、雪花模型等)设计、开发、维护。4、跟踪大数据领域的最新技术和趋势，评估其应用价值，参与技...,互联网,http://jobs.zhaopin.com/CC149102910J40768493614.htm,500-999人,2026-01-01 01:36:46
资深java开发工程师（大数据引擎 ）,杭州,浙江数新网络有限公司,本科,5-10年,"Java,Hadoop,Spark,MySQL",2-4万·14薪,岗位职责：1、参与公司自主研发的大数据管理平台产品的设计、开发、优化及升级工作，主流引擎组件商业化版本的定制优化工作；2、负责项目的技术方案制定与提交，调研与比较不同技术方案的优缺点，并根据实际条件选择合理的技术方案；3、高质量完成项目的研发工作，组织项目组进行代码review；4、发现项目组研发过程中出现的问题，并予以优化、解决，以提升研发效率和研发质量；任职要求：1、计算机或软件工程相关专业本...,云计算/大数据,http://jobs.zhaopin.com/CCL1271464290J40906878408.htm,100-299人,2025-12-17 11:17:50
高级软件工程师-专家组 (MJ041238)-工作地山东,杭州,宁德时代新能源科技股份有限公司,学历不限,经验不限,C++,2-3万·17薪,岗位职责：1、项目管理和实施：负责数字化转型项目方案的制定和实施工作，根据业务需求及场景提供技术解决方案，确保项目顺利推进；2、技术调研和分析：对需求项目背景和相关技术和行业进行调研和分析，形成技术报告或PPT汇报方案；3、系统设计与优化：负责基于特定平台的分布式存储系统的设计与实现工作，参与制定和优化分布式存储系统的性能提升方案与技术架构设计；4、技术问题解决：对项目中的各种技术问题进行分析并解...,电子设备制造,http://jobs.zhaopin.com/CC271988630J40979036304.htm,10000人以上,2026-01-08 16:45:05
数据管理部-大模型应用开发岗(J11513),杭州,浙江民泰商业银行,本科,1-3年,"数据挖掘,数据建模",1.5-3万,岗位职责:1、构建和优化提示词，充分挖掘大模型能力，高效、精准解决实际问题；2、开发和优化Query理解、召回、相关性排序等技术，提升信息检索的效率和准确性，提升RAG的效果；3、利用主流的智能体框架，增强大模型的推理反思能力，解决复杂业务问题；4、参与制定和实施大模型应用的评估方案，结合人工评估和自动化评估，确保可靠性和稳定性；5、完成领导交办的其他工作。任职要求:1.本科及以上学历，计算机科学...,银行,http://jobs.zhaopin.com/CC147146980J40763346610.htm,1000-9999人,2025-12-30 01:28:50
