职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
资深软件工程师(J11286),杭州,浙江水晶光电科技股份有限公司,本科,5-10年,"芯片,测试平台,算法与嵌入式支持",3-6万·15薪,岗位职责:岗位职责：1. 平台架构与标准：设计与实现通用软件平台与工具链（包含云端和设备端），制定接口/消息/配置规范，沉淀设备管理、数据管道、权限等基础服务。2. 组件与SDK：开发可复用的中间件/封装库与SDK，完成驱动/算法/嵌入式的适配与示例代码、文档，支撑多条线快速集成。3. 工程效能与运维：建设 CI/CD、自动化测试与脚本；完善日志/监控/告警、配置与版本/发布管理，保障平台可用性与...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC387759320J40899758615.htm,1000-9999人,2025-10-31 15:55:31
JAVA开发工程师(J10171),杭州,杭州景杰生物科技股份有限公司,本科,5-10年,JavaScript,3-5万,岗位职责:工作职责1、制定运维战略：根据业务发展目标，制定IT运维体系的中长期发展规划、技术路线图与预算计划。架构设计与演进：主导生产系统架构的规划设计、容量规划、容灾与高可用方案，确保系统具备前瞻性、扩展性与韧性。技术选型与创新：评估并引入先进的运维工具、平台与技术（如自动化、智能化运维AIOps、云原生、可观测性体系），推动运维转型与效率革命。2、运维标准化：建立和完善运维管理制度、规范、标准...,生物工程,http://jobs.zhaopin.com/CC408452810J40979205404.htm,500-999人,2026-01-09 13:11:21
软件开发（储能方向）,杭州,山东晶农能源集团有限公司,硕士,3-5年,,2.5-5万,岗位职责： 1、负责产品软件的开发与调试，相关问题分析及排查； 2、负责嵌入式产品功能需求分析，产品代码编写，设计文档输出； 3、负责产品软件策略的制定，算法开发等； 4、负责搭建储能EMS产品开发团队，并主持工作。 任职要求： 1、计算机、软件、自动化相关专业，硕士优先； 2、熟练掌握嵌入式C/C++语言编程，了解基本的数据结构原理，精通MCU编程；熟悉UART、RS485、I2C、SPI、CA...,新能源,http://jobs.zhaopin.com/CCL1488389030J40778277105.htm,100-299人,2025-12-19 10:58:14
高级嵌入式软件工程师（Linux&ROS）-机器人、机器狗,杭州,杭州展晖科技有限公司,本科,3-5年,"四足机器狗,人形机器人",2.5-5万,岗位职责1. 负责嵌入式系统及相关模块的驱动开发、调试、BUG分析；2. 负责需求分析、详细设计文档及模块单元测试用例等文档编写；3. 为基于嵌入式Linux系统的应用开发提供支持；4. 持续优化驱动性能，根据产品反馈持续迭代和优化产品软件功能及体验；5. 协助测试人员完成软件的测试。任职要求1. 统招本科及以上学历，2年以上嵌入式驱动开发经验，熟悉Linux内核，熟练掌握Linux环境下的C/C...,工业自动化,http://jobs.zhaopin.com/CC546725730J40792020705.htm,20-99人,2025-07-08 16:08:37
嵌入式软件工程师,杭州,杭州芯锐科技有限公司,本科,5-10年,"独立项目,大厂经验,名校",3-5万·13薪,1、电机、工业自动化和控制类产品应用程序开发及调试;2 、已有产品维护、升级迭代;3、产品各软件模块和程序库的代码编写及维护;4、编制及归档项目相关的技术文档;5、为生产、售后等相关部门提供技术支持;6、完成部门主管交予的其他任务。任职要求1、电子、自动化、计算机等相关专业。熟悉 STM32软件开发，精通 C 语言和linux和Android底层系统开发;2、具有产品项目软件开发经验，能独立完成项...,智能硬件,http://jobs.zhaopin.com/CC689209420J40709109009.htm,20-99人,2025-07-03 00:05:40
[JAVA/ Python/C/C++/GO/数据开发] 24/25无经验可投 线上面试,杭州,外企德科数字技术有限公司,本科,1-3年,"C语言,C#,Java",2.5-4.5万·16薪,"1、参与数据治理产品的建设，理解客户需求和痛点，负责产品特性设计开发、测试任务；2、参与产品特性的设计和架构优化任务；3、支持应用服务的运营、用户支持及运维。４、负责SaaS产品的前端功能实现，独立完成产品设计好的交互功能和产品需求。５、配合需求负责人提升产品界面体验和优化""岗位要求：1、通信设备软件开发测试，熟悉软件开发流程；2、熟练掌握汇编/C/C＋＋、Java、python等编程语言，对CP...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40832087105.htm,10000人以上,2026-01-12 00:26:43
嵌入式软件工程师,杭州,浙江科力车辆控制系统有限公司,本科,5-10年,,2.4-4.5万,1、负责汽车底盘相关嵌入式软件系统开发，包括器件驱动，底层&应用开发等；2、参与芯片方案选型，软件模块设计，驱动及应用软件功能实现; 3、 配合硬件工程师调试相关问题； 4、编写项目文档及其他有关文档；5、参与实车测试、分析，软件优化；任职要求： 1、本科及以上学历，计算机、电子信息类、自动化或相关专业，3年以上工作经验，有汽车行业相关经验优先； 2、熟悉C语言，熟悉MCU操作，具有S32K或其他...,汽车零部件,http://jobs.zhaopin.com/CC661677020J40819236513.htm,1000-9999人,2025-08-28 14:08:21
嵌入式软件工程师（杭州乾景）,杭州,麦格米特,本科,5-10年,嵌入式软件,2-4万,"岗位职责:1、根据公司需求, 制定的开发任务, 完成新产品，新技术的软件研发。2、独立完成新产品的软件设计及调试。3、参与产品开发初期的功能定义及实现方案。4、配合硬件工程师完成新产品的硬件设计及调试。5、配合硬件工程师,一起分析并解决开发过程中遇到的问题。6、负责相关技术文档及产品说明书的编写。 任职要求:1、本科及以上学历，5年以上工作经验，自动化、电子信息、电气、电力工程相关专业；2、专业能...",电子/半导体/集成电路,http://jobs.zhaopin.com/CC154405010J40530199905.htm,1000-9999人,2026-01-05 15:28:55
java/Python/C/C++/JS/AI算法/软件测试,杭州,外企德科数字技术有限公司,本科,经验不限,"深度学习,机器学习,图像算法,VGGNet",2-4万·14薪,1、本科及以上学历；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，六险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求岗位要求 1、计算机、软件、通信等相关专业，统招本科及以上学历； 2、基础扎实，熟悉掌握但不限于Python/JAVA/C++...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837670205.htm,10000人以上,2026-01-12 00:27:06
嵌入式技术负责人（智能厨电方向）,杭州,浙江田螺云厨科技有限公司,本科,5-10年,,3-4万,岗位职责：1.嵌入式系统架构设计：主导厨房家电屏组智能化升级的全链路嵌入式系统开发，包括操作系统移植（如Linux/RTOS）、底层驱动开发、硬件抽象层（HAL）设计及上层应用模组开发（UI交互、菜谱控制逻辑等）。搭建高可靠、低功耗的嵌入式软件平台，支持多品类家电（咖啡机、空气炸锅等）的快速适配与迭代。2.硬件解决方案设计：负责核心硬件方案选型与验证，主导芯片选型（如ARM Cortex系列、RI...,智能硬件,http://jobs.zhaopin.com/CCL1263425540J40817839001.htm,100-299人,2026-01-05 13:41:55
BMS软件工程师,杭州,杭州铂科电子有限公司,本科,3-5年,"储能,PCS,电源行业",2-4万·15薪,"岗位职责：1.规划与开发产品韧体，包括设计与程序撰写；2.设计电池电量监测、健康状态评估与电池平衡算法；3.开发并实作产品通讯协议（UART、CANBus、MODBus）；4.测试与维护产品韧体，确保量产稳定性；5.研发并导入HW/FW新技术，提供技术支持；6.持续引进新技术，优化韧体设计；7.分析与追踪韧体设计问题，确保质量；任职资格：1.本科及以上学历, 电机电子、信息相关专业；2. 2年以上...",电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1324058810J40828147110.htm,300-499人,2025-12-29 09:40:55
中高级后端开发工程师,杭州,外企德科数字技术有限公司,本科,经验不限,JavaScript,2-4万·16薪,【岗位要求】1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等其中一种编程语言，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；【岗位职责】在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40833288605.htm,10000人以上,2026-01-12 00:26:48
资深java开发工程师（大数据引擎 ）,杭州,浙江数新网络有限公司,本科,5-10年,"Java,Hadoop,Spark,MySQL",2-4万·14薪,岗位职责：1、参与公司自主研发的大数据管理平台产品的设计、开发、优化及升级工作，主流引擎组件商业化版本的定制优化工作；2、负责项目的技术方案制定与提交，调研与比较不同技术方案的优缺点，并根据实际条件选择合理的技术方案；3、高质量完成项目的研发工作，组织项目组进行代码review；4、发现项目组研发过程中出现的问题，并予以优化、解决，以提升研发效率和研发质量；任职要求：1、计算机或软件工程相关专业本...,云计算/大数据,http://jobs.zhaopin.com/CCL1271464290J40906878408.htm,100-299人,2025-12-17 11:17:50
