职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
前端开发,杭州,深圳中迈信息技术有限公司,本科,3-5年,"电商项目,React,JavaScript,Node.js",1.5-3万·13薪,职位描述： 1、负责B类电子商务网站前端开发工作，与PD、UED、Java工程师协作，完成设计交互实现、数据交互、动态信息展现。2、关注用户体验，与合作方一起不断改进产品的易用性。 3、结合业务特点创新应用前端技术解决前端团队开发过程中面临的各类问题，提升整个前端团队开发效能。 4、研究和探索创新的开发思路和新的前端技术。 职位要求：1、本科以上计算机相关专业，3年以上前端开发经验。2、熟悉Web...,IT服务,http://jobs.zhaopin.com/CC429888180J40776015216.htm,500-999人,2025-11-28 11:52:27
蚂蚁-前端开发工程师,杭州,广州欢创信息咨询有限公司,本科,1-3年,"金融项目,能源项目,前端工程化和模块化开发,HTML5,CSS,JavaScript,Node.js",1.5-2.5万·15薪,职位描述：1. 负责能源电力场景服务产品的前端业务开发工作，准确理解业务需求，拆解复杂项目并确保按时高质量交付，体现前端专业性； 2. 通过工具，平台等方式，来解决复杂业务系统的UI 及业务逻辑工作，提高工作效率；同时能够把控项目开发效率和质量，帮助业务实现技术提效和质量提升； 3. 主动关注数据，理解业务，有良好的洞察能力，能够通过新技术、业界优秀产品的分析调研来提升我们的产品体验。职位要求：1...,人力资源服务,http://jobs.zhaopin.com/CC531289680J40815438609.htm,100-299人,2025-12-05 17:24:59
大厂正编+react前端开发+五险一金+周末双休-15薪,杭州,江苏成功企业管理有限公司苏州分公司,本科,3-5年,"电商项目,大屏/可视化项目,互联网项目,TypeScript,JavaScript,React,Node.js",1.5-2.5万,职位描述：1. 负责能源电力场景服务产品的前端业务开发工作，准确理解业务需求，拆解复杂项目并确保按时高质量交付，体现前端专业性； 2. 通过工具，平台等方式，来解决复杂业务系统的UI 及业务逻辑工作，提高工作效率；同时能够把控项目开发效率和质量，帮助业务实现技术提效和质量提升； 3. 主动关注数据，理解业务，有良好的洞察能力，能够通过新技术、业界优秀产品的分析调研来提升我们的产品体验。职位要求：1...,人力资源服务,http://jobs.zhaopin.com/CCL1212490300J40825043710.htm,1000-9999人,2025-12-05 10:04:10
系统开发（前端）,杭州,杭州低空产业发展有限公司,硕士,1-3年,"Vue,React,JavaScript,HTML5,Node.js",1.5-2.5万,岗位职责：1、参与公司自主产品及项目研发，前端组件化开发，参与核心代码的编写；2、参与项目的模块概要设计、编码实现、单元测试、系统整合测试，分析并解决软件开发过程中的问题，确保开发模块符合既定的特性（如高可用、高性能等）；3、进行编制项目文档和质量记录的工作；4、协助并完成其他各类技术开发任务及领导安排的工作。岗位要求：1、硕士及以上学历，计算机科学、软件工程等相关领域专业；2年以上相关开发相关工...,互联网,http://jobs.zhaopin.com/CCL1318355140J40821761903.htm,500-999人,2025-11-04 09:45:25
Node.js前端工程师-杜震洪团队(J10244),杭州,浙江大学杭州国际科创中心,本科,3-5年,node.js,1.5-2万,岗位职责:1. 负责存算一体化平台后端核心模块开发，重点聚焦算力调度、资源优化与镜像管理功能； 2. 设计高可用、高并发的分布式系统架构，优化算力资源分配策略； 3. 开发容器镜像生命周期管理工具，支持镜像快速部署与动态更新； 4. 协同团队完成系统性能调优及稳定性保障。任职要求:1、本科及以上学历，计算机、地理信息相关专业 2、三年以上产品型互联网公司从业经验 3、精通 Node.js 与 Ty...,学术/科研,http://jobs.zhaopin.com/CCL1242292110J40937353904.htm,500-999人,2026-01-07 11:21:24
前端开发工程师,杭州,软通动力信息技术(集团)股份有限公司,本科,3-5年,"大屏/可视化项目,REACT项目经验,react,HOOKS,React,JavaScript,React Native,Echarts,Node.js",1.5-2万,我们正在寻找一位经验丰富的前端开发工程师，负责参与公司Web应用程序的开发和维护工作。工作内容：包括设计、编码、测试、优化前端应用程序，与后端团队密切合作完成项目开发等。岗位要求：1. 计算机相关专业本科及以上学历；2. 3年以上前端开发工作经验；3. 熟练掌握HTML、CSS、JavaScript react等前端技术；4. 具备良好的沟通能力和团队协作精神；5. 对互联网产品和技术有浓厚的兴趣...,互联网,http://jobs.zhaopin.com/CC000544460J40767685716.htm,10000人以上,2025-10-22 17:57:33
WEB前端工程师,杭州,杭州五极网络技术有限公司,本科,3-5年,"大屏/可视化项目,JavaScript,TypeScript,CSS,Vue,React,Node.js",1-2万,岗位职责：1. 负责开发五极云零代码平台（elemost.com）的PC端和移动端产品，实现业务功能和交互效果； 2. 负责推动与优化已有前端项目的基础架构与组件抽象； 3. 优化产品性能和前端代码质量； 4. 持续改进产品的易用性与用户体验。 职位要求 1. 本科及以上学历，2年以上WEB前端开发经验； 3. 熟练使用React（必备条件） ， Vue等技术，能独立开发组件，优先考虑React精...,网络/信息安全,http://jobs.zhaopin.com/CC859863750J40615413107.htm,20-99人,2025-10-10 09:07:55
vue前端开发工程师（短期）,杭州,北京易才博普奥管理顾问有限公司,大专,3-5年,"大屏/可视化项目,GIS/地图项目,Vue,React,CSS,Node.js,Echarts,Leaflet",1.2-2万,1.前端功能设计、开发和实现，与后端工程师协作，完成数据交互、动态展现;2.对UI设计的结果进行页面制作3.基于Vue实现高复用性组件开发，结合Ant Design Vue等组件库定制业务模块，提升开发效率;4.从视觉和易用性角度，为网站设计提供改进建议，为网站/客户端的页面提供持续优化方案;5.配合进行代码的调试、bug修复、浏览器兼容性调优;6.能够独立完成前端框架的封装和组件的编写;7.移动...,咨询服务,http://jobs.zhaopin.com/CC227750710J40707285806.htm,100-299人,2025-09-11 16:17:30
前端开发工程师,杭州,博彦科技承德有限公司,本科,5-10年,"CSS,JavaScript,HTML5,Vue,React,Node.js,数据资产管理",1.4-1.9万,"职位描述IT互联网类/前端开发""1. 负责数据资产管理项目前端功能模块的技术方案设计、系分文档编写、核心代码的开发；2. 参与整个系统的架构设计，落实技术细节，评估主要难点和风险点；3. 参与并主导业务架构、服务平台或工程体系的设计开发工作；4. 项目类型主要PC端Web，移动端H5，团队技术栈主Vue、React。""任职资格""1. 统招本科及以上学历，计算机相关专业，3年及以上互联网前端开发工作...",IT服务,http://jobs.zhaopin.com/CC637366030J40743550006.htm,1000-9999人,2025-12-24 16:37:27
node.js技术支持工程师（驻点）,杭州,武汉在水医方智能科技有限公司,大专,3-5年,NODE.JS后端,9000-18000元,职责描述：参与公司医疗AI产品后端开发，技术架构为postgresql+nodejs+python。 任职要求： 1、大专以上学历，3年以上nodejs后端开发经验； 2、精通javascript语言与nodejs，熟练掌握各后端技术栈; 3、熟练掌握postgresql数据库查询语言，熟练掌握plpgsql过程语言； 4、精通函数式编程者优先； 5、加分项：曾使用以下任一语言超过3-6个月：R、...,医疗设备/器械,http://jobs.zhaopin.com/CCL1461582630J40831586414.htm,20-99人,2025-12-25 01:41:31
前端开发工程师,杭州,清瑶智能科技(杭州)有限公司,本科,5-10年,"金融项目,JavaScript,Vue,React,React Native,Three.js,Node.js,AI",1.4-1.8万·13薪,任职资格：【重要】学历必须为统招本科且计算机相关专业，没有请勿投递。工作经验大于等于5年！！自研岗位！！有文档解析相关经验的优先考虑！！！！！1. Vue 生态精通：熟练掌握 Vue 2/3 核心特性（响应式原理、组件生命周期、指令/过滤器、插槽、依赖注入等）；深入理解 Vue 3 新特性（Composition API、Teleport、Suspense、Pinia 状态管理），能对比 Opti...,人工智能,http://jobs.zhaopin.com/CC857303330J40796801207.htm,100-299人,2025-12-24 10:37:06
前端开发工程师（react）,杭州,北京易才博普奥管理顾问有限公司,本科,1-3年,"React,TypeScript,Node.js,Electron,AI,GIT-FLOW",1.2-1.8万,职位描述：1. 负责企业内部工具研发及体验优化。2. 能够灵活使用前端、客户端相关技术，高质量打造内部产品体验。3. 配合产品、ui团队、测试团队，从用户角度出发，提升用户的产品体验，交付最优的解决方案。职位要求：1. 本科两年以上开发经验。2. 深入理解并熟练使用React、Nodejs、Electron、Nextjs等，并对项目工程化、模块化和组件封装有理解和实践。3. 了解桌面端开发常见问题...,咨询服务,http://jobs.zhaopin.com/CC227750710J40730598006.htm,100-299人,2025-11-03 17:48:08
前端开发（需要会react）,杭州,南京蓝魔云信息技术有限公司,本科,3-5年,"HTML5,CSS,React,JavaScript,Node.js",1.4-1.7万,工作职责：1. 根据产品需求和UI设计稿，使用React等技术实现PC端和移动端的高质量页面，并确保界面与设计效果高度一致。2. 负责前端业务功能和交互效果开发，优化代码结构与性能，提升页面加载速度与用户体验。3. 与UI设计师、后端开发工程师紧密协作，完成数据交互与整体功能实现。4. 定期更新与维护线上产品，解决开发和运营中出现的技术问题，确保产品的可用性。5. 积极了解和学习AI前沿领域和热点...,计算机软件,http://jobs.zhaopin.com/CCL1215728260J40786284216.htm,20-99人,2026-01-08 15:22:54
高级前端开发工程师,杭州,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Vue,Node.js",1.5-1.7万,岗位要求：1.5年以上前端开发经验，能解决前端遇到的技术问题2.精通Vue，熟悉其生态体系，并对其原理和设计有深入了解3.前端基本功扎实，熟练掌握js，css3 4.熟悉nodejs，有大型项目开发经验更佳5.熟练使用webpack/rollup至少一种打包工具，兵了解其实现原理6.熟练掌握前端优化方案，并在提升前端性能方面有自己的见解7.逻辑思维清晰，沟通理解能力强，能独挡一面，工作态度积极主动...,互联网,http://jobs.zhaopin.com/CC000544460J40769499916.htm,10000人以上,2025-10-29 10:05:18
