职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
美妆视觉设计专家,杭州,山西锦波生物医药股份有限公司,本科,3-5年,,2-3.5万,1.品牌视觉战略落地，主导新品上市、年度大促(如双11/品牌日)全链路视觉创意方案，从概念提案到执行落地，确保视觉语言精准传递品牌基因2.独立完成店铺、营销项目视觉体系搭建(主KV、传播素材)，具备从策略解读→创意提案→设计执行→数据复盘的全闭环能力3.行业竞争力构建。监控竞品视觉趋势，结合品牌调性输出差异化解决方案;探索AIGC工具在素材生产、3D建模等场景的应用，推动设计流程革新要求：1. 本...,医药制造,http://jobs.zhaopin.com/CC295975780J40821390407.htm,100-299人,2026-01-07 15:14:30
UI设计师,杭州,苏州人瑞普惠人力资源服务有限公司,大专,3-5年,,1.6-3万,岗位职责：1. 负责产品用户界面设计，提供用户界面设计的整体解决方案2. 参与产品需求分析，提供界面设计方面的建议3. 完成界面设计的视觉设计、图标设计、切图和标注等工作4. 跟踪用户反馈，对界面进行优化调整，提升用户体验岗位要求：1. 熟练掌握设计相关软件，如Sketch、Photoshop、Illustrator等2. 有良好的美术基础和设计审美能力3. 了解用户界面设计流程和设计规范4. 具...,互联网,http://jobs.zhaopin.com/CC427775130J40911230215.htm,20-99人,2025-12-19 10:34:27
品牌设计（需至福州办公）(J12253),杭州,扬腾创新(福建)信息科技股份有限公司,学历不限,经验不限,电商设计,1.5-3万·13薪,岗位职责:1、品牌定位与策略制定：根据市场研究和分析，制定品牌定位和发展战略，确定品牌核心价值和差异化优势，参与品牌识别及相关设计系统的搭建和维护，配合品牌视觉升级，完善品牌规范；2、品牌形象设计，品牌故事、品牌形象塑造。负责各社交媒体平台的视觉语言及设计风格，线上媒体品牌营销活动的视觉设计和素材输出；3、独立完成品牌视觉活动能力，重大营销活动跟进；4、根据公司品牌规划，负责公司品牌设计，整体把控...,电子商务,http://jobs.zhaopin.com/CCL1217026990J40884194702.htm,1000-9999人,2025-12-18 17:56:17
资深用户体验设计师（UED/UX）(J11382),杭州,烟台睿创微纳技术股份有限公司,本科,经验不限,交互设计,1.8-3万,岗位职责:1、多端界面全流程设计：主导公司红外传感相关产品的 APP（iOS/Android）、WEB 端、PC 客户端、设备端界面（含触控屏、嵌入式界面）的 UX 全流程设计，覆盖需求分析、用户流程图、原型设计、视觉落地及上线后体验优化，确保跨终端体验连贯统一。2、设计规范体系搭建：制定并迭代多端产品设计规范、组件库及交互指南，统一设计语言，提升团队设计效率与产品体验一致性，适配不同设备分辨率、...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC200206520J40831117814.htm,1000-9999人,2025-12-17 14:01:19
ui设计总监,杭州,深度(山东)数字科技集团有限公司,大专,3-5年,,2-3万,要求：期望，有较强的审美能力和UI设计水平，具备B端/C端设计经验，具备丰富的团队管理经验。1、主导公司设计方向，制定符合业务目标的设计策略和规范，推动跨部门设计协作；对品牌视觉、用户体验(UI/UX)、产品设计营销创意等方向进行整体把控。2、主导公司国内&跨境电商产品的UI设计工作，对接产品、运营、研发，沟通业务需求与设计方案、跟进落地效果，合理设计排期并严格执行，做好项目管理。3、团队管理与赋...,互联网,http://jobs.zhaopin.com/CC460869530J40795087705.htm,500-999人,2025-07-18 17:11:13
电商平面设计师,杭州,苏州人瑞普惠人力资源服务有限公司,大专,3-5年,,1.4-2.8万,岗位职责：1. 负责公司电商平台的产品平面设计工作2. 维护和提升品牌形象，确保设计风格与品牌定位相符合3. 参与产品策划和设计，提供专业意见4. 完成广告宣传、活动页面、商品详情等设计工作岗位要求：1. 熟练掌握平面设计相关软件2. 具备良好的审美观和创意能力3. 了解电商行业及产品特点，能准确把握设计方向4. 有良好的沟通和团队协作能力,互联网,http://jobs.zhaopin.com/CC427775130J40911230815.htm,20-99人,2026-01-08 13:29:04
海康微影-UED设计师-杭州,杭州,杭州海康威视数字技术股份有限公司,本科,3-5年,,1.5-2.5万,职位描述：1、负责微影产品的体验设计工作，并持续跟踪产品迭代优化，提升产品体验2、参与产品前期的需求分析及规划构思，协同业务完成方案共建和设计提案3、能够综合运用竞品分析、用户反馈、体验走查等多种方法，推动产品体验优化 任职资格：1、全日制本科以上学历，人机交互、工业设计等专业2、熟练掌握多种交互设计的方法和理论，有用户研究工作经验优先3、了解用户交互界面和操作习惯，能从用户角度出发解决问题，并具...,人工智能,http://jobs.zhaopin.com/CC120975580J40623894915.htm,10000人以上,2026-01-04 14:31:32
UI/QT工程师,杭州,浙江启真量子科技有限公司,本科,3-5年,"QT开发,Qt,界面/交互/动画设计,QML",1.5-2.5万·13薪,岗位职责：1. 负责医疗仪器上位机的用户界面开发，基于 Qt Quick / QML 实现交互逻辑与数据可视化，优化用户体验；2. 根据项目需求实现高效、美观、模块化的界面组件，负责二维绘图、动画、实时数据展示等功能开发；3. 与后端工程师协作，完成与底层硬件及数据服务的交互对接，确保数据流畅、安全传递；4. 参与 UI/UX 设计讨论，结合用户反馈持续优化界面表现与交互流程；5. 维护和优化现有...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1484988270J40850977512.htm,20-99人,2025-11-19 15:10:54
UE设计师,杭州,烟台奇创智能软件技术有限公司,本科,1-3年,"界面设计,交互设计",1-2万,工作职责：1.负责反无体系相关系统（指控、仿真、GIS等）的用户体验设计，定义交互逻辑、界面布局、视觉风格；2.输出UI设计稿、交互原型、用户手册，联动研发团队实现设计方案；3.收集用户反馈，迭代优化界面体验，提升系统操作便捷性；4.制定UI/UE设计规范，确保各系统设计一致性。任职资格：1.视觉传达设计、交互设计、数字媒体艺术等相关专业，本科及以上学历，2年以上UE/UI设计经验；2.熟练使用设...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1493038520J40821420714.htm,300-499人,2026-01-09 01:39:22
游戏UI设计师（二次元、卡通）,杭州,杭州凡略科技有限公司,学历不限,3-5年,"二次元,卡通风,端游,页游,手游,独立游戏,云游戏,交互经验,手绘经验",1.5-2万·13薪,岗位描述：1、根据策划需求及已有风格设计制作UI界面，ICON等；2、与项目团队配合，参与设计体验，对UI效果进行改进和优化；3、具备较好的承压能力，能够遵守公司的规章制度；4、协助主UI推进风格迭代，能够提供一定的迭代建议。岗位要求：1、3年以上相关工作经验；2、热爱游戏，有丰富的游戏经验；3、具备良好的审美与色感，有一定的手绘能力；4、能够根据已有风格进行细化，铺量；5、熟练掌握切图规范，按照...,互联网,http://jobs.zhaopin.com/CC827220350J40978986404.htm,20-99人,2026-01-08 15:00:12
品牌视觉设计,杭州,河南食族人食品科技有限公司,本科,3-5年,"视觉设计,平面设计,主案设计师",1.5-2万,一、岗位职责1、 负责公司线下活动（如展会、新品发布会、促销活动、品牌推广活动等）的全品类物料设计，包括但不限于展架、海报、宣传单页、活动手册、背景板、舞台视觉、包装物料、周边衍生品等；2、深度配合活动策划团队，精准理解活动主题与品牌调性，将需求转化为兼具创意性与实用性的设计方案；3、跟进物料制作全流程，与供应商对接沟通，确保设计方案落地效果，把控物料质量、进度与成本；4、负责线下活动物料设计素材...,快速消费品,http://jobs.zhaopin.com/CC819940940J40958893904.htm,100-299人,2025-12-26 14:03:54
品牌设计师,杭州,陕西天地瑞石油有限公司,本科,3-5年,"VI设计,包装设计,UI设计,PS,AI,CDR",1-2万,岗位职责：1.负责企业全渠道视觉体系搭建，包括官网设计、礼品系统化设计、线上线下宣传物料（海报/手册/易拉宝）创意输出；2.主导品牌营销活动视觉方案，完成从概念提案到落地执行的完整设计闭环；3.制作符合科技企业调性的PPT模板体系及定制化演示方案；4.协同市场部完成跨部门设计需求，确保品牌视觉语言统一性；任职要求：1.年龄25-35岁，具备3年以上科技/互联网行业品牌设计经验，有B端服务设计案例者...,石油/石化,http://jobs.zhaopin.com/CC556175430J40887063115.htm,100-299人,2025-12-19 16:48:13
高级ui设计工程师,杭州,杭州微风企科技有限公司,本科,5-10年,交互设计,1.5-2万,岗位职责1.全流程UI与交互设计工作独立负责AI Agent、PC端、APP及小程序的UI设计与交互逻辑全链路，从用户需求挖掘、信息架构搭建到视觉界面设计、交互方案输出，确保多端体验连贯统一。针对财税场景的专业复杂性（如多角色权限、数据校验规则、流程合规性），通过结构化视觉呈现与交互设计简化操作路径，降低用户使用门槛、提升用户使用效率。2.用户体验深度优化结合可用性测试、用户访谈及行为数据，定位U...,互联网金融/小额贷款,http://jobs.zhaopin.com/CC818457570J40805608009.htm,100-299人,2025-11-04 17:28:48
用户界面ui设计师,杭州,浙江朗域视觉科技有限公司,大专,5-10年,"界面设计,交互设计,动画动效设计,移动端,客户端",1-2万,岗位职责：1、负责手机、网页和交互大屏软件界面的美术设计、创意构思和制作工作；2、根据软件的使用需求，提出构思新颖、具有吸引力的创意设计；3、从软件功能出发，针对手机、PC和触摸显示大屏等不同载体对页面进行人性化设计；4、与软件开发人员紧密配合，按时完成设计和实现；5、收集和分析用户对人机交互的需求。任职要求：1、设计、美术、数字媒体艺术等相关专业大专或以上学历；2、2年以上UI相关工作经验；3、...,专业技术服务,http://jobs.zhaopin.com/CC170652710J40843711112.htm,20-99人,2025-10-28 15:43:30
资深平面设计师,杭州,杭州绮美文化传播有限公司,大专,5-10年,"AI,包装设计,标志设计,广告设计,画册设计",1.5-2万·13薪,本公司主要服务医药类客户，业务稳定增长，公司前景非常好，现在招聘资深平面设计师2名，要求有良好的专业技能，善于学习。有想法，有耐心，独立完成设计。公司给个人宽松的环境和优厚的待遇。应聘作品请发到：*************** 我们公司的地址是：莫干山路1418-23号金典创智园，请投递前查一下路程远近是否合适，感谢。 职位福利：餐补、年底双薪,广告/营销,http://jobs.zhaopin.com/CC818262540J00479475807.htm,20人以下,2025-01-17 00:00:01
用户体验设计师,杭州,杭州悠瑶科技有限公司,本科,1-3年,"交互设计,动画动效设计,界面设计,游戏端,客户端,移动端",1.4-1.8万·14薪,岗位内容：1. 负责UX设计，包括网站、APP、软件的设计、原型制作，分析用户需求和用户研究，并提出设计改进建议。2. 管理UX设计流程和项目进度，与产品和开发团队协作确保项目目标按时完成。3. 参与UX设计策略的制定和执行，推进设计系统化和标准化建设。任职要求：1. 熟练掌握设计工具和技术，如Sketch、InVision等。2. 具备良好的沟通技巧和团队合作精神。3. 对设计趋势、用户体验和设...,计算机软件,http://jobs.zhaopin.com/CCL1514159450J40910567215.htm,20-99人,2026-01-12 01:42:13
品牌视觉设计师,杭州,LIFESEASONS HONG KONG LIMITED,本科,3-5年,"VI设计,方案设计,电商设计,PS,AI",1-1.8万·13薪,一、职位概述你将成为 LifeSeasons 中国品牌视觉的核心创造者，以系统的品牌设计思维和国际化审美，构建品牌在数字与线下全域的视觉语言。在这里，设计不仅是美感的呈现，更是品牌精神、科学理念与消费者共鸣的桥梁。 二、核心职责 1. 品牌视觉系统构建与迭代：负责品牌视觉识别系统（VI）的体系化梳理与升级，包括 logo、色彩、字体、图形语言及应用规范；持续优化品牌视觉一致性，确保设计在国际与本地...,电子商务,http://jobs.zhaopin.com/CCL1495988550J40964722104.htm,20人以下,2026-01-12 00:09:21
游戏ui设计师,杭州,上海懒兔网络科技有限公司,学历不限,3-5年,"手绘经验,交互经验,游戏原画经验,端游,页游,手游,独立游戏,暗黑系,仙侠风,写实,二次元",1-1.8万,必须要有游戏经验 此岗位有两个方向 UI拼接和UI界面设计两个方向职位要求:1.热爱游戏，有较强的逻辑思维能力和审美能力，2.熟悉界面编辑工具，如Cocos，Unity，PS，AE3.工作积极有责任心，主动性高，沟通能力强。有独立分析和解决问题的能力。,游戏,http://jobs.zhaopin.com/CCL1311126730J40734522206.htm,20-99人,2026-01-07 01:15:25
平面设计,杭州,喜临门,本科,3-5年,"包装设计,广告设计,标识导视设计",1.2-1.8万,岗位职责：1. 营销物料视觉设计：（1）负责线上线下营销活动的全套视觉设计，包括但不限于：大型促销（如618、双11）、新品上市、门店开业、行业展会的主视觉、海报、横幅、H5、活动页面等；（2）设计制作产品画册、宣传折页、产品单页、价目表等销售支持材料。2. 数字媒体内容设计：（1）为线上平台（抖音，美团等）提供视觉支持，包括首页更新、详情页视觉优化、活动专题页设计等；（2）创作社交媒体（微信朋友...,家具/家居/家电,http://jobs.zhaopin.com/CC134930340J40894722302.htm,1000-9999人,2026-01-04 13:30:37
电商设计师,杭州,河南食族人食品科技有限公司,大专,3-5年,"AI,设计师",9000-18000元,"岗位职责：1、店铺整体形象设计、构思店铺设计风格及商品展示方案；2、负责首页、活动、广告、专题页的平面设计制作及优化；3、针对新品完成详情页面制作、优化店内宝贝描述、优化产品页面设计；4、配合推广、CRM完成营销宣传图、直通车、钻展等推广页面的设计。任职资格：1、大专以上学历；2、3年以上电商设计相关工作经验、快消或食品行业背景优先；3、精通Photoshop，了解并熟悉AI,DW等设计；4、会拍...",快速消费品,http://jobs.zhaopin.com/CC819940940J40961816004.htm,100-299人,2025-11-24 09:44:52
高级美工视觉总监,杭州,杭州越豪工艺品有限公司,本科,3-5年,"电商美工,插画,品牌设计,手绘,软装设计",1-1.8万,职位信息 1、负责公司所有天猫店铺的整体设计风格的把控，主图详情页面的逻辑梳理，品牌形象打造， 2、能够根据运营需求，很好的挖掘产品卖点，制作出优质推广图提升产品点击率 3、有扎实的设计功底，把控品牌风格，有较强的用户观念，在设计中能够充分考虑用户体验 任职要求： 1、绘画、艺术、设计类本科以上学历， 有从事家居软装设计师或天猫店铺主设计师经验3年以上的 2、对装饰画、家居软装有很好的审美感觉和创...,装饰装修,http://jobs.zhaopin.com/CC364861322J90250010000.htm,20-99人,2025-09-21 10:37:47
高级视觉设计师,杭州,正元智慧集团股份有限公司,本科,5-10年,"界面设计,移动端,网页端,客户端",1.2-1.8万·14薪,岗位职责：1、负责企业品牌视觉维护（维护品牌VI体系，及各类衍生相关的设计优化）2、负责产品创意视觉设计，如产品主视觉，场景图，营销海报，新媒体推文设计、平面/3D/动画等创意设计，传递品牌和产品价值；3、负责产品的包材、包装、礼品、周边等创意设计，熟悉印刷工艺，与供应商沟通需求，监督落实打样把控最终落地效果及质量；5、协助团队完善运营类UI设计，包括广告、商详页、推广图片等相关。任职要求：1、本...,计算机软件,http://jobs.zhaopin.com/CC130927050J40818980815.htm,1000-9999人,2025-09-10 16:33:07
双休 五险一金 品牌设计,杭州,河南食族人食品科技有限公司,本科,3-5年,"PS,AI,C4D,物料设计",1.1-1.7万,一、岗位职责- 负责公司线下活动（如展会、新品发布会、促销活动、品牌推广活动等）的全品类物料设计，包括但不限于展架、海报、宣传单页、活动手册、背景板、舞台视觉、包装物料、周边衍生品等；- 深度配合活动策划团队，精准理解活动主题与品牌调性，将需求转化为兼具创意性与实用性的设计方案；- 跟进物料制作全流程，与供应商对接沟通，确保设计方案落地效果，把控物料质量、进度与成本；- 负责线下活动物料设计素材的...,快速消费品,http://jobs.zhaopin.com/CC819940940J40976358604.htm,100-299人,2025-12-25 14:41:48
