职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
大数据团队负责人(base福州),杭州,扬腾创新(福建)信息科技股份有限公司,本科,5-10年,"数据建模,大数据开发,数据仓库,跨境电商,团队管理",6-8万·13薪,岗位职责: 1. 结合公司战略业务能力建设优先级，沿公司核心业务价值链对各业务领域数据运营、业务决策诊断、智能领导驾驶舱进行体系化规划与实施路径设计以便保障业务数字化变革推进，达到业务分析数据化、决策数据化、分析体系化与智能化； 2. 结合公司数智化战略与业务数据能力建设优先级，对数据中台与AI平台能力逐层建设节奏与公司内外部数据资产化建设进行路径与落地策略规划，以便保障公司数据资产业务价值化，推...,电子商务,http://jobs.zhaopin.com/CCL1217026990J40735663002.htm,1000-9999人,2025-12-24 01:03:00
爬虫数据采集工程师-北京/杭州,杭州,北京嘀嘀无限科技发展有限公司,学历不限,经验不限,"数据爬虫,分布式爬虫,Python,SQL,数据采集,逆向",2.5-5万·15薪,1、设计并运营采集平台，通过采集平台实现一站式全需求管理；管理数据采集方案，确保准确、高效地获取目标数据，同时保证数据的稳定性和准确性；2、独立对接并管理业务侧数据采集需求，厘清数据链条协作机制，充分理解需求商业价值，并协作技术团队完成数据获取与分析，联动多部门完成数据应用和价值推广；3、与团队成员协作，共同解决数据采集过程中遇到的技术方案问题和项目运营问题；4、持续跟踪和研究国内外数据情报管理的...,互联网,http://jobs.zhaopin.com/CC564378120J40831364510.htm,1000-9999人,2026-01-09 01:28:24
数据管理工程师(J14605),杭州,北控水务(中国)投资有限公司,本科,5-10年,"数据架构,数据仓库,数据挖掘,Sql",3-5万,岗位职责:1、深入参与数据产品建设生命周期，为公司内外提供完善的数据解决方案。2、负责公司数据分析平台、指标体系的建设和维护。3、负责组织数据实体的梳理、建模和实现；负责主数据系统、数据目录的建设和维护。4、与业务部门对接，完成数据、报表和报告的价值闭环。任职要求:1、精通SQL开发与调优，熟悉MySQL、Postgres、Oracle等常用数据库产品；熟悉Doris、ClickHouse等MPP...,环保,http://jobs.zhaopin.com/CC306391710J40814527307.htm,1000-9999人,2026-01-06 01:18:35
[JAVA/ Python/C/C++/GO/数据开发] 24/25无经验可投 线上面试,杭州,外企德科数字技术有限公司,本科,1-3年,"C语言,C#,Java",2.5-4.5万·16薪,"1、参与数据治理产品的建设，理解客户需求和痛点，负责产品特性设计开发、测试任务；2、参与产品特性的设计和架构优化任务；3、支持应用服务的运营、用户支持及运维。４、负责SaaS产品的前端功能实现，独立完成产品设计好的交互功能和产品需求。５、配合需求负责人提升产品界面体验和优化""岗位要求：1、通信设备软件开发测试，熟悉软件开发流程；2、熟练掌握汇编/C/C＋＋、Java、python等编程语言，对CP...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40832087105.htm,10000人以上,2026-01-12 00:26:43
大数据开发工程师-补贴2w-海外出差-短期,杭州,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Spark,数据库开发,数据中台开发,MaxCompute,PYSAPRK,SparkSQL,SCALA SPARK",2-4万,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786765816.htm,10000人以上,2026-01-12 01:44:58
时空大数据治理技术专家（云原生方向）-杜震洪团队(J10241),杭州,浙江大学杭州国际科创中心,硕士,5-10年,数据仓库,2-4万,岗位职责:一、职位使命：构建面向下一代空间智能的Analysis Ready数据服务体系，打造支撑千亿级时空数据实时分析的云原生治理平台，推动地理信息数据与AI模型的深度协同进化。 二、核心职责：1. 空间数据治理体系构建1）主导PB级多源异构地理时空数据（卫星遥感/GIS/物联网传感等）的标准化治理，建立涵盖数据质量、元数据管理、版本控制的完整数据资产目录2）设计面向机器学习的数据预处理流水线，...,学术/科研,http://jobs.zhaopin.com/CCL1242292110J40937345904.htm,500-999人,2026-01-07 11:20:45
资深大数据平台架构师,杭州,浙江数新网络有限公司,本科,5-10年,"数据治理,数据建模,数据库开发",2.5-4万·14薪,岗位职责：1、负责公司大数据平台整体架构设计，结合公司业务情况进行技术预研和选型，确保技术领先性；2、负责公司大数据平台相关产品的架构规划、评审及优化，负责关键技术模块的设计和开发；3、负责推动项目整体技术方案的落地，做好技术风险把控，协助团队解决研发过程中的技术难题；4、负责数据平台关键技术方向的技术攻坚，主导完成技术原型研发，带领团队成员完成新技术的推广和应用；5、制定和持续优化研发团队的架构...,云计算/大数据,http://jobs.zhaopin.com/CCL1271464290J40870185208.htm,100-299人,2026-01-05 14:57:13
全国有岗位（开发、测试、算法、数据分析等,杭州,外企德科数字技术有限公司,本科,经验不限,"C语言,Java,Python",1.9-3.5万·16薪,岗位： C/C++，java，JS，python、Go等通用软件开发工程师，软件测试工程师（ 社招模式），各产品线各类语言开发岗位开放，只要你懂一门语言，就有合适的岗位! 工作稳定，工作内容相同（pl无差异分配任务）管理:面试、绩效评定、均由 管理层进行，满一年即有名额转正，转 的要求透明，量化，达到要求即可（机考：提供复习资料，每个环节 TIPS 辅导，通过率高！！-直达面试！！！全程流程随时跟...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40632910805.htm,10000人以上,2026-01-12 00:24:20
数据空间建设与语料数据运营咨询顾问,杭州,华信设计,本科,5-10年,"咨询顾问,数据治理,数据仓库,大数据开发",2-3.5万·13薪,**职位名称：数据治理与数据运营团队负责人****工作地点：** 杭州**汇报对象：公司数据运营主管总经理**岗位职责：**1. 战略规划与体系建设：从零开始搭建公司级数据治理体系与数据运营咨询服务交付团队，制定团队中长期发展规划，明确公司数据治理与数据运营服务产品的战略目标、实施路径与关键里程碑。2. 团队组建与管理：负责数据治理与数据运营团队的组建、招聘、培养与管理，建立高效协作的团队文化，提...,运营商/增值服务,http://jobs.zhaopin.com/CC121043380J40842936903.htm,1000-9999人,2026-01-05 01:06:07
大数据专家,杭州,浙江深大智能科技有限公司,本科,10年以上,"数据治理,数据仓库,数据建模",2-3.5万,岗位职责：1、参与文旅行业多业态相关的大数据中台开发和建设，按照OneData数据规范，构建数据仓库、元数据、质量体系，有效的管理和组织海量的数据。2、参与大数据的采集、清洗、存储、通过分布式大数据平台加工数据，确保数据的准确性和一致性，支持业务管理及日常运营分析决策。3、参与大数据体系的领域模型(如星型模型、雪花模型等)设计、开发、维护。4、跟踪大数据领域的最新技术和趋势，评估其应用价值，参与技...,互联网,http://jobs.zhaopin.com/CC149102910J40768493614.htm,500-999人,2026-01-01 01:36:46
