职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
质量总经理(J11897),杭州,圣奥科技股份有限公司,本科,经验不限,汽车行业质量管理体系,5-7万,岗位职责:1.负责建立、完善并持续升级质量管理体系，确保符合公司战略需求；2.组织制定质量方针、目标及年度计划，监督执行情况；3.全面负责产品全流程质量管理，协调生产、技术、采购等部门解决质量问题，分析根本原因并提出解决方案；4.建立优化实验室管理体系，确保检测流程的准确性和可靠性；5.宣贯国内外标准法规，组织监督检查机制，确保质量管理体系合规性；6.负责质量管理中心团队建设，包括招聘、培训、评估...,家具/家居/家电,http://jobs.zhaopin.com/CC134152130J40908845208.htm,1000-9999人,2025-12-29 08:57:13
智能驾驶实车测试（行车、大里程泛化、主动安全）,杭州,科锐尔人力资源服务(苏州)有限公司,本科,3-5年,"功能测试,自动化测试,车载测试,Python,C++,JIRA,CANoe",3-6万·15薪,"实车测试工程师-行车""工作职责1.负责智能驾驶产品实车路测，根据需求对系统进行调试及软件版本刷写；2.负责根据系统或产品的功能需求制定实车测试计划，完成实车测试任务；保证团队遵循项目进度，质量要求，项目计划，缺陷管理规范等；3.负责根据系统或产品的功能需求完成测试计划的制定，测试方案的编写，测试用例的设计；4.负责对系统或产品进行相关车辆测试，执行测试用例，输出测试指标，撰写测试报告；5.负责定期...",咨询服务,http://jobs.zhaopin.com/CC453635220J40858587003.htm,1000-9999人,2025-11-24 17:52:16
品质总监-欣威电子（金华）,杭州,欣旺达电子,本科,10年以上,"SMT,品质全盘,英语口语",4-6万,岗位职责:1、深刻理解客户产品质量管理需求，主导完成新项目开发质量策划与品质管理；2、熟悉电子行业标准和规范，构建全流程品质管理体系，打造高绩效、高执行力管理团队，提升新业务对接能力和客户满意度，确保产品品质符合相关法规和标准；3、参与SIP新产品开发和量产管理，全面负责产品品质管理，制定和执行品质控制计划，确保产品品质符合公司要求；4、组织和协调SIP产品品质问题的分析和改进工作，推动品质改进和...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC135947830J40795017211.htm,1000-9999人,2025-10-16 19:45:40
车联网测试,杭州,苏州人瑞普惠人力资源服务有限公司,大专,3-5年,"辅助驾驶系统设计,汽车多媒体开发,汽车软件开发",2.8-5万,岗位职责：- 负责车联网系统的功能测试和性能测试- 编写测试计划、测试用例并执行- 跟踪缺陷，推动问题的解决- 撰写测试报告，总结测试过程和结果岗位要求：- 计算机相关专业大专及以上学历- 熟悉软件测试理论、方法和流程- 具备一定的编程能力，熟悉至少一种编程语言- 了解车联网或相关领域知识者优先,互联网,http://jobs.zhaopin.com/CC427775130J40910751215.htm,20-99人,2026-01-08 01:42:00
实车测试（头部智驾，泊车、大里程、问题分析方向）,杭州,科锐尔人力资源服务(苏州)有限公司,本科,5-10年,"功能测试,车载测试,安全测试,Java,JIRA",3-6万·15薪,职位描述1.负责智能驾驶产品实车路测，根据需求对系统进行调试及软件版本刷写； 2.负责根据系统或产品的功能需求制定实车测试计划，完成实车测试任务；保证团队遵循项目进度，质量要求，项目计划，缺陷管理规范等； 3.负责根据系统或产品的功能需求完成测试计划的制定，测试方案的编写，测试用例的设计； 4.负责对系统或产品进行相关车辆测试，执行测试用例，输出测试指标，撰写测试报告； 5.负责定期对各模块测试能...,咨询服务,http://jobs.zhaopin.com/CC453635220J40857733603.htm,1000-9999人,2025-11-20 14:06:41
质量总监(J11898),杭州,圣奥科技股份有限公司,本科,5-10年,汽车行业质量管理体系,3-5万,岗位职责:1.负责建立、完善并持续升级质量管理体系，确保符合公司战略需求；2.组织制定质量方针、目标及年度计划，监督执行情况；3.全面负责产品全流程质量管理，协调生产、技术、采购等部门解决质量问题，分析根本原因并提出解决方案；4.建立优化实验室管理体系，确保检测流程的准确性和可靠性；5.宣贯国内外标准法规，组织监督检查机制，确保质量管理体系合规性；6.负责质量管理中心团队建设，包括招聘、培训、评估...,家具/家居/家电,http://jobs.zhaopin.com/CC134152130J40908847108.htm,1000-9999人,2025-12-29 09:06:25
资深测试开发工程师-生活服务（商家平台）,杭州,字节跳动,本科,经验不限,,2.5-5万,岗位职责：1、公司战略团队，旨在打造字节跳动特色的本地生活服务商业化生态，负责生活服务业务质量保障工作；2、负责服务稳定性/自动化/分级发布等专项测试工作，包括方案调研设计、工具平台开发等技术工作；3、直接参与或指导配合业务测试团队落地相关专项测试工作，赋能业务测试，提升测试质量和效率；4、通过业内先进理论技术引入、自主创新等方式，持续在专项领域探索和创新。任职要求：1、本科以上学历，计算机及其相...,互联网,http://jobs.zhaopin.com/CC469217510J40653165301.htm,10000人以上,2025-12-20 03:26:59
高级射频ic测试工程师,杭州,浙江铖昌科技股份有限公司,博士,3-5年,,3-5万,岗位职责：1、主导细分技术领域的技术规划和预研；2、主导功放类单片或模组产品的产品定义，工艺评估和设计开发；3、主导功放类产品设计开发和导入量产过程中复杂技术问题的解决；4、协助技术团队的组织管理优化和人效提升。任职要求：1、对射频芯片设计领域具有高度热情；2、不少于3年的射频功放类工程开发经验，精通功放效率增强和线性化设计，具有相关产品量产经历；3、博士学历优先，能力突出者可放宽至硕士学历；4、...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC409903720J40900465115.htm,100-299人,2025-11-04 13:56:29
质量管理岗（化工行业）(J11360),杭州,华峰集团,本科,5-10年,"化学品监管体系,全面质量管理体系",2.5-4.5万·14薪,岗位职责:1.质量战略与规划：制定并实施集团质量方针、中长期战略规划及年度质量目标，确保与集团整体战略对齐。2.质量管理体系建设与优化： - 领导建立、推行、认证和维护集团级的质量管理体系，并确保在各产业公司有效运行和持续优化。 - 制定和完善集团统一的质量管理体系。3.跨产业公司质量监督与赋能： - 监督各产业公司的质量管理，识别系统性风险并提出解决方案。 - 主导处理跨产业公司的重大客户投诉、...,石油/石化,http://jobs.zhaopin.com/CC131591860J40818454607.htm,10000人以上,2025-12-22 09:19:34
测试开发工程师（安全方向服务端）-生活服务,杭州,字节跳动,本科,5-10年,,2.5-4.5万,岗位职责：1、进行测试工具、测试技术、测试平台、产品研发测试过程等方面的建设和创新工作，提升测试效率；2、完善生活服务资产平台，管理生活服务全类型资产的信息，运营推进资产等级、资产负责人等治理；3、建设核心用户故事平台，通过自动拓扑关联各类型资产及资产属性，推进核心场景链路依赖治理；4、建设造数工具，AI赋能快速造数；5、理解业务，能够分析和洞察质量专项的业务适配性问题，设计改进方案，提高专项落地...,互联网,http://jobs.zhaopin.com/CC469217510J40692094301.htm,10000人以上,2025-12-20 03:27:42
高级测试工程师,杭州,辉瑞投资有限公司,本科,5-10年,,2.5-4.5万,岗位职责：1、 根据产品需求和设计文档，制定详细的测试方案和计划，编写测试用例2、 进行系统、功能、性能、兼容性等多种类型的测试，发现并跟踪产品缺陷3、 设计、开发和维护自动化测试框架和测试脚本，提高测试效率和覆盖率。4、 与团队成员紧密合作，解决测试过程中的技术难题，提供技术支持和建议。5、 持续学习和掌握测试新技术、新方法，推动团队不断进步和创新。任职要求： 1、 本科及以上学历，计算机科学、...,医药制造,http://jobs.zhaopin.com/CC231908310J40972837604.htm,10000人以上,2025-12-10 13:51:06
java/Python/C/C++/JS/AI算法/软件测试,杭州,外企德科数字技术有限公司,本科,经验不限,"深度学习,机器学习,图像算法,VGGNet",2-4万·14薪,1、本科及以上学历；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，六险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求岗位要求 1、计算机、软件、通信等相关专业，统招本科及以上学历； 2、基础扎实，熟悉掌握但不限于Python/JAVA/C++...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837670205.htm,10000人以上,2026-01-12 00:27:06
测试开发工程师-生活服务（工具开发）,杭州,字节跳动,本科,经验不限,,2.5-4.5万,岗位职责：1、支持生活服务SaaS和小程序链路的客户对接过程中的集成验证工具，线上问题排查工具开发，提升链路整体效率；2、支持SaaS服务商基础信息管理、风险管理等管理后台开发，在线化管理SaaS服务商的各维度信息，并提供对应数据和服务；3、支持生活服务技术支持团队的数据需求开发，方便技术支持团队分析和挖掘产品优化、技术优化类问题。任职要求：1、至少熟悉一门Java/Go/C++等后端开发语言，掌...,互联网,http://jobs.zhaopin.com/CC469217510J40652887201.htm,10000人以上,2025-12-20 03:27:27
车联网测试工程师,杭州,苏州人瑞普惠人力资源服务有限公司,大专,3-5年,"汽车多媒体开发,人机交互设计,汽车软件开发",2.2-4万,岗位职责：- 负责车联网系统的功能测试和性能测试- 编写测试计划、测试用例并执行- 跟踪缺陷，推动问题的解决- 撰写测试报告，总结测试过程和结果岗位要求：- 计算机相关专业大专及以上学历- 熟悉软件测试理论、方法和流程- 具备一定的编程能力，熟悉至少一种编程语言- 了解车联网或相关领域知识者优先,互联网,http://jobs.zhaopin.com/CC427775130J40909413515.htm,20-99人,2026-01-10 01:46:11
