职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
在线聊天员（可居家办公）,杭州,绍兴织觅数字科技有限公司,学历不限,经验不限,"王者荣耀,聊天,直播,兼职,居家办公,远程办公",200-300元/时,1、职位信息工作平台：社交平台工作要求：负责在线上社交平台与用户正常沟通工作模式分别为：（文字，语音，视频）以上模式全凭个人自由选择与切换每天都会给你客户，不用自己主动寻找，只要用心回复即可时间可以自由安排，没有任务要求多劳多得，没有任何强制要求内容：尬聊，打字，聊天，情感解析等零经验均可，有人教，有人带备注：纯绿色平台，AI强监管，不可违规。 2、薪资详情薪资范围：50-300上不封顶薪资计算标...,游戏,http://jobs.zhaopin.com/CCL1515249280J40814950601.htm,20-99人,2025-12-17 12:19:25
AI产品经理（智能客服方向）,杭州,浙江亿邦通信科技股份有限公司,本科,3-5年,,2.5-5万,工作职责：1、负责AI智能客服产品的全生命周期管理，制定产品战略规划、落地路线图、及产品方案2、深度挖掘客户服务场景需求，设计AI对话引擎、知识库管理、多轮对话系统等核心功能模块3、结合AI工具设计流程，处理客户投诉、生产环境问题反馈，为客服部门提效、减负4、协调研发、测试团队推进产品迭代，确保项目高质量交付并达成关键指标（解决率、满意度、成本优化等）5、跟踪行业前沿技术动态（如大语言模型应用），...,运营商/增值服务,http://jobs.zhaopin.com/CC352905910J40725023609.htm,300-499人,2026-01-09 01:22:49
钱潮 六险一金 运营客服,杭州,中国平安人寿保险股份有限公司浙江分公司2,大专,经验不限,"售前客服,售后客服,全白班",2.5-5万,"不需要打电话! 不需要地推! 不需要陌拜!可接受无经验，公司陪你一起成长!【任职要求】大专以上学历（学信网可查）25-45周岁，可接受小白，五百强培训体系完善我们固定早9晚5,周末双休绝对不加班，下班就走。我们是个有爱的大家庭。领导可爱，同事年轻。我们的宗旨是快乐工作，享受生活，当然赚钱也很重要，我们适合喜欢做服务，而又不想有太多工作压力的人（不打电话不电销）同时对于有晋升欲望，有赚钱欲望的人，我...",保险,http://jobs.zhaopin.com/CCL1487620770J40967326204.htm,1000-9999人,2025-11-18 09:49:44
售后服务人员,杭州,中国平安人寿保险股份有限公司浙江分公司(营销部),大专,1-3年,,2.5-5万,岗位内容： 1. 提供高效、高品质的售后服务，解决客户在使用过程中遇到的问题；同时，跟进客户反馈，最大化满足客户需求。2. 维护客户关系，建立良好的用户口碑，积累公司长期发展的资源，提高整体客户满意度。3. 协助部门制定并完善售后服务流程规范，并对团队成员进行必要培训，提高整体售后服务水平。任职要求： 1. 具备优秀的语言表达能力及应变能力，有较强的客户服务意识和团队合作能力。2. 对售后服务过程...,保险,http://jobs.zhaopin.com/CCL1264629230J40814980005.htm,500-999人,2025-09-23 19:45:30
银保续期储备合伙人,杭州,泰康保险集团,本科,1-3年,"电话客服,售后客服,VIP客服",1.5-3万·13薪,我们正在寻找一位专业的客户续期管理专家，负责维护和增强公司与客户之间的长期合作关系。并管理续期人员。工作内容：1.定期与客户联系，了解其续期需求；2.为客户提供专业的续期咨询和建议；3.处理客户的续期申请和合同；4.与内部团队协同工作，确保续期流程的顺利进行。岗位要求：1.大学本科及以上学历，金融、市场营销等相关专业优先；2.至少1年以上客户续期管理或相关经验；3.出色的沟通能力和客户服务意识；4...,保险,http://jobs.zhaopin.com/CC428807230J40818176807.htm,10000人以上,2026-01-10 20:41:48
萧山 六险一金 运营客服,杭州,中国平安人寿保险股份有限公司浙江分公司2,大专,经验不限,全白班,2.5-4.5万,"不需要打电话! 不需要地推! 不需要陌拜!可接受无经验，公司陪你一起成长!【任职要求】大专以上学历（学信网可查）25-45周岁，可接受小白，五百强培训体系完善我们固定早9晚5,周末双休绝对不加班，下班就走。我们是个有爱的大家庭。领导可爱，同事年轻。我们的宗旨是快乐工作，享受生活，当然赚钱也很重要，我们适合喜欢做服务，而又不想有太多工作压力的人（不打电话不电销）同时对于有晋升欲望，有赚钱欲望的人，我...",保险,http://jobs.zhaopin.com/CCL1487620770J40967332804.htm,1000-9999人,2025-11-18 10:03:49
客服总监,杭州,杭州今元标矩科技有限公司宁波分公司,本科,5-10年,,1.8-3万,岗位职责：1、负责合理安排团队的跨部门业务协作（和销售部伙伴出外勤，解答客户疑问）；2、统筹团队所辖客户的社保/公积金缴纳及客户需求管理工作；3、管理团队成员的日常客户问题咨询，建立良好的业务沟通机制，解决服务过程中的问题；4、处理各类投诉，及时响应并提供保障，主导突发事件处理，及时进行预警；5、客户关系维护工作，与客户保持良好的沟通，不断探索客户需求及服务改进建议；6、部门计划制定及总结，梳理优...,互联网,http://jobs.zhaopin.com/CC395634280J40898536602.htm,1000-9999人,2026-01-09 18:29:25
央企直招，种子主管,杭州,中国人寿保险股份有限公司杭州市分公司第一营销服务部,本科,无经验,"售前客服,售后客服,投诉客服",1.6-3万,销售 续保 理赔 财产险 寿险 养老险面销/陌拜 电话销售 保险公司坐标杭州核心地圈、钱塘经济圈中心，与市民中心、市政府拐角相望，钱江世纪城落地窗可见，与奥体北斗七星隔江相望，左手钱江新城灯光秀，右边城市阳台观潮。4号线出口小碎步300步即达。纵揽各色美食:地方菜系，撸串火锅，创意餐厅，星级餐厅应有尽有。另外，饮品不少于30家哦。岗位职责1.宣扬中国人寿品牌文化以及正确的保险理念和理财观念2.为客...,保险,http://jobs.zhaopin.com/CCL1418124800J40782989312.htm,10000人以上,2026-01-06 12:44:51
售后服务经理,杭州,先锋电子,本科,5-10年,"售后客服,现场客服",1.5-3万,工作内容：1. 负责部门的工作目标合理分解，并推动执行与落地；2. 负责部门团队建设、人才发展和体系建设，做好人员选、育、用、留，做好团队梯队搭建和人才管理，具备全面的售后服务全流程设计规划能力，能够从深入分析客户需求出发，系统性地规划售后服务的各个环节，确保售后服务体系与公司整体战略目标相契合；3.负责售后项目从启动、派单、施工、验收到结算的全周期管理，确保各环节无缝衔接与高效推进；4. 负责客...,仪器仪表制造,http://jobs.zhaopin.com/CC138053910J40819336505.htm,300-499人,2025-12-30 01:13:41
客服总监,杭州,杭州今元标矩科技有限公司宁波分公司,本科,经验不限,,1.8-3万,岗位职责：1、负责合理安排团队的跨部门业务协作（和销售部伙伴出外勤，解答客户疑问）；2、统筹团队所辖客户的社保/公积金缴纳及客户需求管理工作；3、管理团队成员的日常客户问题咨询，建立良好的业务沟通机制，解决服务过程中的问题；4、处理各类投诉，及时响应并提供保障，主导突发事件处理，及时进行预警；5、客户关系维护工作，与客户保持良好的沟通，不断探索客户需求及服务改进建议；6、部门计划制定及总结，梳理优...,互联网,http://jobs.zhaopin.com/CC395634280J40898536302.htm,1000-9999人,2026-01-09 18:27:01
