职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
智慧存储-硬件工程师-DIMM（内存条）-杭州,杭州,杭州海康威视数字技术股份有限公司,本科,1-3年,,15-25万,职位描述：1、负责公司存储类产品硬件的器件方案选型、原理图设计、PCB检查、单板BOM建立及量产落地工作。2、负责硬件电路调试，功能测试及硬件问题的debug。3、配合信号测试工程师，完成DIMM（DDR4/DDR5）、SATA、PCIE、HDMI、USB、I2C、I3C、CKD、PMIC等关键的信号（高速、低速）质量测试。4、配合热设计工程师、结构工程师一起解决硬件整机产品的散热、EMC问题。5...,人工智能,http://jobs.zhaopin.com/CC120975580J40582824315.htm,10000人以上,2025-02-23 16:33:04
品质总监-欣威电子（金华）,杭州,欣旺达电子,本科,10年以上,"SMT,品质全盘,英语口语",4-6万,岗位职责:1、深刻理解客户产品质量管理需求，主导完成新项目开发质量策划与品质管理；2、熟悉电子行业标准和规范，构建全流程品质管理体系，打造高绩效、高执行力管理团队，提升新业务对接能力和客户满意度，确保产品品质符合相关法规和标准；3、参与SIP新产品开发和量产管理，全面负责产品品质管理，制定和执行品质控制计划，确保产品品质符合公司要求；4、组织和协调SIP产品品质问题的分析和改进工作，推动品质改进和...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC135947830J40795017211.htm,1000-9999人,2025-10-16 19:45:40
整车控制器设计专家,杭州,浙江阿波罗运动科技股份有限公司,本科,5-10年,,4-6万,岗位职责1.主导整车控制器（VCU）的电机控制算法设计，包括：FOC 矢量控制、弱磁、能量回收（EBS）、扭矩控制、热衰退管理等；2.根据不同车型（越野、城市轻骑、Ebike）需求，设计差异化控制策略（模式切换、动力响应曲线、牵引/防滑逻辑）。3.负责控制器软件架构设计，建立模块化、可扩展的软件平台；4.指导嵌入式开发团队进行算法实现与移植，保证代码性能与安全性。4.使用 MATLAB/Simul...,汽车研发/制造,http://jobs.zhaopin.com/CCL1395306780J40808147910.htm,300-499人,2025-09-28 16:35:08
硬件工程师,杭州,山西科达自控股份有限公司,博士,3-5年,,3-6万,岗位职责： 1、负责硬件电路设计，制定项目开发方案，为客户提供完善的硬件解决方案； 2、根据项目需求和开发计划，完成需求分析，进行研发产品的原理图设计、元器件选型、PCB设计、电路板调试等相关工作； 3、负责硬件系统设计及相关文档撰写； 4、负责硬件调试及配合相关其他专业工程师进行联调； 5、配合设备现场的安装、调试。 任职要求： 1、博士学历，电子、计算机、通信、自动化、测控等相关专业，3年及以...,电子设备制造,http://jobs.zhaopin.com/CC172695320J40791692307.htm,500-999人,2025-09-16 17:31:14
储能充电具身机器人电子电气架构师,杭州,智联猎头,本科,5-10年,,4.5-5.5万,职位概述我们正在寻找多位卓越的电子电气架构师，作为我们核心产品的技术奠基者。您将作为技术核心，主导一款前沿的储能充电复合型具身机器人的整体电子电气架构设计，其核心是赋予机器人感知、决策、规划和执行的全面能力，实现高效的储能/充电任务。如果您渴望从0到1打造一个颠覆性的产品，并愿意与公司共同成长，这个职位是您的不二之选。此岗位职责聚焦一款复合型具身智能机器人的EE架构设计。核心职责 全局EE架构设计...,互联网,http://jobs.zhaopin.com/CCL1318355140J40861114203.htm,10000人以上,2026-01-09 01:06:50
高级电力电子功率硬件工程师_47358,杭州,特来电新能源股份有限公司,本科,5-10年,"电源系统开发,电路设计,高频变压器,PCB设计,电源,变压器,Buck,Boost,LLC,Altium Designer",3-5万,工作职责：1. 负责充电电源产品的系统与拓扑分析、电路设计、器件选型、EMC设计、PCB layout、高频变压器设计等；2. 负责电源电路的仿真分析，相关参数计算；3. 负责电源功耗与热研究，指导结构进行相关设计；3. 负责电源电路调试验证、问题解决、试制和改进等工作；4. 撰写设计方案和开发文档。任职要求：1. 本科及以上学历，电气工程、电气工程及其自动化、自动化等相关专业；2. 年龄30-4...,互联网,http://jobs.zhaopin.com/CC288977830J40809450101.htm,1000-9999人,2026-01-09 01:01:50
硬件工程师-机器人,杭州,浙江捷昌线性驱动科技股份有限公司,大专,10年以上,伺服驱动器,3-5万·13薪,岗位职责：1、负责机器人执行器的无刷伺服驱动器、编码器硬件选型与设计。2、负责机器人执行器产品的竞品或需求分析，设计整套电控硬件方案(器件选型、原理图、PCB等)，及后续的优化升级或定制产品的开发。3、根据实际性能指标需求，参考行业或产品标准，制定执行器整机性能测试方案，并执行电控相关的测试。4、编写技术开发设计文档，产品规格文档等。5、负责解决客户端的问题反馈。6、主导硬件的批量生产导入，包括生...,电气机械/电力设备,http://jobs.zhaopin.com/CC710407320J40805765307.htm,1000-9999人,2025-12-23 14:48:48
光储冲一体电子电气工程师,杭州,智联猎头,本科,5-10年,,3.5-5.5万·14薪,职位概述我们正在寻找多位卓越的电子电气架构师，作为我们核心产品的技术奠基者。您将参与设计并实现一款前沿的储能充电机器人的电子电气架构。机器人能够自主移动、精准操作，完成高效的储能/充电任务。如果您渴望从0到1打造一个颠覆性的产品，并愿意与公司共同成长，这个职位是您的不二之选。此岗位职责聚焦储能充电模块的EE架构设计。核心职责 全局架构设计： 负责储能充电模块的电子电气系统顶层设计，定义能源分配、网...,互联网,http://jobs.zhaopin.com/CCL1318355140J40861114703.htm,10000人以上,2025-12-30 16:04:59
产品经理-欣威电子（3C消费电子）,杭州,欣旺达电子,本科,10年以上,"SIP封装,半导体",3-5万,岗位职责:1、战略规划：分析半导体封装技术趋势及3C电子市场（穿戴/AIoT/移动终端），制定产品技术路线图，平衡技术可行性. 供应链能力与市场需求，评估资源投入ROI，支撑管理层决策；2、产品开发管理：主导SiP或半导体产品全生命周期（需求→设计→导入→量产→迭代），协调研发团队完成封装设计（Cadence）. 仿真验证（ANSYS）及DFM优化，管控BOM成本. 工艺路线及风险评估；3、行业洞...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC135947830J40815229911.htm,1000-9999人,2025-12-17 18:07:02
硬件工程师,杭州,南方新华,本科,5-10年,"芯片,电源",3-5万·16薪,岗位职责：1.带领团队一起研究整机、电路板对电源的详细需求（如纹波、效率、干扰、负载瞬态响应、可靠性等）、小电压小电流测量技术研究、高精度低噪声模拟信号链路研究；2.主导设计、仿真、实现各级电路的设计，并对其中关键技术点进行技术攻坚；3.带领团队一起研究负责针对成熟产品进行电源相关的技术改进，以及疑难问题的定位，输出解决方案；4.针对原理图设计、PCB设计、调试等环节提出重点指标与、关键步骤，并进...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40702148111.htm,100-299人,2025-10-24 16:56:11
硬件工程师,杭州,浙江亿邦通信科技股份有限公司,本科,5-10年,户储硬件,2.5-5万,岗位职责 1.电力电子线路设计及功率半导体器件应用，控制电路和通信电路以及相关接口设计；2.研发项目规划执行：与合作部门沟通、协调、及时调整目标和进度；3.主导解决技术问题，应用新技术、达成项目目标；4.按照设计流程完成产品设计并导入生产。任职要求 1.电力电子相关专业本科及以上学历，5年以上相关工作经验，熟悉模拟电路、数字电路，电力电子技术等相关知识；2.有电力电子相关产品如户用储能逆变器、光伏...,运营商/增值服务,http://jobs.zhaopin.com/CC352905910J40729426609.htm,300-499人,2025-10-22 00:00:02
嵌入式硬件工程师,杭州,杭州芯锐科技有限公司,本科,5-10年,"独立项目,大厂经验,名校",3-5万·13薪,1.独立完成原理图绘制、PCB设计、技术规格书编制等工作;2.负责产品硬件元器件选型，确保满足符合产品的功能和性能要求，包括但不限于电机驱动、传感检测(红外、霍尔等)、电源/电池管理、交互与通讯等硬件的开发、分析、调试与优化;3.负责制定并执行硬件测试计划，熟练使用测试设备对硬件进行性能测试及调试，确保产品硬件部分符合相关标准，配合结构工程师进行整机调试;4.参与BOM拟制，跟进SMT进度，负责板...,智能硬件,http://jobs.zhaopin.com/CC689209420J40709107009.htm,20-99人,2025-07-03 00:12:42
高级电气研发工程师,杭州,上海翎酉企业管理咨询有限公司,本科,5-10年,"储能箱,汇流柜",3-4.5万,岗位职责：1. 负责根据国内海外规范进行储能箱内电气设计，包括储能系统电气架构、配电柜、汇流柜、集装箱等设备电气设计选型，完成与供应商技术对接，并输出电气原理图、接线图、器件清单、技术协议等技术文件;2. 负责储能电站部分一次、二次电缆，监控等设备选型设计，并输出电缆清册等技术文件；3. 负责BMS、PCS升压一体舱等部件选型，完成与供应商技术对接，并根据项目要求输出相应技术协议；4. 负责IEC...,新能源,http://jobs.zhaopin.com/CC653408580J40715552416.htm,500-999人,2025-05-22 16:50:51
电力电子硬件工程师,杭州,杭州铂科电子有限公司,本科,1-3年,"硬件开发,电源,逆变器,Buck,PFC,LLC,正激,反激",2-4万·15薪,岗位职责1、负责AI服务器电源/光伏储能变流器的设计与开发，包括但不限于主功率回路设计与仿真、MOSFET/IGBT及SiC、GaN等功率器件的应用、驱动与保护技术、EMC设计、热设计等；2、负责硬件电路计算仿真与测试、元器件选型等；3、负责追踪解决生产现场出现的硬件问题。 任职要求 1、统招本科及以上学历，2年及以上电源硬件开发工作经验，电力电子与电力传动、电机与电器、电力系统及其自动化等相关专...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1324058810J40821910810.htm,300-499人,2026-01-09 01:27:52
电摩三电工程师,杭州,浙江爱柯美缝纫机有限公司,本科,5-10年,"三电系统,控制器",2-4万,1）负责三电系统需求定义（研究对标企业三电系统），包括电机、电控、电池、充电装置、DCDC等动力系统的方案集成、电器架构、零部件选型、性能匹配、功能需求等；2）负责三电系统技术交底、DVP、技术协议、功能规范等编制；3）负责统筹平台项目的三电系统方案设计、功能开发调试、验证；4）负责跟进整车测试、实车路测并进行问题改进；5）负责三电系统供应商开发与过程管控； 6）负责三电的OTS认可、PPAP认可...,专用设备制造,http://jobs.zhaopin.com/CCL1359060140J40978528104.htm,300-499人,2026-01-07 08:41:33
PCS 高级硬件工程师,杭州,上海翎酉企业管理咨询有限公司,本科,5-10年,"PCS,逆变器",3.5-4.5万,职位职责：1、负责储能PCS系统的主控/通信/驱动电路原理图设计如DSP/ARM主控、以太网/CAN/URAT等通信接口设计、FPGA/CPLD、功率器件驱动等电路设计；2、负责PCS硬件拓扑选型、器件平台标准化，功率/电子等器件选型及验证、定制器件如电感等设计、滤波器设计等工作，输出BOM清单；3、负责硬件开发过程中各类设计文档编写；4、负责PCS硬件部分核心技术攻关；5、协同测试工程师完成PC...,新能源,http://jobs.zhaopin.com/CC653408580J40715535716.htm,500-999人,2025-05-22 16:41:44
PCS硬件工程师（电控研究院）,杭州,浙江南都电源动力股份有限公司,本科,3-5年,"设计,PCB设计,ARM研发,DSP研发",2-4万,职位职责：1、负责储能PCS系统的主控/通信/驱动电路原理图设计如DSP/ARM主控、以太网/CAN/URAT等通信接口设计、FPGA/CPLD、功率器件驱动等电路设计；2、负责PCS硬件拓扑选型、器件平台标准化，功率/电子等器件选型及验证、定制器件如电感等设计、滤波器设计等工作，输出BOM清单；3、负责硬件开发过程中各类设计文档编写；4、负责PCS硬件部分核心技术攻关；5、协同测试工程师完成PC...,互联网,http://jobs.zhaopin.com/CCL1318355140J40766303003.htm,500-999人,2026-01-06 01:04:36
高级电力电子功率软件工程师_47338,杭州,特来电新能源股份有限公司,本科,5-10年,"电源,MATLAB,Saber,逆变器,PFC,LLC,移相全桥",2-4万·15薪,岗位职责：1.负责电源类产品控制软件开发与维护；2.负责编制电源软件需求分析、概要设计、详细设计等相关技术文档；3.负责电源软件项目的测试工作，解决开发过程中的软件问题；4.把握软件技术方向，对软件控制算法提前做出技术储备；5.编写软件设计规范文档。任职要求：1. 本科及以上学历，电气工程、电气工程及其自动化、自动化等相关专业；2. 年龄30-45周岁；3. 5年及以上电源行业工作经验，至少具有一...,互联网,http://jobs.zhaopin.com/CC288977830J40808124401.htm,1000-9999人,2026-01-05 10:52:47
项目总监/消费类电子/上市公司,杭州,上海星图金融服务集团有限公司南京分公司,本科,3-5年,"PMP,3c产品项目,电子显示产品项目",2-4万,【工作职责】1、负责研发项目前期评估、分析、立项，制定切实可行的项目计划；2、保证各项资源投入包括但不局限人力资源，高效任务拆解，对项目进度进行控制和管理；3、定期分析和汇总项目状态，提交项目实施内外部阶段报告，多阶段项目状态总结管理。【任职要求】1、本科以上学历，通信、计算机、电子信息类相关专业，英文流利；2、5年以上消费类电子行业从业经验，项目开发、实施经验；其中3年以上手机项目管理经验，具有...,互联网金融/小额贷款,http://jobs.zhaopin.com/CCL1439906560J40895041902.htm,1000-9999人,2026-01-05 09:10:45
PCS电气工程师（电控研究院）,杭州,浙江南都电源动力股份有限公司,本科,5-10年,"设计,配电柜,开关柜,PCS,逆变器,变流器",2-4万,职位职责：1、负责完成储能系统的电气设计，输出电气一次/二次图纸及BOM清单，线束图纸。2、负责储能系统相关电气设备选型及验证、器件平台标准化，如IGBT、断路器、电源、防雷器件、变压器等。3、负责系统的电气安规设计及相关认证，负责直流/交流滤波器EMI设计及参数确定。4、负责项目电气相关输出资料的编制整理及归档，并协助相关部门完成各类认证/验收工作。5、负责研发过程中的储能系统测试平台搭建，协同...,互联网,http://jobs.zhaopin.com/CCL1318355140J40766301403.htm,500-999人,2026-01-06 01:04:36
