职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
机器学习工程师,杭州,广东君润人力资源服务有限公司,本科,1-3年,"图像算法,机器视觉,决策树,PyTorch,Python",7-10万,岗位职责：1.负责大数据分析和挖掘工作，包括数据清洗、数据挖掘与特征构建等内容。2.负责公司内部关系网络构建、分析与挖掘工作，应用社区发现（Community Detection）、图神经网络（GNN）等图算法解决业务问题。3.跟踪图算法与机器学习领域前沿技术，结合业务需求进行创新性实验与落地。岗位要求：1.计算机、数学、统计学等相关专业背景，本科以上学历。2.3年以上机器学习/算法相关工作经验，...,人力资源服务,http://jobs.zhaopin.com/CCL1255416450J40908497908.htm,10000人以上,2025-12-25 17:36:23
机器人技术专家,杭州,杭州必尚网络科技有限公司,博士,3-5年,"机器人算法,运动控制算法,ASR,机器避障,环境建模,运动规划,动力控制,路径规划,导航定位",5-8万,自动化、计算机、机械工程、电气自动化、数学、算法等相关专业博士毕业海外工作3年以上优先，具有完整的机器人运动控制研发经历；1.具有较强的编程能力（C++、（IEC 61131-3 标准）等）2.具有较强的实践设计能力；3.熟悉驱动器及伺服电机的使用及调试，熟悉EtherCat、Can/CanOpen等现场总线通讯模式；4.工作积极认真，责任心强；能够独立完成设计研发项目；具有良好的团队合作意识；具...,人力资源服务,http://jobs.zhaopin.com/CC376862780J40831862914.htm,20-99人,2025-12-20 15:06:25
人工智能专家,杭州,盾安环境,博士,3-5年,"深度学习,机器学习",4-8万,薪酬面议！！职位描述：1、深入分析传统制造业务场景（生产/质检/物流/设备等），建立AI技术应用需求图谱2、主导AI技术可行性研究，制定制造场景智能化升级技术路线图3、跟踪全球AI前沿技术，评估工业领域适用性并提出引进建议4、构建面向制造场景的AI算法模型（预测性维护/视觉检测/工艺优化等）5、开发工业数据治理方案，建立跨系统数据融合体系6、设计工业AI解决方案技术架构（边缘计算+云平台协同方案）...,电气机械/电力设备,http://jobs.zhaopin.com/CC463774920J40813080114.htm,10000人以上,2025-10-21 09:12:05
图形算法工程师,杭州,杭州寰马智能科技有限公司,本科,3-5年,,4-7万,岗位职责1. 负责数字⼈3D重建（照⽚建模/3D扫描）、⽹格优化、⻣骼绑定核⼼算法研发，提升模型精度与适配性；2. 研发动捕数据运动学解算、实时重定向算法，保障动捕数据与数字⼈⻣架的精准匹配；任职要求1. 学历背景：计算机科学与技术、图形学、数学相关专业，硕⼠及以上学历优先；2. 技术能⼒：◦ 扎实的计算机图形学基础，深⼊理解光照模型、纹理映射、⼏何处理、运动学等核⼼知识；◦ 熟悉3D重建算法（如...,人工智能,http://jobs.zhaopin.com/CCL1516501740J40837462505.htm,20人以下,2026-01-09 16:53:06
算法/光学/数学工程师,杭州,杭州必尚网络科技有限公司,博士,1-3年,"图像算法,机器学习,大模型算法,逻辑回归,K-means算法,XGBoost,ViT,CLIP,VGGNet,机器视觉,知识图谱,通信算法",5-8万,岗位内容： 算法方向 1，图像算法开发工作，包括但不限于图像预处理、特征增强、三维重建、计算机辅助诊断等； 2，AI算法开发，基于机器学习、深度学习等方法解决具体业务场景痛点问题。 博士研究生学历（国内985/QS前200），计算机、自动化、光学工程等专业；扎实的数学（数值优化，线性代数，信号处理）和编程基础，具有大数据分析及AI背景 数学方向 主要负责数学优化算法开发，优化求解器开发及系统优化等...,人力资源服务,http://jobs.zhaopin.com/CC376862780J40822519514.htm,20-99人,2025-11-19 15:38:32
具身智能大模型算法工程师（机器人）(J39640),杭州,海信集团,本科,5-10年,"机器人算法,人形机器人,大模型,具身智能,PyTorch,学习算法",面议,岗位职责:1.前沿算法研究与探索：跟踪具身智能领域国际前沿技术动态，深入研究多模态大模型算法（VLA），定期输出技术研究报告，为公司技术战略制定提供依据。负责开展创新性算法研究项目，探索解决具身智能在复杂环境感知、长时序决策、多任务协作等方面的技术难题，每年在顶级学术会议发表 高水平论文或申请专利。参与行业技术交流活动，与国内外顶尖科研机构、高校建立合作关系，引入外部先进技术理念与资源，提升公司在...,电子设备制造,http://jobs.zhaopin.com/CC132067430J40831699503.htm,10000人以上,2025-08-29 18:06:59
AI推理引擎开发工程师,杭州,进迭时空(杭州)科技有限公司,本科,3-5年,,3-6万,职位描述：1. 研发方向：参与公司AI CPU（同构融合计算）芯片在计算领域的前沿研发，涵盖算子、框架的设计和开发2. 技术支持：为公司个业务场景提供技术支持，推动同构融合计算技术在实际产品中的应用和落地3. 团队协作：与硬件、算法、方案团队紧密合作，共同解决技术难题，持续优化产品性能和效率 岗位职责：1. 推理引擎开发：包含基础CNN卷积及大模型推理引擎2. 后端调度优化：基于对硬件后端的理解，...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1378359190J40787706907.htm,100-299人,2025-12-26 11:41:02
大模型算法工程师,杭州,上海青凤信息科技有限公司,本科,5-10年,"深度学习,机器学习,强化学习 ",4-6万·16薪,岗位描述：1、利用曹操出行平台海量的出行数据，对路线达到时间估计，路线规划等问题进行建模，使用数据挖掘和机器学习，提升用户的出行体验和平台效率；2、通过线下仿真和预估等技术手段，完成智能拼单、车辆调度、订单分配等智能规划工作，推动策略上线。任职要求：1. 计算机／控制／EE／数学等相关专业本科及以上学历； 3年以上相关工作经验；2、具有优秀的算法／模型基础、扎实的数学基础，包括概率／统计／代数/优...,通信/网络设备,http://jobs.zhaopin.com/CC836014720J40823997814.htm,20-99人,2025-11-22 15:26:09
软件工程师 （ROS方向）,杭州,山西科达自控股份有限公司,博士,1-3年,"视觉图像算法,机器人算法",3-6万,"岗位职责： 1、负责公司ROS相关产品研发； 2、负责室内外自主移动机器人基于激光雷达、视觉、IMU、里程计等传感器的SLAM算法研发； 3、负责开发移动机器人的计算机视觉相关算法开发，如视觉检测，场景或道路识别，分割及跟踪算法的开发 任职要求： 1、计算机或相关专业，博士学历，条件优秀的也可放宽至硕士 2、良好的人际沟通和协作能力, 有团队合作精神，能够承受工作压力； 3、具备良好的编程能力，熟...",电子设备制造,http://jobs.zhaopin.com/CC172695320J40791687807.htm,500-999人,2025-09-16 17:31:41
机器人算法专家,杭州,进迭时空(杭州)科技有限公司,本科,5-10年,,3-6万,岗位要求：- 硕士以上学历，计算机、自动化、机器人或者相关专业- 熟悉传统计算机视觉算法、点云处理算法、SLAM算法- 熟悉深度学习经典算法，能够熟练使用PyTorch， TensorFlow等深度学习框架- 有丰富的端侧芯片算法部署和优化经验岗位职责：- 负责智能机器人相关算法的规划、设计、开发和验证- 负责算法模型在端侧芯片上的优化和部署- 配合AI CPU算力和工具链优化,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1378359190J40778305107.htm,100-299人,2025-07-29 17:32:49
嵌入式电机算法软件工程师,杭州,浙江精通自动控制技术有限公司,本科,1-3年,"运动控制算法,C语言,电机算法,电机控制,防夹算法",3-6万·15薪,软件算法工程师岗位职责：1.根据车窗系统需求制定算法设计需求，并设计算法架构文档、算法初步设计文档、算法详细设计文档；充分遵循V型流程。 2.实现模块编码和设计，根据以上算法设计文档，设计基于车窗系统的防夹算法，并将算法模块转换为C语言编码； 3.进行算法模型测试和C编码质量检查，包括集成到整个软件系统和天窗电机总成系统中。 4.设计算法测试用例，与软件工程师、电子项目工程师协调完成算法模块测试报...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC343948910J40403655012.htm,100-299人,2025-03-10 09:53:03
