职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
AIGC设计经理（图像生成、视频生成）,杭州,山东斯伯特生物科技有限公司,本科,3-5年,AIGC,3-4万,岗位职责：1.负责 AIGC 相关技术的落地与优化，包括但不限于图像生成、视频生成、模型微调、风格迁移、角色生成等方向。2.精通数字人相关技术，接触过开源数字人实现方案，熟悉闭源数字人技术上限。3.从新兴AIGC开源技术快速构建出可落地方案，跟踪前沿AIGC技术趋势，评估创新方向并形成内部技术方案。4.设计AIGC生产流程工具链，输出可复用板、提示词体系和生成规范。5.具备美术审美与风格判断能力，...,食品/饮料,http://jobs.zhaopin.com/CC830296300J40907250108.htm,1000-9999人,2026-01-11 01:19:45
公装设计主管,杭州,浙江瑞祥嘉业建筑装饰有限公司,本科,3-5年,"CAD,3D MAX,Sketchup",2-4万,岗位内容：谈单——量房——绘图——报价——签合同——施工对接福利待遇： 1、薪资构成 底薪+设计提成+施工提成+分项提成（消防、弱电、钢结构等）+其他奖励（月度业绩、大单奖励、到司奖励等）+五险一金 2、工作时间: 8:50-18:00+周末双休+国家法定节假日休息（工作生活两不误） 3、任职要求（1）专业美术院校本科以上学历，学士，环境艺术或室内设计、建筑设计相关专业毕业；（2）有大型空间设计经...,装饰装修,http://jobs.zhaopin.com/CCL1478566280J40724481206.htm,100-299人,2025-10-14 14:49:30
美妆视觉设计专家,杭州,山西锦波生物医药股份有限公司,本科,3-5年,,2-3.5万,1.品牌视觉战略落地，主导新品上市、年度大促(如双11/品牌日)全链路视觉创意方案，从概念提案到执行落地，确保视觉语言精准传递品牌基因2.独立完成店铺、营销项目视觉体系搭建(主KV、传播素材)，具备从策略解读→创意提案→设计执行→数据复盘的全闭环能力3.行业竞争力构建。监控竞品视觉趋势，结合品牌调性输出差异化解决方案;探索AIGC工具在素材生产、3D建模等场景的应用，推动设计流程革新要求：1. 本...,医药制造,http://jobs.zhaopin.com/CC295975780J40821390407.htm,100-299人,2026-01-07 15:14:30
设计总监（软景）,杭州,新自然(上海)城市规划设计有限公司杭州分公司,本科,10年以上,植物配置与设计,2-3.5万,一、基本要求：1、45周岁以下（条件优秀年龄、性别可以放宽）；2、本科及研究生毕业，园林或环境艺术设计专业；3、具有中级及以上职称；4、有大型设计院工作经验，具有软景策划及设计的具体工作案例。二、管理维度：1、担任过设计总监或设计负责人岗位，有独立带团队的工作经历 ；2、具有总结、提炼、启发团队思路和创意的能力，具有一定的方案审美及表达能力；3、具有对外的沟通、协调及汇报能力。三、技术维度：1、具...,建筑设计,http://jobs.zhaopin.com/CCL1291056620J40772503516.htm,20-99人,2025-11-10 09:51:51
设计总监（博物馆）,杭州,浙江盘博展览工程有限公司,本科,5-10年,"博物馆设计,3D MAX,CAD,规划馆设计,校史馆设计",2.4-3.5万,岗位职责： 1、本人具备完成博物馆项目方案的创意设计工作，在设计公司或者工装装饰有5-10年工作经验 2、负责博物馆展览展示的布局设计、装饰装修创意设计、数字多媒体展示设计、三维效果图或者设计图的呈现 3、与策划配合对客户进行项目方案汇报、与施工现场负责人配合完成项目执行实施的工作 4、土木工程、环境艺术、建筑设计相关专业本科及以上学历，有建造师、工程师相关证书优先考虑 5、富有创意和执行力，有团...,装饰装修,http://jobs.zhaopin.com/CC575139920J40532820703.htm,20-99人,2025-06-19 14:55:26
设计主管,杭州,杭州云装视界科技有限公司,本科,3-5年,"设计总监,团队管理,项目协调,客户沟通",1.5-3万,岗位内容：1. 管理设计团队，指导设计方向和质量。2. 协调制定项目进度和设计计划。3. 负责对外沟通和协商工作，确保客户满意度。4. 参与重要的设计决策，为公司提供战略性建议。任职要求：1. 本科及以上学历，设计相关专业。2. 5年以上设计经验，3年以上管理经验。3. 拥有优秀的审美、设计能力和洞察市场的敏锐度。4. 具备出色的沟通、协调、组织能力和团队领导力。,装饰装修,http://jobs.zhaopin.com/CCL1492830820J40836119614.htm,20人以下,2026-01-09 15:27:21
建筑设计总监,杭州,浙江广厦建筑设计研究有限公司,本科,5-10年,"方案设计,PS,Rhino,CAD,Sketchup,InDesign,3D MAX",1.5-3万·20薪,"岗位职责：方案设计负责人，全程负责投标项目、委托项目从概念方案设计到方案深化、报批等工作。任职要求：1. 建筑学/建筑设计或相关专业统招本科以上学历，8年以上相关工作经验，5年以上项目负责人经验；2. 具有优秀的创作能力擅长方案沟通汇报，对方案投标工作及项目对接沟通有一定的经验基础；3. 能充分把控项目的设计进度和质量, 完整清晰地表达设计思路，主动组织协调项目组其他成员推进设计工作；4. 有团队...",房地产开发,http://jobs.zhaopin.com/CC191775510J40912384415.htm,100-299人,2026-01-08 13:31:24
品牌设计（需至福州办公）(J12253),杭州,扬腾创新(福建)信息科技股份有限公司,学历不限,经验不限,电商设计,1.5-3万·13薪,岗位职责:1、品牌定位与策略制定：根据市场研究和分析，制定品牌定位和发展战略，确定品牌核心价值和差异化优势，参与品牌识别及相关设计系统的搭建和维护，配合品牌视觉升级，完善品牌规范；2、品牌形象设计，品牌故事、品牌形象塑造。负责各社交媒体平台的视觉语言及设计风格，线上媒体品牌营销活动的视觉设计和素材输出；3、独立完成品牌视觉活动能力，重大营销活动跟进；4、根据公司品牌规划，负责公司品牌设计，整体把控...,电子商务,http://jobs.zhaopin.com/CCL1217026990J40884194702.htm,1000-9999人,2025-12-18 17:56:17
资深用户体验设计师（UED/UX）(J11382),杭州,烟台睿创微纳技术股份有限公司,本科,经验不限,交互设计,1.8-3万,岗位职责:1、多端界面全流程设计：主导公司红外传感相关产品的 APP（iOS/Android）、WEB 端、PC 客户端、设备端界面（含触控屏、嵌入式界面）的 UX 全流程设计，覆盖需求分析、用户流程图、原型设计、视觉落地及上线后体验优化，确保跨终端体验连贯统一。2、设计规范体系搭建：制定并迭代多端产品设计规范、组件库及交互指南，统一设计语言，提升团队设计效率与产品体验一致性，适配不同设备分辨率、...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC200206520J40831117814.htm,1000-9999人,2025-12-17 14:01:19
设计总监（杭州/周末双休）,杭州,杭州三奇建设发展有限公司,本科,5-10年,,2-3万,岗位福利！！！双休朝九晚六、带薪年假、五险一金、节假日福利、下午茶、团建旅游一、岗位职责：（一）、团队建设工作1. 负责方案部的全面工作，不断培养设计理念，优化设计流程，规范设计标准，带领和指导设计团队，提高团队的创意水平和工作效率。2. 负责制定和完善本部门及成员的岗位职责。3. 对设计师的方案进行指导、补充，并跟进完善整个设计。4. 负责做好本部门员工的培训、指导、监督、考核及管理工作。5.熟...,装饰装修,http://jobs.zhaopin.com/CC858991490J40774665315.htm,20-99人,2025-09-18 15:06:55
