职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
HMI开发工程师（U3D/C++/Android),南京,上海动及智能科技有限公司,本科,1-3年,"C++,U3D,Android,HMI",3-6万·15薪,职位描述：1.基于智驾场景需求，开发HMI程序；2.融合各模块，确保达到设计和性能需求。任职要求：1.统招本科及以上学历；2.二年以上智驾行业HMI（U3D/C++/Android)开发经验。,医院,http://jobs.zhaopin.com/CCL1349942160J40744200406.htm,20-99人,2026-01-08 01:17:09
Android高级工程师,南京,天津网聚咨询有限公司,本科,3-5年,Android Studio,4-5万,岗位职责：1、根据互联网产品项目需求及要求，进行android客户端相关功能设计研发，达成产品项目经营目标。2. 负责跟进产品功能需求的开发与实现，与后台服务器对接各种需求，能独立承担整体项目开发工作3、负责系统设计及性能优化、技术攻关和新技术预研。【任职要求】1. 本科及以上学历，4年以上Android开发经验，至少1个大型互联网产品开发维护经历；2. 熟悉Android开发平台及框架原理，有通...,人力资源服务,http://jobs.zhaopin.com/CCL1420494700J40835762314.htm,20人以下,2026-01-08 09:21:39
安卓逆向工程师,南京,江苏猎宝网络科技股份有限公司,大专,3-5年,Android系统开发,2.5-5万·13薪,"任职要求： 1、熟悉HTTP、TCP等网络协议及, 熟悉常见抓包工具, 协议分析的流程； 2、熟悉DEX文件结构, ELF文件结构； 3、熟悉Java/C/C++语言, smali,arm汇编； 4、熟悉Xposed, Frida等常用的hook框架使用； 5、熟悉常见的反调试, 反反调试； 6、熟悉掌握IDA, JEB, AndroidKiller, JADX, Apktool, GDA等And...",游戏,http://jobs.zhaopin.com/CC272311010J40444120307.htm,300-499人,2025-12-10 11:17:03
android系统驱动工程师,南京,杭州讯意迪科技有限公司,本科,3-5年,"C++,Java,Shell,汇编语言,Linux,Android",3-5万,"工作内容：1、负责Android/linux 系统定制裁剪、驱动开发;2、协助应用工程师、硬件工程师处理相关的开发问题;3、解决客户反馈的问题;任职要求：1、电子技术相关专业本科或以上学历；2、4年以上Android/Linux驱动相关开发经验，熟悉常见的外设驱动如:电池，LCD，TP，Camera，codec，UART,Flash等;3、精通C/C++语言, 熟悉java语言、熟悉shell、M...",计算机硬件,http://jobs.zhaopin.com/CC627609130J40638380509.htm,20-99人,2024-10-09 10:43:42
移动端开发工程师,南京,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,,2.3-4.5万,岗位职责：- 负责移动应用的设计与开发。- 参与产品的整个生命周期，包括需求分析、设计、开发、测试及维护。- 优化移动应用的性能，确保软件质量。岗位要求：- 熟悉移动应用开发流程和主流开发技术。- 具备扎实的编程基础和良好的编程习惯。- 熟练掌握至少一种移动应用开发语言（如Java、Kotlin、Swift等）。- 有成功上线的移动应用项目经验者优先。,互联网,http://jobs.zhaopin.com/CC427775130J40902182815.htm,20-99人,2026-01-08 13:29:19
（可兼职）安卓逆向工程师,南京,江苏猎宝网络科技股份有限公司,大专,5-10年,"游戏项目,电商项目",2-4万,"工作职责：1、负责Android应用的逆向工作，包含安卓程序的加解密和数据传输分析、拆解、逆向等；2、逆向分析网站和公司App的核心业务逻辑，关键线索和防护机制，为安全防护加固。3、对app的关键数据结构/核心业务逻辑/关键算法进行还原并提供正向实现。岗位要求：1、具有丰富的Android开发分析经验，熟悉Android系统架构，熟悉android安全机制；2、熟悉Java/C/C++语言, sm...",游戏,http://jobs.zhaopin.com/CC272311010J40811988007.htm,300-499人,2026-01-11 00:31:40
安卓开发工程师,南京,软通动力信息技术(集团)股份有限公司,大专,3-5年,"Java,手机项目",2-4万,工作内容1、负责App端的研发和维护工作；2、负责Android相关技术研究，承担重点、难点的技术攻坚；3、能够对架构进行改进，不断提升产品体验体验和性能优化，深度参与产品需求讨论，功能定义等，共同打造国内领先的移动互联网产品；任职要求1、大专及以上学历，2年以上工作经验，具备扎实的计算机理论基础；有Launcher开发经验优先。2、精通Android应用开发、开发平台及框架原理，Android平...,互联网,http://jobs.zhaopin.com/CC000544460J40756917516.htm,10000人以上,2025-09-15 10:40:05
app开发工程师,南京,苏州人瑞普惠人力资源服务有限公司,大专,3-5年,,2.2-4万,岗位职责：1. 负责公司App产品的设计、开发与维护。2. 参与项目需求分析与产品设计，提供技术方案。3. 实现App前端界面及后端功能，确保产品性能与用户体验。岗位要求：1. 熟悉App开发流程，有独立开发App的能力。2. 熟练掌握前端技术（HTML、CSS、JavaScript等）及主流框架。3. 熟练掌握后端开发语言（如Java、Python、PHP等）及数据库技术。,互联网,http://jobs.zhaopin.com/CC427775130J40902181115.htm,20-99人,2026-01-09 01:42:55
对日软件开发工程师,南京,杭州优灿科技有限公司,学历不限,3-5年,"Java,C#,C/C++,嵌入式技术,VB,SQL,日语,.NET,Python,Android",1.8-3.5万,1.3年以上Java/.NET/C/C++/开发经验2.了解Spring boot、mybatis、redis、mysql等常用开发框架与工具3.有对日项目经验，可不借助翻译软件独立读写式样书4.日语N3及以上5.了解React、angular、vue等前端技术者优先6. 学习和理解能力强，反应敏捷，具有一定的系统分析能力，及独立解决问题的能力,计算机软件,http://jobs.zhaopin.com/CC272317030J40853033613.htm,500-999人,2026-01-08 01:36:23
音频开发,南京,软通动力信息技术(集团)股份有限公司,本科,5-10年,"RTOS,ANDROID AUDIO,音频调试,TWS耳机",2.5-3.5万,"工作内容- 负责TWS设备的音频相关工作- 配合集成音频相关feature,主动/通话降噪,优化音频系统各项性能指标- 解决TWS耳机遇到的杂音/无声/卡顿/破音/声音小等问题- 评估和设计音频软硬件架构- 负责音频算法(ANC主动降噪/通话降噪)的评估/集成/优化任职要求- 5年以上音频相关工作经验，看好可穿戴设备的发展前景- 熟悉各种音频总线和音频硬件电路- 熟悉Android/RTOS的音频...",互联网,http://jobs.zhaopin.com/CC000544460J40786518016.htm,10000人以上,2026-01-09 14:12:24
app开发工程师,南京,苏州人瑞普惠人力资源服务有限公司,大专,3-5年,,2-4万,岗位职责：- 负责移动应用的设计与开发。- 参与产品的整个生命周期，包括需求分析、设计、开发、测试及维护。- 优化移动应用的性能，确保软件质量。岗位要求：- 熟悉移动应用开发流程和主流开发技术。- 具备扎实的编程基础和良好的编程习惯。- 熟练掌握至少一种移动应用开发语言（如Java、Kotlin、Swift等）。- 有成功上线的移动应用项目经验者优先。,互联网,http://jobs.zhaopin.com/CC427775130J40906175815.htm,20-99人,2026-01-05 01:41:32
flutter开发工程师（学信网统本）,南京,博彦科技承德有限公司,本科,5-10年,"Flutter,Android,iOS",1.8-3.5万,"外包岗位,学信网可查统招本科及以上学历目前2个岗位都在招：1.Android高级开发(具备Flutter开发经验)； 2.ios 高级开发(具备 Flutter开发经验)具体JD如下：一、岗位职责1.负责 Android 客户端/ ios客户端核心功能开发与维护，参与业务需求评审与技术方案设计2.使用 Flutter 进行跨端功能开发，保证 Android / iOS 多端体验一致性3.参与客户端...",IT服务,http://jobs.zhaopin.com/CC637366030J40745969806.htm,1000-9999人,2026-01-07 13:45:28
android安卓开发工程师,南京,诚迈科技股份有限公司,本科,3-5年,Kotlin,2-3.5万,1、3年以上Android开发工作经验，具有扎实的Java语言基础、精通Android四大组件。2、熟悉Android系统，熟练进行APP开发，调试工作。3、熟悉Android内存调试、性能优化、JE/ANR/NE问题分析处理工作。4、具备良好的沟通和分析解决问题能力，能独立承担项目开发维护工作。5、会使用Kotlin语言编程优先。,运营商/增值服务,http://jobs.zhaopin.com/CC144543200J40907432815.htm,1000-9999人,2025-12-31 10:20:55
安卓系统应用开发（六险一金 福利好）,南京,慧博云通科技股份有限公司,本科,3-5年,"多线程,SDK",3-3.5万,工作内容- 参与系统级应用（SystemUI、桌面Launcher、表盘框架、通知中心、控制中心、系统设置等）的需求分析、架构设计、模块开发与迭代维护- 优化应用的启动速度、滑动流畅度、内存占用等关键性能指标- 实现与系统框架（AMS、WMS、PMS、 广播机制等）的深度交互- 构建高可靠性的系统应用，降低崩溃率与ANR率任职要求- 计算机、软件工程等相关专业本科及以上学历，3年以上Android...,IT服务,http://jobs.zhaopin.com/CCL1254757260J40832213105.htm,10000人以上,2025-12-11 11:32:22
安卓软件工程师(R0567),南京,中科创达软件股份有限公司,本科,3-5年,音视频,2.5-3.5万,职位描述：负责短视频、i视频功能开发与维护任职要求本科1年、大专3年以上Android开发经验；熟悉Java语言及常用设计模式熟悉Android常用控件、网络通讯协议、多线程编程具备良好的沟通表达能力和团队协作精神,计算机软件,http://jobs.zhaopin.com/CC285451210J40563554311.htm,1000-9999人,2025-11-11 10:20:27
