职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
EI大数据（modelarts方向）,南京,软通动力信息技术(集团)股份有限公司,本科,经验不限,"数据中台开发,Java,Python,Shell,MaxCompute,MODELARTS,英语,数据运维",4-6.5万,岗位关键点：modelarts方向的 【工作职责】1、负责华为云大数据和AI相关云服务现网运维体系建设，进行高可用性架构设计，容灾演练及自动化恢复能力建设，看护服务SLA。2、负责华为云大数据和AI相关云服务现网运维指标体系建设，完善云服务监控能力，持续提升问题发现和定界能力。3、负责华为云大数据和AI相关云服务现网变更实施，日常运维巡检，监控，告警处理等。【任职要求】学历要求：本科及以上学历，计...,互联网,http://jobs.zhaopin.com/CC000544460J40779198916.htm,10000人以上,2025-12-06 16:49:06
大数据平台架构师,南京,中储智运,本科,5-10年,,3-5万,工作职责1、负责参与公司数据中台的统一调度平台、实时数仓平台、离线数仓平台、资产管理平台、OLAP、数据湖等平台建设，为海量数据和业务系统提供可靠的业务能力支撑。2、负责大数据平台的基础工具和平台的研发和维护;3、大数据前沿开发技术的研究和推广。任职资格1、工科、计算机、统计或其它相关专业本科及以上学历，5年以上开发经验，2年以上大数据相关研发和运维经验;2、理解Java运行时工作原理，熟悉jvm...,货运/物流/仓储,http://jobs.zhaopin.com/CC673786820J40817421710.htm,1000-9999人,2026-01-05 15:42:30
大数据平台架构师,南京,中储发展股份有限公司,本科,5-10年,"数据治理,大数据开发,数据中台",3-4万,1、负责参与公司数据中台的统一调度平台、实时数仓平台、离线数仓平台、资产管理平台、OLAP、数据湖等平台建设，为海量数据和业务系统提供可靠的业务能力支撑。2、负责大数据平台的基础工具和平台的研发和维护;3、大数据前沿开发技术的研究和推广。任职资格1、统招本科及以上学历，工科、计算机、统计或其它相关专业，5年以上开发经验，2年以上大数据相关研发和运维经验;2、理解Java运行时工作原理，熟悉jvm性...,客运服务,http://jobs.zhaopin.com/CC212379010J40723392611.htm,1000-9999人,2026-01-10 01:31:59
高级大数据开发工程师（印尼）,南京,软通动力信息技术(集团)股份有限公司,大专,5-10年,数据库开发,3-4.5万,关键字：大数据迁移、Hadoop、Spark、Nifi、CDM、华为数据湖、数据仓库 主要职责： 1、负责大数据搬迁和系统集成。 2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。 3、处理海量数据，进行实时和批处理分析，支持业务需求。 4、负责Nifi作业的迁移和调测。 5、具备良好的SQL优化能力；能够完成数据比对工作，具备数据追溯并定位出问题能力。 6、参与方案调研，能够做详细的方案设计...,互联网,http://jobs.zhaopin.com/CC000544460J40770958616.htm,10000人以上,2025-11-03 18:17:56
系统架构师,南京,南京宁远人力资源有限公司,本科,5-10年,"数据治理,数据建模,数据库开发",2-4万·14薪,智能数据平台研发岗：1。一本+，硕士优先。2.工作经验：（1）8年以上数据平台研发经验，其中至少3年以上主导大型数据平台架构设计的经验。（2）深入理解主流大数据计算引擎（如Spark、Flink）的内部机制，有解析其执行计划并构建算子级血缘的实际项目经验。（3）有将机器学习/人工智能技术应用于数据平台治理、优化等场景的实践经验。（4）熟悉数据湖、数据仓库、湖仓一体架构，并Hudi、Iceberg、...,互联网,http://jobs.zhaopin.com/CC268631010J40820998907.htm,20-99人,2026-01-05 20:35:25
数智创新研发岗,南京,南京干部测评与高层人才服务中心,博士,3-5年,"数据治理,数据库开发",面议,招聘程序 （一）报名和网上资格审查（只接受网上报名，投递渠道已官网投递链接：https://www.njgcrc.gov.cn/ 此链接为准。） 1. 时间：2025年8月11日-2025年9月7日 2. 报名路径：在电脑端搜索网址：www.njgcrc.gov.cn（南京水务集团有限公司招聘公告），使用“我的南京”app扫码认证登录后，如实填写个人信息及完善简历，浏览查看职位详情，投递简历（每人...,社团/组织/社会保障,http://jobs.zhaopin.com/CC145910930J40705285706.htm,20-99人,2025-09-07 00:37:23
高级大数据开发,南京,软通动力信息技术(集团)股份有限公司,大专,5-10年,"数据库开发,Java,Scala,Python,Spark,大数据迁移,Hadoop,CDM,华为数据湖,数据仓库",2-4万,关键字：大数据迁移、Hadoop、Spark、Nifi、CDM、华为数据湖、数据仓库主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、负责Nifi作业的迁移和调测。5、具备良好的SQL优化能力；能够完成数据比对工作，具备数据追溯并定位出问题能力。6、参与方案调研，能够做详细的方案设计，负责分配、管...,互联网,http://jobs.zhaopin.com/CC000544460J40769410116.htm,10000人以上,2025-10-28 17:17:33
数据处理工程师,南京,南京众博达电子科技有限公司,本科,1-3年,"C语言,C++,DSP",1.5-3万·13薪,1、工作内容：1）根据总体分配的分系统技术指标，进行分系统方案设计，完成具体指标分析计算、软硬件平台选型等；2）根据分系统方案完成数据处理分系统软件需求分析、设计、编码、测试及系统联调工作；可以完成分系统相关技术文档撰写、归档；3）根据要求撰写相关的技术专利、软件著作权等文档撰写； 4）公司上级领导安排的其它工作。2、任职要求：1）本科及以上学历，雷达数据处理、应用数学、通信、电子相关专业，熟悉雷...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC306486130J40733978406.htm,20-99人,2026-01-06 17:21:40
数据管理工程师,南京,紫金信托有限责任公司,本科,3-5年,"数据仓库,数据仓库架构",2.5-3万,3年以上数据仓库领域相关工作经验。,互联网,http://jobs.zhaopin.com/CCL1318355140J40195950303.htm,500-999人,2026-01-06 01:04:19
高级大数据开发,南京,广州九路科技有限公司,本科,3-5年,"数据架构,数据库开发,数据中台开发,Sql,Python,Flink,Hadoop,Spark",2.4-3万,岗位职责：要求：金融业务背景，统招本科学历，年龄38岁以内，有丰富的离线和实时项目经验，项目是搭建在阿里云平台上的，对平台搭建能力没有要求，但是业务搭建能力比较重要（PS急招，需要可以年前到岗的同学）岗位职责：1.平台设计与开发：●负责核心数据平台、数据仓库的架构设计与开发工作，确保系统的高性能、高稳定性和高扩展性。●主导数据需求分析、数据建模、ETL/ELT开发、测试和上线等全流程工作。●根据数...,互联网,http://jobs.zhaopin.com/CCL1391171010J40860951403.htm,100-299人,2025-12-03 18:20:05
数据开发工程师,南京,江苏航浦国创复材研究院有限公司,硕士,无经验,"Spark,Hadoop",1.5-3万,l 岗位职责：1. 技术研发：围绕机床智能化应用数据管理，构建高效能的数据平台，支持设备数据的采集、存储、分析与优化；2. 技术预研：研究数据技术在智能制造领域的应用，负责数据采集、数据标注、数据分析、数据挖掘和数据存储。3. 项目管理：参与数据系统的工程化落地，推动数据驱动的智能制造升级；4. 团队协作：与AI、软件、数字孪生团队紧密合作，实现数据驱动的机床智能化应用研发部署。l 任职要求：1....,专用设备制造,http://jobs.zhaopin.com/CCL1349872880J40775063716.htm,20-99人,2025-11-28 13:51:13
数据工程师,南京,尔特数据科技(江苏)有限公司,硕士,3-5年,"Python,数据挖掘,数据治理,数据建模",1.8-3万·13薪,岗位职责：1、数据清洗与标准化：设计并实施高效的数据清洗流程；执行数据标准化任务，包括格式转换、异常值处理等，提高数据质量。2、算法开发：深入理解业务需求，将商业逻辑转化为代码实现，设计并优化算法模型，以提升数据处理和分析的效率，为业务决策提供强有力的数据支持。3、数据处理自动化：构建高效的数据处理流水线，实现数据采集、清洗、存储的一体化管理，优化流程，提升处理效率。4、大数据平台优化与维护：使用...,云计算/大数据,http://jobs.zhaopin.com/CCL1305728410J40724255516.htm,20-99人,2025-11-24 18:20:34
