职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
中高级后端开发工程师,南京,外企德科数字技术有限公司,本科,经验不限,"Java,Python",1.5-3万·14薪,15-16薪因为部门比较多，但是boss岗位数量有限制，所以很多岗位没有上，其他岗位可以细聊；岗位职责：1、负责创新项目系统设计与研发工作；2、负责相关子系统及业务流程的优化重构，研发过程优化工作；3、负责项目重点、难点的技术攻坚；4、负责后端系统核心代码编写和按时交付，保证交付质量和负责版本维护；岗位要求：1、 本科以上学历2、扎实的编程能力，熟悉算法和数据结构；熟悉计算机的基础理论；3、扎实的...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40831706205.htm,10000人以上,2026-01-09 01:13:21
前端开发工程师,南京,南京高泰科技有限公司,本科,3-5年,"Vue,React,Node.js,JavaScript",1.5-3万,岗位职责1、根据项目及产品需求及技术文档，开发H5平台应用产品；2、完成移动端模块代码编写、单元测试、代码维护等工作，并编写相关文档；3、根据业务需要，为客户提供技术支持；岗位要求： 1、熟练使用各种Web前端技术，精通HTML5及CSS2、CSS3，熟练W3C网页标准能快速处理主流浏览器的兼容问题，能编写代码并熟练掌握代码分析和代码调试； 2、精通Javascript，熟练使用JQuery等JS...,计算机软件,http://jobs.zhaopin.com/CC157555820J40584256103.htm,300-499人,2025-09-18 15:57:44
高级前端工程师,南京,思源电气,本科,5-10年,Node.js,1.8-2.5万·16薪,岗位职责：1.负责公司核心产品和项目业务相关前端开发工作；2.负责前端基础设施搭建，推动前端技术落地实施；3.负责复杂业务问题攻坚，优化提升产品性能和体验；任职要求：1.本科及以上学历，计算机相关专业，5年及以上相关工作经验；2.熟练掌握前端开发主流技术栈，对前端工程化有深入理解；3.熟练掌握Nodejs开发主流技术栈，具备后台中间件开发经验；4.熟悉前端跨平台开发技术和主流框架，能够快速上手开发...,电气机械/电力设备,http://jobs.zhaopin.com/CC000635070J40685221211.htm,1000-9999人,2026-01-11 00:17:01
高级前端开发工程师,南京,上海虹云信息技术有限公司,本科,5-10年,"大屏/可视化项目,GIS/地图项目,JavaScript,TypeScript,Vue,ElementUI,uni-app,VUE3,Node.js,Echarts,WebGL,气象项目",2-2.3万·13薪,工作职责:1、主导前端架构与核心组件体系设计：构建高复用、易维护、可扩展的 Web 前端基础设施，支撑多产品线高效交付；2、推动现有系统现代化演进：通过重构、性能调优、兼容适配等手段，持续提升系统稳定性、加载速度与交互流畅度；3、高质量实现复杂业务界面：精准还原 UI/UX 设计，兼顾功能完整性、可访问性与跨端一致性；4、以用户为中心优化体验：从首屏加载、交互响应到动效细节，系统性提升产品可用性与...,计算机软件,http://jobs.zhaopin.com/CC165938910J40878373902.htm,20-99人,2025-12-10 15:39:35
前端开发工程师,南京,北京信普达系统工程有限公司,本科,3-5年,"Vue,Javascript,Web前端,jQuery,Node.js,AngularJS",1-2万,岗位职责：1.参与公司相关软件产品的研发与维护；2.根据项目进度要求，完成子系统和模块开发、单元测试和系统联调；3.系统业务功能编码实现，重构、功能升级和解决bug；4.负责系统设计和代码阶段的复杂缺陷和技术问题的研究和分析，并提出创新性的解决方案； 技能要求：1、大学本科及以上学历，2年以上前端工作经验；2、熟练使用HTML5+CSS3+JS编程，熟悉响应式web开发、JS性能优化；3、熟练掌握...,计算机软件,http://jobs.zhaopin.com/CC150983810J40631207507.htm,100-299人,2026-01-11 00:03:40
前端开发（南京 汉中门附近）,南京,南京迈特望科技股份有限公司,本科,5-10年,"HTML5,CSS,JavaScript,jQuery,Node.js",1.2-2万,职责：1、参与平台需求分析、负责完成平台部分模块前台的概要和详细设计；2、按计划和设计方案完成所负责平台模块前台的编码功能实现，持续性能优化以及测试bug修改。3、负责配合后台人员进行模块前后台数据对接，以及功能整合测试完善； 要求：1、非常熟悉前端开发技术基础，HTML5、CSS、JS；2、熟悉ES6，TypeScript、Sass、webpack等目前常用开发技术及工具链；3、熟悉jQuery...,计算机软件,http://jobs.zhaopin.com/CC142971790J40819021811.htm,1000-9999人,2026-01-06 09:41:47
高级web前端工程师,南京,诚迈科技股份有限公司,本科,5-10年,"大屏/可视化项目,CSS,Vue,Node.js",1.5-2万,1、计算机或相关专业本科毕业，9年及以上Web开发经验，至少有1个以上大型前端项目的架构经验。2、熟练使用Vue前端框架或类库、了解Web前端组件化、模块化开发模式；3、具备快速学习能力，能够在短时间内掌握并应用一种新框架；4、具备较好的代码解读和编写能力，能够完成客服平台的代码理；5、能够按照产品的要求在新平台上完成前端代码编写。,运营商/增值服务,http://jobs.zhaopin.com/CC144543200J40906509615.htm,1000-9999人,2025-11-27 10:52:42
Web 前端开发工程师,南京,南京云高融智科技有限公司,本科,3-5年,"GIS/地图项目,大屏/可视化项目,Vue,React,Node.js,WebSocket,RESTFUL API,HTML5,CSS,JavaScript",1-2万,岗位职责负责业务系统Web前端的架构设计与开发，基于Vue/React技术栈构建高性能三维可视化应用；实现Web前端与Unity/UE5三维引擎的无缝集成，支持模型渲染、交互事件传递与实时数据联动；通过WebSocket/RESTful API与Node.js后端通信，保障三维场景数据与业务逻辑的高效协同；优化前端与三维引擎的跨技术栈协作性能，解决内存管理、渲染效率等关键问题；参与项目组件库建设，...,计算机软件,http://jobs.zhaopin.com/CCL1505274920J40779353810.htm,20人以下,2025-08-25 10:36:38
前端开发工程师,南京,南京迈特望科技股份有限公司,本科,5-10年,"JavaScript,HTML5,Vue,Node.js,智慧政务,AI智能,运营商",1.3-2万,岗位职责：1、参与平台需求分析、负责完成平台部分模块前台的概要和详细设计；2、按计划和设计方案完成所负责平台模块前台的编码功能实现，持续性能优化以及测试bug修改。3、负责配合后台人员进行模块前后台数据对接，以及功能整合测试完善； 任职要求：1、非常熟悉前端开发技术基础，HTML5、CSS、JS；2、熟悉ES6，TypeScript、Sass、webpack等目前常用开发技术及工具链；3、熟悉jQ...,计算机软件,http://jobs.zhaopin.com/CC142971790J40442041211.htm,1000-9999人,2025-11-29 00:00:01
低代码前端开发工程师,南京,南京绛门信息科技有限公司,本科,3-5年,"ERP项目,大屏/可视化项目,CSS,JavaScript,HTML5,Vue,Node.js,低代码开发认证",1.3-2万,【学历及专业】计算机、自动化、电力等相关理工科专业统招本科及以上学历【工作经验】2年以上电力相关工作经验【工作内容】1、基于云产品（明道云/简道云）业务场景快速搭建，能独立完成实施过程中需求的二次开发，包括但不限于：表单、自动化工作流、数据分析仪表盘等模块设计；第三方系统集成（通过API/Webhook对接ERP、CRM、钉钉/企业微信等）。2、能够与业务部门进行有效沟通，确保项目需求的准确理解和...,计算机软件,http://jobs.zhaopin.com/CC426773320J40793831105.htm,1000-9999人,2025-07-28 10:15:35
