职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
"云计算工程师 高薪5~7w,base阿布扎比",南京,软通动力信息技术(集团)股份有限公司,本科,3-5年,"OPEN STACK,云计算运维,云计算开发,云计算架构,MySQL,Java,Python,Shell",5-7.5万,岗位职责：1、 负责华为云现网运维体系建设，进行高可用性架构设计，构建自动化恢复能力建设，看护服务SLA2、 负责华为云运维指标体系建设，完善客户业务视角的监控能力，持续提升问题发现和定界能力业务技能要求：1、 具有云服务设计、开发、运维经验2、 沟通能力强，逻辑思维能力强3、 具备运维能力设计和看护的优秀经验4、 具有大客户保障优秀经验5、 本科及以上学历，有3年以上运维经验，良好的英文水平，可...,互联网,http://jobs.zhaopin.com/CC000544460J40779169916.htm,10000人以上,2025-12-06 13:35:46
Ai开发专家(J12209),南京,江苏鱼跃医疗设备股份有限公司,硕士,10年以上,"Python,大模型应用",5-7万·14薪,岗位职责1. 负责公司大模型应用方向的技术路线与架构设计：模型选型、能力规划、迭代节奏、成本与质量目标。2. 搭建可复用的 LLM 应用平台能力： - Agent/工作流编排、工具调用网关、权限与审计 - Prompt/模板与版本管理、配置化发布、灰度与回滚 - 统一会话/记忆管理、上下文压缩、长期记忆策略3. 负责 RAG 全链路工程化与治理：数据接入标准、索引策略、召回/重排优化、证据引用、知...,医疗设备/器械,http://jobs.zhaopin.com/CC199971310J40867912703.htm,10000人以上,2026-01-06 11:30:47
人工智能总监,南京,药石科技,本科,10年以上,"Java,C语言,Python",3.5-7万,"负责公司人工智能技术的战略规划、团队建设与技术落地。领导团队在机器学习、大语言模型、生成式AI及智能体等前沿领域进行研发与创新应用。岗位描述1.制定并执行公司的人工智能技术发展路线图，确保技术方向与业务目标高度一致。跟踪AI领域前沿技术（如LLM, Generative AI, AI Agent等），评估并引入适合公司的先进技术与架构；2.组建、培养和管理高水平的人工智能技术团队（包括研究员、算法...",化学原料/化学制品,http://jobs.zhaopin.com/CC218331910J40797677111.htm,1000-9999人,2025-10-23 15:20:29
EI大数据（modelarts方向）,南京,软通动力信息技术(集团)股份有限公司,本科,经验不限,"数据中台开发,Java,Python,Shell,MaxCompute,MODELARTS,英语,数据运维",4-6.5万,岗位关键点：modelarts方向的 【工作职责】1、负责华为云大数据和AI相关云服务现网运维体系建设，进行高可用性架构设计，容灾演练及自动化恢复能力建设，看护服务SLA。2、负责华为云大数据和AI相关云服务现网运维指标体系建设，完善云服务监控能力，持续提升问题发现和定界能力。3、负责华为云大数据和AI相关云服务现网变更实施，日常运维巡检，监控，告警处理等。【任职要求】学历要求：本科及以上学历，计...,互联网,http://jobs.zhaopin.com/CC000544460J40779198916.htm,10000人以上,2025-12-06 16:49:06
系统架构师,南京,南京晶捷生物科技有限公司,本科,10年以上,"Java,Python,Spring,Memcached,TCP,MySQL,RPC,JVM",4-6.5万·13薪,核心职责：1. 技术战略与平台架构设计(1) 主导制定面向全球（特别是中国与海外市场）的软件技术架构路线图。设计覆盖 App（iOS/Android）、小程序、web管理系统的统一、可扩展、安全合规的平台架构。(2) 设计并实现支持多云部署（海外AWS，中国腾讯云/阿里云）的统一、安全、可扩展的平台架构，确保架构级别的数据本地化与合规性.(3) 对核心技术选型、架构模式（如微服务、云原生）做出最终...,医疗设备/器械,http://jobs.zhaopin.com/CC659275730J40176417711.htm,100-299人,2025-11-12 14:40:26
AI算法博士（应届/社招）,南京,江苏金恒信息科技股份有限公司,博士,经验不限,"机器人,OpenCV,Python",3-6万·13薪,AI方向：视觉、具身智能、大模型一、工业视觉：岗位职责：1.视觉算法研发，包括但不限于：晶粒度检测、夹杂检测、脱碳检测、带状组织检测等；2.智能制造领域核心视觉算法研发，包括但不限于：目标检测、目标分割，目标识别、定位、测量等；3.可独立完成视觉算法的开发和部署工作，包括但不限于：算法研发、网络结构设计、模型训练、部署量化等；4.与其他团队密切合作，支持项目中工业视觉需求的整体研发并解决相关问题。...,IT服务,http://jobs.zhaopin.com/CC201489330J40702570101.htm,500-999人,2025-12-24 01:00:33
AI技术总监,南京,上海宝晗新材料科技有限公司,博士,5-10年,Python,3.5-6万,【岗位职责】1.负责公司技术战略与架构设计，制定AI技术在公司材料研发/能源管控领域的长期发展路线图，主导构建兼具前瞻性与落地性的技术架构体系，构筑核心壁垒。2.组建、培养并领导⼀支由AI开发工程师、算法工程师、数据工程师、软件工程师组成的复合型AI开发团队，制定绩效考核指标，确保技术方向与业务目标的统⼀。3.领导团队攻关AI核心算法，包括但不限于：面向分子与材料的几何深度学习模型、生成式AI、科...,化工,http://jobs.zhaopin.com/CCL1424462060J40826332914.htm,100-299人,2025-11-30 19:38:32
中科院人工智能研究院岗位,南京,智联猎头,硕士,3-5年,"图像识别产品,智能硬件,Python,C语言,C++",2.5-5万·13薪,方向包括：SOC芯片设计专家、ISP算法开发、ISP Tuning工程师、AI算子开发工程师、芯片产品经理、AI应用工程师（CV方向）、AI硬件工程师（关键词：硬件开发、硬件工程师、PCB工艺）、系统软件工程师（图像处理方向）、计算机视觉算法工程师、工业设备产品经理、嵌入式算法工程师、硬件工程师等要求：统招硕士及以上学历，3年以上工作经验。,互联网,http://jobs.zhaopin.com/CCL1318355140J40866142303.htm,10000人以上,2025-12-26 09:17:06
人工智能专家/开发总监,南京,江苏岚江智能科技有限公司,硕士,5-10年,"Python,智能感知,运动规划,机器人控制",3-5万,职位描述：1. 制定并执行公司人工智能技术的长远发展战略和路线图，确保技术路线与公司业务目标高度一致。2. 追踪和评估全球范围内在视觉、大模型、自动驾驶及机器人领域的最新技术趋势，主导多模态感知、智能喷洒等关键技术选型与预研。3. 领导团队开发高性能、高精度的2D/3D视觉感知算法，如目标检测、分割、姿态估计、三维重建等，应用于复杂场景下的环境理解。4. 主导多模态大模型的研发、微调与应用落地，探...,农/林/牧/渔,http://jobs.zhaopin.com/CCL1389528800J40899830408.htm,100-299人,2025-11-12 14:09:23
高级大数据开发工程师（印尼）,南京,软通动力信息技术(集团)股份有限公司,大专,5-10年,数据库开发,3-4.5万,关键字：大数据迁移、Hadoop、Spark、Nifi、CDM、华为数据湖、数据仓库 主要职责： 1、负责大数据搬迁和系统集成。 2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。 3、处理海量数据，进行实时和批处理分析，支持业务需求。 4、负责Nifi作业的迁移和调测。 5、具备良好的SQL优化能力；能够完成数据比对工作，具备数据追溯并定位出问题能力。 6、参与方案调研，能够做详细的方案设计...,互联网,http://jobs.zhaopin.com/CC000544460J40770958616.htm,10000人以上,2025-11-03 18:17:56
