职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
国央企背景-诚聘文旅/交通/化工/民生/电子/机械板块大项目承揽岗-平台超级好-薪资high就近分灵办公,南京,四川宇韬人力资源有限公司,本科,5-10年,"金融衍生品,银行产品,基金产品,大项目承揽经验",3.5-7万,岗位职责:1.根据公司战略发展规划，积极拓展企业家/企业客群资源。2.深度挖掘企业家(T0 C)资产安全、代际传承、资产管理、医疗健康等需求及其下属企业(To B)的融资类需求。3.根据企业家及其下属企业的需求组织集团境内外各平台盗源;为企业及企业家制定综合性解决方案，并推动方案的落地和执行。岗位要求:1.统招本科及以上学历，原则上年龄40周岁以内，优秀者可以适当放宽。2.金融、财务、经济等统招本...,人力资源服务,http://jobs.zhaopin.com/CCL1355073800J40805871801.htm,500-999人,2026-01-03 17:35:10
功率器件应用工程师,南京,中国电子科技集团公司第五十五研究所,博士,3-5年,"驱动开发,电源系统开发",3.5-7万,岗位职责：负责开展基于宽禁带半导体功率器件的高效高功率密度电源管理、电机驱动等技术研究与开发。任职要求：1.博士学历；2.具有较好的电源管理和电控装置开发基础，熟悉电源和电机仿真相关软件使用。,电子/半导体/集成电路,http://jobs.zhaopin.com/CC142837930J40828157405.htm,1000-9999人,2026-01-01 01:12:49
电力电子工程师（电源方向）,南京,思源电气,本科,5-10年,"电源系统开发,硬件开发,PCB设计,功率组件开发,电源,逆变器,ACDC,DCDC",3-6万·16薪,1，电源方案设计与开发：负责储能PCS等逆变器专用电源的需求分析与方案设计，包括主电路拓扑选型、功率器件 / 元件选型、参数计算及原理图绘制，主导从概念设计到样品验证的全流程开发工作。2，硬件实现与优化：使用 EDA 工具完成电源原理图设计， PCB Layout指导，重点把控高压绝缘、大电流布线、热设计及 EMC 设计；结合测试数据优化电路方案，解决设计中出现的效率、稳定性、可靠性等问题，平衡产...,电气机械/电力设备,http://jobs.zhaopin.com/CC000635070J40816333011.htm,1000-9999人,2026-01-11 01:28:22
国资背景-诚聘文旅/交通/化工/民生/电子/机械板块承揽岗/金融业务专家-灵活办公薪酬佳，业务全国可做！,南京,四川宇韬人力资源有限公司,本科,5-10年,"金融衍生品,银行产品,供应链融资产品,行长/副行长/对公客户主任,投融资总监,供应链金融总监",3.5-6.5万,岗位职责:1.根据公司战略发展规划，积极拓展企业家/企业客群资源。2.深度挖掘企业家(T0 C)资产安全、代际传承、资产管理、医疗健康等需求及其下属企业(To B)的融资类需求。3.根据企业家及其下属企业的需求组织集团境内外各平台盗源;为企业及企业家制定综合性解决方案，并推动方案的落地和执行。岗位要求:1.统招本科及以上学历，原则上年龄40周岁以内，优秀者可以适当放宽。2.金融、财务、经济等统招本...,人力资源服务,http://jobs.zhaopin.com/CCL1355073800J40805873901.htm,500-999人,2026-01-03 16:04:05
硬件专家-驭新智能底盘（南京）,南京,东风汽车,本科,5-10年,"硬件测试,设计",3-6万,岗位职责:*本岗位招聘单位为驭新智能底盘系统有限公司。1、负责智能底盘电控系统（制动、转向、域控等）的电子硬件架构、电路设计与全流程开发，主导功能安全导向的硬件方案设计，确保硬件架构符合ASIL D等级要求。2、进行高可靠性、高安全性的电路设计与仿真，将功能安全需求及高等级EMC/EMI要求融入设计。3、主导硬件功能安全分析和EMC风险评估，制定并执行设计规范与测试计划，保证产品通过功能安全认证与...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40836979705.htm,10000人以上,2026-01-06 11:05:40
智能汽车电子工程师,南京,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"嵌入式硬件研发,嵌入式软件研发,测试",2.8-5.5万,岗位职责：1. 负责智能汽车电子系统的设计、开发与测试。2. 参与制定智能汽车电子技术方案，并进行技术可行性分析。3. 与其他部门协作，确保电子系统与整车性能匹配。4. 跟进项目进度，解决研发过程中遇到的技术问题。岗位要求：1. 本科及以上学历，电子工程、自动化或相关专业。2. 熟悉汽车电子系统及相关技术标准。3. 具备较强的电路设计能力和问题解决能力。4. 有智能汽车电子开发经验者优先。,互联网,http://jobs.zhaopin.com/CC427775130J40860219715.htm,20-99人,2026-01-08 13:29:21
电力电子软件工程师（固态变压器方向）,南京,中电变压器股份有限公司,硕士,5-10年,"DSP,变压器,ARM,SPWM,SVPWM,LLC",3-5万,岗位职责:1、参与固态变压器产品需求的设计和讨论2、负责固态变压器电力电子控制算法的仿真和验证；3、负责固态变压器电力电子控制算法的软件编码和软件实现；4、参与固态变压器其他软件功能模块的开发以及研发自测；5、输出项目基础文档资料；6、所负责产品现场应用问题的解决和跟踪。任职要求：1、电子信息、电气工程、自动化等相关专业统招硕士及以上学历，5年以上电力电子软件研发经验；2、须有固态变压器、电力电子...,电气机械/电力设备,http://jobs.zhaopin.com/CC210821880J40819700105.htm,500-999人,2026-01-08 01:13:32
研发主管,南京,南京协澳智能控制系统有限公司,本科,5-10年,,2.5-5万·13薪,公司介绍专注电力系统一次/二次控制回路场景化控制元件与集成方案，产品覆盖中间/组合继电器、量度/监视继电器、操作电源与切换、故障告警装置、一次汇控柜模块化等。一、岗位职责- 组织软/硬件团队基于CMMI流程完成从需求到量产导入的全链路研发；- 将客户技术条件转为需求矩阵并基线冻结，3日内推动数字样机评审；- 规划统一硬件平台与软件架构，提升模块复用率（目标≥70%）；- 主持FMEA/DFX、型式...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC476899020J40844990503.htm,100-299人,2025-12-12 01:07:09
汽车电子开发工程师,南京,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"嵌入式硬件研发,嵌入式软件研发,测试",2.3-4.5万,岗位职责：1. 负责汽车电子产品的设计与开发2. 进行电子系统的仿真测试与验证3. 编写设计文档和测试报告4. 与其他部门协作，确保项目按时完成岗位要求：1. 本科及以上学历，电子工程或相关专业2. 熟悉汽车电子系统及各类电子元件3. 具备较强的电路设计能力和问题解决能力4. 有良好的沟通协调能力和团队合作精神,互联网,http://jobs.zhaopin.com/CC427775130J40860189515.htm,20-99人,2026-01-08 01:40:02
高级电源工程师（南京）,南京,中航隆盛(洛阳)科技有限责任公司,硕士,3-5年,"熟悉有源正激,反激,全桥,模块拓扑,Saber,MATLAB,SIMPLIS/SIMETRIX",2.4-4.5万·16薪,工作职责： 1.带领团队，主导电源模块新产品的开发与设计； 2 .组织分析、评审、论证电源模块产品开发方案（市场、技术、客户等）； 2.主导重大技术难题攻关及新技术的应用研究； 3.主导产品路线和技术路线规划，负责对电源模块技术平台建设及完善等工作，如拟制或修订设计规范、单元技术等； 4.管理研发人员； 5.参与制定公司的模块电源的发展方向； 组织进行电源模块产品开发项目的阶段性总结与改进，保证产...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC585174920J40503064206.htm,300-499人,2025-12-29 09:14:34
