职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
Ai开发专家(J12209),南京,江苏鱼跃医疗设备股份有限公司,硕士,10年以上,"Python,大模型应用",5-7万·14薪,岗位职责1. 负责公司大模型应用方向的技术路线与架构设计：模型选型、能力规划、迭代节奏、成本与质量目标。2. 搭建可复用的 LLM 应用平台能力： - Agent/工作流编排、工具调用网关、权限与审计 - Prompt/模板与版本管理、配置化发布、灰度与回滚 - 统一会话/记忆管理、上下文压缩、长期记忆策略3. 负责 RAG 全链路工程化与治理：数据接入标准、索引策略、召回/重排优化、证据引用、知...,医疗设备/器械,http://jobs.zhaopin.com/CC199971310J40867912703.htm,10000人以上,2026-01-06 11:30:47
人工智能专家（博士 福建福州办公）,南京,福建新大陆时代科技有限公司,博士,经验不限,"深度学习,机器学习,图像算法",4-7万·14薪,1、主导人工智能教学产品的整体开发工作，结合职业教育业务形态和教学目标，设计涵盖人工智能所有技术模块的教学产品架构。2、深入研究职业教育学生的特点和学习需求，开发出具有针对性、实用性和创新性的教学内容，包括但不限于课程体系、教学案例、实践项目等，确保学生能够有效掌握人工智能知识和技能。3、运用深厚的人工智能专业知识，为研发团队提供技术指导，解决产品开发过程中涉及到的复杂技术问题，如机器学习算法优化...,计算机软件,http://jobs.zhaopin.com/CC847122470J40830672602.htm,500-999人,2025-09-29 09:45:18
高级基带算法工程师,南京,南京沁恒微电子股份有限公司,博士,经验不限,,4.5-6万,岗位职责： 1、从事无线通信和数字基带信号处理等领域算法的研究和开发，并利用DSP，数字IC等硬件模块进行算法加速； 2、负责无线通信系统的需求分析、算法方案设计、算法选型、算法性能分析与优化、算法交付实现； 3、搭建链路级算法仿真平台，使用仿真工具进行关键算法仿真与验证； 4、编写、调试和维护算法代码(C/C++)，与软硬件团队紧密合作在实际项目中实现、集成和验证算法； 5、针对不同处理器架构(...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1215465070J40819581009.htm,100-299人,2026-01-06 14:56:45
AI应用工程师（CV方向）,南京,某央企,硕士,3-5年,,3-6万·13薪,岗位职责：1、快速开发AI软件产品原型；2、对问题进行需求分析，选择合适的计算机视觉相关的智能模型。3、对模型进行训练和调优，以满足任务目标。 4、具备国产化硬件平台（华为、算能、寒武纪等）适配部署能力。5、收集运行数据，持续更新模型。6、配合项目相关的算法开发工作，研发演示系统，并支撑指标测试等工作。7、结合客户需求，为客户提供深度学习解决方案，并负责方案的落地；8、了解行业发展趋势，挖掘客户需...,互联网,http://jobs.zhaopin.com/CCL1318355140J40866293603.htm,500-999人,2026-01-05 01:07:23
AI算法博士（应届/社招）,南京,江苏金恒信息科技股份有限公司,博士,经验不限,"机器人,OpenCV,Python",3-6万·13薪,AI方向：视觉、具身智能、大模型一、工业视觉：岗位职责：1.视觉算法研发，包括但不限于：晶粒度检测、夹杂检测、脱碳检测、带状组织检测等；2.智能制造领域核心视觉算法研发，包括但不限于：目标检测、目标分割，目标识别、定位、测量等；3.可独立完成视觉算法的开发和部署工作，包括但不限于：算法研发、网络结构设计、模型训练、部署量化等；4.与其他团队密切合作，支持项目中工业视觉需求的整体研发并解决相关问题。...,IT服务,http://jobs.zhaopin.com/CC201489330J40702570101.htm,500-999人,2025-12-24 01:00:33
模型部署优化工程师,南京,深圳市中兴微电子技术有限公司,本科,5-10年,"智能驾驶,算法部署,AI编译器",3-6万,工作职责：1. 基于异构计算平台，优化和部署自动驾驶领域相关的神经网络模型，特定芯片上的AI工具链开发；2. 常见神经网络模型量化算法精度评估与实践，包括并不限于QAT、PTQ等； 3. 常见神经网络模型压缩算法评估与实践，包括并不限于剪枝、蒸馏等；任职要求：1. 计算机，自动化，电子信息等相关专业，本科及以上学历；2. 3年以上相关工作经验，精通C/C++/Python等编程语言，熟悉Linux...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC332136610J40805594008.htm,1000-9999人,2025-07-17 17:19:08
雷达信号处理算法工程师,南京,安徽荣徽科技有限公司,硕士,10年以上,"C++,信号处理,算法工程化经验,MATLAB,雷达算法",4-5.5万,工作内容：1. 在MATLAB中完善MIMO信号处理流程，并完整相应的仿真：2. 用嵌入式C类语言实现MATLAB信号处理的模型，搭建SIL系统；3. 负责MIMO雷达方位估计优化，目标检测优化，目标特征提取算法的C代码；4. 能够根据不同的场景对信号处理算法进行针对性调整，测试，优化；5. 辅助完成遮挡检测与动态标定。 任职资格： 1.雷达、信号处理专业研究生以上学历，三年以上工作经验，熟悉雷达...,汽车零部件,http://jobs.zhaopin.com/CCL1436864680J40786644816.htm,20-99人,2026-01-09 21:53:46
FPGA图像算法工程师,南京,中国电子科技集团公司第五十五研究所,硕士,3-5年,FPGA图像算法,2.5-5万,岗位职责：1. ﻿根据产品协议规格书，负责系统逻辑需求分析和方案设计。 2. 独立承担FPGA逻辑详细设计，图像算法开发，代码编写，仿真及调试。 3. ﻿负责FPGA逻辑关键功能性能及关键模块的设计、开发及验证； 4. ﻿承担相关预研技术的攻关及落地。 任职要求:1. 3年以上图像处理类逻辑或算法开发工作经历，硕士及以上学历，计算机、电子、通信工程、自动化类专业； 2. 熟练掌握VHDL 或 Ve...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC142837930J40826669805.htm,1000-9999人,2026-01-07 00:00:01
总体设计师,南京,道一(天津)企业管理咨询有限公司,博士,经验不限,,3-5万,工作职责﻿1、博士学历，信息与通信工程、电子科学与技术、电磁场与微波技术等电子类相关专业； ﻿2、熟悉电子对抗原理，对通信/雷达接收机、干扰机等电子设备具有深入了解； 3、具有通信/雷达对抗及电子战系统的总体方案论证设计及系统集成能力；4、具有一定的数学抽象能力，能够较快掌握相关领域业务知识； 5、具有较好的沟通能力及团队协调能力。,人力资源服务,http://jobs.zhaopin.com/CCL1447804550J40866703212.htm,300-499人,2026-01-06 21:10:21
机器人运动控制算法工程师,南京,国网瑞嘉(天津)智能机器人有限公司,本科,3-5年,"运动控制算法,机器避障,运动规划,路径规划,工业机器人,MATLABT,Simulink,ADAMS/ADAMS-CAR",3-5万,岗位职责：1.负责移动机器人运动控制及轨迹规划；2.负责机器人姿态数学关系的建立与开发；3.负责机器人虚拟模型的搭建与姿态仿真模拟；4.负责机器人运动姿态的优化及结构优化参数输出，在智能机器人上进行实际测试和效果评估；5.遵守开发流程要求，完成规范的技术文档编制和归档。任职要求：1.本科及以上学历，控制工程与控制理论、导航、制导与控制、模式识别与智能系统等相关专业；2.具备机器人控制相关知识，具有...,人工智能,http://jobs.zhaopin.com/CCL1228825470J40685178409.htm,100-299人,2025-12-30 01:24:25
