职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
噪音控制工程师,南京,南京开拓环保科技有限公司,本科,3-5年,噪音治理 声学设计,12-20万,岗位职责：1、负责对工业厂区整机、零部件及其系统的噪声分析，并制定整改方案；2、利用或开发相关专业软件，对整机和部件进行预先评估性分析。3、制定降低噪音设计方案。4、能独立开展工作，并完成公司工业厂区噪声项目的改善。任职要求：1、从事噪声治理工作3-5年以上。2、扎实的理论及丰富的结构设计声学分析经验，具有独立承担项目开发经验。3、声学、力学等相关专业本科及以上学历；4、可编写项目设计方案、分析报...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC482588422J00295917203.htm,20-99人,2025-12-31 00:00:01
硬件专家-驭新智能底盘（南京）,南京,东风汽车,本科,5-10年,"硬件测试,设计",3-6万,岗位职责:*本岗位招聘单位为驭新智能底盘系统有限公司。1、负责智能底盘电控系统（制动、转向、域控等）的电子硬件架构、电路设计与全流程开发，主导功能安全导向的硬件方案设计，确保硬件架构符合ASIL D等级要求。2、进行高可靠性、高安全性的电路设计与仿真，将功能安全需求及高等级EMC/EMI要求融入设计。3、主导硬件功能安全分析和EMC风险评估，制定并执行设计规范与测试计划，保证产品通过功能安全认证与...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40836979705.htm,10000人以上,2026-01-06 11:05:40
机械设计专家 (MJ000167),南京,南京牧镭激光科技股份有限公司,硕士,5-10年,"SolidWorks,机械结构设计,机械仿真设计",4-5.5万·13薪,"任职要求：1. 硕士以上学历，机械专业 2.8年以上机械设计工作经验，具备管理经验 3.熟练掌握Pro-E、CAD 、CATIA、SolidWorks等设计软件，精通CAE或CFD仿真分析、渲染和工艺设计；具有综合的机械设计能力,具备方案规划、技术把控经验，善于解决各种问题。 4.具有良好的沟通协调能力及良好的团队精神，能承受一定的工作压力，做事有责任心。5.优秀的团队合作能力与跨部门沟通能力，逻...",电子/半导体/集成电路,http://jobs.zhaopin.com/CC369626330J40324919910.htm,300-499人,2025-07-23 17:06:33
机械工程师（专利代理）,南京,北京龙双利达知识产权代理有限公司,硕士,无经验,,2.5-5万,职业发展这里没有代码和实验室，也不存在森严的等级，不以年龄论资排辈，仅凭专业能力便可傲视群雄，不需要职场的勾心斗角，35岁是正当年绝不存在被“毕业”。“人生就像滚雪球，最重要之事是发现湿雪和长长的坡。”技术会迭代，技术积累不会清零，法律会更新，法律理解不会失去意义。在龙双，你将永远处在科技浪潮的前沿，始终快人一步一睹未来风采，你将有更多机会与各行各业的技术大咖碰撞出智慧的火花，你可以尽享谈笑有鸿儒...,专利/商标/知识产权,http://jobs.zhaopin.com/CC184213220J40734546205.htm,100-299人,2025-12-04 00:06:42
结构设计副总监(J12058),南京,江苏鱼跃医疗设备股份有限公司,本科,10年以上,"3C产品,装配工艺,注塑工艺,AutoCAD,SolidWorks,Pro/E,医疗器械,血糖监测,CGM",3-5万·15薪,岗位职责:1.基于公司战略规划拟定产品机械结构部分的研发方向、技术规划与实施，为产品研发交付提供全面的技术支持和保障； 2.管理公司的结构核心技术，配合团队组织制定和实施重大技术决策和技术方案，对技术的提炼和技术平台设立具有相关的经验； 3.负责公司新产品机械结构部分的研发主导工作，包含策划、设计、实现、验证、确认以及不断改进维护等工作； 4.负责机械结构团队能力建设、团队目标制定和绩效管理，主导...,医疗设备/器械,http://jobs.zhaopin.com/CC199971310J40833548703.htm,10000人以上,2025-09-19 16:32:12
硬件研发总监,南京,上海音特电子有限公司,本科,5-10年,技术支持,2.5-4.5万,岗位职责：1. 根据公司产品规划路线，统筹公司新产品、新技术开发、成果转化工作；2. 对硬件的技术路线（方案）有自己思路见解，并结合市场规划产品发展方向，能够带领初创团队完成从0到1的产业化拓展工作，对拓展结果负责；3. 主导立项产品的项目开发，管理研发团队，推动关键技术攻关，确保研发成果的高质量交付，对研发结果负责；4.收集国内外相关领域政策、行业发展信息，根据公司发展战略制定部门短期、中期技术...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC239732510J40526071004.htm,20-99人,2025-12-17 15:09:43
高级硬件工程师,南京,南京英田光学工程股份有限公司,本科,无经验,"高速电路,信号完整性,Candence",4-4.5万,岗位职责：1.负责激光通信终端高速硬件原理图与PCB板设计的相关工作；2.终端常用的主芯片主要包括DSP.FPGA.ARM等，以及激光通信环境下的高速器件；3.对目前常用的高速接口器件.高速A/D.高速D/A器件的选型清楚，并完成相应电路设计与制作；4.掌握Xilinx FPGA器件高速接口电路如LVDS.GTY等的使用方法及连接方式，完成与外部接口器件信号完整性的设计；5.对激光通信前端宽带模拟...,仪器仪表制造,http://jobs.zhaopin.com/CC180868110J40030461904.htm,100-299人,2025-11-13 08:48:16
高级硬件工程师-汽车行业,南京,苏州莱尔顿企业管理咨询有限公司宿迁分公司,本科,5-10年,"设计,EMC设计,ARM研发,PCB设计",3-4.5万·15薪,岗位职责：- 与团队密切合作实现控制单元硬件开发。- 主导电机控制器和功率 变换器控制器的模 拟电路应用，特别是高精度、高电压、大电流的测量。- 功率级/功率板设计，电力电子子系统开发，专注于开关电源设计、IGBT 应用和栅极驱动器设计- 全面负责从系统级到硬件实现的模拟电路设计。- 根据功能安全 （ISO26262） 要求设计硬件电路。- 电路仿真、WCA 和功能分析， 热设计、可靠性设计和静态...,人力资源服务,http://jobs.zhaopin.com/CCL1467273690J40806984309.htm,20-99人,2025-11-08 10:13:59
机械专家,南京,江苏岚江智能科技有限公司,本科,10年以上,"特种设备,电气设备,SolidWorks,Pro/E,CATIA,整车设计",3.5-4.5万,岗位职责1、跟踪全球智能农业装备趋势（如自动驾驶、新能源化、精准农业技术），主导公司农业机器人机械系统整体架构设计，规划产品迭代方向，主导关键技术攻关； 2、负责履带式/轮式底盘设计，优化牵引力、通过性及地形适应性，确保复杂果园场景下的稳定性； 3、主导增程动力系统的机械集成，解决散热、振动、密封等工程化问题； 4、设计植保装置（药箱、泵阀、风机等）与机器人本体的匹配方案，提升作业效率与可靠性； ...,农/林/牧/渔,http://jobs.zhaopin.com/CCL1389528800J40895244808.htm,100-299人,2025-10-23 16:23:34
中/高级功率硬件工程师,南京,思源电气,本科,3-5年,,2-4万·16薪,岗位职责：1、主导功率单元产品开发设计工作，如需求分析，关键需求设计，功率单元技术方案，选型计算，损耗分析，寿命分析，电和热应力分析。2、指导结构工程师完成功率单元的结构设计;3、指导热仿真工程师建立主功率器件准确的热仿真模型;4、主导功率单元相关硬件的技术平台建设工作。岗位要求:专业：电力、电子、自动化、电气等相关专业经验：电力电子技术，精通功率器件应力计算、测试或仿真，损耗计算，失效分析等相关...,电气机械/电力设备,http://jobs.zhaopin.com/CC000635070J40806882711.htm,1000-9999人,2026-01-11 00:42:01
