职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
内容运营专家 (MJ000269),南京,江苏天马网络科技集团有限公司,本科,3-5年,"文本类,视频类,小红书,微信公众号,抖音",2-4万,岗位职责1、负责集团内容部门的统筹运营管理，制定内容团队发展策略，在各主流社交媒体平台建立矩阵号，包括官方账号运营、自由账号孵化等；2、带领团队运营各个社交媒体账号，在各平台打造爆款内容，提升账号能级，帮助团队在运动、户外品类实现优秀的宣发能力；3、基于品牌定位及用户需求，制定总体用户增长策略，对付费投放效果、曝光量以及拉新数负责；4、负责品牌推广的年度预算制定与执行，确保预算的合理分配和有效利用...,互联网,http://jobs.zhaopin.com/CC328794520J40769923810.htm,1000-9999人,2026-01-08 16:59:19
兼职拍视频口播,南京,南京泰到位健康管理有限公司,学历不限,经验不限,短视频,200元/时,岗位职责：1. 负责根据公司要求拍摄视频并进行口播。2. 确保视频内容的质量和传播效果。3. 按时完成视频拍摄和剪辑任务。岗位要求：1. 具备良好的语言表达能力。2. 熟悉视频拍摄和剪辑技巧。3. 有良好的团队协作精神，能按时完成任务。4.声音甜美 流量突出点薪资面议,美发/美容/保健,http://jobs.zhaopin.com/CCL1448620140J40709764312.htm,20-99人,2025-06-26 11:26:19
医院新媒体运营经理,南京,潍坊银康医院,本科,3-5年,,1.5-3万,岗位内容：1. 负责医院所有新媒体账号的管理和更新，包括但不限于微信公众号、微博等；2. 根据公司整体营销方向，制定并执行线上营销策略，提升品牌知名度和销售转化率；3. 维护客户关系，并负责新媒体平台的数据分析和报告撰写；4. 不断跟进行业和社交媒体趋势，为新媒体运营提供第一手资讯和创意点子。任职要求：1. 本科及以上学历，市场营销、新闻传媒或相关专业优先考虑；近几年有医院运营经验；2. 熟悉运用...,医院,http://jobs.zhaopin.com/CCL1219780230J40976679604.htm,20人以下,2025-12-27 09:33:37
区域出版经理,南京,赛英来特(北京)科技服务有限公司,硕士,5-10年,,1.8-3万,[岗位职责]1.协助出版总监制定所辖办公室的战略发展目标并实施，确保所辖办公室绩效目标的达成；2.管理所辖办公室出版人团队，监督期刊管理过程中出现的问题，指导出版人提供应对方案及建议；3.完成出版人本职工作，包括但不限于出版人团队内训，管理期刊集群，监督期刊发展情况等；4.参与公司期刊数据分析和所辖办公室期刊数据分析，关注业务指标关键数据;5.发掘办公室优秀员工，提拔进入出版人团队；6.协助出版总...,学术/科研,http://jobs.zhaopin.com/CCL1431940050J40940157004.htm,20-99人,2025-12-11 11:23:10
资深小红书运营,南京,新视云,大专,经验不限,"视频类,文本类,直播类,小红书,抖音,微信公众号",1.8-3万,【岗位职责】1、负责小红书平台内容生产及运营工作，制定推广计划并实施执行；2、了解小红书运营模式、流程及规则，熟悉平台的运营操作规范，掌握各种营销工具的应用方法；3、结合数据分析结果，对运营效果进行评估，并提出相应改进措施；4、分析行业竞品动态，挖掘潜在机会点并进行相关策略的提出和落实。【职业要求】1、本科以上学历，有运营法律知识付费产品优先；2、2年以上工作经验，熟悉小红书平台各项运营规则和玩法...,互联网,http://jobs.zhaopin.com/CC440596310J40972662304.htm,100-299人,2025-12-09 16:47:21
出版专员,南京,曼迪匹艾(南京)科技服务有限公司,博士,经验不限,英语可作为工作语言,2.2-3万,一、工作职责1. 熟悉公司编辑业务和流程，编排和处理稿件，确保稿件格式正确，及时发表，联系同行专家，确保稿件同行评审及时完成；2. 建立与期刊主编，编委成员，作者及审稿人之间的良好沟通，确保期刊正常运作；3. 收集行业数据和信息，对行业领域发展进行数据分析和调研；4. 熟悉公司内部业务和服务优化项目，提供优化对策；5. 参与公司业务及服务项目推广工作，拓展与相关协会合作机会；6. 进行学术拜访及学...,科学技术推广,http://jobs.zhaopin.com/CCL1327109300J40806691705.htm,1000-9999人,2025-08-26 16:49:14
互联网内容运营专员,南京,软通动力信息技术(集团)股份有限公司,本科,3-5年,"小红书,快手,抖音,内容平台运营",1.5-2.8万,岗位职责1、负责内容引入，定义并持续优化“优质内容”评估标准；通过数据处理及分析，从站内外榜单数据中识别筛选高潜力作者及内容线索2、搭建优质内容库，对内容库的丰富度、质量负责；对部分垂类进行深度运营，确保优质内容的分发效果，包含并不局限于用户价值、商业价值3、为内部各业务方与外部合作方提供内容运营支持4、其他内容运营相关工作任职要求1、本科学历及以上2、2年以上大型内容平台内容运营经验，了解内容标...,互联网,http://jobs.zhaopin.com/CC000544460J40782444416.htm,10000人以上,2025-12-21 12:43:46
新媒体外包服务商,南京,南京品尚汽车服务有限公司,本科,5-10年,汽车类,1.5-2.5万,岗位职责：1、文案、剪、拍、投，全盘协调；2、精通新媒体各项数据得分析．能抓取运营过程的关键点；3、阶段投入产出比的具体控制和责任；4、对直营店的新媒体全面流量导出负责，对业绩转化负责。任职要求：1.具备新媒体运营经验.熟悉社交媒体平台的操作和策略。2.具有优秀的创意和想象力，能够独立策划和执行短视频内容。3.具备良好的沟通和协调能力，能够与团队成员和客户保持良好的沟通。4.对品牌有一定的了解和认...,汽车4S店/经销商,http://jobs.zhaopin.com/CCL1445185060J40817473101.htm,20-99人,2025-12-29 16:42:01
新媒体网络运营主管,南京,南京文翰教育信息咨询有限公司,大专,1-3年,"短视频平台,图文平台,小红书,微信公众号,今日头条,抖音,微信视频号,教育类,科普类,内容运营,短视频运营,用户运营,快手,新闻类",1.5-2.5万,新媒体平台管理1. 新媒体平台运营管理，负责微信公众号、网站、视频号、抖音等新媒体平台的日常运营管理，包括内容发布、视频或图文作品创作、策划和撰写文案推文、用户互动和账号维护等工作；2. 内容创作和推广，能够独立完成推广内容的撰写与策划，包括但不限于短视频、图文等内容形式，以及根据热点信息和行业动态进行内容创意和策划；3. 媒体策略指定，制定并执行多媒体运营策略，管理社交媒体、视频、音频等多种形式...,培训/辅导服务,http://jobs.zhaopin.com/CC531794620J40798734102.htm,20-99人,2025-12-17 00:00:04
内容运营,南京,软通动力信息技术(集团)股份有限公司,本科,1-3年,"内容运营,达人运营",1.5-2.6万,岗位职责：1、负责内容引入，定义并持续优化“优质内容”评估标准；通过数据处理及分析，从站内外榜单数据中识别筛选高潜力作者及内容线索2、搭建优质内容库，对内容库的丰富度、质量负责；对部分垂类进行深度运营，确保优质内容的分发效果，包含并不局限于用户价值、商业价值3、为内部各业务方与外部合作方提供内容运营支持4、其他内容运营相关工作岗位要求：1、本科学历及以上2、2年以上大型内容平台内容运营经验，了解内...,互联网,http://jobs.zhaopin.com/CC000544460J40782262516.htm,10000人以上,2025-12-19 15:21:20
新媒体事业部负责人,南京,南京汉拓空间品牌策划有限公司,大专,5-10年,"营销策划,宣传策划,活动策划",1.5-2.5万,工作内容：1、负责统筹运营公司新媒体平台的内容规划及执行（包括但不限于抖音，小红书，企鹅，高德地图等平台）2、负责策划并实施各类线上活动，提供公司品牌知名度3、负责统筹回访账号引流数据，筛选出意向客户任职要求：1、具备5年及以上装饰装修行业新媒体运营管理岗位工作经验2、具备一定的的文案功底，以及整体营销活动策划、筹备、执行能力3、具备敏锐的市场洞察力和创意能力、出色的沟通协调与资源整合能力，以及优...,装饰装修,http://jobs.zhaopin.com/CCL1227180200J40850652412.htm,20-99人,2025-11-18 16:42:13
电商新媒体运营经理,南京,南京绿灯侠电子商务有限公司,本科,3-5年,"短视频平台,图文平台,抖音,电商运营,小红书,内容运营,短视频运营,家电类,微信公众号,微博",1.5-2.5万,【核心职责】1. 全域内容生态建设（1）制定季度千万级内容营销规划，建立抖音/小红书/B站多平台内容矩阵（2）搭建家电场景化内容SOP体系（短视频种草/直播转化/私域沉淀全链路设计）（3）主导AI内容工厂搭建，实现高质量短视频产能2. 数据驱动运营（1）建立低成本获客模型（2）日维度优化爆款率/完播率/转化率关键指标（3）搭建BI数据看板，实现内容ROI实时监控与策略迭代3. 团队效能管理（1）搭...,零售/批发,http://jobs.zhaopin.com/CC524299320J40786442011.htm,100-299人,2025-09-18 08:59:30
内容引入运营及管理-base南京大厂,南京,软通动力信息技术(集团)股份有限公司,本科,3-5年,"视频类,美食类,娱乐类,小红书,快手,今日头条,数据分析,内容引入,优质内容",1.5-2.5万,外包大厂 长期项目 稳定氛围好base 南京雨花台区工作内容：1、负责内容引入，定义并持续优化“优质内容”评估标准；通过数据处理及分析，从站内外榜单数据中识别筛选高潜力作者及内容线索2、搭建优质内容库，对内容库的丰富度、质量负责；对部分垂类进行深度运营，确保优质内容的分发效果，包含并不局限于用户价值、商业价值3、为内部各业务方与外部合作方提供内容运营支持4、其他内容运营相关工作岗位要求：1、ben...,互联网,http://jobs.zhaopin.com/CC000544460J40782183016.htm,10000人以上,2025-12-19 11:13:09
内容营销主管/经理,南京,南京四季物语生物科技有限公司,本科,3-5年,"健康类,文本类,视频类,小红书,抖音,内容营销",1.5-2.5万·13薪,岗位职责：1、全面负责公司品牌、产品在小红书/抖音的推广营销工作，把控小红书/抖音平台内容质量和推广数据；2、了解行业内容动态，对内容有良好嗅觉，根据用户特征，针对品牌、产品做出优化、推广策略、根据平台政策作出及时调整；3、建立商务合作机制，搭建流程与模式，带领团队开发达人、博主、kol资源，进行判断筛选，择优合作，并对内容把控；4、关注数据、对数据进行系统收集与科学分析并及时调整或改进运营策略；...,电子商务,http://jobs.zhaopin.com/CCL1201334490J40703921406.htm,500-999人,2025-08-11 18:46:31
Antibiotics 期刊助理编辑（双休）,南京,曼迪匹艾(南京)科技服务有限公司,硕士,经验不限,"生物医学编辑,药物研发",1.2-2.4万,一、工作职责1. 负责联系专家学者，组织稿件的同行评审，确保稿件的同行评审及时完成；2. 编排和处理稿件，确保稿件格式正确，及时发表；3. 与期刊主编，编委成员，作者及审稿人建立良好沟通，确保期刊正常运作，稿件顺利及时发表；4. 关注期刊学科领域内的研究进展，协助期刊责任编辑完成期刊发展目标。二、职位要求1. 硕士博士优先，优秀的本科生亦可考虑；2. 化学、生物、药理学、医学、微生物等理工科相关专...,科学技术推广,http://jobs.zhaopin.com/CCL1327109300J40837013805.htm,1000-9999人,2026-01-08 01:14:36
内容安全运营,南京,软通动力信息技术(集团)股份有限公司,本科,3-5年,"内容安全,审核运营,策略运营",1.5-2.5万,岗位职责：1、深度参与内容库项目的APP质量管控目标与策略的制定，支撑巡检主管和业务方，对已上架APP的质量管控结果负责；2、优化APP的巡检标准与机制，提升违规检出率与检出效率，控制检出成本；3、跟进APP的用户投诉处理，定位风险根源（规则盲区工具缺陷流程断点产品能力缺失），降低客诉复发率；4、搭建巡检数据监控体系，来支撑验证巡检策略的效果，明确迭代方向；5、联动内容库产品、开发团队，推动巡检相...,互联网,http://jobs.zhaopin.com/CC000544460J40780625316.htm,10000人以上,2025-12-12 17:53:44
小红书运营主管/经理,南京,南京四季物语生物科技有限公司,本科,3-5年,"图文平台,短视频平台,小红书,内容运营,爆文产出,内容种草",1.3-2.5万·13薪,工作职责：1、负责公司产品在主流种草平台（小红书）的内容策划与种草推广，撰写吸引人的种草文案，包括产品评测、使用心得、搭配建议等，突出产品卖点与优势，提升产品曝光度与口碑；2、研究平台规则与热门趋势，精准定位目标受众喜好，策划创意种草主题与话题，提高内容吸引力与互动性，与粉丝保持良好沟通互动，增强用户粘性与忠诚度；3、与平台达人、KOL 合作洽谈，建立并维护良好合作关系，制定达人推广计划，监督合作...,电子商务,http://jobs.zhaopin.com/CCL1201334490J40703920406.htm,500-999人,2025-08-11 18:44:30
