职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级前端开发工程师,深圳,永亿(广州)网络科技有限公司,本科,5-10年,"Vue,React,Three.js,Cesium",4-7万·15薪,工作职责1. 参与软件产品的功能设计讨论，并和后端、算法等模块协作高质量的完成工程交付；2. 参与产品的技术方案设计与产品架构设计，守护前端性能和技术负债持续优化。任职要求1. 本科及以上学历，计算机专业或相关专业，3年以上开发经验；2. 熟悉浏览器特性、兼容性适配、性能优化及网页安全，有 Cesium、Three.js 等三维库开发经验优先；3. 熟悉常见前端框架（如 Vue、React），具备...,企业服务,http://jobs.zhaopin.com/CCL1471427700J40867121103.htm,500-999人,2025-12-31 19:06:02
前端开发工程师,深圳,华赢东方科技(深圳)有限公司,本科,5-10年,CPA,3.5-4.5万,"Accounting Manager Job Duties: • Handle full set accounting independently. • Oversee day-to-day accounting operations including book-keeping, staff reimbursement, payment processing, bank reconciliati...",投资/融资,http://jobs.zhaopin.com/CCL1451665190J40762936801.htm,20-99人,2025-09-05 15:15:30
高级前端开发工程师,深圳,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"CSS,JavaScript,HTML5",2.2-4万,岗位职责：- 负责公司产品的的前端开发工作- 优化前端功能，提升用户体验- 与设计师和开发团队协作，确保产品质量和开发进度岗位要求：- 熟悉HTML5、CSS3、JavaScript等前端技术- 了解主流前端框架（如React、Vue等）的使用- 有良好的代码习惯，对前端性能优化有一定的了解和实践- 具备良好的团队合作精神和沟通能力,互联网,http://jobs.zhaopin.com/CC427775130J40909513715.htm,20-99人,2025-12-10 17:02:44
芯片前端工程师,深圳,深圳市新凯来技术有限公司,本科,经验不限,"ASIC芯片,FPGA芯片,Verdi,VCS,Verilog HDL,VHDL,SV,SystemVerilog",2-4万,岗位职责：1、完成前端设计工作，包括RTL编写、综合（Synthesis）、时序约束（SDC）与时序检查（STA）以及形式验证（Formal Verification）；2、进行功耗分析、性能评估并输出设计文档、技术报告；3、使用Verilog/Chisel等语言进行功能仿真，配合验证工程师完成模块级/系统级仿真、覆盖率分析、FPGA原型验证以及芯片调试；4、负责制定验证计划、搭建验证平台、编写U...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40901429615.htm,1000-9999人,2025-11-07 11:21:23
软件工程师（前端）,深圳,TP-LINK,本科,经验不限,"CSS,HTML5,Vue,APP,前端开发,iOS,WEB",2-4万·16薪,岗位职责：负责云服务、解决方案业务系统、小程序及平台框架等前端相关技术的研发工作。1. 与平面/交互设计师协作，进行全新UI的设计、开发及调试；2. 持续优化自有的前端框架、完善基础组件库，满足新业务和多产品复用的需求；3. 参与前端工程化、可视化、自动化能力建设，提高前端团队研发质量及效率；4. 参与前沿技术研究，投入团队技术建设。任职要求：1.本科以上学历；2.电子、通信、计算机、网络工程、软...,IT服务,http://jobs.zhaopin.com/CC120073810J40765288209.htm,1000-9999人,2025-08-08 17:20:53
无人车业务部-前端全栈开发工程师,深圳,北京三快在线科技有限公司,本科,1-3年,,面议,美团自动配送以自研L4级自动驾驶软硬件技术为核心，与美团即时零售业务结合，形成满足公开道路、校园、社区、工业园区等室外全场景下的自动配送整体解决方案。美团无人车团队成立于2016年，团队成员来自于Waymo、Cruise、Pony.ai、泛亚等自动驾驶行业头部公司，自动驾驶技术团队博士占比高达30%，依靠视觉、激光等传感器，实时感知预测周围环境，通过高精地图定位和智能决策规划，保证自动配送车全场景...,互联网,http://jobs.zhaopin.com/CC383625320J40821482209.htm,10000人以上,2026-01-11 08:50:22
web前端工程师,深圳,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"CSS,JavaScript,HTML5",2-3.5万,岗位职责：1. 负责公司产品的前端开发工作，实现产品界面和功能，确保良好的用户体验。2. 参与项目需求分析与设计，提供技术方案，协助团队完成项目开发。3. 优化前端性能，提升用户体验和页面响应速度。4. 跟进前端技术的发展，持续优化改进产品。岗位要求：1. 本科及以上学历，计算机相关专业，3年及以上前端开发经验。2. 熟悉HTML5、CSS3、JavaScript等前端技术，能快速构建高质量的前端...,互联网,http://jobs.zhaopin.com/CC427775130J40909515315.htm,20-99人,2026-01-08 13:29:01
Shopify App 前端开发工程师（支付方向）,深圳,江苏汇聚企业管理咨询有限公司,大专,5-10年,"SHOPIFY APP 开发工程,可以是前端开发工程师,40岁以内，熟悉跨境支付",2-3.5万,Shopify App 开发工程师（支付方向） 可以是前端开发工程师，40岁以内，熟悉跨境支付；岗位职责1. 将公司支付网关开发为可在 Shopify App Store 上架的 App，包括支付 API 对接及 Shopify Billing、App Proxy、Webhook 等核心模块集成。2. 负责 Shopify App 审核流程，确保符合 Shopify Payments App Re...,咨询服务,http://jobs.zhaopin.com/CC483290880J40832363210.htm,100-299人,2026-01-08 11:01:13
前端开发工程师（Flutter）,深圳,石斯(上海)贸易有限公司,本科,3-5年,充电桩,2-3.5万,岗位职责： • 基于 Flutter 参与公司移动应用的设计与开发，按时完成架构设计、模块编码及缺陷修复； • 开发与维护 Flutter 基础组件及工具链，提升开发效率与代码质量； • 持续关注并优化 App 性能指标，提升用户体验，解决关键性能瓶颈与技术难题。任职要求： • 2 年及以上 Flutter 开发经验，具备 3 年及以上 Android/iOS 原生开发经验； • 精通 Dart ...,汽车零部件,http://jobs.zhaopin.com/CCL1381617410J40819080901.htm,20-99人,2026-01-07 14:11:33
web前端开发工程师(012254),深圳,中信银行信用卡中心,本科,3-5年,"HTML5,CSS3,前端VUE",面议,岗位职责:1、承担中信银行信用卡中心DevOps工具类系统项目开发测试任务；2、持续提升系统性能和稳定性，扫除技术风险；3、撰写技术方案，参与系统分析设计、代码编写、测试支持、系统上线验证；4、维护和升级现有工具系统，快速定位并修复现有软件的问题；5、参与新技术的创新性预研。 任职要求:1、计算机相关专业，大学本科及以上学历；2、有3年及以上项目开发经验；3、能使用卡中心主流开发工具，熟悉前后端相...,银行,http://jobs.zhaopin.com/CC133037270J40854004613.htm,1000-9999人,2026-01-07 10:02:15
js前端开发工程师,深圳,外企德科数字技术有限公司,本科,经验不限,"CSS,Vue,React,Node.js,Echarts,WebGL",1.8-3.5万·16薪,核心项目开发Java/python/JS/C++/测试，均有岗位在招聘【福利待遇】1、薪资open+14-16薪2、入职全额六险一金+双休，双倍加班费+加班餐补+加班打车 报销3、上下班有班车，园区有饭堂、免费健身房4、资深导师一对一带教【岗位要求】1、计算机、软件、通信等相关专业本科及以上学历，专业优秀者可放宽；2、热爱编程，基础扎实，熟悉掌握 测试/Java/python/JS/C++编程语言...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40833133405.htm,10000人以上,2025-12-27 01:13:56
0581FK-前端开发工程师,深圳,平安证券,硕士,5-10年,,2.5-3.5万,工作职责要求：1、研发管理体系设计与优化：负责制定、优化并推行公司级的研发管理制度和流程，主导研发管理平台的规划、选型和建设，引入适配的先进工具链，实现从需求到交付的全流程线上化闭环管理；2、业务实现与价值评估：分析业务功能，通过技术实现，确保高可用，稳定，安全，理解业务战略与痛点，推动研发方向与业务目标高度一致，渠道业务价值落地；3、技术协同与流程推动：深度参与技术方案评审，具备良好的系统架构能...,证券/期货,http://jobs.zhaopin.com/CC318148910J40974573204.htm,1000-9999人,2025-12-17 21:48:28
web前端工程师（深圳）(A123616),深圳,啄木鸟医疗,本科,3-5年,Vue,2-3.5万,"职位描述： 物联网技术集成 1.对接硬件，开发通信模块（MQTT/CoAP/HTTP等协议）。 2.参与物联网平台架构设计，优化数据传输、设备连接与安全方案。 职位要求： 1.本科学历及以上，3年及以上工作经验，有医疗器械行业经验者优先； 2.框架与开发：精通 Vue（Vue2/Vue3）或 React 及其生态系统（如 Vuex/Pinia, Vue Router, React Redux）熟练",医疗设备/器械,http://jobs.zhaopin.com/CC141184140J40779957916.htm,500-999人,2025-12-10 11:19:56
Java/python/web/c/c++/js/go/测试/安卓,深圳,外企德科数字技术有限公司,本科,经验不限,,1.5-3万·14薪,1、熟悉Java/Python/C/C++/Go等一种或多种编程语言；2、熟悉数据结构和算法，热爱代码； 3、熟练软件开发流程，热爱编程，有良好的代码风格； 4、善于沟通，有独立解决问题的能力。试用期全薪，入职即缴纳五险一金（全额）,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837045805.htm,10000人以上,2026-01-11 00:27:04
