职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
区块链架构师,深圳,太信环球科技(深圳)有限公司,本科,5-10年,,1.8-3.5万,你需要做什么？ 1. 核心协议开发 1.1 设计并实现支持多链的资产数字化协议（ERC-20/ERC-721/自定义标准），涵盖法律合规模块（KYC/AML集成、反洗钱追踪）。 1.2 开发智能合约审计就绪的资产映射逻辑（如链下资产与链上资产的一一锚定、动态分红机制）。 1.3 优化跨链桥接方案，支持私有链到公链的多级资产流转。 2. 交易所深度集成 2.1 主导数字现货/衍生品交易对的流动性池搭...,专业技术服务,http://jobs.zhaopin.com/CCL1472712780J40819812008.htm,20-99人,2025-07-02 18:21:22
区块链智能合约工程师,深圳,深圳市吉晟钛科技有限公司,本科,3-5年,"智能合约开发工程师,WEB开发,WEB3,Solidity,智能合约,以太坊,ETHERS.JS,区块链开发工程师",2-2.5万·13薪,岗位职责：- 负责智能合约的设计、开发与优化，确保安全性与高性能- 基于EVM兼容链（如Ethereum、BSC、Polygon等）以及Solana生态进行智能合约开发- 参与基于分布式技术的资产创建、数字化转换及市场流转等核心机制的实现- 编写合约测试与审计脚本，进行漏洞分析与安全加固- 与前端、后端及区块链节点服务团队协作，完成DApp整体交互开发- 编写开发文档与接口说明，支持系统持续迭代任...,计算机软件,http://jobs.zhaopin.com/CCL1476149430J40819718205.htm,20-99人,2025-12-30 01:13:42
区块链（数字币）运营经理（深圳）,深圳,信隆融资租赁有限公司,本科,1-3年,区块链,1.5-2.5万,"岗位职责： 1、对区块链web3市场进行可行性研究，并对结果撰写报告； 2、及时揭示项目风险并提出解决方案； 3、独立完成投资标的公司的关键业务数据尽调,财务分析,并完成财务预测及估值模型； 4、有相关运营成功经验； 4、领导交办的其他事宜。 任职要求： 1、本科以上学历； 2、有金融行业从业经历，懂区块链、数字币交易所运营 3、熟悉交易所运营规则。 薪资面议职位福利：节日福利、带薪年假、通讯补助...",租赁/拍卖/典当/担保,http://jobs.zhaopin.com/CC586985020J40237791009.htm,20-99人,2025-11-25 00:00:04
区块链开发工程师,深圳,太信环球科技(深圳)有限公司,本科,5-10年,,1.8-3万,你需要做什么？ 1. 核心协议开发 1.1 设计并实现支持多链的资产数字化协议（ERC-20/ERC-721/自定义标准），涵盖法律合规模块（KYC/AML集成、反洗钱追踪）。 1.2 开发智能合约审计就绪的资产映射逻辑（如链下资产与链上资产的一一锚定、动态分红机制）。 1.3 优化跨链桥接方案，支持私有链到公链的多级资产流转。 2. 交易所深度集成 2.1 主导数字现货/衍生品交易对的流动性池搭...,专业技术服务,http://jobs.zhaopin.com/CCL1472712780J40819986908.htm,20-99人,2025-07-03 13:45:54
区块链营销主管/营销总监,深圳,深圳龙霸网络技术有限公司,大专,5-10年,"网络销售,企业客户,软件销售,网络推广",1-2万,【公司介绍】：10年老牌企业，新四板上市公司(股权代码669596)，深圳/合肥/北京 均有分公司。深圳软件协会理事单位等。 【荣誉资质】：国家高新技企业，已获得80多件商标，十几件国建软件著作权，广东省著名商标； 【公司业务】：区块链软件开发、DAPP、NFT链游、商城APP/小程序开发。 【软件单价/提成】：客单价一般在5-50万，真正赚大钱的行业。(成熟销售月入1-3万)。 全球华人市场都可...,互联网,http://jobs.zhaopin.com/CC534576230J40752390416.htm,100-299人,2025-12-29 10:14:36
（软件领域）专利工程师/专利代理人,深圳,深圳市世联合知识产权代理有限公司,本科,1-3年,"专利代理,专利撰写,撰写新申请,人工智能 AI 算法 区块链",1.2-2万,1. 岗位职责： （1）软件-通信-电学方向领域 （2）专利撰写和审核、答复审查意见、技术挖掘； （3）专利文献检索与分析，专利无效及复审； （4）协助商务人员与客户洽谈，出具知识产权解决方案； 2.任职要求： （1）通信、电子、计算机相关专业； （2）本科1-2年以上撰写经验，（通过专利代理人考试优先，服务过知名企业优先）； （3）善于沟通，责任心强，工作认真负责，具有团队协作精神； 3.福利待...,专利/商标/知识产权,http://jobs.zhaopin.com/CC824379260J40359323111.htm,20-99人,2025-09-25 16:37:11
区块链高级开发工程师,深圳,太信环球科技(深圳)有限公司,本科,5-10年,,1.8-3万,你需要做什么？ 1. 核心协议开发 1.1 设计并实现支持多链的资产数字化协议（ERC-20/ERC-721/自定义标准），涵盖法律合规模块（KYC/AML集成、反洗钱追踪）。 1.2 开发智能合约审计就绪的资产映射逻辑（如链下资产与链上资产的一一锚定、动态分红机制）。 1.3 优化跨链桥接方案，支持私有链到公链的多级资产流转。 2. 交易所深度集成 2.1 主导数字现货/衍生品交易对的流动性池搭...,专业技术服务,http://jobs.zhaopin.com/CCL1472712780J40810623208.htm,20-99人,2025-06-17 00:04:02
区块链运营营销总监,深圳,深圳龙霸网络技术有限公司,大专,1-3年,,1-2万,职位描述【龙霸软件】：10年老牌企业，新四板上市公司(股权代码669596)，深圳/合肥/北京 均有分公司。深圳软件协会理事单位等。【荣誉资质】：国家高新技企业，已获得80多件商标，十几件国建软件著作权，广东省著名商标；【公司业务】：软件定制与开发、NFT、DAPP、商城APP/小程序开发、ERP/智慧大数据系统。岗位职责:1. 负责定制公司营销方案，2. 管理团队，3. 熟悉各新媒体平台的规则任...,互联网,http://jobs.zhaopin.com/CC534576230J40746372116.htm,100-299人,2025-08-20 16:37:18
区块链开发工程师（双休五险一金base广东佛山）,深圳,陈玮伦国际咨询(广东)有限公司,大专,3-5年,"全栈开发,Python,Java,C++,智能合约,POW,POS",1-1.8万,【岗位职责】1.区块链系统开发与维护1)主导设计支持RWA资产发行、交易、管理的区块链系统架构，包括共识选型、经济模型、合规模块设计等。2)负责公司区块链项目的架构设计与核心代码编写，搭建稳定、高效且具备扩展性的区块链底层系统，保障其正常运行与持续优化，满足业务多样化的需求，负责核心技术选型与技术难题攻关，制定开发规范与安全标准。3)深入研究并运用区块链的分布式账本、共识机制等关键技术，解决系统开...,企业服务,http://jobs.zhaopin.com/CCL1482382590J40835875914.htm,20-99人,2026-01-08 14:14:40
区块链交易所Dapp销售经理,深圳,深圳龙霸网络技术有限公司,大专,1-3年,,1-2万,【龙霸软件】：10年老牌企业，新四板上市公司(股权代码669596)，深圳/合肥/北京 均有分公司。深圳软件协会理事单位等。【荣誉资质】：国家高新技企业，已获得80多件商标，十几件国建软件著作权，广东省著名商标；【公司业务】：软件定制与开发、NFT、DAPP、商城APP/小程序开发、ERP/智慧大数据系统。岗位职责:1、负责区块链行业产品的客户拓展，建立高效的客户获取渠道;2、积极开发客户，谈判及...,互联网,http://jobs.zhaopin.com/CC534576230J40721173516.htm,100-299人,2025-06-10 13:41:06
包住：区块链产品经理,深圳,深圳龙霸网络技术有限公司,大专,3-5年,,1-1.5万,【龙霸软件】：10年老牌企业，新四板上市公司(股权代码669596)，深圳/合肥/北京 均有分公司。深圳软件协会理事单位等。 【荣誉资质】：国家高新技企业，已获得80多件商标，十几件国建软件著作权，广东省著名商标； 【公司业务】：软件定制与开发、NFT、DAPP、商城APP/小程序开发、ERP/智慧大数据系统。 【软件单价/提成】：单价10万、20万、几十万、每单提成就有1-3万， 全球华人市场都...,互联网,http://jobs.zhaopin.com/CC534576230J40641555416.htm,100-299人,2025-05-13 18:12:40
