职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
华为正编-充电电气系统高级工程师,深圳,中软国际,本科,5-10年,"电气设计,断路器,高压电气,连接器",面议,岗位职责1、负责充电网络场景充电主机/充电桩等产品配电关键技术的需求分析、规划、设计和看护，识别新技术与机会点，实现技术突破并在产品中的落地。2、准确识别业界相关新技术/新架构/新器件的发展趋势，主导和输出配电架构/配电器件的技术规划和设计方案。3、基于充电网络的实际场景需求，构建业界领先的电气系统方案；基于配电方案开发业界独有的充电网络领域配电器件， 构建技术断裂带。4、主导充电网络场景配电领域...,计算机软件,http://jobs.zhaopin.com/CC508620120J40855839412.htm,10000人以上,2026-01-09 01:33:52
电子光学工程师,深圳,深圳市新凯来技术有限公司,博士,经验不限,"设计,研发,测试",3-6万,【岗位职责】1.负责电子光学的系统设计，包括电磁场仿真、电子光学仿真计算、粒子轨迹追踪、像差分析，以及方案可行性分析和优化等；或 2.根据系统需求，设计电子透镜、带电粒子偏转元件等；或 3.负责电子光学系统的模块装配、整体装配及调试；或 4.协助完成电子光学部件的机械设计和真空系统设计。 【岗位职责】1.硕士及以上学历，光学、物理、凝聚态物理、粒子物理、带电粒子光学、物理电子学等专业，1年以上电子...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40817797615.htm,1000-9999人,2025-12-12 17:38:30
原油处理电气总监,深圳,天津缘众达管道工程有限公司,大专,10年以上,,4.5-5.5万,要求：45岁以下，大专或以上学历，英语熟练，10年以上油气处理相关行业经验。职责：1、主导试运阶段电气系统（发电、输电、配电、用电设备）的方案设计、图纸审核及调试优化，确保与油气处理工艺的匹配性。2、分析电气系统潜在故障点，制定技术改造方案并监督实施，解决试运中出现的异常技术问题。3、组织制定电气设备维护计划、备件采购清单及技术改造方案，优化设备可靠性并降低停机率。4、监督电气设备安全操作规程的执...,石油/石化,http://jobs.zhaopin.com/CCL1439424390J40699767416.htm,20人以下,2025-12-16 16:23:01
资深声学研发工程师,深圳,歌尔股份,本科,5-10年,"研发,消费电子产品",3-5.5万,歌尔 消费电子产品 需派驻越南外派 每年正常假期外 32天探亲假，报销4次往返路费，吃住全包，待遇从优。岗位职责;1、负责对声学类产品声学仿真软件和应用；2、负责新产品项目的声学可行性方案分析，及开发方案的策划；3、负责新产品项目的声学结构设计方案的实施；4、负责新产品的DMFEA、BOM、规格书、设计鉴定阶段之前工艺方案的制定；5、负责提交新产品开发各阶段的评审资料，产品异常解决，性能优化等；6...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC132726540J40738544806.htm,10000人以上,2025-12-08 14:30:15
电气系统工程师,深圳,深圳市新凯来技术有限公司,硕士,经验不限,"设计,电力设计,高压,超高压,静电卡盘,高压绝缘,介电材料",3-6万,电气系统工程师（高电压绝缘与介电特性方向）岗位职责：1、负责高电压下的绝缘设计，真空放电抑制方案设计等。2、负责高电压电极、高电压真空连接器方案的设计。3、负责玻璃介电材料的选型分析与特性研究岗位要求：1、高电压绝缘技术、静电学、静电防护与工程、物理学、材料科学与工程等相关专业。2、熟悉高电压下的绝缘设计、局部放电原理与抑制、击穿机制等3、熟悉介电材料性能（介电常数、损耗角正切、电阻率、击穿场强）...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40894049815.htm,1000-9999人,2025-10-09 20:49:00
风机电气模型开发工程师(J12124),深圳,明阳智慧能源集团股份公司,本科,3-5年,"风电电气设计,并网模型",面议,岗位职责:1.进行不同国家电力系统风机并网要求、风机模型开发要求的研究；2.依据公司业务需求，利用仿真工具(如PSS/E、PSCAD、PowerFactor、ETAP)开发相应模型，并编制相关开发报告；3.对不同平台的仿真集成开发进行联合仿真，并编制相关开发报告；4.依照标准或者客户提供的需求文件进行模型准确性和合规性的校验；任职要求:1. 本科及以上学历，电气、电力系统、电力电子等相关专业； 2...,新能源,http://jobs.zhaopin.com/CC247926520J40730738606.htm,10000人以上,2025-12-29 00:32:20
高级/专家电气开发(J10269),深圳,深圳英飞源技术有限公司,本科,10年以上,电气开发,3-5万·14薪,岗位职责: 岗位职责： 1.直流母线微网架构平台研究，PDU单元化组件平台研究，技术平台类管理。 2.根据各方需求，自主开发，把控项目风险，解决开发问题，善于沟通和团结协作各方资源取得项目成功。 3.主导电气技术平台建设，善于思考和总结，心态开放，积极分享研发经验。 任职要求: 岗位要求： 1.本科及以上，具有10年以上电源行业整机系统开发工作经验，具有充电桩、V2G、储能系统、直流微网系统开发经...,新能源,http://jobs.zhaopin.com/CC395922680J40738436202.htm,1000-9999人,2025-08-11 10:47:39
电气及自动化控制工程师,深圳,深圳市新凯来技术有限公司,本科,5-10年,"设计,研发,硬件研发",2.5-5万·15薪,主要职责:半导体设备的电气及控制系统需求分析，软硬互锁系统需求分析，供配电系统需求分析，控制时序，控制流程开发，电气研发以及相关的调试工作；1、公司设备的电气设计：包括电气图纸绘制、电气部件选型、布局分析等2、电气控制系统的硬件集成设计，包括供应商设备选型，电路和PCB设计，连接器选型，电缆设计；3、可编程逻辑控制器（PLC）以及其他嵌入式控制器的程序设计，操作系统移植和调试工作；4、样机试制，参...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40894344215.htm,1000-9999人,2025-10-10 16:14:21
研发工程师（胶粘剂）,深圳,深圳市同方电子新材料有限公司,本科,3-5年,"化工工程师,化学技术应用",3-5万,"岗位职责： 根据公司产品战略发展方向、市场需求,制定产品发展规划和现有产品改进计划。 根据行业发展趋势、竞争现状、顾客需求,提出产品提案。 深入了解原材料和潜在原材料的使用特性，各种原材料特性以及不同原材料复配性，积极引入新的原材料，以提升产品性能、控制原材料成本。了解、参与原材料的评估和质量管理、控制。 负责在产品过程中发生异常现象的处理，对异常现象提出处理方式并采取相应纠正措施。 与现场技术服...",互联网,http://jobs.zhaopin.com/CC132955018J00346567106.htm,1000-9999人,2024-05-16 09:33:28
双向电气设计工程师,深圳,石斯(上海)贸易有限公司,本科,5-10年,充电桩,2.8-4.5万,双向电气设计工程师工作职责：1. 负责双向电源转换产品的电气原理图设计，包括拓扑结构选择、关键元器件选择、参数计算以及系统级设计优化，以提高性能、效率和可靠性。2. 主导V2G（车网互动）、V2H（车家互动）和V2X应用场景的电气架构设计和控制策略协调，确保有效管理双向能量流。3. 执行核心电路设计（例如，高压/低压AC/DC、DC/DC转换器），包括原理图绘制，并为PCB布局和BOM编制提供指导...,汽车零部件,http://jobs.zhaopin.com/CCL1381617410J40811073701.htm,20-99人,2025-12-01 17:18:34
