职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
丝杠技术专家,深圳,锐仕方达人才科技集团有限公司,本科,10年以上,滚珠丝杠,5-10万,岗位职责：1、研发战略落地：主导微型精密滚珠丝杠及相关传动部件的前沿技术研究，制定5年技术路线图，确保产品竞争力持续领先；2、技术体系搭建：负责微型精密滚珠丝杠研发、试制及试验工作，丝杠结构及测试方案设计、材料选型、加工工艺等设计；制定部门工作流程与技术标准，从0到1组建并管理仿真分析、机械设计、产品测试验证等部门及环节；3、重大项目攻关：牵头微型高精度、长寿命滚珠丝杠的研发项目，解决丝杠设计、关...,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40821392314.htm,1000-9999人,2025-11-13 16:28:11
市政工程副总经理,深圳,广东威格玛国际供应链股份有限公司,本科,10年以上,"招投标,工程管理",5-10万,在大型国央企等从事建筑工作，熟悉招投标相关事宜，擅长协调与沟通，有一定的政商资源，薪资面议。 岗位内容： 1. 负责市政工程招投标、施工进度、质量、安全等全方面的管控； 2. 协调各部门对市政工程现场进行配合和管理； 3. 提出改善建议，提高市政工程项目的水平和效率； 4. 维护市政工程项目的客户关系，保证客户满意度。 任职要求： 1. 具备土木工程或相关专业本科及以上学历； 2. 有3年以上市政...,房地产开发,http://jobs.zhaopin.com/CCL1500040520J40808081608.htm,100-299人,2025-08-19 14:18:19
资深硬件工程师（GPU水冷服务器整机）,深圳,四川达麦企业管理有限公司,本科,5-10年,"GPU服务器,液冷系统",5-8万,岗位概述负责公司⾃研 8 卡 NVIDIA 5090 GPU ⽔冷服务器 的整机⽅案设计、验证及持续迭代，⾯ 向 PCIe 5.0 架构的多 GPU 系统形态，解决整机结构、散热、⽔冷可靠性、功耗与系统稳定 性等关键⼯程问题，并⽀撑多卡 NCCL 推理场景 的稳定运⾏。⼯作内容• 主导 8 卡 5090 GPU ⽔冷服务器 整机⽅案设计与系统架构规划，覆盖结构布局、散热 ⽅案、功耗与可靠性设计。•...,企业服务,http://jobs.zhaopin.com/CCL1239944790J40909242008.htm,500-999人,2026-01-08 09:40:47
域控硬件专家/总监（车身域+年薪90w）,深圳,成都佳伊聘科技有限公司,本科,10年以上,"BCM,车身域,座舱域",4.5-7.5万,职位描述：1、能够根据顾客要求完成产品硬件架构设计；并根据测试结果进行设计优化直至设计冻结；2、负责硬件元器件选型、考虑cost saving，并辅助采购进行VAVE；3、负责EMC设计，在原理和PCB设计中予以考虑；4、负责硬件系统或单元的调试，撰写测试报告，并参与完成系统测试；5、负责产品技术培训和支持；6，负责根据TS16949与德系美系OEM的要求进行相关文件的管理撰写产品技术文档（DFM...,人力资源服务,http://jobs.zhaopin.com/CCL1323094150J40736244306.htm,100-299人,2025-11-26 16:27:16
高级功率硬件工程师,深圳,华为技术有限公司,本科,10年以上,"设计,PCB设计,EMC设计,ARM研发,逆变器,UPS,变频器",面议,1、负责光伏三相备电产品的设计，质量控制，成本优化，确保三相备电按需求与逆变器适配，提升解决方案竞争力；2、管理开发过程，确保产品质量，保障产品在网稳定运行。3、收集、识别系统失效案例，分析系统失效等效测试环境，协助验证工程师构建系统等效测试拦截能力；,运营商/增值服务,http://jobs.zhaopin.com/CC000542940J40616324114.htm,10000人以上,2026-01-10 01:41:13
硬件专家/资深工程师,深圳,淮安市纳杰云服技术服务有限责任公司,本科,5-10年,,5-7万,岗位职责：1、 主导关节电机（伺服电驱）/无人机电机（低压电调）的电路硬件方案设计，完成参数计算与优化、完成器件选型及PCB布局审核工作；2、 负责关节电机/无人机电机的硬件产品测试验证标准制定，进行技术路线规划和资源规划，以及技术决策和方案评审；3、 负责指导产品测试及整改，解决技术疑难问题；4、 负责核心技术和重点预研项目的开发，主导关节电机（伺服电驱）/无人机电机（低压电调）硬件电路仿真设计...,互联网,http://jobs.zhaopin.com/CCL1479851850J40820051211.htm,100-299人,2026-01-09 17:11:13
结构工程师,深圳,湖南潇湘人力资源服务有限公司,本科,5-10年,,5-7万,负责产品结构设计，要求统招本科以上，7年以上工作经验，中高级工程师，SE均有需求，工作地点深圳，甲方，双休，行业龙头，薪资OK,人力资源服务,http://jobs.zhaopin.com/CC419440410J40770571716.htm,300-499人,2025-11-01 22:02:38
硬件专家/资深硬件工程师,深圳,深圳市盛弘电气股份有限公司,本科,5-10年,,3.5-7万,职位描述1、根据产品规格书设计总体技术方案，完成功率、控制暇的原理图设计，计算书编写，协助PCB工程师完成制成板设计；2、负责开发阶段产品的硬件设计，自测，解决测试问题；3、负责小批量试产阶段的验证问题解决；4、研发文档编写，BOM，技术资料归档；5、量产产品维护升级；6、非标产品设计。任职要求：1、统招本科及以上学历，电力电子、自动控制、自动化、电气工程相关专业；2、5年以上硬件开发经验，精通模...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC235345010J40532230001.htm,1000-9999人,2025-05-13 22:06:06
硬件部经理,深圳,科列技术,本科,10年以上,"硬件设计,硬件方案设计,原理图,BMS,汽车ECU,器件选型",5.5-6.5万·15薪,岗位职责：1、负责BMS硬件总体方案设计与技术路线规划，包括主控板/采样板/功率板/MCU/电源架构/AFE/通信接口等；2、负责BMS硬件开发计划制定、资源分配、里程碑达成（EVT / DVT / PVT / SOP）；3、组织并主持硬件设计评审、失效分析；确保硬件设计满足ISO26262 、EMC / ESD /电气安全技术规范；4、推动DFM/DFA /DFT，定义并审核ICT/ FCT测试...,新能源,http://jobs.zhaopin.com/CC336668610J40868005912.htm,300-499人,2026-01-09 10:07:19
主任结构工程师（齿轮箱设计专家）,深圳,比亚迪股份有限公司,本科,10年以上,,4-6.5万,岗位要求：1、本科及以上学历，机械、机电、自动化或电机相关专业优先；2、具备10年以上的各种齿轮设计经验及相关技术问题解决经验，需具备齿轮箱、行星齿轮减速器、或精密传动系统的设计开发经验；3、精通小模数齿轮设计、加工工艺及检测方法，熟悉材料选型、热处理及失效分析，有对行业发展的研判能力；4、熟知齿轮传动原理，精通电机与齿轮箱的匹配设计，能精准分析齿轮失效问题并解决不良。工作职责：1、负责电机齿轮箱...,汽车研发/制造,http://jobs.zhaopin.com/CC132962990J40883084702.htm,10000人以上,2025-12-30 16:37:44
