职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
设计总监,深圳,集艾室内设计(上海)有限公司,本科,10年以上,"室内设计,地产项目",2.5-4.5万,岗位职责：1、独立完成概念设计方案；2、对部门的设计方案、效果图、施工图等全部设计工作的质量把关，以及材料选用、配套方案等后续工作的监督；3、参与所有项目概念、方案、施工图等阶段的内部评审，从技术层面把关设计质量；4、负责与重要客户汇报，精准地向客户阐述出设计理念，并让客户信服；5、监督设计流程体系的执行、提高执行到位力度；6、改善各小组的工作效率：管理设计部门，领导设计团队；考核部门内部员工的业...,装饰装修,http://jobs.zhaopin.com/CC327849310J40530905209.htm,100-299人,2025-12-02 12:58:19
游戏主美,深圳,尼尔林技术咨询(深圳)有限公司,学历不限,5-10年,,3-4万,岗位内容：1. 制定并执行游戏/动画项目的整体美术策略，确保项目达到高水平的美术品质要求2. 参与游戏/动画的概念设计、创意构思及视觉呈现，为产品营造出独特的高质感艺术风格3. 对于美术产品的市场趋势、流行文化有着敏锐的洞察力，能够根据市场情况做出科学判断和决策任职要求：1. 具备丰富的2D/3D美术设计经验，有成功的游戏/动画作品案例和经历2. 具备扎实的美术基础与审美能力，对色彩、结构、材质、...,咨询服务,http://jobs.zhaopin.com/CC328908510J40864864412.htm,20-99人,2025-12-30 17:10:42
视觉设计师,深圳,戴盟(深圳)机器人科技有限公司,学历不限,3-5年,VI设计,2-4万,1、负责公司品牌VI系统迭代，包括主视觉设计、产品手册、官网及社交媒体视觉创意。2、根据产品特点和营销目标，独立完成产品营销物料设计，包括但不限于海报、宣传单页、宣传册、邀请函、展会背景板、H5页面、banner等。3、与营销团队密切合作，参与产品营销活动的策划过程，提供创意性的视觉解决方案，将营销概念转化为具有吸引力的设计概念。4、协助更新和维护品牌视觉资产库，对品牌相关的设计文件进行整理、分类...,机器人,http://jobs.zhaopin.com/CCL1402331370J40794457711.htm,20-99人,2025-10-15 16:08:36
【央企地产】总部资深设计师,深圳,招商局蛇口工业区控股股份有限公司,本科,10年以上,,2-4万·24薪,岗位职责：1.统筹重点项目全周期设计操盘，包括前端策划、产品创新、跨专业协同、风险管控及落地效果闭环管理等； 2.负责团队赋能与梯队建设，包括产品梯队培养、区域能力帮扶提升、组织能力建设等； 3.整合内外部资源，包括外部生态合作、内部协同机制优化等；4.完成领导交办的其它工作。任职资格：1.大学本科及以上学历，建筑设计类专业，10年以上设计管理经验； 2.深刻理解公司产品战略，具备市场洞察力与创新...,房地产开发,http://jobs.zhaopin.com/CC000353110J40734345901.htm,10000人以上,2025-05-14 10:51:29
设计总监（目视化方向）,深圳,深圳市汇智管理咨询技术有限公司,大专,5-10年,"视觉设计,目视化设计,展厅,酒店设计,机场设计,地铁设计,地下停车场设计,平面设计",2.5-3.5万·13薪,一、岗位概述岗位名称： 设计总监（目视化方向）所属部门： 设计部汇报对象： 董事长我们正在寻找一位不仅是设计师，更是战略家和引领者的设计总监。您将深度主导并重塑制造业的企业形象，从宏观的视觉形象到全厂目视化系统架构到微观的标识标牌细节，用设计赋能精益生产、提升安全效率、传播企业文化。如果您拥有广告公司的创意底蕴与制造业的落地经验，并渴望带领团队打造行业标杆项目，我们诚挚邀请您的加入。备注：请看完岗...,咨询服务,http://jobs.zhaopin.com/CC681068430J40833415112.htm,20人以下,2026-01-08 09:54:51
湾区设计院副院长,深圳,深圳市建筑设计研究总院有限公司,本科,1-3年,,2.9-3.5万,任职条件：副院长（经营方向）：1. 本科及以上学历，工程设计类相关专业；具备中级（含）以上专业技术职称；2. 10-12年以上甲级设计院工作经验；其中7年以上管理岗位经验；3. 具有深厚和广泛的业内关系，具备直接拉项目、带产值的资源和能力；4. 优秀的计划统筹能力，能够领导分管部门形成合力，达成目标；5. 具有丰富的与甲方、设计人员等沟通及协调的能力。 岗位职责：副院长（经营方向）：1. 组织制定...,房地产开发,http://jobs.zhaopin.com/CC134293560J40836744605.htm,1000-9999人,2026-01-05 12:51:48
酒店设计总监,深圳,深圳邹春辉设计事务所有限公司,本科,10年以上,"PS,Sketchup,CAD,3D MAX",2.5-3.5万,岗位职责一、全周期项目管理与客户协同客户与品牌协同：主导酒店业主方、品牌方核心设计汇报，精准传递设计理念，确保方案匹配运营标准及商业目标；深度参与前期定位，结合市场调研输出设计策略，明确主题、功能及投资逻辑。全流程设计管控：统筹概念设计至开业验收全周期（概念→方案深化→扩初→施工图→软装→验收），制定节点并监督质量；跨专业协同建筑、机电等团队，主导设计交底与问题协调，解决特殊空间技术难题，推动新技...,装饰装修,http://jobs.zhaopin.com/CC537955830J40826153103.htm,20-99人,2025-12-23 07:52:49
平面设计总监（目视化方向）,深圳,深圳市汇智管理咨询技术有限公司,大专,5-10年,"视觉设计,平面设计",2.5-3.5万·13薪,一、岗位概述岗位名称： 设计总监（目视化方向）所属部门： 设计部汇报对象： 董事长我们正在寻找一位不仅是设计师，更是战略家和引领者的设计总监。您将深度主导并重塑制造业的企业形象，从宏观的视觉形象到全厂目视化系统架构到微观的标识标牌细节，用设计赋能精益生产、提升安全效率、传播企业文化。如果您拥有广告公司的创意底蕴与制造业的落地经验，并渴望带领团队打造行业标杆项目，我们诚挚邀请您的加入。备注：请看完岗...,咨询服务,http://jobs.zhaopin.com/CC681068430J40833505212.htm,20人以下,2026-01-08 09:36:40
视觉设计师,深圳,济南金威刻激光科技股份有限公司,本科,3-5年,电商设计,2.5-3.5万,岗位职责：一、官网视觉设计1.负责 gweike官网（www.gweikecloud.com）和亚马逊等电商平台的视觉优化，包括首页、产品页、活动专题页等；2.设计高转化率的 Banner、产品展示图、功能对比图等营销素材；3.制作符合品牌调性的图标、插画、动态视觉元素（如产品演示 GIF/视频）； 二、产品可视化 1.基于 3D 模型渲染产品图，展示激光切割/雕刻效果（如木材、金属、皮革等材料）...,电气机械/电力设备,http://jobs.zhaopin.com/CC137071410J40852772415.htm,1000-9999人,2025-10-16 11:20:41
设计总监,深圳,深圳爱梦绮商务有限公司,本科,5-10年,"平面设计,包装设计",2.5-3.5万,工作内容： 全面负责设计部门的项目规划、执行及规则制定，合理优化不同设计的规则内容； 对公司设计师的设计提供建议、指导和修改，最终符合市场要求； 对公司设计师进行定期技能培训、经验分享，定期对设计师做业务考核； 了解市场，能对客户需求做出精准判断 任职要求： 本科及以上学历，艺术类相关专业，最少5年以上工作经验，儿童、卡通设计类相关从业经历优先 有团队管理经验，优秀的沟通能力,互联网,http://jobs.zhaopin.com/CC681187480J40105264203.htm,20-99人,2025-03-04 00:04:41
