职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
BI产品研发主管,武汉,东华医为科技有限公司,本科,5-10年,"Java,Oracle,MySQL,Javascript,jQuery,ETL,FineReport",3-5万,岗位职责1) 根据公司的发展战略，负责带领团队进行医疗BI产品的前瞻性规划、技术路线和架构设计；2) 负责推动医疗BI产品的市场调研和竞品分析，提出相应的解决方案；3) 负责制定医疗BI产品产品开发计划，指导和攻关解决开发过程中的关键问题，确保产品开发的进度与质量；4) 负责完成本团队的绩效执行与考核，以及梯队建设、人员技能培养和提升等管理工作；5) 负责制定本团队所负责产品的相关技术标准，以及完...,IT服务,http://jobs.zhaopin.com/CC649781480J40462618005.htm,1000-9999人,2026-01-11 00:18:02
数据产品经理,武汉,九艺云科技(湖北)有限公司,本科,3-5年,"Python,Hadoop,Spark,大数据产品,智慧城市产品,平台产品",2.6-5万,岗位内容：1. 负责收集和分析公司数据资源，构建数据产品体系，提高业务决策效率；2. 与核心业务团队紧密合作，了解业务需求，提出相应的数据产品解决方案；3. 将数据结果转换为对业务的实际支持，提供数据驱动的业务建议；4. 参与数据产品整个生命周期的管理，监控产品运营情况，不断迭代和优化。任职要求：数据核心：数据通用型人才数据接入：MQTT/API数据分析：Python（Pandas）简单建模：规划...,计算机软件,http://jobs.zhaopin.com/CCL1500978180J40791510202.htm,20-99人,2026-01-07 01:02:50
大数据开发工程师-补贴2w-海外出差-短期,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Spark,数据库开发,数据中台开发,MaxCompute,PYSAPRK,SparkSQL,SCALA SPARK",2-4万,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786765716.htm,10000人以上,2026-01-10 21:23:45
资深大数据架构师（医疗）,武汉,博科国信（武汉）科技有限公司,硕士,5-10年,"大数据开发,大数据架构",2-3.5万,岗位职责：1.负责设计并实施分布式数据平台架构，优化数据存储、处理和分析流程，参与大数据平台产品的规划、设计、开发和选代，提升平台的稳定性、可扩展性和易用性。2.基于Hadoop、Spark、Flink等大数据处理框架，设计并实现高效的海量数据模型，确保数据的高效存储与访问。负责数据开发流程，包括数据清洗、转换、加载及数据治理工作，以满足业务对数据的高并发访问需求。3.利用开源框架进行大数据的采集...,在线医疗,http://jobs.zhaopin.com/CC467559980J40816527507.htm,100-299人,2026-01-11 00:40:42
大数据架构师,武汉,华信永道,本科,5-10年,"数据库开发,数据仓库,大数据开发",2.5-3.5万,岗位职责：1、负责数据中台的架构设计，制定技术路线和解决方案，支撑数据采集、存储、计算、分析等全链路需求。2、结合业务需求，设计高可用、可扩展、安全的大数据技术架构（如批处理、实时计算、数据湖、数据仓库等）。3、主导技术选型，评估并引入适合的大数据工具与框架（如Hadoop、Spark、Flink、Kafka等）。4、制定数据治理策略，包括元数据管理、数据血缘追踪、数据生命周期管理等。5、与业务部...,计算机软件,http://jobs.zhaopin.com/CC214592910J40781146216.htm,500-999人,2025-12-16 09:56:16
大数据开发 印尼/新加坡 短期项目（有出差补贴）,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"大数据迁移,Hadoop,Flink,Spark,Sql",2-4万,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786308116.htm,10000人以上,2026-01-10 01:49:13
研发总监（大数据）,武汉,博科国信（武汉）科技有限公司,硕士,3-5年,"大数据开发,大数据架构",2-3.5万,岗位职责：1、管理职责（1）参与制定公司软件产品的发展方向，确定公司产品框架及开发实施计划；（2）负责研发部门日常管理工作（建立和完善流程规范，任务分配和进度质量管控，技术指导，代码算法审核，人员培训，绩效考评）；（3）负责研发团队的搭建与整体研发能力的提升（4）全面监控产品开发质量、进度和成本控制；（5）完善公司产品研发管理相关流程、制度和标准，平衡产品研发的效率与质量。2、技术职责（1）负责产...,在线医疗,http://jobs.zhaopin.com/CC467559980J40820040207.htm,100-299人,2026-01-11 00:21:21
数据治理工程师,武汉,东风汽车,本科,3-5年,数据治理,1.5-3万,岗位职责:1、搭建并优化营销、制造、车联网等价值链的数据治理体系，包括数据标准、质量、安全及生命周期管理；2、推动数据资产化，解决数据孤岛问题，提升数据可用性与一致性；3、制定数据治理流程规范，联动业务与技术团队落地执行，持续改进数据质量。 任职要求:1、计算机 / 信息管理等相关专业，本科及以上学历，3年以上数据治理经验；2、熟悉数据建模、元数据管理、数据质量管理工具，了解大数据平台技术；3、具...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40826165905.htm,10000人以上,2026-01-11 01:12:05
业务分析师 （数据治理）,武汉,某公司,本科,5-10年,Hadoop,1.5-3万,工作内容： 1、负责大数据治理及管理框架的咨询和规划，包括元数据、数据标准、数据模型、数据质量、数据安全、数据资产目录等；2、负责数据治理制度、规范、流程的咨询与编制工作； 3、负责数据中台、数据应用等产品的功能架构规划及咨询； 4、负责数据标准体系的规划、设计、宣贯培训等工作。 任职要求：1、计算机类统招本科及以上学历，5年以上数据类产品管理工作经验（高级岗位，需5年以上经验、，至少有1年TOB...,互联网,http://jobs.zhaopin.com/CCL1318355140J40448934903.htm,500-999人,2026-01-07 01:04:42
消费金融信贷业务-数据建模工程师,武汉,万宝盛华企业管理咨询（上海）有限公司,本科,经验不限,"数据建模,金融,信用卡",2-3万,要求：消费金融的信贷模型经验，主要做【信贷评分卡模型】；英文流利，能在英语环境工作。,咨询服务,http://jobs.zhaopin.com/CC466197620J40833955605.htm,500-999人,2025-12-19 10:54:48
