职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
域控软件开发-整车控制算法专家,武汉,东风汽车,硕士,10年以上,,3.5-5.5万,岗位职责:*此岗位招聘单位为东风商用车技术中心1.负责混动、纯电、燃电等车型的整车控制策略的需求分析和策略制定；2.负责混动、纯电、燃电车型控制算法研究与开发，包括整车动力学和制动控制算法的研究；3.负责模型预测和动态规划算法在整车上的开发应用；4.负责智能网联相关系统在整车控制策略预研开发；5.负责驾驶行为识别算法的开发及整车应用；6.负责ACC、自重估算等控制算法开发；7.负责应用软件开发。 ...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40620073905.htm,10000人以上,2025-12-22 08:52:20
电气设计工程师（电气专业主设人）,武汉,中国电力工程顾问集团中南电力设计院有限公司,硕士,3-5年,"高压,超高压,特高压",2.5-4.5万,岗位职责：1. 全周期电气设计 承担特高压及超高压变电站/换流站/输电线路各阶段设计工作（前期咨询—>投标—>可研—>初设—>施工图—>竣工图），完成相关阶段设计成果。 负责设备选型及采购要求，编制技术规范书。 配合与服务工程建设管理单位、施工单位、运维单位解决设计相关技术问题。2. 技术创新应用 研究应用能源电力新技术。 负责相关科技项目、标准化、信息化项目申请及执行。任职要求：1. ...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC507994720J40778174410.htm,1000-9999人,2025-08-20 18:01:05
【激光电源高级工程师】,武汉,广州旭之源科技有限公司,本科,5-10年,"电路设计,IGBT,电容,二极管,PLC,FPGA,电源,PFC,LLC",2-4万·18薪,岗位职责:1、负责大功率激光电源电源等的设计和开发；2、负责开发项目的总体方案设计和产品的调试、测试和优化设计；3、负责分析与解决产品在生产和市场中的相关问题。任职要求:1、本科及以上学历，电子类相关专业，硕士3年以上或本科5年以上电源研发和设计经验2、熟悉模拟电路及各种常用电子器件性能和使用方法；3、熟悉开关电源的设计和调试，掌握EMC和安规等相关知识；4、具备团队合作精神，自我激励，能够按进度...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1486212500J40977176104.htm,100-299人,2026-01-06 01:10:28
电源软件高级工程师,武汉,广州金升阳科技有限公司,本科,5-10年,"驱动开发,嵌入式软件开发,DSP,PLC,PFC,LLC",2-4万·17薪,工作内容：1、系统设计：负责AC-DC电源模块（或则DC-DC电源）的软件架构设计，确保系统高效、稳定。制定软件设计方案，包括模块划分、接口定义、数据流和控制逻辑。2、软件开发：编写、调试和优化嵌入式软件，实现电源管理、保护、通信等功能。开发控制算法，如PWM、PID等，确保电源模块性能。3、系统集成：与硬件团队协作，完成软硬件集成与调试。解决系统集成中的问题，确保软硬件兼容性。4、测试与验证：制...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC136037370J40835915205.htm,1000-9999人,2025-12-31 01:14:15
电气设计工程师,武汉,武汉国试电气设备有限公司,本科,1-3年,设计,2-4万,岗位职责1.负责电气系统设计、开发、调试及优化，包括电气图纸绘制、PLC编程、自动化控制系统搭建等；2.参与项目方案制定，协助完成设备选型、成本估算及技术文档编制；3.解决生产、安装及运维过程中的电气技术问题，提供现场或远程支持；4.跟踪行业技术动态，参与新技术、新设备的研发与测试；5.配合团队完成项目验收及客户培训，确保项目按时高质量交付。任职要求 1.学历专业： 电气工程及其自动化、机电一体化...,仪器仪表制造,http://jobs.zhaopin.com/CC120481650J40722212501.htm,20-99人,2025-12-04 00:00:01
自控工程师（海外项目）,武汉,上海河图工程股份有限公司武汉分公司,本科,10年以上,,2-4万,任职要求：1、全日制统招本科毕业，自动化等相关专业；2、熟悉国外工程公司设计文件体系，熟悉海外项目业主需求，英语口语交流顺畅；3、10年以上化工项目设计或管理经验，担任过中大型海外EPC项目或设计项目专业负责人；岗位职责：1、负责海外项目的FEED，DED阶段的设计管理、采购技术服务等工作。2、参与海外项目和国内的工程项目的设计、校核、审核等工作。3、关键自控技术方案设计、社保MR采购文件编制。4...,工程技术与设计服务,http://jobs.zhaopin.com/CC314013230J40826922113.htm,100-299人,2025-09-19 10:16:17
大功率电源高级工程师,武汉,广州金升阳科技有限公司,本科,5-10年,"电路设计,IGBT,二极管,PLC,FPGA,DSP,碳化硅管",2-4万·18薪,岗位职责:1、负责ACDC砖类/大机壳/激光电源/高压电源1KW-20KW的开关电源等的设计和开发；2、负责开发项目的总体方案设计和产品的调试、测试和优化设计；3、负责分析与解决产品在生产和市场中的相关问题。任职要求:1、本科及以上学历，电子类相关专业，硕士3年以上或本科5年以上电源研发和设计经验2、熟悉模拟电路及各种常用电子器件性能和使用方法；3、熟悉开关电源的设计和调试，掌握EMC和安规等相关...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC136037370J40835867305.htm,1000-9999人,2025-12-31 01:14:15
高级电子设计工程师（机器人方向）,武汉,盛视科技,硕士,10年以上,"研发,设计,电气设计,PCB设计,嵌入式软件研发,嵌入式硬件研发,机器人电子产品",2-4万,工作任务：1、设计机器人的电子系统架构（电路板数量、类型及电子功能）；2、监督机器人和电子电路板的电磁兼容性（EMC）及无线电合规性测试；3、规划并为电子硬件开发提供支持。主要职责：1、为电子设计提供依据，并跟踪验证活动；2、与选定供应商协调机电一体化的元器件选型和采购工作；3、与机械、固件及底层软件团队协作编写技术规格。任职要求：专业技能：1、硕士 / 博士学历，电子类专业背景2、10 年 + ...,人工智能,http://jobs.zhaopin.com/CC152838410J40709839206.htm,500-999人,2025-08-28 16:01:06
电气工程师(储能系统方向),武汉,南京君海数能科技有限公司,本科,5-10年,,2-3.5万,岗位职责1.负责储能系统方案集成设计，储能系统电气件（如断路器、继电器、熔断器、高低压连接器、PCS等）关键部件的选型工作；2.分解储能系统产品需求，进行功能需求管理，推进系统开发调试过程中的问题整改；3.制定储能系统开发计划及关键里程碑，明确关键路径并进行风险识别和过程管理，负责储能项目现场交付技术支持；4.对储能系统（电芯、结构、电气、硬件、软件、算法、仿真、测试、工艺）进行目标拆解及过程闭环...,电子设备制造,http://jobs.zhaopin.com/CC870304140J40773453216.htm,100-299人,2025-11-18 10:58:53
自控工程师（海外项目）,武汉,上海河图工程股份有限公司武汉分公司,本科,10年以上,,2-3.5万,任职要求：1、全日制统招本科毕业，自动化等相关专业；2、熟悉国外工程公司设计文件体系，熟悉海外项目业主需求，英语口语交流顺畅；3、10年以上化工项目设计或管理经验，担任过中大型海外EPC项目或设计项目专业负责人；岗位职责：1、负责海外项目的FEED，DED阶段的设计管理、采购技术服务等工作。2、参与海外项目和国内的工程项目的设计、校核、审核等工作。3、关键自控技术方案设计、社保MR采购文件编制。4...,工程技术与设计服务,http://jobs.zhaopin.com/CC314013230J40826919213.htm,100-299人,2025-09-19 10:10:24
