职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
暖通技术专家,武汉,武汉所为科技有限公司,硕士,3-5年,"算法研究,智慧城市,MATLAB,暖通节能算法",4-8万,1、负责暖通节能策略、故障预警、负荷预测等算法模型的开发工作；2、制定开发计划，协调算法工程师、软件工程师实现算法模型的应用落地；3、制定暖通智控算法的前瞻性战略方向及目标。岗位要求：1、建筑环境及能源应用工程等暖通相关专业硕士以上学历；2、两年及以上暖通智控算法开发（如基于MPC模型预测的冷热源系统的优化控制算法、冷水机组故障诊断、冷机能耗预测模型等）、大型暖通系统能效分析等相关工作经验；3、了...,物联网,http://jobs.zhaopin.com/CC817288680J40482909908.htm,20-99人,2026-01-06 01:19:05
端侧算法专家(J40850),武汉,海信集团,本科,经验不限,"深度学习,端侧算法,PyTorch,TensorFlow,Python,C++,端侧推理框架",面议,岗位职责:1.负责海外智能电视平台的端侧AI能力建设与算法落地，从零到一搭建核心技术栈，并主导技术路线图的规划与演进。2.设计并实现高性能、可扩展的端侧统一推理框架，支持CPU/GPU/NPU等多后端异构计算，建立设备能力评估与性能自动优选机制。3.主导端侧模型轻量化全流程，包括但不限于量化、剪枝、蒸馏、算子融合等，建立并持续优化性能基准（延迟、内存、功耗）。4.负责核心视觉与自然语言处理算法在资...,电子设备制造,http://jobs.zhaopin.com/CC132067430J40856231003.htm,10000人以上,2025-11-14 14:21:43
具身智能技术应用工程师,武汉,中财信忠(临沂)人力资源服务有限责任公司,本科,经验不限,机器人项目,3-6万,岗位职责1. 技术执行：协助完成具身智能场景方案落地，参与多模态数据预处理、算法部署测试；协助搭建数据采集流水线；参与搭建仿真 Demo 场景（MuJoCo/Isaac Sim/MotrixSim）；参与强化学习或模仿学习任务开发。2. 测试与文档：协助编写完整技术文档（操作手册/测试报告）；参与性能评估，整理测试数据并输出优化建议。3. 社区辅助：协助维护技术社区，分析用户反馈并整理报告；配合筹...,人力资源服务,http://jobs.zhaopin.com/CCL1500801770J40813587801.htm,20-99人,2025-12-23 08:37:24
高级AI算法工程师,武汉,湖北万维科技发展有限责任公司,硕士,5-10年,"机器学习,深度学习,多模态算法,Python,C++,GNN,TensorFlow,PyTorch",4-6万,岗位职责1、负责复杂AI项目的架构设计和核心算法开发。2、指导团队进行模型训练、优化和部署，提升算法性能和效率。3、探索前沿技术，结合业务需求进行创新性算法研究和应用。4、与跨部门团队合作，推动AI技术在实际业务中的落地。任职要求1、学历要求：硕士及以上学历，计算机科学、人工智能、机器学习、自动化、数学或相关专业，985/211高校毕业优先。2、工作经验：8年以上相关工作经验，具备工业级AI项目开...,计算机软件,http://jobs.zhaopin.com/CC214063610J40829457915.htm,100-299人,2025-04-10 15:25:51
暖通算法专家/能源系统架构师,武汉,武汉所为科技有限公司,硕士,3-5年,"暖通节能算法,智慧城市",3-5万,核心定位：作为算法团队的物理大脑负责构建暖通系统的数理模型，主导控制策略的顶层设计。岗位职责：1、物理建模与仿真： 负责构建高精度的暖通系统白盒/灰盒模型（基于热力学与流体力学第一性原理），为AI算法提供物理约束边界2、高阶控制策略： 摒弃简单的PID逻辑，主导开发基于模型的预测控制（MPC）、全局寻优控制、预测性维护等高阶算法3、机理与数据融合： 解决纯数据驱动在工程落地中的泛化性差、不可解释问...,物联网,http://jobs.zhaopin.com/CC817288680J40907263808.htm,20-99人,2026-01-06 01:20:32
高级ai算法工程师,武汉,东莞美璟供应链管理有限公司,硕士,5-10年,"机器视觉,AI算法,AI视觉",3-5万,工作职责：1. 主要从事研究、设计，开发和优化AI在视觉与三维点云等方向算法模型，不限于图像处理，3D点云处理，特征匹配和三维重建，点云分类等；2. 负责点云，视觉相关功能算法研究，开发，优化与工程化部署；3. 负责撰写算法开发与测试文档编写，协助算法维护4. 持续跟踪最前沿的AI在视觉与点云相关领域的技术并应用落地，并结合公司的业务员场景进行方案设计和算法实现；任职要求：1. 计算机、数学、测绘...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1511079580J40820284007.htm,20-99人,2025-12-31 16:38:19
人工智能技术总监及解决方案总监,武汉,北京全品文教科技有限公司,本科,3-5年,"RAG,AGENT,Java,C语言,Python,算法基础,后端开发",3-5万,岗位职责：1. 深入研究智慧教辅、题库、智能体等在线教育场景需求，制定 AI 技术战略规划与年度技术路线图，主导 AI 技术架构设计与优化，确保技术方案的前瞻性与可扩展性。2. 统筹人员完成在线教育领域AI 核心算法研发，攻克教育场景下的个性化学习推荐、智能批改、学情分析等技术难题及智能体项目；跟进项目全生命周期，协调资源保障研发进度，推动 AI 技术在产品中的高效落地。3. 统筹 AI 研发团队...,在线教育,http://jobs.zhaopin.com/CC293110030J40704629506.htm,500-999人,2025-08-13 13:35:54
机器人人工智能工程师,武汉,盛视科技,硕士,3-5年,"机器人算法,运动规划,机器避障,TensorFlow,OpenCV,C/C++,Python,人形机器人",2.4-4.5万,此岗位根据业务需求，不定期出差法国，不能接受勿扰！！！工作任务：1、开发并优化用于机器人系统中感知、决策和交互的人工智能模型2、实施为嵌入式环境量身定制的计算机视觉、传感器融合和机器学习管道3、与跨职能团队协作，将人工智能功能集成到机器人软件栈中4、在实际环境中评估并调整人工智能模型，以提升其性能、准确性和稳健性主要职责：1、实施并训练用于语音或传感器数据的深度学习模型2、针对嵌入式平台（图形处理...,人工智能,http://jobs.zhaopin.com/CC152838410J40709769906.htm,500-999人,2026-01-06 01:14:32
规划算法组长,武汉,南方新华,本科,5-10年,,4-4.5万·14薪,规划算法组长/资深工程师：1、设计、开发和优化汽车规划算法，包括路径规划、轨迹生成和运动控制等方面，以提高自动驾驶系统的规划和控制能力。2、分析系统需求和架构，制定规划控制算法的设计方案，并进行算法的实现和验证。3、进行算法的调试和优化，确保算法的性能和可靠性。4、与感知和决策团队紧密合作，协调规划控制算法与其他模块的集成和优化。跟踪行业的最新规划控制算法技术和方法，推动团队的技术创新和提升。岗位...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40815547011.htm,100-299人,2026-01-05 18:12:19
深度学习算法工程师,武汉,博联众科(武汉)科技有限公司,硕士,3-5年,"Transformer,人工神经网络,PyTorch,TensorFlow,C++,Python",2.5-4.5万·14薪,【工作职责】1、负责参与产品应用端图像、信号类深度学习算法研发，包括但不限于识别、分割、重建等方向研究；2、采用GPU加速等方法，提升算法的效率并降低资源消耗，并进行算法部署；3、输出相关项目文档。【任职要求】1、硕士及以上学历；2、较好的C++编程基础，熟悉Point CNN ，GNN，GAN算法者优先；3、具备一定的二维、三维图形处理的算法基础；4、通过CET-4，逻辑思维和学习能力强，有较强...,医疗设备/器械,http://jobs.zhaopin.com/CC343830680J40741096706.htm,100-299人,2025-12-12 11:18:05
