职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
BI产品研发主管,武汉,东华医为科技有限公司,本科,5-10年,"Java,Oracle,MySQL,Javascript,jQuery,ETL,FineReport",3-5万,岗位职责1) 根据公司的发展战略，负责带领团队进行医疗BI产品的前瞻性规划、技术路线和架构设计；2) 负责推动医疗BI产品的市场调研和竞品分析，提出相应的解决方案；3) 负责制定医疗BI产品产品开发计划，指导和攻关解决开发过程中的关键问题，确保产品开发的进度与质量；4) 负责完成本团队的绩效执行与考核，以及梯队建设、人员技能培养和提升等管理工作；5) 负责制定本团队所负责产品的相关技术标准，以及完...,IT服务,http://jobs.zhaopin.com/CC649781480J40462618005.htm,1000-9999人,2026-01-11 00:18:02
财经直播讲师,武汉,四川大决策证券投资顾问有限公司,本科,1-3年,"股票市场,投资分析,基本面分析,证券投资咨询资格证",3-5万,薪资福利： 无责底薪+高额提成+全勤奖+五险一金+带薪年假，综合收入3W-5W+，新人入职首月可享保底收入1.5W！！！ 岗位职责1、抖音、视频号、快手等直播平台开展直播；2、具备讲课经验，能够独立分析股票行情走势，个股分析，盘面分析，实时解盘；3、具备一定的直播带货经验（微信视频号、抖音不限）；4、熟悉财经新闻，并有一定程度的深入理解；有自己成熟投资体系和投资理念，具备一定网感，擅长捕捉市场热门...,证券/期货,http://jobs.zhaopin.com/CC403797110J40769136305.htm,300-499人,2025-11-25 11:49:34
数据治理与数据分析工程师,武汉,中交第二公路勘察设计研究院有限公司,硕士,3-5年,"Sql,PACHE ATLAS,DATAHUB",2.5-4.5万,岗位职责：1. 负责企业级数据治理体系建设，包括数据标准制定、元数据管理、数据质量监控等；2. 设计并实施数据资产管理方案，构建数据血缘图谱和分类分级体系；3. 开发数据分析模型，通过数据挖掘发现业务洞察，支持决策优化；4. 搭建数据质量评估体系，建立数据质量规则库和修复流程；5. 制定数据安全合规策略，满足GDPR等数据监管要求 。技术要求：1. 数据治理核心工具- 熟悉数据血缘关系 (元数据管...,政府/公共事业,http://jobs.zhaopin.com/CC175993010J40737260709.htm,1000-9999人,2025-05-22 16:44:28
竞争力验证-奕派科技,武汉,东风汽车,本科,3-5年,"问卷调研,用户画像",2-4万,岗位职责:1、负责完成整车级特征属性评价对标工作，输出竞品预测及本品指标2、负责组织制定整车级专项竞争力对标工作计划和推进管理3、负责组织开发阶段各节点竞争力评价验收工作4、负责构建产品竞争力模型5、负责竞品数据标准化、数据分析与应用方法、竞品工程数据库建立、维护及共享管理。 任职要求:1、具备整车竞争力评价经验2、具备整车级特征属性指标评分能力3、有车型开发经验,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40800886705.htm,10000人以上,2026-01-06 09:29:48
数据统计总监/经理,武汉,人福医药,硕士,5-10年,"临床数据分析,医学数据",2-4万·15薪,一、岗位职责（一）统计规划与方法论制定1. 项目统计策略制定 根据药物研发项目目标，制定整体统计工作计划，确保统计设计与项目科学目标相匹配。 对各阶段（临床前至临床Ⅲ期）统计需求进行前瞻性规划，合理分配统计资源。2. 统计方法优化与创新 研究并引入先进的统计方法和模型，提高数据解读的准确性和效率。 针对特殊药物类型（如生物制品、罕见病药物等），制定个性化统计分析方案。（二）团队管理与协作（部门早期...,医药制造,http://jobs.zhaopin.com/CC478599910J40820126707.htm,10000人以上,2025-12-30 21:03:42
财经直播讲师,武汉,四川大决策证券投资顾问有限公司,本科,1-3年,"股票市场,投资分析,证券投资咨询资格证,证券从业资格证,证券分析师资格证",2-4万,岗位职责：1、抖音、视频号、快手等直播平台开展直播；2、具备讲课经验，能够独立分析股票行情走势，个股分析，盘面分析，实时解盘；3、具备一定的直播带货经验（微信视频号、抖音不限）；4、熟悉财经新闻，并有一定程度的深入理解；有自己成熟投资体系和投资理念，具备一定网感，擅长捕捉市场热门信息，紧跟财经时事热点。任职要求1、本科及以上学历，金融、证券等相关专业优先；2、具有证券投资顾问登记身份；3、熟悉抖音...,证券/期货,http://jobs.zhaopin.com/CC403797110J40421159005.htm,300-499人,2025-11-25 17:25:50
高级统计经理/统计总监,武汉,晶易医药科技股份公司,本科,10年以上,"临床数据分析,CRO",2-4万·14薪,1．参与临床试验设计，负责撰写临床试验方案的统计内容（研究设计、样本量计算、随机化和统计分析方法）；2 负责制定项目统计分析计划，进行临床试验的统计分析；根据分析需求编写程序生成统计图、表或数据集，以及相应的说明文件或报告；3．跟踪临床试验过程中的数据管理和清洗，编写核查程序，用于数据核查和清洗；4．负责临床试验统计工作的实施和质控；5. 随机化方案及随机表单；6．建立统计团队，完善统计分析SOP...,医药制造,http://jobs.zhaopin.com/CC256546620J40758460302.htm,1000-9999人,2025-11-12 13:06:53
医学统计经理--研究院,武汉,人福医药,硕士,经验不限,"临床数据分析,医学统计",2.5-4万,职责描述：1. 参与临床试验统计设计与审核，主导制定估计目标、假设检验框架及样本量估算，规范数据集划分与统计分析方法（如t检验、生存分析等），设计及审核期中分析方案，确保符合ICH、NMPA等法规及项目科学目标；2. 负责统计相关的临床文件审阅工作，包括：统计分析计划（SAP）、表格、图表和列表(TFL)、统计分析报告（SAR）等、病例报告表(CRF)等；3. 根据项目需要运用SAS、R语言软件等...,医药制造,http://jobs.zhaopin.com/CC478599910J40786108107.htm,10000人以上,2025-11-12 14:01:36
营销数字化经理,武汉,东风汽车,本科,3-5年,,2-3.5万,1、负责数字化项目需求挖掘和调研、需求分析与整理；2、负责事业部数字化项目、应用场景（用户端、管理端、终端运营）等建设和过程管理；3、负责数字化项目业务流程优化和设计；4、负责数字化项目业务解决方案制定和支持；5、负责数字化项目推进和进度管理；6、负责数据治理体系编写，数据治理工作开展，落实数据治理体系，数据质量跟踪和改善。,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40837329105.htm,10000人以上,2026-01-07 15:35:42
助理生物统计经理/资深生物统计师,武汉,斯丹姆,硕士,3-5年,临床试验,2.3-3.5万,"岗位职责：临床试验方案设计样本量计算随机化管理统计分析计划撰写制作统计相关图标统计分析报告撰写参与数据审核会议统计分析人群划分任职要求：3年以上生物统计师相关工作经验，硕士以上学历，生物统计，流行病学，公共卫生，数理统计等相关专业。熟悉临床试验全部流程，熟悉临床试验设计及统计分析流程，能够独立进行统计相关工作。能熟练使用SAS, R等统计分析工具。独立撰写统计分析计划及统计分析报告，对法规相关要求...",医药制造,http://jobs.zhaopin.com/CC137953310J40631989501.htm,1000-9999人,2025-10-14 12:11:57
