职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
暖通技术专家,武汉,武汉所为科技有限公司,硕士,3-5年,"算法研究,智慧城市,MATLAB,暖通节能算法",4-8万,1、负责暖通节能策略、故障预警、负荷预测等算法模型的开发工作；2、制定开发计划，协调算法工程师、软件工程师实现算法模型的应用落地；3、制定暖通智控算法的前瞻性战略方向及目标。岗位要求：1、建筑环境及能源应用工程等暖通相关专业硕士以上学历；2、两年及以上暖通智控算法开发（如基于MPC模型预测的冷热源系统的优化控制算法、冷水机组故障诊断、冷机能耗预测模型等）、大型暖通系统能效分析等相关工作经验；3、了...,物联网,http://jobs.zhaopin.com/CC817288680J40482909908.htm,20-99人,2026-01-06 01:19:05
端侧算法专家(J40850),武汉,海信集团,本科,经验不限,"深度学习,端侧算法,PyTorch,TensorFlow,Python,C++,端侧推理框架",面议,岗位职责:1.负责海外智能电视平台的端侧AI能力建设与算法落地，从零到一搭建核心技术栈，并主导技术路线图的规划与演进。2.设计并实现高性能、可扩展的端侧统一推理框架，支持CPU/GPU/NPU等多后端异构计算，建立设备能力评估与性能自动优选机制。3.主导端侧模型轻量化全流程，包括但不限于量化、剪枝、蒸馏、算子融合等，建立并持续优化性能基准（延迟、内存、功耗）。4.负责核心视觉与自然语言处理算法在资...,电子设备制造,http://jobs.zhaopin.com/CC132067430J40856231003.htm,10000人以上,2025-11-14 14:21:43
具身智能技术应用工程师,武汉,中财信忠(临沂)人力资源服务有限责任公司,本科,经验不限,机器人项目,3-6万,岗位职责1. 技术执行：协助完成具身智能场景方案落地，参与多模态数据预处理、算法部署测试；协助搭建数据采集流水线；参与搭建仿真 Demo 场景（MuJoCo/Isaac Sim/MotrixSim）；参与强化学习或模仿学习任务开发。2. 测试与文档：协助编写完整技术文档（操作手册/测试报告）；参与性能评估，整理测试数据并输出优化建议。3. 社区辅助：协助维护技术社区，分析用户反馈并整理报告；配合筹...,人力资源服务,http://jobs.zhaopin.com/CCL1500801770J40813587801.htm,20-99人,2025-12-23 08:37:24
高级AI算法工程师,武汉,湖北万维科技发展有限责任公司,硕士,5-10年,"机器学习,深度学习,多模态算法,Python,C++,GNN,TensorFlow,PyTorch",4-6万,岗位职责1、负责复杂AI项目的架构设计和核心算法开发。2、指导团队进行模型训练、优化和部署，提升算法性能和效率。3、探索前沿技术，结合业务需求进行创新性算法研究和应用。4、与跨部门团队合作，推动AI技术在实际业务中的落地。任职要求1、学历要求：硕士及以上学历，计算机科学、人工智能、机器学习、自动化、数学或相关专业，985/211高校毕业优先。2、工作经验：8年以上相关工作经验，具备工业级AI项目开...,计算机软件,http://jobs.zhaopin.com/CC214063610J40829457915.htm,100-299人,2025-04-10 15:25:51
规划算法组长/资深工程师,武汉,南方新华,本科,5-10年,"导航算法,运动控制算法,定位算法,路径规划",3.5-5.5万,规划算法组长/资深：1、设计、开发和优化汽车规划算法，包括路径规划、轨迹生成和运动控制等方面，以提高自动驾驶系统的规划和控制能力。2、分析系统需求和架构，制定规划控制算法的设计方案，并进行算法的实现和验证。3、进行算法的调试和优化，确保算法的性能和可靠性。4、与感知和决策团队紧密合作，协调规划控制算法与其他模块的集成和优化。跟踪行业的最新规划控制算法技术和方法，推动团队的技术创新和提升。岗位要求：...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40817827911.htm,100-299人,2025-12-29 16:44:35
域控软件开发-整车控制算法专家,武汉,东风汽车,硕士,10年以上,,3.5-5.5万,岗位职责:*此岗位招聘单位为东风商用车技术中心1.负责混动、纯电、燃电等车型的整车控制策略的需求分析和策略制定；2.负责混动、纯电、燃电车型控制算法研究与开发，包括整车动力学和制动控制算法的研究；3.负责模型预测和动态规划算法在整车上的开发应用；4.负责智能网联相关系统在整车控制策略预研开发；5.负责驾驶行为识别算法的开发及整车应用；6.负责ACC、自重估算等控制算法开发；7.负责应用软件开发。 ...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40620073905.htm,10000人以上,2025-12-22 08:52:20
人形机器人运动算法开发工程师,武汉,盛视科技,硕士,经验不限,"机器人算法,机器避障,运动控制算法",3.5-5万·13薪,此岗位根据业务需求，不定期出差法国，不能接受勿扰！！！工作任务：为人形机器人开发可在多种环境中进行交互的运动算法。主要职责：· 设计并实现双足机器人的运动算法（包括行走、动态平衡及姿态转换）。· 定义运动模块的软件架构。· 与操作系统团队、机电一体化团队和传感器团队紧密合作，在实体机器人上对运动算法进行测试、验证和集成。· 开发实时控制算法，确保机器人运动的稳定性、流畅性和安全性。· 与机器人研究...,人工智能,http://jobs.zhaopin.com/CC152838410J40709818106.htm,500-999人,2026-01-10 01:15:57
博士（国企招聘）,武汉,锐仕方达人才科技集团有限公司,博士,经验不限,"视觉图像算法,运动控制算法",3-5万,3D机器视觉算法博士光学博士数字孪生博士运动控制软件博士碳纤维工艺博士CMC/CFRP 材料博士AI算法博士（偏装备）硬件博士（板卡开发）运动控制算法博士编程套料（CAM）软件博士焊接工艺博士流体力学博士要求：半年以上工作经验，已取得博士学位。,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40801758814.htm,1000-9999人,2026-01-06 01:38:24
暖通算法专家/能源系统架构师,武汉,武汉所为科技有限公司,硕士,3-5年,"暖通节能算法,智慧城市",3-5万,核心定位：作为算法团队的物理大脑负责构建暖通系统的数理模型，主导控制策略的顶层设计。岗位职责：1、物理建模与仿真： 负责构建高精度的暖通系统白盒/灰盒模型（基于热力学与流体力学第一性原理），为AI算法提供物理约束边界2、高阶控制策略： 摒弃简单的PID逻辑，主导开发基于模型的预测控制（MPC）、全局寻优控制、预测性维护等高阶算法3、机理与数据融合： 解决纯数据驱动在工程落地中的泛化性差、不可解释问...,物联网,http://jobs.zhaopin.com/CC817288680J40907263808.htm,20-99人,2026-01-06 01:20:32
高级ai算法工程师,武汉,东莞美璟供应链管理有限公司,硕士,5-10年,"机器视觉,AI算法,AI视觉",3-5万,工作职责：1. 主要从事研究、设计，开发和优化AI在视觉与三维点云等方向算法模型，不限于图像处理，3D点云处理，特征匹配和三维重建，点云分类等；2. 负责点云，视觉相关功能算法研究，开发，优化与工程化部署；3. 负责撰写算法开发与测试文档编写，协助算法维护4. 持续跟踪最前沿的AI在视觉与点云相关领域的技术并应用落地，并结合公司的业务员场景进行方案设计和算法实现；任职要求：1. 计算机、数学、测绘...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1511079580J40820284007.htm,20-99人,2025-12-31 16:38:19
