职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
数据算法工程师,厦门,上海启高信息科技有限公司,本科,5-10年,"机器学习,深度学习,Transformer,LSTM,随机森林,K-means算法,GBDT,搜索/推荐算法,Python,Java",18-25万,"1. 统招本科及以上，计算机，数学，自动化或相关专业2. 至少6年以上算法工作经验，能独立完成算法开发，部署和优化3. 熟练掌握常用机器学习、深度学习算法，包括不限于（LR，决策树，集成树，时序算法，Transformer等） 4. 熟练掌握python/scala/java中一种，掌握Hive SQL, Spark等大数据技术 5. 具备良好的沟通能力，分析能力和解决问题的能力，责任心强",互联网,http://jobs.zhaopin.com/CC385075520J40845460403.htm,20-99人,2025-10-11 11:24:01
博士-AI算法（工业图像大模型缺陷检测方向）,厦门,厦门思泰克智能科技股份有限公司,博士,经验不限,"图像算法,大模型算法,深度学习,C++,Python,C语言,缺陷检测,SMT行业",3-5万,工作职责：-负责SMT行业图像AI缺陷检测模型/大模型研发，实现产品快速迭代，满足业务产品需求。-研发方向主要为：缺陷/异物识别定位，图像增强，3D成型，模型压缩-对现有模型进行评估、改进和优化，提高性能和鲁棒性。-与软件开发团队合作，将算法集成到产品和系统中。-跟踪最新深度学习技术，研究和应用新的算法和方法。职责要求：1、计算机、数字图像处理、模式识别，自动化等相关专业博士/博士后;2、从硕士研...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC436134330J40700108806.htm,100-299人,2025-10-09 11:21:38
对日开发初级技术员到项目经理的全职位招聘,厦门,株式会社ProfaceSystems,大专,1-3年,".NET,Java,Python,C语言,全栈开发,AI,赴日,对日",2-4万,【会社概要】当社は、公共事業や受託開発、SES型開発を中心に、AIなどの先端技術を活用した新規マーケットの開拓も行っています。また、ITマネジメント人材の育成、組織運営、経営への参画など、幅広い開発環境・業務領域を提供しています。多様なプロジェクトを通じて、あなたの経験・スキル・可能性を最大限に発揮できるポジションをご用意しております。本公司以公共事业、委托开发和SES模式开发为核心业务，同时也积...,计算机软件,http://jobs.zhaopin.com/CC579165780J40398787313.htm,20-99人,2026-01-09 01:34:56
对日软件开发工程师,厦门,杭州优灿科技有限公司,学历不限,3-5年,"Java,C#,C/C++,嵌入式技术,VB,SQL,日语,.NET,Python,Android",1.8-3.5万,1.3年以上Java/.NET/C/C++/开发经验2.了解Spring boot、mybatis、redis、mysql等常用开发框架与工具3.有对日项目经验，可不借助翻译软件独立读写式样书4.日语N3及以上5.了解React、angular、vue等前端技术者优先6. 学习和理解能力强，反应敏捷，具有一定的系统分析能力，及独立解决问题的能力,计算机软件,http://jobs.zhaopin.com/CC272317030J40853032913.htm,500-999人,2026-01-09 01:37:28
激光点云算法工程师,厦门,同致电子科技(厦门)有限公司,硕士,3-5年,"深度学习,机器学习,Transformer,DNN,感知机,智能驾驶,TensorFlow,PyTorch,OpenCV,Python,C++,多模态算法",2.5-3.5万,工作职责1. 负责激光点云感知真值系统的架构设计、技术路线规划及核心算法开发；2. 负责大规模点云数据的自动化标注、真值生成及数据闭环系统的设计与优化；3. 负责激光雷达感知链路中的真值大模型算法开发，提升BEV鱼眼感知的精度与泛化能力；4. 制定激光点云真值系统的开发标准及流程，推动团队技术沉淀与专利布局；5 应对相关客户的算法技术需求，做可行性评估，耗费成本，工作量评估，风险评估等；6. 推动...,汽车研发/制造,http://jobs.zhaopin.com/CC204092510J40771508112.htm,1000-9999人,2025-05-09 12:08:40
C/C++/Java/JS/Python软件开发【全国有岗】,厦门,外企德科数字技术有限公司,本科,经验不限,"C语言,Java,Python",1.5-3万·14薪,主要地点：（东莞、深圳、杭州、 西安，苏州、上海，武汉，成都、南京、北京）十大华为研究所，少量（广州、长沙、济南）三个办事处本科及以上学历，计算机、软件工程、通信等相关专业优先，转行，转专业可接受岗位内容：1. 设计、开发并维护C/C++/Java/JS/Python任一应用程序。2. 解决各种技术难题，保证代码的可靠性、高效性和安全性。3. 参与软件设计的讨论和计划制定。4. 与其他团队成员协作...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40732894205.htm,10000人以上,2026-01-12 00:24:22
大模型算法工程师—双休—上市公司—待遇好,厦门,立达信物联科技股份有限公司,硕士,1-3年,"深度学习,大模型算法,多模态算法,GPT,Transformer,DNN,GNN,PyTorch,TensorFlow,OpenCV,Python,大模型算法工程师,数学/多模态,应用编排框架",1.5-3万·14薪,计算机、NLP、数学或统计专业研究生以上学历 技术项： 1、负责大模型应用框架及其相关配套工具的设计和研发，为研究院负责的的大模型业务提供高效、稳定、可扩展的应用编排框架解决方案； 2、追踪大模型新的技术发展趋势，探索大模型应用的优范式，不断进行框架的创新和迭代优化，开拓大模型产业落地新方向； 3、对LangChain、LlamaIndex、Semantic Kernel、AutoGPT等开源大模...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC473390080J40835186914.htm,10000人以上,2026-01-09 01:40:02
图像识别算法工程师,厦门,厦门依华智慧科技有限公司,硕士,3-5年,"图像识别产品,机器人,PyTorch,TensorFlow,C++,Python",1.5-3万·13薪,【岗位职责】1、利用计算机视觉核心技术和深度学习技术进行图像相关领域的算法研发工作，包括但不限于：目标检测、文本检测与识别、图像分类、图像校正与增强等相关算法研究；2、独立完成项目中的数据预处理、模型训练、结果分析工作；3、参与团队模型优化、推理加速、代码移植部署的相关开发任务。【任职要求】1、优秀的Python/C++编程能力，良好的代码风格；2、熟练TensorFlow、PyTorch等至少一...,人工智能,http://jobs.zhaopin.com/CCL1487293370J40848485213.htm,20-99人,2025-12-30 01:39:45
AI算法工程师-人脸识别工程师,厦门,厦门睿云联创新科技股份有限公司,本科,3-5年,"视觉图像算法,自然语言处理,语音算法,C++,Python,智能家居,智慧安防,智能制造",1.5-3万·13薪,一、岗位职能： 1、负责跨平台人脸识别SDK及端側NPU部署的架构设计与开发； 2、负责视频方向相关的算法论文研究及实现； 3、负责视频方向相关专利挖掘及撰写。 二、岗位要求： 1、本科及以上学历，计算机、软件工程、数学、人工智能或相关专业，3年以上工岗位工作经验； 2、熟练Python或者C++等编程语言，对数据结构和算法设计有较为深刻的理解 3、掌握数学、统计学、计算机、人工智能和数据挖掘的基...,计算机硬件,http://jobs.zhaopin.com/CC530673120J40454791801.htm,300-499人,2025-07-17 00:00:02
模型微调与应用开发工程师,厦门,厦门德捷信息科技有限公司,本科,3-5年,"Python,深度学习算法,机器学习算法,自然语言处理,算法基础",1.5-3万,岗位职责：1. 负责大模型微调算法的开发与优化，支持产品功能的快速迭代和升级。2. 根据垂直领域的业务需求，深入挖掘应用场景，设计针对性微调方案，优化算法和工程实现。3. 跟踪并探索微调与优化领域的前沿研究成果，快速完成验证和转化应用。4. 应用场景覆盖客服机器人、人机问答、多轮对话、文本生成、文本摘要等多个领域。5. 关注并实践大模型领域的最新发展趋势与技术应用。任职要求：1. 学历背景：本科及...,计算机软件,http://jobs.zhaopin.com/CC263302730J40627304806.htm,20-99人,2025-06-20 00:27:04
