职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级Web后端开发工程师,厦门,厦门睿云联创新科技股份有限公司,本科,5-10年,"PHP,Golang,物联网项目,MySQL,Redis,架构师,后台开发,微服务",2-3万·13薪,"岗位职责：1、参与云平台WEB后端相关版本开发工作；2、主导或重度参与现有的平台效率提升、性能优化与可靠性建设等相关工作；岗位要求：1、本科及以上学历，5-8年PHP、Golang等任意一种语言的开发经验；2、优秀的系统设计能力,理解微服务架构的设计思想，对效率与质量的平衡有较好的见解与实践；3、掌握常见中间件的使用与底层原理，对源码有深入研究者优先；例如：MySQL、Redis、Kafka、et...",计算机硬件,http://jobs.zhaopin.com/CC530673120J40818717701.htm,300-499人,2026-01-08 01:02:20
高级前端开发工程师,厦门,厦门奥普拓自控科技有限公司,本科,5-10年,"React,HTML5,CSS",1.5-2.5万·13薪,岗位职责：1、根据需求文档，完成相关项目或产品的web前端/移动端研发和优化工作，实现所需的动画效果以及交互效果，并保证兼容性；2、独立完成业务、功能模块的开发，能构建可复用的组件和方法；3、根据产品文档开发高性能、高兼容性的前端代码，完成脚本通用库、框架、UI控件的编写，形成文档；4、与产品、UI保持良好沟通，能快速理解、消化各方需求，并落实为具体的开发工作，确保具有优质的客户体验；5、不断优化...,计算机软件,http://jobs.zhaopin.com/CC540897520J40732828901.htm,20-99人,2025-12-23 09:33:47
软件开发工程师,厦门,嘉庚创新实验室,本科,1-3年,"CSS,JavaScript,HTML5,React,Ant Design,Node.js,Echarts",1.2-2万,"一、岗位职责:1. 负责组织官网的设计、开发和维护工作2. 参与科研成果转化项目，负责前端开发任务，包括数据可视化和基本的交互界面设计与开发。二、任职要求：1. 本科及以上学历，计算机/电子信息相关专业；2. 2年以上前端开发工作经验，具备良好的计算机基础和编码能力，参与过至少一个完整前端项目的开发工作；3. 熟练掌握多种前端技术，包括 HTML5, CSS3, JavaScript/TypeSc...",学术/科研,http://jobs.zhaopin.com/CCL1293679000J40910735815.htm,300-499人,2025-12-17 09:30:31
中高级前端开发工程师,厦门,厦门睿云联创新科技股份有限公司,本科,5-10年,"HTML5,JavaScript,CSS,大屏/可视化项目,Vue,Flutter,Node.js",1.6-2.5万·13薪,岗位职责：1、负责公司智慧社区平台及相关产品的前端架构设计、开发和优化，确保高性能、高可用性及良好的用户体验；2、与产品、UI、后端团队紧密协作，主导前端技术难点攻关，确保项目高质量交付；任职要求：1、5 年以上前端开发经验，熟练掌握 Vue3、TypeScript、ES6+ 等现代前端技术栈；2、精通 HTML5/CSS3，熟悉移动端适配（Flex/Grid/响应式布局）及性能优化；3、熟悉前端...,计算机硬件,http://jobs.zhaopin.com/CC530673120J40818851601.htm,300-499人,2026-01-06 15:33:53
前端开发,厦门,厦门天吴海洋科技有限公司,本科,1-3年,"Web前端,Javascript,CSS,GIS/地图项目,大屏/可视化项目",1-2万,"【关于我们】 厦门天吴海洋科技有限公司是一家国家级高新技术企业,拥有““船舶设计、监造、航海、运输、海洋工程及计算机、大数据和人工智能等专业”领域人才队伍。公司致力于“智能船舶、智慧海洋”建设,开发关键智能设备、核心算法,为科技管海、科技用海、智能船舶、智能船管、绿色港口等陆海空天一体化建设提供综合解决方案。 【岗位职责】1、 负责基于 Cesium、Mapbox 等引擎的大型三维WebGIS应用...",通信/网络设备,http://jobs.zhaopin.com/CC858133810J40398326305.htm,100-299人,2025-11-25 14:49:13
前端开发工程师,厦门,厦门冠科科技有限公司,本科,3-5年,智慧建筑,1.5-2万,加入我们，用代码点亮智慧空间！公司简介：我们是一家专注于智慧建筑领域的高科技公司，致力于通过自主研发的核心技术平台，提升建筑管理的智能化水平和运营效率。我们的旗舰产品“智慧建筑管理平台软件 IBMS2.0”正在为众多地标性建筑提供强大的管理支撑。项目简介：IBMS2.0 是一个高度集成、可视化的智慧建筑综合管理平台。它深度融合了建筑内的各类子系统（如安防、楼控、能耗、消防等），通过统一界面实现集中...,计算机软件,http://jobs.zhaopin.com/CC366877410J40787712213.htm,20-99人,2025-06-11 20:43:47
高级web前端开发工程师,厦门,厦门睿云联创新科技股份有限公司,本科,5-10年,"CSS,HTML5,Vue,TypeScript,智慧社区,物联网,SAAS",1.8-2.5万·13薪,岗位职责：1、负责公司智慧社区平台及相关产品的前端架构设计、开发和优化，确保高性能、高可用性及良好的用户体验；2、与产品、UI、后端团队紧密协作，主导前端技术难点攻关，确保项目高质量交付。任职要求：1、5 年以上前端开发经验，熟练掌握 Vue3、TypeScript、ES6+ 等现代前端技术栈；2、精通 HTML5/CSS3，熟悉移动端适配（Flex/Grid/响应式布局）及性能优化；3、熟悉前端...,计算机硬件,http://jobs.zhaopin.com/CC530673120J40751998001.htm,300-499人,2025-12-31 17:55:40
前端开发工程师,厦门,福建良瓷科技有限公司,本科,5-10年,"CSS,HTML5,JavaScript,Vue,uni-app,Node.js",1.4-1.8万,岗位职责：1、参与需求评审，前端方案设计。2、与产品经理、UI设计师、后端工程师配合，完成移动端H5、小程序等前端工作开发。3、优化产品交互体验，保持系统在不同设备和浏览器下有较好兼容性，为用户提供更好操作体验。4、关注前沿技术，对技术有追求，能持续提升自身的技术能力，并转化到项目中。任职要求：1、有5年以上vue开发经验，计算机、通信或电子信息等相关专业优先。2、有扎实的JavaScript，H...,建材,http://jobs.zhaopin.com/CC331591180J40818991807.htm,1000-9999人,2025-12-24 10:13:18
高级web开发工程师,厦门,柬单点(厦门)信息科技有限公司,本科,5-10年,"Vue,uni-app,电商项目",1.3-1.8万·13薪,岗位职责1. 负责本地生活服务平台前端应用程序的设计、开发和维护，确保应用程序的高质量和稳定性；2. 使用JS封装良好的前端交互组件，维护及优化前端应用页面性能，具备良好的代码规范和架构设计能力；3. 持续改进产品的质量、性能，研究和探索最新的前端技术、创新的开发思路；4. 解决技术难点，提出性能优化方案并推进落地。任职资格1. 5年以上前端开发经验，本科及以上学历，计算机相关专业；2. 熟练掌握...,互联网,http://jobs.zhaopin.com/CC688337980J40755818601.htm,500-999人,2025-12-08 14:38:19
前端开发工程师（React）,厦门,软通动力信息技术(集团)股份有限公司,本科,3-5年,"React,Node.js",1.1-1.8万,"1.熟悉JavaScript语言核心内容,有React技术栈使用经验；2.熟悉各种Web前端技术,包括HTML/XML/CSS等，熟悉函数式编程、性能优化；3.具备良好的前端架构分析能力与设计能力，与开发团队保持良好沟通；4.精通各主流浏览器（IE6+、Firefox、Chrome、Safari）间的差异性，能快速定位和解决各种兼容难题；5.掌握主流的Vue/React/小程序技术栈以及Webpa...",互联网,http://jobs.zhaopin.com/CC000544460J40775986616.htm,10000人以上,2025-11-24 16:55:15
