职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
大数据平台架构经理,厦门,厦门金鹭,本科,5-10年,,2-3.5万,岗位职责：1、负责大数据平台架构规划设计、规范制定、平台优化、技术选型、新技术调研；2、负责公司大数据平台相关数据产品的方案设计、评审及技术优化，负责关键技术模块的设计和开发；3、制定和持续优化大数据平台相关的架构、规范与流程，包括但不限于技术方案规范、代码管理规范、部署运维规范等；4、负责大数据平台运维，异常调查、处理，确保平台稳定高效运行。任职资格：1、本科及以上计算机相关专业，5年以上大数据...,金属制品业,http://jobs.zhaopin.com/CC144501720J40814948505.htm,1000-9999人,2025-12-17 01:11:36
数据管理工程师,厦门,科华数据股份有限公司,本科,3-5年,"数据治理,数据挖掘,报表开发",1.5-3万·14薪,主要职责：1. 主数据管理体系构建与维护：A. 负责制定和完善产品主数据（物料编码/产品分类/BOM等）的管理流程、标准、规范和治理体系;B. 主导物料编码规则的制定、优化和落地执行，确保编码的唯一性和科学性。C. 建立产品数据模型。2. 数据质量管理与治理：A. 建立数据质量监控体系，定期审计、清洗和校验主数据，识别并解决数据问题。B. 处理数据申请、变更和审核流程，确保所有操作符合规范。3. ...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40946673404.htm,1000-9999人,2025-08-28 10:30:55
数据库工程师,厦门,厦门新能安科技有限公司,本科,3-5年,"Python,Java",1.5-2.5万·18薪,岗位职责:1、负责离线和实时数据仓库的开发和建设，深入了解业务，满足业务方对于数据的业务需求; 2、负责数据仓库相关任务的调优及维护，参与大数据平台的日常运维工作，保障日常任务稳定运行，保证数据的准确性和及时性; 3、能够能快速理解业务需求，转化为数据问题并提出解决方案，参与大数据相关需求方案的落地; 4、参与离线和实时任务的性能分析与系统优化，不断提升任务运行效率。 任职要求:1.本科及以上学历...,新能源,http://jobs.zhaopin.com/CCL1409591300J40819564207.htm,1000-9999人,2026-01-07 01:18:49
BI主管,厦门,日上集团,本科,10年以上,"Python,SQL,Hadoop,Hive,HDFS,Flink,Elasticsearch,Kafka,FineBI",1.5-2.5万·14薪,岗位职责1. BI平台优化与升级：深入调研分析现有BI平台需求，优化平台架构，保障数据接入、建模、可视化分析等流程高效稳定运行；推进BI平台与数据仓库、业务系统深度集成，实现数据流通交互，提升业务部门数据利用效率，为企业决策提供有力数据支撑。2. 自助分析BI应用与企业内推广普及：基于帆软生态体系开发低代码/无代码可视化分析，以拖拽式报表、多维度数据钻取、智能预警降低非技术团队数据使用门槛；设计优...,金属制品业,http://jobs.zhaopin.com/CC308507580J40719703111.htm,1000-9999人,2026-01-06 01:29:15
跨境支付/数据仓库方向后端开发工程师,厦门,厦门联合物流有限公司,本科,3-5年,"Java,数仓开发,MySQL,Redis",1.5-2.5万,岗位职责：一. 跨境支付系统开发 (约60%精力)：1.负责跨境支付核心交易、清结算、资金处理等系统的设计、开发与迭代。2.对接国内外支付渠道与金融机构，完成支付网关、路由及报文处理模块的开发与维护。3.参与支付风控系统的设计与实现，集成反洗钱、交易监控等安全合规功能。4.保障支付系统的高并发、高可用与资金安全，持续进行性能优化与故障排查。5.理解和落地跨境业务相关的金融合规（如外汇政策、数据跨境...,货运/物流/仓储,http://jobs.zhaopin.com/CC218898310J40884287402.htm,100-299人,2025-12-30 01:04:12
大数据开发工程师,厦门,福建良瓷科技有限公司,本科,5-10年,"数据治理,数据中台开发,数据仓库,Sql,Java,Flink,Kafka,DORIS,CLICKHOUSE",1.5-2.3万,岗位职责： 1. 负责数据中台核心模块（数据采集、实时/离线开发、数据资产、数据服务等）的设计、编码与性能调优，保障平台每日稳定支撑 PB 级数据流转。 2. 深度参与 Kafka/Flink/Doris/ClickHouse 等开源组件的二次开发或源码级 Bug Fix，将通用能力沉淀为可复用的中间件或插件。 3. 主导核心数据链路（如实时数仓、用户行为漏斗、标签工厂）的技术方案落地，端到端对数...,建材,http://jobs.zhaopin.com/CC331591180J40820613007.htm,1000-9999人,2026-01-06 01:18:53
大数据开发工程师（Flink调优/Nifi/迁移/熟悉华为云平台）,厦门,软通动力信息技术(集团)股份有限公司,大专,5-10年,"华为云,Java,Python,Hadoop,Flink,Spark,NiFi,迁移",1.3-2.2万,主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。2、精通 Hadoop、Spark、Flink、hive等大数据处理框架。能够独立完成f...,互联网,http://jobs.zhaopin.com/CC000544460J40778008316.htm,10000人以上,2025-12-08 11:45:10
高级数据分析师,厦门,上海启高信息科技有限公司,本科,5-10年,"报表开发,数据治理,Sql,观远BI,帆软",1.4-2.2万,岗位内容：1. 收集、整理和分析各类数据，为公司提供基础数据和决策支持。2. 建立和维护各种类型的数据指标和报告，跟踪业务进展和趋势。3. 参与规划和执行公司数据战略，推动数字化转型和技术创新。4. 探索和应用数据挖掘和机器学习技术，提高数据价值和利用效率。任职要求：1. 具备统计学、数学、计算机科学或相关领域的学士及以上学历。2. 熟练使用常见的数据分析工具和平台，如Excel、SQL、BI工具...,互联网,http://jobs.zhaopin.com/CC385075520J40854849703.htm,20-99人,2025-11-10 17:57:20
总行信息技术部——系统开发岗（数据开发方向）,厦门,厦门银行,本科,3-5年,数据开发,1.2-2万,（一）岗位职责1、参与数据应用开发，对编写的代码质量负责。2、负责数据模型设计、ETL处理，保障数据加工流程的效率与质量。3、协助进行营销、风控、客群经营等相关数据分析。4、协助完成数据应用的生产运维保障，包括问题排查、应急处置与性能优化。（二）任职要求1. 熟悉数据开发流程，精通SQL，掌握MPP数据库或Oracle/MySQL等关系型数据库开发。2. 熟悉Hadoop生态组件（如Hive、HB...,银行,http://jobs.zhaopin.com/CC138493580J40821364613.htm,1000-9999人,2026-01-08 01:34:49
大数据开发工程师,厦门,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Java,Python,Shell,Hadoop,Flink,Spark,大数据迁移,NiFi,华为数据湖",1.6-2.2万,短期项目，需要出差主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、负责Nifi作业的迁移和调测。5、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。2、精通 Hadoop、Spark、...,互联网,http://jobs.zhaopin.com/CC000544460J40771496216.htm,10000人以上,2025-12-02 16:38:04
