职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
客服总监 (MJ000080),厦门,厦门起量科技有限公司,本科,3-5年,美妆,2-3万,岗位职责：1、团队运营与绩效管理：全面负责电商客服团队的日常管理，通过监控响应速度、咨询转化率、客户满意度、挽单率等核心指标，持续提升团队绩效。2、培训体系与服务质量提升：（1）搭建并实施团队培训体系，制定涵盖平台规则、产品知识、沟通话术、销售技巧的培训计划，并跟进落地效果。（2）深耕服务质量，通过话术优化、案例复盘、质检校准等方式，统一服务标准，提升专业形象与用户体验。3、数据驱动与流程优化：（...,新媒体,http://jobs.zhaopin.com/CC891777330J40809405901.htm,500-999人,2026-01-05 01:01:45
Tiktok英语主播/英语客服 /英语主播,厦门,厦门奥沐特科技有限公司,本科,1-3年,TikTok,80-160元/时,1、负责美区TikTok直播带货;2、活跃直播间气氛，引导粉丝关注账号或购买店铺产品，解答粉丝疑问;;任职要求:1.英语口语优秀，能胜任英语直播;⒉.学习能力强;3.吃苦耐劳，有较强抗压能力;4.会场控且有节奏感，建立起直播间的互动和信任氛围。试播 1.5小时，试播工资 70元/小时，无提成正式兼职，3%-5%的提成，如果有出单可以长期播,零售/批发,http://jobs.zhaopin.com/CC878241690J40680063801.htm,20-99人,2026-01-06 17:16:08
客服部副经理（电源行业）,厦门,爱维达电子,本科,3-5年,电气设备,1.2-2.4万·13薪,该岗位为厦门总部管理岗，不需要常驻项目或者出差。【岗位职责】1. 全面负责售后服务团队的日常管理、任务分配与绩效考核。2. 处理升级的重大技术难题与客户投诉，提供高级技术支援。3. 优化售后服务流程与标准，提升服务效率与客户满意度。4. 监控并分析售后服务关键数据，编制报告以支持管理决策。5. 协同销售、研发等部门，推动产品质量与客户体验的持续改善。【任职要求】1. 本科及以上学历，电力电子、电气...,专用设备制造,http://jobs.zhaopin.com/CC203849010J40806853709.htm,300-499人,2026-01-07 01:24:26
客服副总监,厦门,柬单点(厦门)信息科技有限公司,本科,5-10年,"投诉客服,售后客服,售前客服,英语",1.7-2.4万·13薪,岗位职责：1、协助客服总监搭建高效服务体系、管理团队并保障服务质量，同时在总监授权下负责专项工作，填补管理缺口，确保客服部门稳定运转并持续优化。2.协助总监完成团队编制，成本控制及其他专项工作，完成公司设定的客服2、协助制定团队架构与人员编制，参与招聘面试，确保核心岗位人员适配。3、关注团队士气与留存，通过定期沟通、激励机制（如服务之星评选）降低人员流失率，打造高凝聚力团队。4、服务流程优化与效率...,互联网,http://jobs.zhaopin.com/CC688337980J40799376201.htm,500-999人,2026-01-05 01:01:17
准点下班(9：00-17：00)固定双休|客服运营,厦门,中国平安,大专,经验不限,拒绝加班,面议,●岗位急招 招满即停。非业务员。非电销●企业文化:我们固定早九晚六周末双休我们绝对不加班，下班就走，我们适合喜欢做服务，而又不想有太多工作压力的人同时对于有晋升欲望、有赚钱欲望的人，我们也给予充足的空间。人性化工作时间+周末双休不加班!●福利待遇：工资构成:1、基础无责底薪+岗位津贴+绩效奖+季度奖+新人津贴(有金融从业经验者薪资面议)，入职半年以上收入8k+，一年以上15k+(上不封顶)2、缴纳...,银行,http://jobs.zhaopin.com/CC000204810J40858667712.htm,10000人以上,2025-12-11 16:12:46
银行渠道续期服务专员,厦门,阳光人寿保险股份有限公司厦门中心支公司,大专,1-3年,,1-2万,一、岗位职责1、基础工作:为客户提供业务办理、信息咨询、保单管理、理赔、年金领取等全方位金融服务;2、客户维护:积极参加公司市场拓展和服务活动，借力公司活动平台，对现有客户做好维护与服务沟通，不断提高客户满意度，开展优质的售后服务:3、业务拓展:以综合金融服务为载体，借助公司独有的医疗、教育、康养、财富管理资源服务和产品优势，解决客户潜在的多元金融需求，积极拓展新契约业务，为客户提供综合、全面、全...,农/林/牧/渔,http://jobs.zhaopin.com/CC420681610J40807048409.htm,20人以下,2025-11-28 18:32:57
半导体设备客服工程师（厦门/晋江）（半导体设备大厂）,厦门,北京宏韬管理咨询有限公司,本科,1-3年,"半导体设备校验,半导体设备维护保养,半导体设备安装调试",1.2-2万·15薪,工作职责1.半导体产线刻蚀ETCH、物理气相沉积PVD、等设备的接货、安装、调试和验收工作；2.已随时响应客户需求，解决客户设备使用问题，进行设备的日常维护和技术支持，客户设备使用培训；3.客户需求信息搜集和反馈，建立与客户的良好合作关系，推动备件销售和设备的二次销售；4.撰写设备日常维护日志、周志和月报告；5.完成部门安排的其它工作。,咨询服务,http://jobs.zhaopin.com/CC325506180J40759410002.htm,1000-9999人,2025-11-25 15:50:37
Python开发（电商智能客服）,厦门,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Django,Flask,NLP",1.2-2万,岗位职责： 1. 设计并开发电商智能客服系统的核心模块（对话管理、意图识别、工单系统等）； 2. 优化NLP模型服务接口，提升意图识别准确率与响应速度； 3. 对接电商业务系统（订单/商品/会员），实现智能客服的实时数据查询与业务处理； 4. 构建知识库自动化管理工具，支持动态更新与语义检索； 5. 监控系统性能，解决高并发场景下的稳定性与扩展性问题。 经验要求： - 3年以上Python开发经验...,互联网,http://jobs.zhaopin.com/CC000544460J40718778016.htm,10000人以上,2025-09-12 15:34:16
厦门8k+车险续费专员/国企/五险一金,厦门,中国大地财产保险股份有限公司,高中,经验不限,,8000-16000元·13薪,"一、工作内容：公司提供车险即将到期的客户名单，通过电话和网络的形式通知车主车险即将到期，将车险的优势介绍给客户, 引导购买就有提成（纯办公室工作环境，无需跑业务,无需自己开发客户，无需轮班）二、任职资格：1、20到40周岁（条件优秀者可放宽），态度端正，品行良好；2、公司注重能力，条件符合中专或高中以上学历；3. 普通话标准，具有一定的表达沟通能力，4. 拥有勇于挑战高薪的野心，服从管理。三、工作...",保险,http://jobs.zhaopin.com/CC145756070J40868378212.htm,10000人以上,2026-01-10 14:41:09
同安国企 高薪坐班专员 五险一金+包吃,厦门,中国太平洋财产保险股份有限公司宁波分公司,大专,经验不限,"售后客服,售前客服,电话客服,带销售性质,五险一金,国企  包吃",8000-16000元,优势亮点：国企正式员工，入职即缴五险一金！开车出行必买、室内办公无需外出！免费5A级工作日早午餐！朝九晚六！内部晋升空间大（95%以上团队管理人员或运营支持人员均为内部晋升）、办公环境舒适、年轻化团队！ 一、工作内容：通过电话或网络联系公司快到期的老客户到期续费，到期必须要买！刚性需求！业务好做，提成高！ 二、职位要求:1、大专及以上学历（有销售从业经验者可放宽）；2、18-35周岁，性别不限；3...,银行,http://jobs.zhaopin.com/CC447470520J40814290014.htm,10000人以上,2026-01-10 01:42:15
