职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
运营优化总监(厦门总部),厦门,北京驰宏宇乐科技有限公司,本科,5-10年,"门店运营,产品运营,商家运营",4.5-8.5万,岗位职责:1、建立并优化能保障门店运营标准化操作、管理流程标准化执行的IT系统2、制定门店操作事务相关的操作程序、配置标准3、系统化实现高效的运营异常事件发现、传递、跟踪体系4、充分拓展技术应用于员工管理、员工生产效率管理的系统化工作任职要求：1、教育程度：年龄50岁以下，能力强可放宽，学历本科以上。2、背景经验：连锁餐饮或互连网零售产业经验专业领域经验、管理经验要求3、专业知识：项目管理能力及运...,互联网,http://jobs.zhaopin.com/CCL1507158650J40714450606.htm,20-99人,2026-01-01 12:06:12
商业化运营总监,厦门,咪咕,学历不限,经验不限,"商业化运营,元宇宙",面议,岗位职责：﻿1、负责元宇宙项目的整体商业化战略规划，根据集团战略和市场趋势，制定年度经营目标，并带领团队确保目标的达成。2、设计并实施元宇宙项目的商业化变现策略，包括但不限于广告、赞助、会员服务、虚拟物品交易、数字藏品（NFT）销售等多元化变现模式。3、全面负责元宇宙项目的日常运营管理工作，优化业务流程，加强内部结果管控，提升团队工作效率和整体运营效能。4、持续收集并分析元宇宙市场及同行业竞品信息...,互联网,http://jobs.zhaopin.com/CC711333420J40782086705.htm,1000-9999人,2025-06-04 17:25:47
跨境电商运营经理 (MJ001949),厦门,大博医疗,本科,3-5年,"阿里巴巴国际站,亚马逊,天猫",3-4.5万·15薪,工作职责1. 负责公司功能性食品在国内电商平台（天猫国际、京东国际等、抖音、快手等）的整体运营规划与执行，制定月度、季度、年度运营策略，确保销售目标达成。2. 深入分析各电商平台数据，包括流量、转化率、用户行为等，精准定位问题并提出优化方案，持续提升店铺运营效率和销售业绩。3. 主导店铺日常运营管理，包括但不限于商品上架、下架、页面优化、标题关键词优化、库存管理等，确保店铺正常运转且符合平台规则。...,医疗设备/器械,http://jobs.zhaopin.com/CC203711210J40902969915.htm,1000-9999人,2025-11-13 13:04:03
Tiktok运营经理,厦门,泉州笠泊居电子商务有限公司,本科,3-5年,"精品运营,海外推广,数据运营,英语,TK运营,TikTok",2-4万,岗位职责：1、负责TikTok跨境电商业务的团队搭建与日常管理，制定针对目标市场的销售目标与增长策略，并带领团队完成业绩指标。2、全面负责TikTok Shop（小店）的运营与管理，包括店铺入驻、商品管理、市场定价、活动营销、订单处理及跨境物流协同，确保店铺合规高效运营。3、深入研究海外市场及用户偏好，分析竞品动态，制定本地化的产品结构、内容策略和促销方案，提升店铺在目标区域的竞争力。4、熟悉Ti...,电子商务,http://jobs.zhaopin.com/CCL1473957100J40816819805.htm,20-99人,2026-01-02 11:55:00
运营副总监（跨境电商）,厦门,厦门艺饰家进出口有限公司,本科,5-10年,"亚马逊,英语",2.5-4万,"福利待遇：1.薪资20000-25000/月；2.带薪年假、年终奖、生日福利、零食角、节日福利、全勤奖、年度体检等；3.双休；4.试用期缴交社保五险。 岗位职责： 1.运营战略规划:制定公司运营营销战略规划和年度营销计划,调整并优化运营营销策略，落地方案，确保公司经营指标的实； 2.运营管理体系建设：提升团队成员的技能，确保经营指标的实现； 3.销售目标管理：督导部门各项目制定并实施销售策略、推广...",电子商务,http://jobs.zhaopin.com/CCL1494734390J40757004814.htm,100-299人,2025-11-12 00:00:02
跨境电商运营经理,厦门,天亿(厦门)商业管理服务有限公司,学历不限,经验不限,"懂跨境平台运营,电商铺货,TikTok,ozon,电商合伙人,跨境电商共创",1.5-3万,我们公司是在厦观音山附近，拥有1000平办公空间，是成熟运营6年的成熟自媒体电商公司，现开放跨境电商合伙人计划，诚邀有志之士共创未来!职位名称:电商合伙人(零经验扶持+多V1指导)店铺合伙人:负责跨境电商Ozon(欧众)新开店的运营和管理，有合作模式，有意向的可以直接打招呼!也可在家办公岗位经验:无需经验，有人带，小白，宝妈只要努力...,电子商务,http://jobs.zhaopin.com/CCL1515022280J40834617914.htm,20-99人,2026-01-08 14:13:16
抖音商品卡运营经理,厦门,泉州笠泊居电子商务有限公司,本科,3-5年,"抖音小店,经理,抖音商品卡运营,商品卡运营经理,抖音运营经理",2-4万,岗位职责：1、全面负责公司抖音电商业务的运营管理，组建并带领运营团队，制定月度、季度的GMV、利润等核心销售目标，并确保目标达成。2、负责抖音小店的全面运营工作，包括但不限于店铺规划、商品上架与优化、商品详情页策划、促销活动设置、订单与物流跟进，对店铺评分和用户体验负责。3、进行市场与竞品分析，制定差异化的产品定价、内容策略和推广计划，通过数据化运营提升店铺转化率与客单价。4、精通抖音平台规则与流...,电子商务,http://jobs.zhaopin.com/CCL1473957100J40816820205.htm,20-99人,2025-12-08 00:49:01
运营总监,厦门,厦门力和行视觉科技有限公司,本科,经验不限,,2-3万,一、工作内容: 1、战略：协助总经理，制定公司战略目标，业务规划、经营方针和经营形式，并组织实施。 2、规划：善于制定企业发展的战略及具备把握企业发展全局，提前做好规划。 3、商务：负责商务对接、商务决策、商务内容的梳理。 4、思路：根据公司不同发展阶段，能快速给出有效的解决思路和制定不同的应对方案。 5、管理：能独挡一面，独立负责几个团队。 6、成本：对各个环节进行成本管控，并能出台成本管控方案...,工业自动化,http://jobs.zhaopin.com/CCL1351586790J40884733202.htm,1000-9999人,2025-12-19 16:24:17
跨境电商风口项目合伙人,厦门,厦门创想优选网络科技有限公司,学历不限,经验不限,,1.5-3万,"我们公司是在厦门软件园，拥有1000多平办公空间、是稳定运营6年的成熟自媒体公司，现开放跨境电商合伙人计划，诚邀有志之士共创未来！ 职位名称:电商合伙人(零经验扶持+多V1指导) 店铺合伙人： 负责跨境电商Ozon（欧众）新开店的运营和管理，有合作模式,有意向的可以直接打招呼!!!!!!也可在家办公 岗位经验： 无需经验，有人带， 小白，宝妈只要努力上进我们都欢迎，公司提供设备和技术支持，对电商感...",电子商务,http://jobs.zhaopin.com/CCL1514699300J40814977111.htm,100-299人,2025-12-18 00:00:03
app运营总监,厦门,旷远能源,本科,5-10年,"C端客户,B端客户,社区类产品,APP运营管理",1.8-3万,岗位职责1、负责负责APP运营的阶段目标设定和实现，对产品用户数和用户黏度负责；2、运营方向定位，制定运营管理制度，设计和优化工作流程；3、负责平台战略规划、组织实施品牌推广策划及品牌推广落地；4、组织平台整体规划、网站及APP布局、内容建设、结构规划，根据业务模式、客户体验等需求设计并管理平台网站页面结构和内容，并不断优化；5、负责组织实施平台推广、营销、策划工作，确定推广目标，执行计划方案和推...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC578911020J40907904815.htm,300-499人,2025-12-04 09:21:03
跨境电商平台运营总监经理 (Shopee/Lazada),厦门,厦门好给力网络有限公司,学历不限,3-5年,"lazada,Shopee,TikTok,英语",2-3万,"岗位职责1. 负责在指定平台（Tokopedia/Tiktok/Shopee/Lazada/Blibli）上店铺的日常运营，包括商品上架、信息优化、页面维护。2. 策划并执行平台内营销活动（如折扣、优惠券、直播、大促报名），提升销量和店铺曝光。3. 分析店铺销售数据、流量来源、广告效果等，发现问题并提出优化方案。4. 管理平台内广告投放（如Shopee Ads, Tokopedia Ads），优化...",互联网,http://jobs.zhaopin.com/CC552992880J40726384216.htm,100-299人,2025-10-22 14:02:09
亚马逊运营专员/主管/经理,厦门,福建拉森科技有限公司,本科,3-5年,"亚马逊,精品运营",1.5-3万·13薪,【岗位职责】1、负责亚马逊运营团队的建设和管理，统筹所负责品类的账号安全稳定，人员需求配置规划和合理安排，确保团队稳定发展和销售业绩稳定增长，完成公司规定的销售目标；2、负责制定营销计划方案，挖掘运营数据，包括客户需求分析、listing优化、流量分析，维护优化产品页面，提升网站流量和转化率等；3、针对不同的推广渠道，开展营销活动，协调各方面资源配合执行，对推广商品进行有效的判断，负责推广效果评估...,电子商务,http://jobs.zhaopin.com/CCL1490657450J40744047001.htm,1000-9999人,2025-06-10 17:34:16
跨境电商合伙人,厦门,上海古道商务咨询有限公司,本科,5-10年,"亚马逊,lazada,Shopee,海外推广,精品运营,选品开发,英语",1.5-3万,一、岗位职责：1.对项目净利润负责，制定规划年度、月度运营方案并有效实施，并带领团队完成店铺销售目标；2.根据电商平台节奏和需求，主导项目选品，并根据数据提出产品优化需求；3.具备管理及优化电子商务团队，优化工作流程制度，并进行培训，负责运营团队的建设，人才发掘及培养，提升团队综合能力；4.负责运营团队日常管理与监督，协调跨部门间的合作；完成上级领导安排的其它临时性工作。二、任职要求：1.大专及以...,互联网,http://jobs.zhaopin.com/CC465445210J40769087305.htm,500-999人,2025-04-23 15:13:19
商家运营专家,厦门,南方新华,大专,3-5年,酒店/民宿,2-2.6万·14薪,工作职责：1，深度理解酒店签约规则、房态管理、分层分级逻辑与动态定价策略；基于供需关系、用户行为、竞争格局，制定并调优酒店价格体系与促销机制，最大化订单转化与收益。2，用数据驱动每一天的决策监控核心指标（流量→转化→复购），快速定位问题，比如：“为什么A地铁站附近酒店点击高但下单少？”；不依赖复杂看板，能用Excel/BI工具自己取数、分析、出结论，并推动改进。3，从0到1跑通增长实验围绕“通勤住...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40820305711.htm,100-299人,2026-01-12 10:25:13
跨境电商运营专员,厦门,福建拉森科技有限公司,本科,1-3年,"亚马逊,TikTok,海外推广,精品运营,YouTube,Facebook,Twitter,英语,TEMU",1.5-3万,岗位职责：1.负责公司亚马逊平台账号的管理，编辑商品的描述、上架以及在线商品的优化和管理；2.优化店铺页面设计、站内推广、产品关键词，提高入店流量、浏览量、转化率，完成店铺销售目标；3.以业绩为导向，跟踪标杆企业和竞争对手的产品销售情况，结合公司内部的销售情况做出相应的调整；4.制定补货计划，做好库存把控；5.维护账户的安全，处理订单纠纷，保持店铺的好评率和良好的信用度； 任职要求： 1.统招本科...,电子商务,http://jobs.zhaopin.com/CCL1490657450J40712464201.htm,1000-9999人,2025-03-14 17:36:26
运营总监（肿瘤康复 / 互联网医疗方向）,厦门,厦门家康天下科技股份有限公司,本科,5-10年,"新媒体运营,肿瘤康复,私域运营,AI 运营,数据运营,社群运营",1.5-2.5万,岗位亮点薪资待遇：综合月薪 20000-25000 元 / 月（固定薪资 + 绩效激励，具体根据能力面议），核心管理岗，资源支持充分汇报对象：CEO，主导公司运营战略落地，拥有充分决策权团队配置：直接管理新媒体运营、医学编辑、私域运营主管核心团队，搭建专业化运营体系发展前景：深耕肿瘤康复前景广阔的细分领域，践行 “患者受益、员工成长、机构可持续发展” 共赢目标；直接承担用户增长与业务转化核心指标岗...,卫生服务,http://jobs.zhaopin.com/CC481674330J40832430010.htm,100-299人,2026-01-08 14:43:28
电商运营总监,厦门,厦门新声科技有限公司,本科,5-10年,"电商运营,销售运营,数据运营,toC",1.5-2.5万,岗位内容：1. 开发和执行公司运营策略，确保实现商业目标2. 负责品牌的整体规划和市场推广，提高品牌知名度和渠道覆盖率3. 管理和支持团队成员，提升工作效率和质量4. 监督运营数据分析，及时调整和优化运营方案任职要求：1. 本科以上学历，7年以上互联网或相关行业运营管理经验2. 具有深厚的战略规划和市场推广经验，熟悉多种用户获取渠道和运营模式3. 优秀的项目管理能力和团队管理经验4. 熟练掌握数据...,医疗设备/器械,http://jobs.zhaopin.com/CC199144410J40910034808.htm,100-299人,2026-01-05 17:54:54
京东运营经理,厦门,厦门斯辰传媒有限公司,大专,5-10年,"京东,经理,团队管理",2-2.5万,岗位职责:1、负责公司京东平台（POP和自营）的整体运营战略规划，制定并执行年度、季度销售目标与运营方案，对平台GMV及利润目标负责；2、全面负责京东店铺的日常运营管理，主导产品上下架、库存管理、页面维护、活动策划及推广策略执行，促进销售目标达成；3、监控分析店铺流量、转化率、销售额等核心数据，定期输出诊断报告，提出并落实优化方案，持续提升店铺运营效率与 ROI；4、与京东平台采销等人员保持良好沟...,电子商务,http://jobs.zhaopin.com/CCL1281702680J40742497606.htm,1000-9999人,2025-12-19 10:10:15
数字化运营总监（高管/五险/双休）,厦门,福建省钜港环保科技有限公司,本科,10年以上,"流程管理,简道云,宜搭",1.5-2.5万,岗位职责：1. 深入生产、采购、仓储、品控等环节，识别订单交付、物料流转、质量追溯等流程中的卡点和管理问题，输出诊断报告，牵头相关部门制定流程优化方案。2. 牵头搭建覆盖研发-采购-生产-销售全链路的标准化流程体系，包括生产作业指导书（SOP）、供应链审批流程、质量异常处理流程等，推动流程落地执行。3. 基于简道云/宜搭等低代码平台，连接打通金蝶、ERP、生产管理、门禁、OA等系统，搭建各部门的数...,环保,http://jobs.zhaopin.com/CC617622130J40741178706.htm,100-299人,2025-12-12 15:07:48
运营副总监,厦门,柬单点(厦门)信息科技有限公司,本科,5-10年,"用户运营,商家运营,销售运营,toB,toC",2-2.5万·13薪,岗位职责1、监控各项运营数据，如订单量、用户活跃度、转化率、复购率等，分析运营效果，并根据数据调整运营策略2、密切关注外卖行业的发展动态和竞争对手的策略，及时调整自身策略。3、贯彻公司战略，拆解战略指标，对关键指标的落地起到关键作用；4、与公司内部其他部门以及外部合作伙伴进行有效沟通和协作，确保运营计划的顺利实施。5、督导和建设团队，培养团队中层骨干；任职资格1、5年以上外卖或餐饮行业运营经验，对...,互联网,http://jobs.zhaopin.com/CC688337980J40756104801.htm,500-999人,2025-10-22 17:22:28
运营总监,厦门,厦门艺饰家进出口有限公司,本科,3-5年,,1.5-2.5万·13薪,"福利待遇：1.薪资15000-25000/月；2.带薪年假、年终奖、生日福利、零食角、节日福利、全勤奖、年度体检等；3.双休；4.试用期缴交社保五险。岗位职责：1.运营战略规划:制定公司运营营销战略规划和年度营销计划,调整并优化运营营销策略，落地方案，确保公司经营指标的实；2.运营管理体系建设：提升团队成员的技能，确保经营指标的实现；3.销售目标管理：督导部门各项目制定并实施销售策略、推广计划及营...",电子商务,http://jobs.zhaopin.com/CCL1494734390J40717411714.htm,100-299人,2025-09-04 10:25:29
运营总监（长租公寓+酒店）,厦门,厦门春华集团有限公司,本科,3-5年,"销售运营,团队管理,长租公寓管理,公司管理",1.5-2.5万,岗位职责：1. 负责公司长租公寓板块的整体运营管理及业绩达成，制定并执行年度经营目标、运营策略及预算方案；2. 统筹团队的招商、租赁、客服、运营、资产维护等各模块工作，确保房源出租率及运营质量达到公司要求；3. 参与公司长租公寓项目的选址、定位、设计方案审核、改造及开业筹备，统筹管理各阶段工作进度；4. 建立和完善长租公寓的标准化管理体系、服务流程及安全管理制度，持续优化客户体验；5. 定期对行业...,互联网,http://jobs.zhaopin.com/CC528989930J40783762313.htm,300-499人,2025-08-21 10:15:27
电商负责人,厦门,厦门市中闽百汇商业有限公司,大专,3-5年,,1.5-2.5万,1、具备3-5年以上，商超电商操盘经验；2、精通小程序及各平台（京东、美团、饿了么等）的规则及工具；3、熟练使用各类数据分析工具及信息流广告、直播带货等；4、负责线上商城的战略目标定制及分解，并能根据市场情况调整运营方向；5、负责线上商城的整体运营及管理平台规则，并监控运营，会通过数据分析优化运营策略；6、负责线上商城整体营销计划，并能控制广告预算；7、擅长沟通协同，并具备带领团队能力;8、能适应...,零售/批发,http://jobs.zhaopin.com/CC361550710J40741211614.htm,1000-9999人,2025-04-09 16:56:58
品类招商,厦门,拼多多,本科,1-3年,"品类引进经验,电商品类,食品/饮料/烟酒,生鲜,居家日用,速食副食,肉禽冻品",1.2-2.4万·14薪,岗位职责：1、负责相应类目的招商工作，制定招商计划，优化流程，完成本部门各项任务指标；2、负责供应商资源开发及管理，收集和分析供应商信息及市场趋势，落实供应商开发和供应商过程控制管理工作并制定有效的招商策略，建立稳定的供货渠道；3、负责与主要供应商进行谈判，引进商品，对供应商进行管理考核，维护供应商体系和关系；4、对所负责商品品类的市场调查，分析、改善及丰富相关商品品类；5、对所负责品类的销售、毛...,互联网,http://jobs.zhaopin.com/CC625242220J40820411610.htm,1000-9999人,2025-12-23 01:30:28
亚马逊运营经理,厦门,容大合众(厦门)科技集团股份公司,本科,5-10年,"亚马逊,阿里巴巴国际站,TikTok,精品运营,数据运营,选品开发,团队管理,0-1",1.7-2.2万·13薪,岗位职责：1、带领团队负责amazon平台运营销售管理，包括产品规划、宣传推广、活动策划及日常运营与维护，按计划实现并提高运营的转化率、复购率和库存周占率；2、根据公司发展战略，制定部门年度工作目标，制定季度、月度销售任务，量化绩效指标，完成部门任务；3、负责亚马逊部门账号运营管理及监督，店铺规划、产品运营，行业数据分析及趋势把握，维护账号安全，提高客户满意度；4、组织策划并审定产品、市场推广、媒...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC424460810J40686065312.htm,500-999人,2025-07-31 14:44:46
